Date,Open,High,Low,Close,Adj Close,Volume
2019-07-17,73.9,73.99,71.4,72.18,71.92,16870
2019-07-18,72.0,73.19,71.1,71.54,71.28,6260
2019-07-19,71.5,73.0,69.4,70.5,70.24,20340
2019-07-22,70.4,71.2,68.94,69.03,68.78,22200
2019-07-23,67.51,70.0,67.51,68.48,68.23,16160
2019-07-24,67.5,68.0,65.0,67.1,66.85,15770
2019-07-25,65.0,66.05,64.7,65.11,64.87,16140
2019-07-26,64.9,66.0,64.5,64.71,64.48,16960
2019-07-29,65.0,65.5,64.5,64.5,64.27,6740
2019-07-30,64.5,65.8,64.4,65.01,64.77,23580
2019-07-31,65.0,65.0,63.8,64.14,63.91,5370
2019-08-01,64.2,64.5,64.15,64.39,64.15,9740
2019-08-02,64.0,64.55,62.8,63.76,63.53,57750
2019-08-05,64.0,64.02,63.0,63.37,63.13,10640
2019-08-06,63.5,64.6,63.0,63.28,63.05,14700
2019-08-07,64.5,64.5,62.8,62.85,62.62,11120
2019-08-08,63.0,63.59,62.9,63.04,62.81,25380
2019-08-09,63.2,65.7,63.2,64.85,64.61,32300
2019-08-13,64.5,65.96,62.6,63.12,62.89,63850
2019-08-14,63.5,64.6,62.5,64.12,63.89,44640
2019-08-16,64.12,64.3,63.42,63.67,63.44,23120
2019-08-19,64.5,66.0,63.9,64.64,64.41,29250
2019-08-20,64.65,65.1,64.0,64.64,64.41,9410
2019-08-21,65.0,65.44,63.3,63.83,63.59,11530
2019-08-22,65.0,65.5,63.9,64.86,64.62,13380
2019-08-23,65.4,65.4,63.0,63.69,63.46,14900
2019-08-26,64.75,66.67,63.0,63.51,63.28,14350
2019-08-27,64.5,67.0,63.0,65.5,65.27,19210
2019-08-28,65.5,65.53,64.15,64.35,64.11,13090
2019-08-29,65.0,67.5,63.0,63.76,63.53,21390
2019-08-30,63.8,67.1,63.8,67.1,66.86,26010
2019-09-03,67.1,67.1,65.0,66.9,66.66,5920
