Date,Open,High,Low,Close,Adj Close,Volume
2021-06-24,131.5,132.65,115.6,120.4,120.4,123284
2021-06-25,123.35,129.8,115.3,124.05,124.05,63377
2021-06-28,127.7,139.9,125.15,136.75,136.75,148434
2021-06-29,140.8,140.8,125.55,130.2,130.2,134436
2021-06-30,123.3,133.25,121.0,121.85,121.85,129957
2021-07-01,122.0,125.0,115.1,116.25,116.25,64773
2021-07-02,115.2,125.0,115.1,120.05,120.05,53697
2021-07-05,118.65,124.35,118.65,122.9,122.9,22381
2021-07-06,123.9,126.0,119.9,121.05,121.05,44688
2021-07-07,122.8,124.6,120.0,120.8,120.8,25084
2021-07-08,120.95,123.3,116.6,119.0,119.0,27267
2021-07-09,119.95,122.0,118.0,119.8,119.8,18413
