Date,Open,High,Low,Close,Adj Close,Volume
2014-01-29,40.13,40.5,36.56,36.88,36.78,64090
2014-01-30,37.97,37.97,36.34,36.83,36.73,12263
2014-01-31,36.39,38.63,36.39,38.23,38.13,17791
2014-02-03,38.61,42.75,38.61,41.7,41.59,129909
2014-02-04,41.63,44.76,41.25,43.69,43.57,285071
2014-02-05,44.38,45.19,42.75,43.82,43.7,39029
2014-02-06,43.88,44.38,41.25,41.74,41.63,37551
2014-02-07,43.99,43.99,41.64,42.0,41.89,4482
2014-02-10,42.86,44.25,42.3,43.5,43.39,29354
2014-02-11,42.77,43.39,42.15,42.71,42.6,3285
2014-02-12,43.13,44.06,43.13,43.14,43.03,44773
2014-02-13,43.88,45.0,43.13,43.97,43.85,30053
2014-02-14,44.96,48.75,36.02,36.9,36.8,262037
2014-02-17,36.94,40.05,36.92,39.3,39.2,25410
2014-02-18,39.66,42.73,39.66,41.38,41.27,51013
2014-02-19,42.71,42.71,41.46,42.02,41.91,11631
2014-02-20,42.0,44.49,41.36,42.64,42.53,180087
2014-02-21,43.46,43.82,42.02,43.22,43.11,11805
2014-02-24,41.83,44.1,41.83,42.43,42.32,8447
2014-02-25,43.11,43.13,40.88,42.19,42.08,14730
2014-02-26,36.75,43.5,36.75,41.87,41.76,86202
2014-02-28,42.19,42.9,39.38,40.67,40.56,26903
2014-03-03,40.67,43.5,39.56,42.13,42.02,126730
2014-03-04,40.73,43.37,40.73,42.06,41.95,70877
2014-03-05,41.51,46.5,41.51,43.5,43.39,62135
2014-03-06,42.39,44.25,42.39,43.35,43.24,10711
2014-03-07,42.0,44.23,40.16,41.7,41.59,44642
2014-03-10,41.25,43.13,41.25,42.02,41.91,18762
2014-03-11,41.64,42.69,41.44,41.64,41.53,599
2014-03-12,41.33,41.63,40.69,41.19,41.09,50962
2014-03-13,41.25,41.25,39.83,39.98,39.87,3869
2014-03-14,38.64,40.07,38.64,38.81,38.71,11402
2014-03-18,39.68,41.89,39.43,40.93,40.82,13954
