Date,Open,High,Low,Close,Adj Close,Volume
2006-09-26,77.27,77.27,73.32,74.59,57.16,14977
2006-09-27,74.18,78.18,71.86,72.73,55.73,28376
2006-09-28,72.73,74.36,69.14,70.0,53.64,11909
2006-09-29,69.09,73.5,69.09,72.32,55.42,10439
2006-10-03,75.36,75.36,69.59,70.95,54.38,5336
2006-10-04,73.64,74.73,70.23,71.05,54.45,13367
2006-10-05,72.59,73.36,71.09,71.82,55.04,8724
2006-10-06,70.82,72.05,69.14,69.73,53.43,4339
2006-10-09,70.0,70.45,68.36,69.05,52.91,7284
2006-10-10,71.36,71.36,68.41,68.86,52.77,4935
2006-10-11,68.41,68.73,66.82,67.5,51.73,4783
2006-10-12,66.41,67.45,56.91,66.77,51.17,6113
2006-10-13,57.27,72.64,57.27,68.14,52.22,14614
2006-10-16,70.23,70.27,63.77,65.0,49.81,8761
2006-10-17,64.64,69.91,64.64,67.77,51.94,15011
2006-10-18,68.59,69.41,63.82,66.68,51.1,6055
2006-10-19,68.41,68.45,65.45,65.55,50.23,5084
2006-10-20,68.27,70.91,63.73,67.09,51.41,8924
2006-10-23,77.18,77.18,67.27,67.59,51.8,6548
2006-10-26,68.91,69.82,67.32,67.68,51.87,8424
2006-10-27,70.73,70.73,66.36,67.05,51.38,10913
2006-10-30,75.45,75.45,67.82,71.32,54.65,51262
2006-10-31,70.09,73.55,68.27,72.0,55.18,21769
2006-11-01,72.64,72.64,70.05,70.68,54.17,7081
2006-11-02,70.0,71.36,68.45,68.95,52.84,4639
2006-11-03,70.0,75.0,69.18,73.5,56.33,23602
2006-11-06,73.64,76.86,70.27,74.18,56.85,50789
2006-11-07,72.82,77.68,72.82,74.95,57.44,56785
2006-11-08,75.45,76.27,71.82,72.64,55.66,28605
2006-11-09,72.91,74.91,69.18,69.91,53.57,11429
2006-11-10,72.64,72.64,69.18,69.55,53.3,7331
2006-11-13,69.95,70.86,69.09,69.09,52.95,5380
2006-11-14,69.64,72.18,68.32,70.86,54.31,20991
2006-11-15,71.82,75.59,71.82,73.41,56.26,76049
2006-11-16,74.45,74.45,70.0,70.23,53.82,15176
2006-11-17,70.91,71.73,68.18,68.86,52.77,17537
2006-11-20,69.23,69.23,65.45,67.32,51.59,11931
2006-11-21,69.05,69.05,66.41,67.59,51.8,7056
2006-11-22,69.55,69.55,66.05,66.27,50.79,7661
2006-11-23,67.68,67.73,65.82,65.91,50.51,6463
2006-11-24,78.18,78.18,65.91,66.68,51.1,8585
2006-11-27,67.27,72.73,66.41,68.45,52.46,42263
2006-11-28,69.0,69.09,66.59,68.14,52.22,7307
2006-11-29,68.55,70.91,68.45,69.45,53.23,11069
2006-11-30,70.45,70.45,67.36,68.18,52.25,2194
2006-12-01,70.91,72.55,69.09,69.86,53.54,40106
2006-12-04,71.82,75.0,71.14,71.64,54.9,34401
2006-12-05,72.5,72.73,69.18,69.77,53.47,19086
2006-12-06,70.91,72.27,68.64,69.0,52.88,11690
2006-12-07,69.05,69.91,67.36,67.86,52.01,8617
2006-12-08,67.73,69.0,66.36,68.14,52.22,8065
2006-12-11,69.95,69.95,65.18,65.91,50.51,20276
2006-12-12,64.55,66.82,60.14,60.86,46.64,18920
2006-12-13,58.18,65.0,58.18,62.55,47.93,12538
2006-12-14,74.55,74.55,63.18,64.59,49.5,12269
2006-12-15,62.73,68.0,62.73,65.82,50.44,7441
2006-12-18,66.36,66.91,63.68,64.82,49.67,3756
2006-12-19,64.82,65.36,62.82,63.59,48.73,6969
2006-12-20,63.18,64.45,63.09,63.55,48.7,4228
2006-12-21,62.82,64.59,62.73,63.95,49.01,3440
2006-12-22,63.55,66.18,63.55,65.36,50.09,4332
2006-12-26,65.59,70.45,63.18,69.18,53.02,38745
2006-12-27,68.27,71.55,68.18,68.59,52.56,31276
2006-12-28,67.55,69.09,67.27,67.86,52.01,4854
2006-12-29,67.86,79.55,66.59,75.55,57.89,110180
2007-01-02,78.18,78.18,74.14,75.59,57.93,64864
2007-01-03,77.14,77.14,74.55,75.0,57.48,27160
2007-01-04,74.64,83.91,73.77,81.14,62.18,141038
2007-01-05,81.32,84.09,77.27,77.73,59.57,54731
2007-01-08,78.86,83.64,77.55,80.45,61.66,63598
2007-01-09,82.64,82.64,77.27,77.41,59.32,21182
2007-01-10,77.27,78.59,74.64,75.32,57.72,23472
2007-01-11,76.59,77.45,70.09,75.27,57.68,12005
2007-01-12,77.91,77.95,73.18,74.14,56.81,9440
2007-01-15,73.36,77.68,73.36,74.91,57.41,14532
2007-01-16,75.0,75.0,71.09,72.64,55.66,21171
2007-01-17,72.73,74.55,72.5,73.5,56.33,13626
2007-01-18,72.32,74.55,71.0,71.77,55.0,7967
2007-01-19,71.82,73.5,69.23,70.82,54.27,7912
2007-01-22,74.55,74.55,69.32,71.5,54.79,14261
2007-01-23,71.64,79.09,71.05,75.86,58.14,51260
2007-01-24,77.73,78.18,74.55,75.41,57.79,17670
2007-01-25,72.95,77.27,71.91,72.64,55.66,18181
2007-01-29,72.64,73.41,69.59,70.45,53.99,11760
2007-01-31,68.5,74.09,67.86,69.32,53.12,30041
2007-02-01,70.91,70.91,70.0,70.27,53.85,6339
2007-02-02,74.41,74.41,69.45,70.91,54.34,8534
2007-02-05,75.45,76.18,71.82,73.45,56.29,40730
2007-02-06,74.82,88.18,73.41,88.18,67.58,243680
2007-02-07,92.73,98.18,81.36,82.41,63.15,507409
2007-02-08,83.95,83.95,78.14,81.05,62.11,72352
2007-02-09,84.09,87.73,79.23,81.0,62.07,188229
2007-02-12,80.09,82.41,74.73,75.77,58.07,86827
2007-02-13,74.55,80.86,70.45,72.55,55.59,102835
2007-02-14,77.18,77.18,71.91,74.59,57.16,73438
2007-02-15,76.18,78.95,75.45,77.36,59.29,34668
2007-02-19,78.27,80.0,75.59,76.5,58.63,32324
2007-02-20,77.05,77.05,73.36,74.0,56.71,14867
2007-02-21,71.91,74.91,71.0,72.73,55.73,46985
2007-02-22,73.64,74.86,71.77,72.41,55.49,17543
2007-02-23,70.09,71.82,60.18,68.23,52.29,40312
2007-02-26,68.18,70.36,66.36,68.77,52.7,9974
2007-02-27,74.55,74.55,67.59,67.86,52.01,29324
2007-02-28,64.36,74.64,56.91,71.45,54.76,37698
2007-03-01,72.82,73.86,67.73,68.32,52.36,45921
2007-03-02,69.18,70.91,67.27,68.18,52.25,15255
2007-03-05,65.45,65.55,62.64,63.55,48.7,14033
2007-03-06,65.45,67.14,61.82,66.09,50.65,13350
2007-03-07,66.45,68.18,63.64,63.95,49.01,13620
2007-03-08,63.68,65.05,63.64,64.55,49.46,7348
2007-03-09,63.68,66.18,63.64,64.0,49.05,5407
2007-03-12,63.68,66.59,63.68,65.23,49.99,4457
2007-03-13,66.23,66.36,64.36,66.23,50.75,1943
