Date,Open,High,Low,Close,Adj Close,Volume
2015-11-16,223.7,225.05,200.0,208.25,199.52,23112419
2015-11-17,211.25,217.3,208.6,215.8,206.76,4260355
2015-11-18,215.5,221.45,213.6,215.65,206.61,2325939
2015-11-19,216.9,219.8,215.0,217.0,207.91,940698
2015-11-20,216.5,218.75,214.3,215.0,205.99,690340
2015-11-23,215.7,228.4,212.0,220.15,210.92,2286619
2015-11-24,220.35,224.2,217.5,218.85,209.68,600987
2015-11-26,219.25,222.4,216.0,217.6,208.48,530097
2015-11-27,217.2,218.8,215.25,216.1,207.04,288555
2015-11-30,216.0,219.3,215.5,215.55,206.52,205189
2015-12-01,216.0,217.3,214.5,215.0,205.99,437305
2015-12-02,216.75,218.0,214.0,215.0,205.99,528017
2015-12-03,214.3,216.2,213.1,213.75,204.79,211243
2015-12-04,213.6,214.5,208.0,212.25,203.36,291228
2015-12-07,213.45,215.9,212.0,214.25,205.27,418427
2015-12-08,214.85,224.7,214.6,216.85,207.76,1107165
2015-12-09,216.85,220.4,213.1,214.85,205.85,591261
2015-12-10,214.85,222.0,212.1,220.55,211.31,336893
2015-12-11,220.5,222.0,216.1,216.9,207.81,229048
2015-12-14,216.8,221.0,214.75,218.05,208.91,110147
2015-12-15,217.05,223.0,217.05,219.05,209.87,141228
2015-12-16,219.5,242.5,219.5,234.35,224.53,2968234
2015-12-17,234.65,241.7,228.65,233.75,223.95,986711
2015-12-18,233.5,248.2,230.75,243.3,233.1,1356572
2015-12-21,243.3,245.9,236.35,239.8,229.75,266074
2015-12-22,240.0,248.0,232.5,234.25,224.43,474621
2015-12-23,236.0,245.0,233.0,242.85,232.67,448752
2015-12-24,243.0,244.3,236.9,237.85,227.88,134429
2015-12-28,238.15,242.5,235.1,236.7,226.78,162061
2015-12-29,238.65,247.9,237.7,241.15,231.04,418711
2015-12-30,242.5,259.5,242.45,257.05,246.28,1527914
2015-12-31,259.0,259.9,248.95,253.4,242.78,237778
2016-01-01,253.85,253.95,245.95,248.9,238.47,148020
2016-01-04,249.0,258.6,238.1,249.85,239.38,436345
2016-01-05,251.85,262.0,250.85,257.3,246.52,575280
2016-01-06,257.15,268.0,255.15,259.3,248.43,499166
2016-01-07,252.0,256.8,248.0,250.75,240.24,216287
2016-01-08,251.0,262.4,251.0,260.1,249.2,160971
2016-01-11,260.8,272.5,256.25,267.25,256.05,377253
