Date,Open,High,Low,Close,Adj Close,Volume
2017-07-18,1.3967,1.6,1.3967,1.6,1.5857,88560000
2017-07-19,1.7017,1.9117,1.7017,1.895,1.878,29880000
2017-07-20,2.0567,2.065,1.8967,1.9883,1.9705,15750000
2017-07-21,1.905,2.0833,1.905,2.0533,2.0349,11520000
2017-07-24,2.06,2.4167,2.0417,2.3717,2.3504,12420000
2017-07-25,2.43,2.595,2.2833,2.505,2.4826,10710000
2017-07-26,2.5,2.6333,2.4967,2.6133,2.5899,10170000
2017-07-27,2.6,2.6983,2.5167,2.6583,2.6345,4050000
2017-07-28,2.6833,2.75,2.6,2.6383,2.6147,7290000
2017-07-31,2.6833,2.87,2.6833,2.84,2.8146,16830000
2017-08-01,2.9333,3.1233,2.9333,3.1233,3.0954,3600000
2017-08-02,3.3333,3.435,3.2667,3.435,3.4042,4590000
2017-08-03,3.5983,3.6067,3.2633,3.3283,3.2985,9900000
2017-08-04,3.2667,3.275,3.1633,3.1633,3.135,2430000
2017-08-07,3.0067,3.0933,3.0067,3.0433,3.0161,7020000
2017-08-08,3.06,3.0733,2.9,3.025,2.9979,7110000
2017-08-09,3.0333,3.0417,2.95,2.95,2.9236,1800000
2017-08-10,3.025,3.025,2.9,2.9267,2.9004,1080000
2017-08-11,2.9,2.9167,2.7817,2.7817,2.7567,3420000
2017-08-14,2.6733,2.7833,2.6433,2.7067,2.6824,1800000
2017-08-16,2.7167,2.7167,2.67,2.6917,2.6676,1710000
2017-08-17,2.675,2.675,2.675,2.675,2.651,90000
2017-08-18,2.7883,2.8083,2.75,2.7833,2.7584,2070000
2017-08-21,2.8667,2.9217,2.845,2.9167,2.8905,1620000
2017-08-22,3.0,3.0617,2.9867,3.0417,3.0144,990000
2017-08-23,3.0667,3.1833,3.0667,3.1433,3.1152,1980000
2017-08-24,3.2167,3.2167,3.1,3.1133,3.0854,2250000
2017-08-28,3.15,3.1667,3.1167,3.1333,3.1053,810000
2017-08-29,3.265,3.29,3.1667,3.275,3.2457,2790000
2017-08-30,3.4317,3.4383,3.3367,3.4383,3.4075,1620000
2017-08-31,3.61,3.61,3.6,3.61,3.5777,2970000
2017-09-01,3.79,3.79,3.79,3.79,3.756,3060000
2017-09-04,3.9783,3.9783,3.6017,3.6567,3.6239,7200000
2017-09-05,3.5117,3.765,3.5117,3.7317,3.6982,4680000
2017-09-06,3.8,3.8333,3.7333,3.7817,3.7478,1170000
2017-09-07,3.775,3.8333,3.69,3.7767,3.7428,2790000
2017-09-08,3.7667,3.8333,3.7667,3.795,3.761,1440000
2017-09-11,3.7667,3.8167,3.7667,3.8167,3.7825,900000
2017-09-12,3.775,3.8333,3.775,3.8333,3.799,180000
2017-09-13,3.8667,3.8667,3.6667,3.6667,3.6338,1440000
2017-09-14,3.7967,3.8,3.7333,3.7333,3.6999,360000
