Date,Open,High,Low,Close,Adj Close,Volume
2021-06-24,380.0,399.0,370.0,376.15,376.15,27035744
2021-06-25,378.4,406.0,373.7,389.0,389.0,10269222
2021-06-28,387.8,393.95,375.25,378.15,378.15,3087635
2021-06-29,378.15,382.95,362.2,364.3,364.3,2125937
2021-06-30,368.0,377.45,361.1,369.6,369.6,1886702
2021-07-01,370.1,376.55,369.5,370.65,370.65,943360
2021-07-02,372.0,376.9,368.15,371.5,371.5,961818
2021-07-05,374.65,392.9,374.05,382.3,382.3,2291282
2021-07-06,384.0,408.75,384.0,390.85,390.85,6408745
2021-07-07,392.0,417.0,392.0,412.9,412.9,5818253
2021-07-08,417.65,424.4,402.2,416.65,416.65,8518828
2021-07-09,420.0,428.4,413.5,418.65,418.65,4367357
