Date,Open,High,Low,Close,Adj Close,Volume
2010-05-20,27.1,27.1,24.0,25.1,12.28,135360000
2010-05-21,24.6,25.25,24.2,24.7,12.09,11085400
2010-05-24,25.0,25.4,24.6,24.8,12.14,5841552
2010-05-25,24.5,24.65,24.0,24.05,11.77,3697795
2010-05-26,24.25,24.6,24.2,24.35,11.92,3248400
2010-05-27,24.35,24.45,23.9,24.05,11.77,1110498
2010-05-28,24.35,24.35,24.1,24.2,11.84,703600
2010-05-31,24.25,24.9,23.9,24.7,12.09,5881711
2010-06-01,24.8,24.8,24.1,24.2,11.84,494642
2010-06-02,24.4,24.4,23.95,24.0,11.74,933200
2010-06-03,24.35,24.35,24.0,24.05,11.77,592300
2010-06-04,24.05,24.5,24.05,24.25,11.87,2786248
2010-06-07,24.15,24.3,23.8,24.05,11.77,401271
2010-06-08,24.0,24.45,24.0,24.1,11.79,435224
2010-06-09,24.3,24.75,24.1,24.15,11.82,791939
2010-06-10,24.15,24.3,24.15,24.2,11.84,262237
2010-06-11,24.25,24.35,24.0,24.2,11.84,377800
2010-06-14,24.2,24.3,24.05,24.1,11.79,388945
2010-06-15,24.1,24.25,24.05,24.1,11.79,414023
2010-06-16,24.15,24.3,24.1,24.1,11.79,314734
2010-06-17,24.05,24.35,24.05,24.15,11.82,327300
2010-06-18,24.25,24.3,24.05,24.1,11.79,298213
2010-06-21,24.35,24.35,24.05,24.1,11.79,311300
2010-06-22,24.1,24.4,24.05,24.05,11.77,852700
2010-06-23,24.05,24.15,23.05,23.2,11.35,3141500
2010-06-24,23.5,27.1,23.25,23.4,11.45,3552000
2010-06-25,23.45,23.75,23.05,23.2,11.35,1725528
2010-06-28,23.45,24.15,23.2,23.9,11.7,2407936
2010-06-29,24.1,24.2,23.35,23.55,11.52,1679064
2010-06-30,23.5,24.1,23.2,23.95,11.72,1292031
2010-07-01,23.95,24.5,23.8,24.4,11.94,1523736
2010-07-02,24.75,25.05,24.3,24.7,12.09,2508071
2010-07-05,25.4,25.4,24.4,24.6,12.04,1570648
2010-07-06,24.8,25.2,24.25,24.45,11.96,4903471
2010-07-07,24.8,24.8,24.4,24.5,11.99,1431904
2010-07-08,24.5,24.8,24.45,24.55,12.01,2796738
2010-07-09,24.5,24.7,24.25,24.4,11.94,950130
2010-07-12,24.4,24.65,24.2,24.25,11.87,373100
2010-07-13,24.1,24.55,24.1,24.2,11.84,467000
2010-07-14,24.2,24.4,24.1,24.15,11.82,1020670
2010-07-15,24.35,24.4,24.15,24.3,11.89,1136100
2010-07-16,24.3,24.4,24.15,24.2,11.84,604000
2010-07-19,24.2,24.25,24.0,24.1,11.79,442400
2010-07-20,24.1,24.25,23.8,23.85,11.67,1149440
2010-07-21,24.0,24.0,23.75,23.85,11.67,615880
2010-07-22,23.95,23.95,23.75,23.85,11.67,518000
2010-07-23,24.0,24.35,23.9,23.9,11.7,2575978
2010-07-26,24.0,24.0,23.75,23.85,11.67,434900
2010-07-27,24.0,24.2,23.8,24.05,11.77,843986
2010-07-28,24.05,24.1,23.7,23.9,11.7,840394
2010-07-29,23.95,24.05,23.85,24.0,11.74,295193
2010-07-30,24.0,24.3,23.85,23.9,11.7,629372
2010-08-02,24.1,24.2,23.9,24.0,11.74,338036
2010-08-03,24.55,24.55,23.9,24.0,11.74,471400
2010-08-04,24.05,24.05,23.85,23.9,11.7,173300
2010-08-05,24.0,24.05,23.8,23.8,11.65,453012
2010-08-06,23.85,24.0,23.75,23.9,11.7,361263
2010-08-09,23.9,23.95,23.75,23.9,11.7,224989
2010-08-10,23.95,24.0,23.75,23.8,11.65,273100
2010-08-11,23.8,23.95,23.8,23.85,11.67,176679
2010-08-12,23.95,23.95,23.75,23.9,11.7,246900
2010-08-13,24.0,24.15,23.8,23.8,11.65,505800
2010-08-16,23.95,24.0,23.8,23.9,11.7,351190
2010-08-17,23.85,24.0,23.8,23.8,11.65,353869
2010-08-18,24.0,24.0,23.6,23.8,11.65,647999
2010-08-19,23.95,23.95,23.7,23.85,11.67,810127
2010-08-20,23.9,24.65,23.8,24.15,11.82,1482349
2010-08-23,24.15,25.1,24.15,24.4,11.94,2148272
2010-08-24,24.7,24.95,24.35,24.45,11.96,1139583
2010-08-25,24.4,24.75,24.1,24.15,11.82,583389
2010-08-26,24.15,24.4,24.05,24.15,11.82,467463
2010-08-27,24.15,24.35,23.8,23.9,11.7,1082289
2010-08-30,24.1,24.3,23.9,24.0,11.74,396267
2010-08-31,24.0,24.0,23.85,24.0,11.74,468000
2010-09-01,23.5,23.75,23.4,23.5,11.79,672500
2010-09-02,23.6,23.6,23.5,23.6,11.85,213600
2010-09-03,23.7,23.85,23.45,23.55,11.82,732200
2010-09-06,23.6,23.75,23.45,23.5,11.79,792400
2010-09-07,23.5,23.75,23.5,23.6,11.85,482533
2010-09-08,23.65,23.7,23.5,23.55,11.82,469700
2010-09-09,23.55,23.85,23.5,23.7,11.9,439511
2010-09-13,23.9,24.15,23.7,23.95,12.02,1162545
2010-09-14,24.45,24.8,24.15,24.35,12.22,5072117
2010-09-15,24.5,24.7,23.95,24.1,12.1,1594258
2010-09-16,24.1,24.55,24.0,24.4,12.25,1979565
2010-09-17,24.1,24.85,24.1,24.7,12.4,1558400
2010-09-20,24.8,24.85,24.45,24.75,12.42,1418540
2010-09-21,24.85,24.85,24.3,24.4,12.25,668300
2010-09-22,24.25,25.2,24.25,24.55,12.32,2262600
2010-09-23,24.8,24.8,24.3,24.4,12.25,436132
2010-09-24,24.5,24.65,24.35,24.4,12.25,500333
2010-09-27,24.5,24.7,24.25,24.3,12.2,740243
2010-09-28,24.35,24.5,24.1,24.2,12.15,552800
2010-09-29,24.3,24.5,24.0,24.05,12.07,904560
2010-09-30,24.5,24.65,24.0,24.15,12.12,570726
2010-10-01,24.45,24.45,24.15,24.25,12.17,366400
2010-10-04,24.2,24.7,24.2,24.55,12.32,930114
2010-10-05,24.7,25.25,24.7,25.15,12.62,3405600
2010-10-06,25.4,25.8,24.75,25.2,12.65,6923994
2010-10-07,25.25,25.6,24.8,24.95,12.52,1526173
2010-10-08,25.0,25.3,24.6,24.75,12.42,1011719
2010-10-11,24.65,25.1,24.5,24.85,12.47,531913
2010-10-12,25.0,25.0,24.65,24.85,12.47,451744
2010-10-13,24.8,25.0,24.75,24.85,12.47,1010400
2010-10-14,24.95,25.0,24.6,24.75,12.42,1721700
2010-10-15,24.95,24.95,24.2,24.3,12.2,710169
2010-10-18,24.3,24.45,24.0,24.05,12.07,692504
2010-10-19,24.2,24.25,24.0,24.15,12.12,1117730
2010-10-20,24.0,24.3,23.9,23.95,12.02,1615836
2010-10-21,24.2,24.45,24.05,24.35,12.22,910330
2010-10-22,24.45,24.55,24.3,24.45,12.27,798996
2010-10-25,24.7,24.75,24.2,24.45,12.27,1026760
2010-10-26,24.45,24.55,24.2,24.25,12.17,525493
2010-10-27,24.05,24.6,24.0,24.15,12.12,763414
2010-10-28,24.25,24.4,24.2,24.3,12.2,297893
2010-10-29,24.4,24.55,24.0,24.05,12.07,1290928
2010-11-01,24.1,24.4,24.1,24.3,12.2,670677
2010-11-02,24.2,24.8,24.2,24.65,12.37,876593
2010-11-03,24.8,24.8,24.35,24.55,12.32,908145
2010-11-04,24.45,24.75,24.45,24.7,12.4,825287
2010-11-08,24.7,24.9,24.55,24.85,12.47,1285230
2010-11-09,24.7,24.9,24.55,24.85,12.47,593093
2010-11-10,24.8,25.8,24.75,25.4,12.75,3922362
2010-11-11,25.45,25.8,25.0,25.2,12.65,1554770
2010-11-12,25.0,25.25,24.45,24.65,12.37,1534258
2010-11-15,24.5,24.7,24.35,24.5,12.3,1516588
2010-11-16,24.7,24.8,23.95,24.05,12.07,514379
2010-11-18,24.2,24.25,23.65,23.75,11.92,1203961
2010-11-19,24.1,24.1,23.55,23.75,11.92,857800
2010-11-22,23.9,23.95,23.6,23.9,12.0,394454
2010-11-23,25.0,25.3,23.8,23.9,12.0,2183159
2010-11-24,24.15,24.3,23.6,23.65,11.87,432305
2010-11-25,23.75,23.9,23.4,23.45,11.77,391795
2010-11-26,23.55,23.6,22.25,22.65,11.37,1072575
2010-11-29,22.8,22.9,22.45,22.7,11.39,470464
2010-11-30,22.75,23.35,22.5,23.05,11.57,518015
2010-12-01,23.05,23.45,23.05,23.25,11.67,426397
2010-12-02,23.5,23.55,23.15,23.2,11.64,455704
2010-12-03,23.6,23.6,22.8,22.9,11.49,346794
2010-12-06,23.85,23.85,22.85,22.9,11.49,287483
2010-12-07,22.95,23.0,21.4,21.5,10.79,3732184
2010-12-08,21.5,21.8,20.65,20.95,10.52,3400239
2010-12-09,21.0,21.3,20.65,21.15,10.62,3182118
2010-12-10,21.25,22.15,20.95,22.05,11.07,1220653
2010-12-13,22.3,22.4,22.15,22.35,11.22,322104
2010-12-14,22.5,22.5,22.2,22.4,11.24,290181
2010-12-15,22.5,23.05,22.45,22.75,11.42,472836
2010-12-16,22.9,23.05,22.55,22.9,11.49,262202
2010-12-20,22.85,23.0,22.5,22.5,11.29,311482
2010-12-21,22.75,23.5,22.45,23.3,11.69,744496
2010-12-22,23.5,23.5,22.5,23.0,11.54,839648
2010-12-23,23.0,23.0,22.4,22.5,11.29,2987434
2010-12-24,22.55,22.75,22.45,22.55,11.32,279795
2010-12-27,22.65,23.15,22.6,22.85,11.47,492495
2010-12-28,23.3,23.5,22.55,22.65,11.37,138929
2010-12-29,23.2,23.2,22.65,22.7,11.39,165071
2010-12-30,22.7,22.85,22.55,22.7,11.39,201884
2010-12-31,22.7,23.0,22.7,22.9,11.49,243608
2011-01-03,23.2,23.35,22.95,23.1,11.59,473152
2011-01-04,23.2,23.45,23.0,23.05,11.57,289136
2011-01-05,23.05,23.2,22.85,22.9,11.49,226179
2011-01-06,23.3,23.3,22.7,22.85,11.47,262547
2011-01-07,22.8,22.85,22.4,22.7,11.39,520099
2011-01-10,22.9,22.95,22.15,22.2,11.14,285019
2011-01-11,22.4,22.4,21.8,21.85,10.97,427927
2011-01-12,22.0,22.1,21.9,22.05,11.07,212854
2011-01-13,22.05,22.4,22.0,22.1,11.09,190837
2011-01-14,22.1,22.2,21.8,21.9,10.99,146462
2011-01-17,21.9,21.95,21.6,21.65,10.87,217392
2011-01-18,21.6,21.95,21.55,21.6,10.84,214603
2011-01-19,21.9,21.9,21.5,21.6,10.84,197170
2011-01-20,21.7,21.75,21.4,21.45,10.77,261207
2011-01-21,21.4,22.05,21.1,22.0,11.04,220879
2011-01-24,22.2,22.7,21.9,22.5,11.29,282278
2011-01-25,22.1,22.6,22.0,22.05,11.07,126116
2011-01-27,22.05,22.2,21.6,21.75,10.92,100390
2011-01-28,21.6,22.1,20.85,21.85,10.97,737423
2011-01-31,21.85,21.95,21.25,21.55,10.82,142233
2011-02-01,21.4,21.6,21.15,21.25,10.67,142967
2011-02-02,21.5,21.8,21.0,21.2,10.64,317155
2011-02-03,21.4,21.4,20.9,21.2,10.64,277466
2011-02-04,21.2,21.45,21.0,21.05,10.57,291878
2011-02-07,21.2,21.4,21.1,21.1,10.59,136694
2011-02-08,21.3,21.4,21.1,21.1,10.59,217960
2011-02-09,21.0,21.2,20.4,20.5,10.29,739092
2011-02-10,20.75,21.5,20.4,20.75,10.41,404536
2011-02-11,20.75,21.15,20.75,21.0,10.54,186162
2011-02-14,21.1,21.65,21.0,21.55,10.82,100582
2011-02-15,21.6,21.75,21.2,21.3,10.69,107477
2011-02-16,21.5,21.5,21.25,21.35,10.72,78172
2011-02-17,21.45,21.55,21.25,21.3,10.69,149439
2011-02-18,21.3,21.65,20.8,20.9,10.49,182825
2011-02-21,21.0,21.2,20.75,21.0,10.54,82761
2011-02-22,21.1,21.1,20.8,20.85,10.46,104880
2011-02-23,20.8,20.9,20.5,20.55,10.31,165509
2011-02-24,20.75,20.75,20.2,20.3,10.19,323690
2011-02-25,20.35,20.55,20.15,20.25,10.16,162152
2011-02-28,20.5,20.75,20.1,20.25,10.16,179443
2011-03-01,20.4,20.75,20.1,20.5,10.29,330227
2011-03-03,20.4,20.85,20.3,20.45,10.26,136115
2011-03-04,20.5,20.6,20.3,20.3,10.19,223313
2011-03-07,20.5,20.5,20.1,20.25,10.16,242264
2011-03-08,20.4,20.45,20.2,20.25,10.16,276154
2011-03-09,20.15,20.4,20.15,20.25,10.16,265639
2011-03-10,20.35,20.4,20.25,20.3,10.19,192325
2011-03-11,20.3,20.4,20.15,20.15,10.11,353473
2011-03-14,20.7,20.7,20.1,20.25,10.16,118112
2011-03-15,20.1,20.25,20.1,20.15,10.11,349799
2011-03-16,20.2,20.25,20.1,20.1,10.09,292676
2011-03-17,20.25,20.25,20.1,20.15,10.11,381741
2011-03-18,20.9,20.9,19.9,20.0,10.04,350418
2011-03-21,20.2,20.5,19.4,19.45,9.76,713294
2011-03-22,19.6,19.7,19.35,19.4,9.74,770637
2011-03-23,19.5,19.7,19.4,19.45,9.76,547024
2011-03-24,19.5,19.7,19.4,19.6,9.84,641248
