Date,Open,High,Low,Close,Adj Close,Volume
2017-08-18,141.55,141.55,141.55,141.55,141.06,263
2017-08-21,148.6,148.6,148.6,148.6,148.08,85
2017-08-22,156.0,156.0,156.0,156.0,155.45,151
2017-08-23,163.8,163.8,163.8,163.8,163.23,550
2017-08-24,171.95,171.95,171.95,171.95,171.35,160
2017-08-28,180.5,180.5,180.5,180.5,179.87,35
2017-08-29,180.0,189.5,180.0,189.5,188.84,100
2017-08-30,198.95,198.95,198.95,198.95,198.25,130
2017-08-31,208.85,208.85,208.85,208.85,208.12,415
2017-09-01,229.7,229.7,229.7,229.7,228.9,1164
2017-09-04,252.65,252.65,252.65,252.65,251.77,295
2017-09-05,277.9,277.9,277.9,277.9,276.93,402
2017-09-06,291.75,291.75,291.75,291.75,290.73,2647
2017-09-07,306.3,306.3,306.3,306.3,305.23,682
2017-09-08,321.6,321.6,321.6,321.6,320.48,360
2017-09-11,337.65,337.65,337.65,337.65,336.47,1051
2017-09-12,354.5,354.5,354.5,354.5,353.26,459
2017-09-13,372.2,372.2,372.2,372.2,370.9,2273
2017-09-14,390.8,390.8,390.8,390.8,389.43,4720
2017-09-15,410.3,410.3,410.3,410.3,408.87,27215
2017-09-18,430.8,430.8,419.95,430.8,429.29,38697
2017-09-19,452.3,452.3,436.05,452.3,450.72,14819
2017-09-20,474.9,474.9,460.0,474.9,473.24,10685
2017-09-21,498.6,498.6,470.0,498.6,496.86,53673
2017-09-22,519.05,523.5,505.0,523.5,521.67,40743
2017-09-25,549.0,549.65,508.1,511.0,509.21,43744
2017-09-26,500.1,513.0,485.45,490.05,488.34,27279
2017-09-27,472.0,500.0,466.05,470.25,468.61,21802
2017-09-28,465.0,480.0,447.05,470.9,469.25,2723
2017-09-29,470.0,470.0,450.3,460.0,458.39,3962
2017-10-03,452.0,470.0,445.0,455.0,453.41,4212
2017-10-04,435.0,477.7,435.0,472.25,470.6,4373
2017-10-05,455.0,495.85,455.0,495.85,494.12,8633
2017-10-06,520.6,520.6,504.2,509.1,507.32,9152
2017-10-09,530.0,530.0,486.0,491.5,489.78,5218
2017-10-10,510.0,510.0,480.0,490.0,488.29,3173
2017-10-11,480.0,494.95,465.5,467.7,466.07,2766
2017-10-12,446.05,484.0,446.05,465.65,464.02,1020
2017-10-13,475.0,480.0,460.0,474.95,473.29,721
2017-10-16,470.0,480.0,455.15,467.8,466.16,1951
2017-10-17,451.25,480.0,451.05,474.0,472.34,2698
2017-10-18,471.0,488.0,455.1,483.8,482.11,2510
2017-10-19,475.0,486.5,463.0,470.85,469.2,244
2017-10-23,460.0,470.0,457.0,462.95,461.33,1171
2017-10-24,463.0,463.0,450.15,462.0,460.39,754
2017-10-25,455.0,460.95,450.1,450.1,448.53,887
2017-10-26,427.6,469.95,427.6,446.15,444.59,967
2017-10-27,457.5,457.5,423.85,442.55,441.0,1146
2017-10-30,445.0,445.0,420.45,434.6,433.08,2069
2017-10-31,420.5,436.95,413.0,416.9,415.44,2277
2017-11-01,421.0,425.0,410.0,413.05,411.61,2492
2017-11-02,415.5,433.7,413.5,433.7,432.18,1477
2017-11-03,426.0,450.0,426.0,446.9,445.34,1158
2017-11-06,430.0,450.0,430.0,437.9,436.37,518
2017-11-07,437.0,443.0,430.0,433.0,431.49,1780
2017-11-08,430.0,445.0,424.4,432.0,430.49,935
2017-11-09,430.0,453.6,430.0,453.45,451.87,10245
2017-11-10,431.5,453.0,431.5,444.0,442.45,8210
2017-11-13,432.0,440.0,432.0,434.05,432.53,176
2017-11-14,425.0,449.0,425.0,446.45,444.89,1551
2017-11-15,465.0,465.0,424.15,429.4,427.9,1937
2017-11-16,411.05,440.0,411.05,429.95,428.45,1987
2017-11-17,430.05,434.95,425.0,429.8,428.3,1212
2017-11-20,421.0,435.0,421.0,429.0,427.5,2271
2017-11-21,425.0,450.0,415.0,432.0,430.49,636
2017-11-22,449.6,449.6,415.4,427.35,425.86,390
2017-11-23,425.5,435.0,422.35,428.1,426.6,262
2017-11-24,425.5,440.0,425.0,437.75,436.22,931
2017-11-27,439.0,439.0,427.0,429.8,428.3,1172
2017-11-28,427.5,430.95,422.0,430.0,428.5,501
2017-11-29,427.5,440.0,420.05,423.0,421.52,1013
2017-11-30,420.5,440.0,416.5,428.35,426.85,739
2017-12-01,421.05,435.0,421.05,426.0,424.51,415
2017-12-04,440.0,444.9,426.0,432.85,431.34,2384
2017-12-05,435.0,435.0,427.0,432.7,431.19,1249
2017-12-06,432.0,454.3,426.05,429.25,427.75,3181
2017-12-07,426.1,435.0,426.1,428.7,427.2,1071
2017-12-08,444.95,444.95,425.0,426.5,425.01,2035
2017-12-11,425.5,440.0,405.6,429.6,428.1,1384
2017-12-12,420.0,435.0,408.5,428.45,426.95,8656
2017-12-13,417.2,429.5,416.0,421.15,419.68,786
2017-12-14,415.4,419.9,379.2,405.85,404.43,30357
2017-12-15,405.85,426.7,390.0,399.45,398.05,4588
2017-12-18,387.0,403.9,387.0,390.65,389.28,1865
2017-12-19,395.0,410.0,395.0,400.0,398.6,1757
2017-12-20,400.1,412.0,398.0,405.8,404.38,1608
2017-12-21,390.2,434.0,390.2,423.75,422.27,1743
2017-12-22,423.75,445.0,410.0,434.05,432.53,9907
2017-12-26,457.0,457.0,421.0,429.4,427.9,4966
2017-12-27,429.4,438.0,425.0,427.1,425.61,3490
2017-12-28,430.0,434.8,395.55,427.05,425.56,3381
2017-12-29,434.8,435.0,420.0,420.2,418.73,1885
2018-01-01,455.0,455.0,405.55,425.85,424.36,2823
2018-01-02,420.0,430.0,420.0,428.9,427.4,2111
2018-01-03,417.5,430.0,411.0,429.9,428.4,1147
2018-01-04,429.9,430.0,421.0,429.95,428.45,437
2018-01-05,429.95,430.0,412.15,421.0,419.53,4793
2018-01-08,425.0,434.95,418.3,433.75,432.23,1609
2018-01-09,433.75,433.75,415.0,415.95,414.5,5431
2018-01-10,410.0,423.95,410.0,412.9,411.46,1124
2018-01-11,415.0,423.95,413.0,415.85,414.4,2463
2018-01-12,428.95,428.95,410.0,410.25,408.82,6954
2018-01-15,408.1,449.9,408.1,421.9,420.43,2081
2018-01-16,412.0,418.2,410.2,410.95,409.51,1193
2018-01-17,420.0,429.95,415.0,423.6,422.12,5459
2018-01-18,423.6,423.6,411.0,417.35,415.89,621
2018-01-19,410.5,425.0,410.5,415.05,413.6,1024
2018-01-22,415.0,425.0,415.0,418.45,416.99,5104
2018-01-23,422.0,422.0,412.0,413.95,412.5,3410
2018-01-24,412.5,422.0,403.65,415.1,413.65,1057
2018-01-25,422.0,439.0,410.25,412.3,410.86,4810
2018-01-29,410.5,423.8,408.0,411.2,409.76,3284
2018-01-30,410.5,420.0,410.0,414.4,412.95,3707
2018-01-31,408.5,421.95,405.05,415.4,413.95,6659
2018-02-01,410.6,420.0,410.05,414.05,412.6,285
2018-02-02,414.05,414.05,403.6,406.3,404.88,841
2018-02-05,405.0,440.0,380.0,430.8,429.29,5306
2018-02-06,394.05,435.0,394.05,423.4,421.92,5915
2018-02-07,421.25,423.0,410.0,413.3,411.86,6884
2018-02-08,410.05,423.0,410.05,416.35,414.89,10053
2018-02-09,411.05,421.0,411.05,415.45,414.0,5418
2018-02-12,402.55,420.0,402.55,415.1,413.65,1926
2018-02-14,411.0,417.0,410.2,414.9,413.45,1076
2018-02-15,412.0,415.0,408.0,411.05,409.61,1755
2018-02-16,408.7,408.8,394.1,399.95,398.55,1353
2018-02-19,398.0,415.0,398.0,403.0,401.59,2180
2018-02-20,414.75,417.9,398.5,412.05,410.61,1730
2018-02-21,409.0,415.0,406.0,411.4,409.96,3836
2018-02-22,400.2,412.8,400.2,411.45,410.01,267
2018-02-23,405.7,417.0,405.05,414.55,413.1,391
2018-02-26,407.25,416.3,406.3,409.85,408.42,4759
2018-02-27,410.0,410.0,406.05,406.7,405.28,593
2018-02-28,403.0,414.7,403.0,405.95,404.53,2659
2018-03-01,404.15,411.0,404.15,410.15,408.72,2972
2018-03-05,410.0,410.0,400.0,404.5,403.09,2752
2018-03-06,409.95,412.0,402.05,404.3,402.89,7584
2018-03-07,400.3,408.35,393.4,393.9,392.52,2129
2018-03-08,393.5,400.0,383.0,390.0,388.64,7944
2018-03-09,386.25,400.0,386.25,400.0,398.6,1199
2018-03-12,400.0,400.0,390.1,391.5,390.13,1212
2018-03-13,385.05,394.95,385.05,387.5,386.15,169
2018-03-14,390.0,391.0,389.0,391.0,389.63,88
2018-03-15,391.0,391.55,391.0,391.55,390.18,95
2018-03-16,391.05,395.05,391.05,395.05,393.67,138
2018-03-19,389.1,391.9,382.0,383.45,382.11,733
2018-03-20,379.05,390.95,379.05,385.0,383.65,100
2018-03-21,382.15,399.95,382.15,389.05,387.69,53
2018-03-22,390.25,398.75,390.2,390.25,388.89,226
2018-03-23,384.1,390.05,384.1,384.3,382.96,602
2018-03-26,380.65,384.05,378.15,379.0,377.68,520
2018-03-27,380.2,394.65,380.2,387.6,386.25,228
2018-03-28,375.5,386.0,375.5,383.2,381.86,454
2018-04-02,393.0,399.95,383.0,393.1,391.73,854
2018-04-03,399.0,401.0,390.0,390.8,389.43,2441
2018-04-04,392.0,402.95,392.0,401.35,399.95,1035
2018-04-05,402.95,406.0,395.35,404.55,403.14,2287
2018-04-06,404.95,412.8,398.05,410.75,409.31,2809
2018-04-09,420.0,430.0,412.0,427.1,425.61,1511
2018-04-10,411.55,425.0,411.55,424.9,423.41,535
2018-04-11,418.0,420.0,400.0,418.0,416.54,3899
2018-04-12,410.05,417.9,410.05,411.3,409.86,54
2018-04-13,410.0,428.3,410.0,412.15,410.71,407
2018-04-16,428.6,429.95,406.25,413.75,412.3,423
2018-04-17,411.5,426.95,411.5,414.35,412.9,159
2018-04-18,410.05,419.95,407.0,407.0,405.58,279
2018-04-19,410.05,430.0,410.05,415.0,413.55,5465
2018-04-20,418.95,426.9,411.5,414.55,413.1,867
2018-04-23,412.05,420.0,412.0,419.15,417.68,738
2018-04-24,415.05,415.05,414.5,414.5,413.05,171
2018-04-25,415.0,430.0,411.1,418.3,416.84,3488
2018-04-26,420.0,434.8,415.7,422.0,420.52,410
2018-04-27,422.0,430.0,415.1,425.4,423.91,421
2018-04-30,430.0,437.95,422.1,429.9,428.4,675
2018-05-02,429.9,435.0,418.0,418.1,416.64,3843
2018-05-03,434.8,448.0,416.9,420.65,419.18,14532
2018-05-04,418.0,422.85,417.5,420.2,418.73,6022
2018-05-07,415.05,420.0,415.05,419.1,417.64,116
2018-05-08,419.5,419.5,419.1,419.25,417.78,113
2018-05-09,418.05,419.55,418.05,419.5,418.03,93
2018-05-10,413.0,428.0,413.0,423.55,422.07,767
2018-05-11,423.55,426.0,415.0,416.85,415.39,492
2018-05-14,410.0,415.0,397.0,402.55,401.14,9395
2018-05-15,401.0,401.0,391.0,392.15,390.78,410
2018-05-16,393.0,393.0,391.0,391.2,389.83,127
2018-05-17,391.0,392.0,375.0,375.0,373.69,933
2018-05-18,365.1,384.8,360.0,364.5,363.23,1816
2018-05-21,360.0,379.0,320.0,340.45,339.26,4314
2018-05-22,354.1,370.0,340.5,357.2,355.95,611
2018-05-23,346.55,352.0,345.0,345.0,343.79,230
2018-05-24,350.0,350.0,342.0,350.0,348.78,726
2018-05-25,345.05,350.0,343.0,347.1,345.89,330
2018-05-28,343.6,355.0,343.6,350.7,349.47,1873
2018-05-29,345.0,345.0,317.25,324.25,323.12,8239
2018-05-30,337.0,337.0,318.0,326.45,325.31,1461
2018-05-31,354.85,354.85,313.45,318.75,317.64,124
2018-06-01,320.25,320.4,312.1,319.2,318.08,181
2018-06-04,312.05,315.0,308.5,309.9,308.82,205
2018-06-05,303.0,312.95,285.0,289.9,288.89,1498
2018-06-06,299.35,299.9,272.5,292.75,291.73,7705
2018-06-07,294.8,304.7,286.25,295.0,293.97,2158
2018-06-08,286.7,310.0,286.7,296.55,295.51,122
2018-06-11,300.0,329.2,300.0,318.35,317.24,1139
2018-06-12,323.75,323.75,299.2,312.7,311.61,881
2018-06-13,311.0,358.2,311.0,334.15,332.98,9876
2018-06-14,335.5,345.5,322.0,335.3,334.13,663
2018-06-15,330.0,336.0,325.2,336.0,334.83,365
2018-06-18,349.4,398.0,305.8,375.45,374.14,78360
2018-06-19,375.0,378.0,361.25,370.7,369.4,7255
2018-06-20,369.95,369.95,350.0,354.4,353.16,4317
2018-06-21,350.0,350.35,337.25,339.25,338.06,1485
2018-06-22,335.25,339.8,323.5,330.4,329.25,890
2018-06-25,330.4,334.95,319.5,323.3,322.17,2225
2018-06-26,319.5,335.0,315.0,326.15,325.01,793
2018-06-27,319.05,334.5,315.0,315.25,314.15,827
2018-06-28,315.55,324.0,310.0,316.45,315.34,540
2018-06-29,320.0,325.25,316.0,319.25,318.13,899
2018-07-02,332.0,347.9,313.0,315.75,314.65,642
2018-07-03,315.0,315.0,305.0,306.9,305.83,234
2018-07-04,307.1,316.0,303.0,310.05,308.97,1431
2018-07-05,301.0,316.0,301.0,308.75,307.67,1109
2018-07-06,302.95,324.0,302.9,318.25,317.14,289
2018-07-09,314.0,320.05,310.4,314.4,313.3,458
2018-07-10,322.0,325.0,322.0,322.05,320.92,160
2018-07-11,323.0,330.0,315.1,327.25,326.11,58
2018-07-12,305.05,346.1,305.05,314.15,313.05,173
2018-07-13,311.05,313.7,305.1,306.65,305.58,1784
2018-07-16,306.0,306.05,297.65,304.75,303.68,350
2018-07-17,305.0,305.0,300.05,300.6,299.55,144
2018-07-18,313.0,313.0,292.8,297.2,296.16,308
2018-07-19,290.5,312.2,290.5,295.15,294.12,1325
2018-07-20,307.0,310.0,288.0,293.0,291.98,808
2018-07-23,286.55,305.0,286.05,297.85,296.81,439
2018-07-24,298.0,319.0,298.0,316.9,315.79,790
2018-07-25,315.05,320.0,312.05,319.25,318.13,5163
2018-07-26,319.85,321.0,312.35,315.7,314.6,402
