Date,Open,High,Low,Close,Adj Close,Volume
2006-04-03,45.0,58.0,44.05,52.92,45.84,51392295
2006-04-04,53.73,54.28,50.04,50.45,43.7,10678200
2006-04-05,50.3,51.28,48.42,48.97,42.42,6313245
2006-04-07,49.2,50.68,47.62,48.14,41.7,3612660
2006-04-10,48.4,52.46,47.13,51.05,44.22,5649250
2006-04-12,51.05,51.05,47.25,47.79,41.4,1213675
2006-04-13,48.74,49.0,46.23,47.22,40.9,1674460
2006-04-17,47.4,49.16,47.2,47.84,41.44,899070
2006-04-18,48.2,48.7,47.51,47.64,41.27,795665
2006-04-19,47.58,50.1,47.58,48.19,41.75,817630
2006-04-20,49.0,49.0,47.61,48.01,41.59,323155
2006-04-21,52.0,52.19,47.65,51.52,44.63,1744410
2006-04-24,49.4,54.4,49.4,53.78,46.59,2747345
2006-04-25,53.78,55.4,51.3,52.19,45.21,1819685
2006-04-26,51.03,60.8,51.03,56.83,49.23,4072525
2006-04-27,57.28,58.34,55.0,55.35,47.95,1280065
2006-04-28,53.1,54.6,48.8,53.38,46.24,385650
2006-05-02,54.8,56.99,54.2,55.31,47.91,304445
2006-05-03,55.6,58.0,54.1,55.03,47.67,549055
2006-05-04,55.2,55.74,52.31,52.76,45.7,283770
2006-05-05,52.76,54.2,51.03,51.74,44.82,269055
2006-05-08,51.8,52.0,48.42,48.9,42.36,681075
2006-05-09,51.0,51.0,49.24,50.03,43.34,288375
2006-05-10,50.78,50.78,48.63,49.51,42.89,193940
2006-05-11,49.6,49.9,48.7,48.98,42.43,68825
2006-05-12,48.56,49.94,48.54,48.71,42.2,70145
2006-05-15,48.8,49.8,46.8,47.64,41.27,204815
2006-05-16,48.05,48.8,44.8,45.68,39.57,639275
2006-05-17,47.0,48.4,46.1,47.07,40.77,127340
2006-05-18,47.18,47.3,45.21,46.38,40.18,329030
2006-05-19,46.42,47.99,41.0,42.23,36.58,251855
2006-05-22,41.4,42.0,34.0,37.24,32.26,129335
2006-05-23,35.02,42.0,35.02,41.0,35.52,138910
2006-05-24,42.0,44.36,39.5,42.25,36.6,184800
2006-05-25,41.2,42.0,41.2,41.21,35.7,62735
2006-05-26,41.43,44.0,41.4,42.86,37.13,82490
2006-05-29,43.79,43.98,41.03,42.33,36.67,80430
2006-05-30,43.8,44.4,40.81,41.08,35.59,145915
2006-05-31,40.4,40.4,38.0,39.3,34.04,95760
2006-06-01,40.8,41.4,36.22,37.41,32.41,80990
2006-06-02,36.8,37.57,34.8,36.7,31.79,71425
2006-06-05,37.1,37.2,35.6,36.14,31.31,52340
2006-06-06,34.8,35.0,33.0,33.32,28.86,64905
2006-06-07,33.35,33.6,29.6,30.34,26.28,66155
2006-06-08,30.2,30.2,24.28,24.42,21.15,77500
2006-06-09,24.0,27.9,24.0,27.14,23.51,82280
2006-06-12,28.6,28.99,27.0,27.96,24.22,46660
2006-06-13,27.4,27.6,25.6,26.53,22.98,79730
2006-06-14,26.99,27.2,23.88,25.43,22.03,111635
2006-06-15,23.0,26.2,23.0,25.68,22.25,27390
2006-06-16,27.1,28.25,26.0,28.07,24.32,98555
2006-06-19,29.99,30.88,26.0,30.87,26.74,83075
2006-06-20,30.5,33.96,29.24,32.44,28.1,100450
2006-06-21,33.2,33.98,33.0,33.47,28.99,40355
2006-06-22,34.01,35.15,34.01,35.15,30.45,39165
2006-06-23,34.78,36.6,34.02,36.34,31.48,44205
2006-06-26,37.77,37.78,34.72,34.72,30.08,73680
2006-06-27,33.62,33.7,32.99,32.99,28.58,22140
2006-06-28,31.4,31.4,31.34,31.34,27.15,18365
2006-06-29,29.8,31.98,29.78,29.78,25.8,53785
2006-06-30,30.8,31.0,28.3,28.88,25.02,41705
2006-07-03,29.99,30.0,29.16,29.46,25.52,5850
2006-07-04,29.6,30.56,29.4,29.9,25.9,3725
2006-07-05,30.01,31.4,30.0,31.21,27.04,13195
2006-07-06,30.85,31.56,30.8,30.84,26.72,6960
2006-07-07,31.05,31.6,29.3,29.62,25.66,11545
2006-07-10,29.4,29.4,28.14,28.2,24.43,19565
2006-07-11,29.0,29.0,27.8,28.0,24.26,6825
2006-07-12,27.7,28.39,27.2,27.56,23.87,9205
2006-07-13,28.57,28.94,28.0,28.94,25.07,7135
2006-07-14,29.18,29.18,27.5,27.92,24.19,4435
2006-07-17,28.0,29.29,26.8,27.38,23.72,4845
2006-07-18,28.2,28.2,26.3,27.08,23.46,7670
2006-07-19,27.05,27.59,25.82,25.99,22.51,3425
2006-07-20,25.82,26.01,24.82,25.17,21.8,15180
2006-07-21,25.0,25.8,24.0,25.43,22.03,10015
2006-07-24,25.0,25.58,24.2,24.62,21.33,3135
2006-07-25,25.2,25.4,24.1,24.73,21.42,6875
2006-07-26,24.95,25.97,24.95,25.97,22.5,3075
2006-07-27,26.0,26.98,26.0,26.05,22.57,7790
2006-07-28,26.8,27.34,26.0,26.4,22.87,7235
2006-07-31,27.22,27.35,26.1,26.26,22.75,8110
2006-08-01,25.62,26.6,25.39,25.9,22.44,12400
2006-08-02,25.6,25.97,24.98,25.14,21.78,49875
2006-08-03,25.8,26.4,25.4,26.01,22.53,11145
2006-08-04,26.0,26.87,25.01,25.73,22.29,10055
2006-08-07,26.15,26.19,25.41,25.99,22.51,2965
2006-08-08,26.18,26.19,25.0,25.35,21.96,9970
2006-08-09,25.92,26.62,25.6,26.62,23.06,16240
2006-08-10,26.8,27.57,25.8,26.85,23.26,16925
2006-08-11,27.55,28.2,27.55,28.2,24.43,9465
2006-08-14,29.6,29.61,29.59,29.61,25.65,8755
2006-08-16,31.0,31.09,29.0,30.22,26.18,46035
2006-08-17,31.0,31.0,28.84,29.31,25.39,15875
2006-08-18,29.2,30.0,28.8,29.31,25.39,7065
2006-08-21,30.2,30.2,29.6,29.91,25.91,7535
