Date,Open,High,Low,Close,Adj Close,Volume
2016-07-18,49.0,49.0,45.0,46.2,44.5,4158
2016-07-19,47.0,47.0,45.1,45.15,43.49,299
2016-07-20,46.85,46.85,45.0,45.0,43.35,360
2016-07-21,45.0,46.0,45.0,46.0,44.31,147
2016-07-22,45.0,46.0,45.0,45.2,43.54,4207
2016-07-25,47.0,47.0,45.1,46.35,44.65,1016
2016-07-26,46.35,46.35,46.35,46.35,44.65,0
2016-07-27,46.0,46.0,40.1,45.0,43.35,1900
2016-07-28,43.5,47.2,43.5,47.2,45.47,2648
2016-07-29,54.95,54.95,44.15,44.65,43.01,2291
2016-08-01,43.15,46.8,43.15,46.8,45.08,1554
2016-08-02,46.0,46.0,44.5,44.5,42.87,1100
2016-08-03,44.55,45.5,43.95,43.95,42.34,6197
2016-08-04,44.2,44.2,44.2,44.2,42.58,500
2016-08-05,44.2,44.2,44.2,44.2,42.58,0
2016-08-08,44.2,44.2,44.2,44.2,42.58,0
2016-08-09,45.0,47.4,43.7,46.95,45.23,13632
2016-08-10,47.8,47.8,44.0,44.95,43.3,4627
2016-08-11,45.0,45.0,43.6,43.6,42.0,1040
2016-08-12,47.0,47.0,46.9,46.9,45.18,15
2016-08-16,45.45,45.5,43.45,45.25,43.59,5062
2016-08-17,44.0,45.0,43.4,43.6,42.0,168
2016-08-18,47.0,47.0,46.85,46.85,45.13,103
2016-08-19,47.0,47.75,43.4,46.45,44.75,3360
2016-08-22,46.45,46.45,46.45,46.45,44.75,0
2016-08-23,44.95,46.0,44.3,44.3,42.67,15951
2016-08-24,47.6,47.6,43.5,44.5,42.87,559
2016-08-25,45.5,45.5,44.15,44.15,42.53,341
2016-08-26,43.0,43.95,42.25,42.55,40.99,229
2016-08-29,41.1,41.95,40.0,41.3,39.78,7690
2016-08-30,42.5,42.5,42.5,42.5,40.94,10
2016-08-31,42.35,42.4,42.35,42.4,40.84,42
2016-09-01,40.05,40.05,40.05,40.05,38.58,200
2016-09-02,40.05,40.05,40.05,40.05,38.58,0
2016-09-06,40.15,40.15,40.05,40.1,38.63,2096
2016-09-07,44.45,46.45,40.2,40.6,39.11,4563
2016-09-08,41.7,41.7,40.2,40.3,38.82,503
2016-09-09,40.1,41.55,40.1,41.4,39.88,390
2016-09-12,40.5,43.0,37.1,40.0,38.53,2851
2016-09-14,40.0,43.85,38.6,39.5,38.05,8155
2016-09-15,40.1,43.6,39.95,40.1,38.63,4910
2016-09-16,40.25,43.0,39.55,40.05,38.58,4100
2016-09-19,40.05,40.05,40.05,40.05,38.58,0
2016-09-20,43.85,43.85,39.5,39.5,38.05,1542
2016-09-21,39.15,43.8,39.15,41.1,39.59,7521
2016-09-22,45.0,45.0,38.55,39.1,38.6,1887
2016-09-23,39.1,42.85,39.0,40.05,39.54,487
2016-09-26,40.9,40.9,38.0,38.95,38.46,1937
2016-09-27,38.1,38.2,38.0,38.0,37.52,550
2016-09-28,38.0,39.0,38.0,38.95,38.46,1449
2016-09-29,39.8,44.0,31.9,36.05,35.59,19726
2016-09-30,36.05,37.95,36.05,37.5,37.02,6913
2016-10-03,39.95,39.95,36.85,39.0,38.51,2541
2016-10-04,39.9,39.9,39.9,39.9,39.39,1000
2016-10-05,39.95,40.0,38.15,38.85,38.36,6017
2016-10-06,40.0,40.6,39.15,39.9,39.39,15764
2016-10-07,40.95,40.95,39.5,40.6,40.09,315
2016-10-10,39.1,40.95,39.1,40.5,39.99,3610
2016-10-13,38.55,40.9,36.1,38.9,38.41,6826
2016-10-14,41.95,41.95,39.9,39.9,39.39,6800
2016-10-17,39.0,40.45,38.35,38.55,38.06,307
2016-10-18,38.5,40.5,38.5,40.4,39.89,738
2016-10-19,40.0,44.0,39.35,40.25,39.74,4602
2016-10-20,40.5,40.5,39.5,40.5,39.99,7668
2016-10-21,40.0,40.0,39.75,39.75,39.25,1598
2016-10-24,40.25,41.05,40.25,40.95,40.43,3300
2016-10-25,43.95,43.95,40.05,41.8,41.27,20359
2016-10-26,41.0,41.8,40.55,40.6,40.09,12060
2016-10-27,41.95,42.0,40.0,41.2,40.68,2519
2016-10-28,41.8,41.8,40.4,41.0,40.48,236
2016-11-01,41.8,45.25,41.8,43.15,42.6,9250
2016-11-02,43.95,43.95,41.2,41.8,41.27,4075
2016-11-03,41.8,41.8,41.8,41.8,41.27,0
2016-11-04,41.25,43.2,40.05,40.25,39.74,11852
2016-11-07,40.9,40.9,40.9,40.9,40.38,50
2016-11-08,42.75,42.8,41.1,41.1,40.58,1248
2016-11-09,38.6,40.0,38.6,40.0,39.49,891
2016-11-10,40.15,42.8,40.15,40.4,39.89,2598
2016-11-11,40.0,40.1,40.0,40.1,39.59,1500
2016-11-15,39.1,43.85,37.55,37.7,37.22,6402
2016-11-16,37.3,41.8,37.3,37.55,37.07,496
2016-11-17,39.95,39.95,37.35,37.35,36.88,4980
2016-11-18,37.35,37.35,37.35,37.35,36.88,0
2016-11-21,37.0,37.0,36.5,36.5,36.04,250
2016-11-22,35.5,42.95,35.5,37.05,36.58,4300
2016-11-23,37.05,37.05,37.05,37.05,36.58,0
2016-11-24,36.0,42.0,35.6,36.4,35.94,4404
2016-11-25,36.25,42.0,36.25,40.9,40.38,14280
2016-11-28,41.5,49.05,41.5,45.7,45.12,222806
2016-11-29,45.7,51.0,45.3,49.9,49.27,115615
2016-11-30,52.0,53.0,47.5,48.0,47.39,43361
2016-12-01,48.75,54.8,47.5,48.15,47.54,41376
2016-12-02,47.5,51.55,45.1,50.45,49.81,33158
2016-12-05,50.45,60.5,48.85,59.75,58.99,80957
2016-12-06,64.9,66.9,55.0,57.35,56.62,96128
2016-12-07,58.3,60.25,48.7,54.8,54.11,30206
2016-12-08,57.0,57.0,54.1,55.65,54.94,12324
2016-12-09,56.0,58.45,54.2,56.6,55.88,17168
2016-12-12,58.55,60.8,56.5,57.2,56.48,38995
2016-12-13,58.8,60.0,57.1,57.45,56.72,8419
2016-12-14,57.7,59.25,54.5,55.55,54.85,7841
2016-12-15,57.7,57.75,55.1,55.8,55.09,7636
2016-12-16,55.95,57.35,54.5,55.1,54.4,3834
2016-12-19,55.0,55.0,51.6,52.3,51.64,3798
2016-12-20,53.95,54.85,51.1,53.3,52.62,4107
2016-12-21,51.5,63.95,51.0,57.15,56.43,332359
2016-12-22,56.5,56.5,53.05,54.1,53.41,26597
2016-12-23,54.5,54.5,48.5,51.55,50.9,50774
2016-12-26,52.0,52.0,47.1,48.65,48.03,15658
2016-12-27,48.1,56.0,45.75,46.7,46.11,108213
2016-12-28,47.85,49.8,47.7,48.1,47.49,17505
2016-12-29,47.25,50.0,47.25,48.95,48.33,11892
2016-12-30,49.0,50.8,48.55,49.05,48.43,2229
2017-01-02,50.95,53.4,50.0,53.05,52.38,8319
2017-01-03,55.8,55.8,53.0,53.85,53.17,11520
2017-01-04,52.0,54.4,51.7,53.5,52.82,9639
2017-01-05,52.65,55.15,52.65,54.9,54.2,6844
2017-01-06,53.2,56.45,52.5,53.1,52.43,5257
2017-01-09,55.4,55.5,53.1,53.6,52.92,2752
2017-01-10,54.7,54.7,52.25,53.2,52.53,5879
