Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,19.25,19.35,18.8,18.85,7.71,173250
2002-07-02,18.5,19.5,17.2,19.2,7.85,397208
2002-07-03,19.1,20.5,19.1,19.85,8.12,1223705
2002-07-04,20.7,20.8,19.3,19.45,7.95,754972
2002-07-05,19.9,20.0,18.8,19.15,7.83,628726
2002-07-08,19.6,20.55,19.25,19.45,7.95,448796
2002-07-09,19.5,19.5,18.85,19.0,7.77,229585
2002-07-10,19.2,19.4,18.05,18.25,7.46,401481
2002-07-11,18.0,18.45,17.5,17.85,7.3,484083
2002-07-12,18.5,18.9,17.55,17.85,7.3,374393
2002-07-15,18.0,18.2,17.15,17.45,7.14,310021
2002-07-16,17.5,18.05,17.15,17.4,7.12,246251
2002-07-17,17.3,17.8,17.15,17.45,7.14,215665
2002-07-18,17.9,18.1,17.2,17.6,7.2,299385
2002-07-19,17.0,17.0,16.2,16.6,6.79,435013
2002-07-22,16.2,16.2,15.3,15.45,6.32,376961
2002-07-23,16.2,16.45,15.1,16.15,6.6,398070
2002-07-24,16.2,16.2,15.75,16.05,6.56,280885
2002-07-25,16.55,16.85,16.0,16.1,6.58,295177
2002-07-26,16.1,16.1,15.25,15.45,6.32,231231
2002-07-29,15.35,15.9,14.1,14.75,6.03,290951
2002-07-30,15.5,15.7,14.05,14.45,5.91,301265
2002-07-31,14.3,14.8,13.0,14.25,5.83,396334
2002-08-01,14.1,14.95,14.1,14.35,5.87,208056
2002-08-02,13.3,14.3,13.2,14.1,5.77,199964
2002-08-05,14.25,14.6,14.25,14.35,5.87,141832
2002-08-06,15.0,15.0,14.1,14.75,6.03,147360
2002-08-07,15.2,15.6,15.0,15.35,6.28,258384
2002-08-08,15.6,15.6,14.55,14.75,6.03,160473
2002-08-09,14.8,15.1,14.3,14.75,6.03,178885
2002-08-12,14.2,15.1,14.2,14.9,6.09,101820
2002-08-13,15.0,15.2,14.75,14.8,6.05,74146
2002-08-14,14.8,14.9,14.5,14.7,6.01,46942
2002-08-15,14.7,14.7,14.7,14.7,6.01,0
2002-08-16,15.2,15.2,14.55,14.7,6.01,71516
2002-08-19,14.6,14.85,14.5,14.6,5.97,56582
2002-08-20,14.65,15.3,14.65,15.1,6.17,194952
2002-08-21,15.25,15.45,15.0,15.2,6.22,217960
2002-08-22,15.5,15.5,14.75,14.85,6.07,125339
2002-08-23,14.85,15.15,14.8,14.95,6.11,114076
2002-08-26,14.9,15.1,14.7,14.75,6.03,72577
