Date,Open,High,Low,Close,Adj Close,Volume
2005-12-06,140.0,160.0,130.15,131.75,131.75,7459661
2005-12-07,132.5,134.8,126.35,129.65,129.65,2711341
2005-12-08,132.0,135.85,128.3,134.15,134.15,2429399
2005-12-09,135.25,135.5,128.25,129.7,129.7,584146
2005-12-12,130.0,132.9,127.15,127.9,127.9,445901
2005-12-13,128.7,129.25,124.25,125.05,125.05,224490
2005-12-14,126.0,126.6,121.85,122.4,122.4,172464
2005-12-15,123.0,125.35,117.5,118.2,118.2,272348
2005-12-16,119.9,122.4,116.25,119.5,119.5,205944
2005-12-19,119.9,132.25,119.0,126.3,126.3,765206
2005-12-20,123.75,127.5,121.25,121.8,121.8,186320
2005-12-21,122.8,127.9,121.25,123.75,123.75,330747
2005-12-22,124.8,127.5,123.1,124.3,124.3,198434
2005-12-23,125.35,127.0,123.05,124.95,124.95,245192
2005-12-26,125.15,133.8,124.2,127.3,127.3,1216607
2005-12-27,130.0,131.25,121.0,128.65,128.65,415650
2005-12-28,129.0,132.4,127.95,130.25,130.25,290493
2005-12-29,131.8,156.3,130.65,156.25,156.25,4654113
2005-12-30,158.35,166.9,152.45,154.35,154.35,5479523
2006-01-02,153.0,164.4,152.15,159.05,159.05,2652403
2006-01-03,160.35,167.8,158.35,163.8,163.8,2374098
2006-01-04,167.9,167.9,157.4,158.6,158.6,467602
2006-01-05,155.1,171.95,153.5,166.3,166.3,2727686
2006-01-06,164.0,169.7,158.75,160.45,160.45,652582
2006-01-09,165.0,190.5,161.5,187.15,187.15,5316297
2006-01-10,186.8,188.9,177.3,178.65,178.65,1626326
2006-01-12,178.0,214.4,175.6,207.6,207.6,5455201
2006-01-13,208.05,244.9,208.05,231.8,231.8,7033633
2006-01-16,233.8,254.3,232.15,237.6,237.6,4081975
2006-01-17,242.0,247.9,215.3,221.45,221.45,3736975
2006-01-18,225.0,235.95,216.0,227.4,227.4,4815636
2006-01-19,230.0,235.6,227.0,230.2,230.2,1815287
2006-01-20,231.9,235.9,223.55,225.5,225.5,1506262
2006-01-23,225.5,235.0,220.0,227.85,227.85,1226482
2006-01-24,230.0,242.6,229.2,230.5,230.5,1646914
2006-01-25,234.9,239.6,204.3,207.45,207.45,1475231
2006-01-27,212.0,217.4,200.55,202.9,202.9,1314830
2006-01-30,206.1,237.5,190.6,230.45,230.45,8919316
2006-01-31,228.0,232.0,215.35,217.9,217.9,3968274
2006-02-01,220.0,227.0,209.1,211.4,211.4,2784371
2006-02-02,213.8,221.9,210.0,212.85,212.85,1642469
2006-02-03,213.0,216.7,203.7,207.8,207.8,1123757
2006-02-06,210.0,217.7,208.1,211.45,211.45,913067
2006-02-07,212.95,216.6,208.55,210.7,210.7,646872
2006-02-08,211.45,222.0,208.0,215.0,215.0,2411958
2006-02-10,217.0,217.6,211.1,211.7,211.7,784552
2006-02-13,214.0,218.3,209.6,215.7,215.7,941165
2006-02-14,216.25,224.7,213.05,214.7,214.7,1684504
2006-02-15,217.0,219.95,213.0,214.2,214.2,477941
2006-02-16,216.3,217.9,211.15,212.3,212.3,432706
2006-02-17,214.65,215.3,203.05,204.1,204.1,369496
2006-02-20,205.0,205.9,195.0,199.6,199.6,481423
2006-02-21,195.55,208.75,195.55,201.9,201.9,526634
2006-02-22,203.85,203.9,196.0,197.35,197.35,318733
2006-02-23,198.95,199.5,189.05,190.1,190.1,239141
2006-02-24,192.15,192.15,182.0,184.1,184.1,241252
2006-02-27,185.7,187.85,180.1,181.15,181.15,164125
2006-02-28,183.2,187.05,175.1,184.45,184.45,465563
2006-03-01,185.5,187.9,180.15,182.4,182.4,292694
2006-03-02,184.0,191.3,180.25,183.3,183.3,373129
2006-03-03,182.0,186.0,180.6,181.35,181.35,182357
2006-03-06,215.5,215.5,181.05,181.9,181.9,206990
2006-03-07,183.55,192.9,182.55,188.25,188.25,509070
2006-03-08,189.3,203.0,184.0,196.0,196.0,1257441
2006-03-09,196.4,199.0,187.15,188.75,188.75,350006
2006-03-10,189.55,191.35,182.3,183.8,183.8,194254
2006-03-13,183.55,186.05,176.55,179.85,179.85,220104
2006-03-14,182.25,189.95,177.85,183.45,183.45,599530
2006-03-16,185.5,194.4,183.55,188.35,188.35,782809
2006-03-17,189.0,191.6,181.0,182.15,182.15,148370
2006-03-20,184.25,184.5,180.0,181.55,181.55,123730
2006-03-21,183.45,185.5,179.0,180.7,180.7,166882
2006-03-22,181.0,182.7,173.5,175.4,175.4,116474
2006-03-23,177.9,182.6,174.25,176.25,176.25,148729
2006-03-24,175.9,178.95,172.55,173.3,173.3,100973
2006-03-27,182.9,188.95,170.15,185.3,185.3,551176
2006-03-28,187.1,207.8,185.0,196.7,196.7,2393702
2006-03-29,199.0,204.65,194.25,195.6,195.6,682708
2006-03-30,197.0,202.9,193.5,199.15,199.15,620746
2006-03-31,200.0,217.5,195.55,213.7,213.7,2055086
2006-04-03,216.8,222.2,212.6,214.6,214.6,667934
2006-04-04,217.0,218.0,208.1,209.8,209.8,314204
2006-04-05,209.05,215.0,208.0,210.35,210.35,235952
2006-04-07,213.3,216.0,194.05,201.9,201.9,358156
2006-04-10,207.0,212.0,201.4,204.2,204.2,198176
2006-04-12,208.0,208.0,187.25,189.4,189.4,265844
2006-04-13,191.95,191.95,180.25,183.0,183.0,160803
2006-04-17,185.0,189.4,183.55,184.55,184.55,84155
2006-04-18,188.85,190.0,185.0,186.2,186.2,77687
2006-04-19,191.9,191.9,181.75,182.5,182.5,79620
2006-04-20,186.25,186.25,181.0,183.05,183.05,56856
2006-04-21,184.75,197.0,183.0,191.45,191.45,467231
2006-04-24,191.9,191.9,184.0,184.95,184.95,105968
2006-04-25,185.9,198.45,185.2,195.85,195.85,377434
2006-04-26,196.75,220.75,191.0,215.0,215.0,1591037
2006-04-27,217.6,228.9,212.55,214.05,214.05,1215141
2006-04-28,212.0,212.0,172.1,207.65,207.65,406011
2006-05-02,214.5,216.0,210.0,211.75,211.75,254314
2006-05-03,213.0,213.6,206.0,207.75,207.75,120321
2006-05-04,209.75,212.8,200.95,203.35,203.35,146173
2006-05-05,208.0,218.0,205.0,210.5,210.5,645599
2006-05-08,212.75,215.0,205.0,205.65,205.65,113992
2006-05-09,207.0,208.3,202.2,203.9,203.9,88374
2006-05-10,204.5,214.5,204.0,206.05,206.05,255341
2006-05-11,207.0,209.0,201.0,202.25,202.25,99438
2006-05-12,202.9,205.75,194.2,195.3,195.3,134262
2006-05-15,197.45,205.0,185.25,187.3,187.3,112077
2006-05-16,190.75,190.75,165.65,178.05,178.05,175186
2006-05-17,180.0,191.85,180.0,189.4,189.4,109221
2006-05-18,186.25,186.4,166.0,171.75,171.75,139156
2006-05-19,178.0,182.65,154.0,159.0,159.0,93007
2006-05-22,162.0,162.0,127.2,147.85,147.85,97022
2006-05-23,158.0,158.0,132.2,153.95,153.95,74901
2006-05-24,160.0,165.7,150.05,155.9,155.9,74541
2006-05-25,157.0,157.0,147.5,152.15,152.15,41337
2006-05-26,158.0,162.5,155.0,156.35,156.35,54268
2006-05-29,154.25,163.5,154.25,156.6,156.6,35799
2006-05-30,155.5,161.75,153.25,155.65,155.65,59802
2006-05-31,153.1,153.1,142.0,144.95,144.95,64687
2006-06-01,150.0,151.5,134.3,135.9,135.9,60402
2006-06-02,140.0,140.0,125.0,131.9,131.9,57262
2006-06-05,138.3,138.3,128.2,129.4,129.4,48929
2006-06-06,130.0,130.0,120.1,124.4,124.4,36299
2006-06-07,122.0,123.9,99.55,101.0,101.0,178643
2006-06-08,99.1,99.1,84.9,87.35,87.35,155546
2006-06-09,76.1,104.85,76.1,102.1,102.1,186723
2006-06-12,110.0,110.0,95.55,97.3,97.3,133269
2006-06-13,86.2,94.4,85.25,89.0,89.0,67899
2006-06-14,94.0,96.9,72.25,84.8,84.8,82710
2006-06-15,94.0,94.0,86.7,90.9,90.9,77701
2006-06-16,94.5,101.1,93.8,95.0,95.0,180004
2006-06-19,85.95,94.75,85.95,93.25,93.25,110577
2006-06-20,90.0,97.9,90.0,93.45,93.45,93616
2006-06-21,93.95,101.0,93.9,97.75,97.75,216560
2006-06-22,101.8,104.0,100.0,100.9,100.9,142744
2006-06-23,99.8,109.45,97.0,106.25,106.25,266132
2006-06-26,113.5,120.8,102.55,104.95,104.95,566298
2006-06-27,102.95,107.6,98.6,101.75,101.75,239409
2006-06-28,100.85,105.0,97.0,100.45,100.45,135884
2006-06-29,101.0,104.8,99.2,100.05,100.05,65939
2006-06-30,101.25,102.9,96.6,97.7,97.7,33510
2006-07-03,97.0,100.0,96.05,97.05,97.05,15558
2006-07-04,97.5,98.45,92.2,94.15,94.15,20729
2006-07-05,95.0,95.25,92.5,93.0,93.0,14884
2006-07-06,92.0,94.0,91.5,92.55,92.55,14250
2006-07-07,94.0,95.4,89.2,90.5,90.5,29417
2006-07-10,91.0,91.0,86.0,88.75,88.75,16818
2006-07-11,89.05,90.8,86.1,86.65,86.65,9005
2006-07-12,88.75,88.75,84.0,85.2,85.2,10776
2006-07-13,85.05,88.0,85.05,86.85,86.85,7321
2006-07-14,85.5,87.0,83.0,85.35,85.35,5613
2006-07-17,86.4,87.75,84.15,85.15,85.15,7547
2006-07-18,85.2,86.0,82.05,82.5,82.5,8938
2006-07-19,85.9,86.0,78.4,78.4,78.4,12282
2006-07-20,80.0,80.0,74.5,76.45,76.45,19949
2006-07-21,73.5,75.0,72.65,72.9,72.9,10799
2006-07-24,74.0,74.0,69.25,69.55,69.55,12975
2006-07-25,70.0,73.05,69.0,73.05,73.05,15555
2006-07-26,75.95,76.7,74.9,76.7,76.7,7466
2006-07-27,79.7,80.55,77.1,79.65,79.65,23535
2006-07-28,79.5,81.6,78.0,78.35,78.35,10107
2006-07-31,79.0,80.85,78.0,79.25,79.25,8526
2006-08-01,79.0,79.9,76.0,77.15,77.15,9057
2006-08-02,78.0,79.25,75.5,78.45,78.45,9363
2006-08-03,77.0,80.5,77.0,79.35,79.35,8985
2006-08-04,81.0,81.0,78.15,78.8,78.8,6390
2006-08-07,78.25,79.5,75.05,78.0,78.0,5011
2006-08-08,77.75,79.6,77.75,78.3,78.3,5443
2006-08-09,78.0,82.25,78.0,82.25,82.25,14330
2006-08-10,81.0,86.4,81.0,86.25,86.25,20248
2006-08-11,88.15,90.6,85.15,90.6,90.6,32511
2006-08-14,91.7,95.15,91.0,95.15,95.15,15722
2006-08-16,99.4,99.95,98.05,99.05,99.05,35037
2006-08-17,102.0,103.0,94.1,96.3,96.3,27907
2006-08-18,95.25,99.9,95.25,96.75,96.75,17072
2006-08-21,98.7,99.0,95.0,95.35,95.35,9074
2006-08-22,97.85,97.85,94.0,94.65,94.65,7174
2006-08-23,96.5,98.0,93.05,95.55,95.55,19541
2006-08-24,94.5,98.0,93.2,97.55,97.55,17251
2006-08-25,98.0,99.5,96.0,97.2,97.2,21825
2006-08-28,99.5,102.0,98.0,100.65,100.65,48731
2006-08-29,102.9,103.8,100.1,100.85,100.85,28504
2006-08-30,102.45,102.45,98.2,98.7,98.7,18713
2006-08-31,101.5,102.0,95.25,95.65,95.65,23276
