Date,Open,High,Low,Close,Adj Close,Volume
2019-01-25,225.0,225.0,213.75,213.75,213.75,217384
2019-01-28,203.1,203.1,203.1,203.1,203.1,2130
2019-01-29,192.95,192.95,192.95,192.95,192.95,59194
2019-01-30,183.35,183.35,183.35,183.35,183.35,2179
2019-01-31,174.2,174.2,174.2,174.2,174.2,5115
2019-02-01,165.5,165.5,165.5,165.5,165.5,8937
2019-02-04,157.25,157.25,157.25,157.25,157.25,3202
2019-02-05,149.4,149.4,149.4,149.4,149.4,6256
2019-02-06,141.95,141.95,141.95,141.95,141.95,3229
2019-02-07,134.9,134.9,134.9,134.9,134.9,58772
2019-02-08,121.45,148.35,121.45,147.75,147.75,12812246
2019-02-11,152.0,154.4,136.3,149.05,149.05,1764756
2019-02-12,144.05,147.5,134.15,134.3,134.3,878739
2019-02-14,129.7,139.75,127.0,133.0,133.0,480756
2019-02-15,130.1,134.3,121.5,127.55,127.55,404825
2019-02-18,127.55,130.0,123.1,128.2,128.2,447503
2019-02-19,126.75,141.0,125.55,137.45,137.45,1479368
2019-02-20,141.0,144.0,138.0,140.2,140.2,857610
2019-02-21,142.05,143.0,138.0,138.95,138.95,407282
2019-02-22,138.1,148.9,137.5,144.9,144.9,430634
2019-02-25,144.1,152.8,144.1,148.05,148.05,380183
2019-02-26,146.5,147.1,139.0,142.65,142.65,295291
2019-02-27,143.5,147.4,138.7,140.05,140.05,429697
2019-02-28,142.8,146.4,139.95,142.5,142.5,228544
2019-03-01,142.9,150.0,142.1,148.65,148.65,2094325
2019-03-05,149.0,153.8,146.25,148.15,148.15,1524607
2019-03-06,148.05,162.95,148.0,162.85,162.85,1138679
2019-03-07,163.0,163.0,155.05,156.0,156.0,321301
2019-03-08,157.1,158.0,152.0,153.9,153.9,153631
2019-03-11,157.0,158.45,153.05,154.4,154.4,207742
2019-03-12,155.9,159.4,155.0,156.05,156.05,184832
2019-03-13,157.7,157.7,152.1,154.85,154.85,322101
2019-03-14,157.0,170.3,154.05,169.45,169.45,2593072
2019-03-15,171.0,173.7,160.6,163.2,163.2,1610890
2019-03-18,164.85,167.8,159.5,160.1,160.1,273503
2019-03-19,161.8,168.3,160.25,162.75,162.75,650327
2019-03-20,164.85,164.85,159.5,161.35,161.35,190735
2019-03-22,162.4,162.7,156.6,157.6,157.6,345400
2019-03-25,155.0,159.5,154.5,155.55,155.55,126540
2019-03-26,157.0,165.7,155.1,161.5,161.5,360728
2019-03-27,160.5,165.45,156.8,160.1,160.1,253214
2019-03-28,160.1,164.9,157.1,159.3,159.3,174256
2019-04-01,161.25,168.75,161.25,163.05,163.05,400110
2019-04-02,164.4,164.4,160.1,160.65,160.65,100836
2019-04-03,161.5,168.25,160.8,163.15,163.15,384366
2019-04-04,163.65,165.4,158.2,160.5,160.5,210828
2019-04-05,162.7,166.65,161.7,164.25,164.25,188695
2019-04-08,165.0,166.8,160.2,160.95,160.95,115393
2019-04-09,160.65,161.7,158.0,159.4,159.4,122902
2019-04-10,158.6,164.4,158.4,159.65,159.65,253495
