Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,6.58,6.58,6.11,6.33,3.7,46890
2002-07-02,6.11,6.56,6.0,6.03,3.52,38070
2002-07-03,6.11,6.22,5.89,5.89,3.44,13476
2002-07-04,6.11,6.11,5.83,5.86,3.42,18748
2002-07-05,5.92,6.08,5.83,5.83,3.41,14227
2002-07-08,5.31,6.67,5.31,5.97,3.49,17434
2002-07-09,6.28,6.28,5.83,5.97,3.49,18729
2002-07-10,6.0,6.11,5.83,5.94,3.47,21042
2002-07-11,5.61,5.81,5.61,5.69,3.33,5760
2002-07-12,5.83,6.0,5.83,5.97,3.49,6030
2002-07-15,6.06,6.06,5.75,5.81,3.39,13230
2002-07-16,6.94,6.94,5.64,5.67,3.31,16387
2002-07-17,5.64,5.78,5.53,5.58,3.26,12601
2002-07-18,5.78,6.03,5.58,5.72,3.34,17467
2002-07-19,5.58,5.72,5.56,5.56,3.25,7563
2002-07-22,5.61,5.61,5.44,5.5,3.21,5940
2002-07-23,5.81,6.0,5.81,5.83,3.41,9990
2002-07-24,5.69,5.86,5.67,5.67,3.31,11473
2002-07-25,5.58,5.75,5.44,5.58,3.26,8328
2002-07-26,5.5,5.53,5.44,5.5,3.21,6253
2002-07-29,5.5,5.72,5.25,5.39,3.15,5373
2002-07-30,5.19,5.5,5.19,5.33,3.12,4320
2002-07-31,5.14,5.28,5.0,5.28,3.08,13005
2002-08-01,5.08,5.28,5.08,5.17,3.02,6120
2002-08-02,4.97,5.28,4.97,5.19,3.03,5175
2002-08-05,5.28,5.33,5.17,5.22,3.05,9180
2002-08-06,5.44,5.56,5.44,5.56,3.25,8820
2002-08-07,5.47,5.81,5.47,5.56,3.25,12508
2002-08-08,5.47,5.56,5.47,5.53,3.23,5940
2002-08-09,5.5,5.78,5.47,5.5,3.21,14175
2002-08-12,5.67,5.83,5.44,5.83,3.41,11014
2002-08-13,5.81,5.81,5.61,5.61,3.28,901
2002-08-14,5.42,5.56,5.42,5.56,3.25,9360
2002-08-15,5.56,5.56,5.56,5.56,3.25,0
2002-08-16,5.11,5.19,4.92,5.11,3.39,15480
2002-08-19,5.11,5.17,5.0,5.0,3.32,2881
2002-08-20,5.08,5.08,4.89,4.89,3.25,28647
2002-08-21,4.94,4.97,4.89,4.94,3.28,11610
2002-08-22,4.89,4.97,4.89,4.97,3.3,2160
2002-08-23,4.78,4.78,4.61,4.64,3.08,2340
2002-08-26,4.58,4.78,4.5,4.78,3.17,2883
2002-08-27,4.89,4.89,4.5,4.58,3.04,3061
2002-08-28,4.72,4.72,4.47,4.47,2.97,3834
2002-08-29,4.72,4.72,4.53,4.53,3.01,1080
2002-08-30,4.56,4.56,4.56,4.56,3.02,900
2002-09-02,4.47,4.86,4.47,4.86,3.23,3060
2002-09-03,4.75,4.75,4.56,4.61,3.06,9039
2002-09-04,4.53,4.64,4.5,4.64,3.08,1627
2002-09-05,4.67,4.81,4.67,4.81,3.19,1980
2002-09-06,4.69,4.69,4.58,4.58,3.04,4320
2002-09-09,4.58,4.58,4.58,4.58,3.04,0
2002-09-10,4.58,4.58,4.58,4.58,3.04,0
2002-09-11,4.58,4.67,4.53,4.67,3.1,3780
2002-09-12,4.78,4.81,4.75,4.75,3.15,4968
2002-09-13,4.58,4.58,4.58,4.58,3.04,1800
2002-09-16,4.64,4.72,4.61,4.72,3.14,3474
2002-09-17,4.78,4.78,4.56,4.56,3.02,12141
2002-09-18,4.5,4.69,4.5,4.67,3.1,8100
2002-09-19,4.72,4.78,4.69,4.72,3.14,13320
2002-09-20,4.53,4.61,4.47,4.58,3.04,9655
2002-09-23,4.58,5.0,4.58,4.72,3.14,17715
2002-09-24,4.72,4.86,4.5,4.78,3.17,11179
2002-09-25,4.86,5.0,4.72,4.72,3.14,39240
2002-09-26,4.78,4.78,4.75,4.75,3.15,534
2002-09-27,4.67,4.78,4.67,4.75,3.15,1620
2002-09-30,4.78,5.0,4.72,5.0,3.32,13870
2002-10-01,4.72,5.03,4.67,5.0,3.32,24129
2002-10-02,5.0,5.0,5.0,5.0,3.32,0
2002-10-03,4.97,5.14,4.97,5.14,3.41,17820
2002-10-04,4.75,4.78,4.58,4.72,3.14,14221
2002-10-07,4.44,4.78,4.44,4.61,3.06,7650
2002-10-08,4.61,4.72,4.61,4.72,3.14,4878
2002-10-09,4.69,4.69,4.61,4.61,3.06,3780
2002-10-10,4.78,4.78,4.53,4.53,3.01,225
2002-10-11,4.58,4.61,4.58,4.61,3.06,1395
2002-10-14,5.28,5.28,4.5,4.83,3.21,10
2002-10-15,4.83,4.83,4.83,4.83,3.21,0
2002-10-16,4.89,4.89,4.67,4.67,3.1,900
2002-10-17,4.61,4.67,4.47,4.47,2.97,4696
2002-10-18,4.72,4.72,4.72,4.72,3.14,540
2002-10-21,4.5,4.72,4.47,4.5,2.99,5760
2002-10-22,4.53,4.72,4.53,4.56,3.02,2880
2002-10-23,4.56,4.56,4.56,4.56,3.02,0
2002-10-24,4.56,4.56,4.5,4.53,3.01,7290
2002-10-25,4.47,4.47,4.44,4.44,2.95,817
2002-10-28,4.33,4.5,4.28,4.44,2.95,4320
2002-10-29,4.44,4.72,4.36,4.44,2.95,4681
2002-10-30,4.44,4.58,4.44,4.44,2.95,2700
2002-10-31,4.44,4.5,4.44,4.47,2.97,3960
2002-11-01,4.44,4.56,4.44,4.56,3.02,5889
2002-11-04,4.56,4.56,4.56,4.56,3.02,88
2002-11-05,4.72,4.72,4.72,4.72,3.14,900
2002-11-06,4.72,4.72,4.72,4.72,3.14,0
2002-11-07,4.72,4.72,4.58,4.72,3.14,1373
2002-11-08,4.61,4.61,4.61,4.61,3.06,900
2002-11-11,4.61,4.64,4.61,4.61,3.06,90
2002-11-12,4.5,4.67,4.5,4.56,3.02,1035
2002-11-13,4.53,4.53,4.53,4.53,3.01,900
2002-11-14,4.47,4.53,4.47,4.5,2.99,2070
2002-11-15,4.58,4.58,4.56,4.56,3.02,2878
2002-11-18,4.56,4.58,4.56,4.58,3.04,1600
2002-11-19,4.58,4.58,4.58,4.58,3.04,0
2002-11-20,4.5,4.64,4.5,4.56,3.02,7020
2002-11-21,4.61,4.61,4.5,4.56,3.02,2880
2002-11-22,4.56,4.61,4.56,4.61,3.06,5760
2002-11-25,4.53,4.64,4.5,4.56,3.02,9387
2002-11-26,4.61,4.81,4.58,4.72,3.14,7696
2002-11-27,4.69,4.83,4.69,4.69,3.12,7560
2002-11-28,4.69,4.97,4.69,4.94,3.28,3240
2002-11-29,4.94,5.33,4.81,4.94,3.28,7383
2002-12-02,5.11,5.11,4.78,4.86,3.23,11700
2002-12-03,4.69,4.89,4.69,4.78,3.17,4320
2002-12-04,4.72,4.72,4.61,4.61,3.06,3600
2002-12-05,4.69,4.89,4.69,4.78,3.17,1720
2002-12-06,4.72,4.75,4.72,4.75,3.15,597
2002-12-09,4.69,4.83,4.69,4.72,3.14,1188
2002-12-10,4.69,4.81,4.69,4.72,3.14,6120
2002-12-11,4.72,4.72,4.69,4.69,3.12,1890
2002-12-12,4.69,4.69,4.69,4.69,3.12,0
2002-12-13,4.92,4.94,4.72,4.75,3.15,2257
2002-12-16,4.69,4.92,4.69,4.92,3.26,2160
2002-12-17,4.69,4.81,4.69,4.81,3.19,4860
