Date,Open,High,Low,Close,Adj Close,Volume
2007-08-28,39.95,40.65,38.05,38.25,28.55,88698
2007-08-29,32.75,40.2,32.75,39.5,29.48,12860
2007-08-30,39.5,41.5,39.5,40.1,29.93,10590
2007-08-31,40.0,40.0,39.05,39.1,29.18,4695
2007-09-03,39.0,41.65,39.0,39.6,29.56,7765
2007-09-04,41.2,41.4,39.5,41.4,30.9,7043
2007-09-05,43.9,43.9,40.7,41.1,30.68,6497
2007-09-06,42.0,42.0,41.0,41.25,30.79,6874
2007-09-07,42.0,42.0,40.6,40.6,30.3,5201
2007-09-10,40.6,42.6,40.6,41.85,31.24,15358
2007-09-11,42.0,44.0,42.0,43.25,32.28,32393
2007-09-12,45.0,48.8,42.75,43.0,32.1,50346
2007-09-13,44.0,44.0,43.1,43.1,32.17,10147
2007-09-14,44.5,44.5,42.85,42.85,31.98,19158
2007-09-17,42.2,44.0,42.2,43.95,32.8,9830
2007-09-18,44.35,44.35,43.7,43.75,32.66,5529
2007-09-19,43.25,45.0,43.25,44.55,33.25,23449
2007-09-20,44.3,45.0,44.3,44.5,33.21,14097
2007-09-21,45.4,48.5,44.0,44.8,33.44,52785
2007-09-24,45.45,47.5,45.0,47.2,35.23,37066
2007-09-25,48.5,48.95,46.75,47.0,35.08,31314
2007-09-26,47.0,47.95,46.5,46.5,34.71,11287
2007-09-27,47.0,55.0,46.0,47.1,35.16,73874
2007-09-28,51.9,52.0,47.85,48.0,35.83,89859
2007-10-01,49.7,49.7,48.25,48.75,36.39,34301
2007-10-03,51.0,51.0,46.2,46.75,34.89,42178
2007-10-04,48.5,48.5,38.6,46.65,34.82,13235
2007-10-05,46.05,47.0,45.5,45.95,34.3,18509
2007-10-08,51.8,53.75,49.0,49.7,37.1,378440
2007-10-09,49.4,50.25,47.7,49.3,36.8,92856
2007-10-10,50.5,53.5,48.9,49.1,36.65,119201
2007-10-11,49.0,50.45,48.0,48.8,36.42,54597
2007-10-12,50.0,58.65,49.0,54.8,40.9,582981
2007-10-15,55.4,65.3,55.4,65.3,48.74,857052
2007-10-16,68.6,76.4,66.0,71.5,53.37,1478551
2007-10-17,65.0,71.7,64.3,68.6,51.2,434571
2007-10-18,70.35,75.0,62.7,63.5,47.4,331923
2007-10-19,63.0,68.6,59.0,59.0,44.04,178466
2007-10-22,59.65,60.5,54.1,56.8,42.4,71622
2007-10-23,57.0,61.0,57.0,59.0,44.04,79229
2007-10-24,61.0,63.6,59.3,60.5,45.16,143158
2007-10-25,60.0,62.5,58.1,59.0,44.04,95773
2007-10-26,58.85,61.0,58.35,59.9,44.71,45164
2007-10-29,61.0,62.0,56.25,58.0,43.29,73004
2007-10-30,57.25,58.85,54.0,55.1,41.13,97799
2007-10-31,56.0,59.4,51.25,57.6,42.99,92621
2007-11-01,59.0,62.0,55.05,55.05,41.09,42852
2007-11-02,58.8,58.8,55.0,57.0,42.54,40533
2007-11-05,57.5,60.7,55.1,57.05,42.58,103581
2007-11-06,57.9,58.9,55.0,55.0,41.05,36140
2007-11-07,56.0,56.5,54.0,55.9,41.72,50180
2007-11-08,55.0,59.1,54.5,55.8,41.65,75612
2007-11-12,55.0,55.0,52.35,53.9,40.23,27210
2007-11-13,53.75,58.5,53.75,56.0,41.8,62262
2007-11-14,58.95,60.75,57.3,58.45,43.63,150248
2007-11-15,57.0,62.9,57.0,58.6,43.74,118242
2007-11-16,58.0,65.0,56.25,62.0,46.28,180246
2007-11-19,61.95,70.9,61.95,68.0,50.76,384725
2007-11-20,71.0,74.2,61.2,64.2,47.92,345677
2007-11-21,64.0,68.0,58.05,60.0,44.78,188376
2007-11-22,58.7,61.0,50.6,55.1,41.13,114010
2007-11-23,59.9,60.8,56.15,59.5,44.41,47654
2007-11-26,61.0,64.0,60.45,60.6,45.23,36927
2007-11-27,60.0,60.75,58.1,59.3,44.26,29520
