Date,Open,High,Low,Close,Adj Close,Volume
2000-12-08,195.6,199.76,189.22,190.89,161.22,597770
2000-12-11,195.0,197.8,190.24,195.7,165.28,567735
2000-12-12,197.2,211.36,195.42,211.36,178.5,1307815
2000-12-13,216.0,225.8,212.4,215.05,181.62,2842845
2000-12-14,214.05,219.4,207.63,209.03,176.54,1143280
2000-12-15,211.8,214.8,197.27,199.94,168.86,2588770
2000-12-18,197.0,205.8,194.45,203.81,172.13,1627515
2000-12-19,203.05,204.75,193.6,194.46,164.23,1685070
2000-12-20,193.6,195.2,185.6,188.35,159.07,1361190
2000-12-21,185.4,185.4,175.4,178.85,151.05,1609240
2000-12-22,180.99,182.6,164.55,164.55,138.97,1105675
2000-12-25,164.55,164.55,164.55,164.55,138.97,0
2000-12-26,153.0,154.58,151.39,151.39,127.86,685545
2000-12-27,145.8,158.99,141.22,146.25,123.52,3743115
2000-12-28,149.0,156.5,149.0,153.29,129.46,1696795
2000-12-29,153.6,161.76,151.0,159.61,134.8,3101715
2001-01-01,160.0,166.4,158.6,161.61,136.49,3009285
2001-01-02,162.0,162.95,155.05,157.55,133.06,1888275
2001-01-03,157.4,157.4,149.0,151.07,127.59,2382535
2001-01-04,151.99,163.16,151.99,162.71,137.42,4337850
2001-01-05,164.0,175.73,163.27,175.73,148.41,6190900
2001-01-08,177.8,179.16,163.0,165.49,139.76,5941580
2001-01-09,164.2,170.0,158.0,166.39,140.52,3699275
2001-01-10,166.0,174.4,165.4,167.7,141.63,4544175
2001-01-11,167.98,170.53,163.02,164.25,138.72,2356160
2001-01-12,165.78,167.8,162.2,163.3,137.92,2430705
2001-01-15,165.0,169.8,159.68,168.49,142.3,3000145
2001-01-16,169.8,170.8,165.66,166.67,140.76,2043715
2001-01-17,169.5,170.38,165.6,166.61,140.71,1148490
2001-01-18,167.59,173.6,167.59,171.13,144.53,2388480
2001-01-19,173.4,184.82,173.0,183.76,155.19,6177650
2001-01-22,188.0,188.0,179.65,182.0,153.71,2512640
2001-01-23,180.6,183.8,175.46,176.65,149.19,2115210
2001-01-24,180.94,186.8,176.4,185.38,156.56,4490690
2001-01-25,185.18,186.0,170.55,177.14,149.6,5489815
2001-01-26,177.14,177.14,177.14,177.14,149.6,0
2001-01-29,174.2,174.2,163.0,168.62,142.41,1505145
2001-01-30,169.8,170.0,164.2,166.67,140.76,6260090
2001-01-31,167.8,167.8,157.61,159.21,134.46,9485835
2001-02-01,158.0,158.78,150.6,154.64,130.6,4199980
2001-02-02,153.8,161.18,152.26,153.88,129.96,6634860
2001-02-05,153.0,158.5,150.51,157.75,133.23,4999580
2001-02-06,158.75,162.8,158.0,160.79,135.8,5629230
2001-02-07,163.2,164.8,156.8,159.08,134.35,4015340
2001-02-08,156.2,161.75,155.0,160.39,135.46,2395610
2001-02-09,160.0,161.16,154.42,155.98,131.73,2781920
2001-02-12,154.8,157.4,154.14,156.37,132.06,1795835
2001-02-13,157.49,158.92,152.25,154.33,130.34,3725590
2001-02-14,153.5,155.2,151.06,153.23,129.41,1447455
2001-02-15,154.38,155.42,152.8,153.82,129.91,1429370
2001-02-16,154.6,159.02,152.4,154.21,130.24,5349910
2001-02-19,154.0,155.2,144.0,147.95,124.95,2337490
2001-02-20,149.18,152.39,148.4,149.41,126.18,3584010
