Date,Open,High,Low,Close,Adj Close,Volume
2018-03-27,343.95,343.95,326.8,326.8,307.69,847
2018-03-28,310.5,310.5,310.5,310.5,292.34,1008
2018-04-02,295.0,295.0,295.0,295.0,277.75,1162
2018-04-03,280.25,280.25,280.25,280.25,263.86,2777
2018-04-04,266.25,266.25,266.25,266.25,250.68,928
2018-04-05,252.95,252.95,252.95,252.95,238.16,1069
2018-04-06,240.35,240.35,240.35,240.35,226.29,2607
2018-04-09,228.35,228.35,228.35,228.35,214.99,3426
2018-04-10,216.95,216.95,216.95,216.95,204.26,1171
2018-04-11,206.15,206.15,206.15,206.15,194.09,3297
2018-04-12,195.85,195.85,195.85,195.85,184.4,2492
2018-04-13,186.1,186.1,186.1,186.1,175.22,3016
2018-04-16,176.8,176.8,176.8,176.8,166.46,2075
2018-04-17,170.0,170.0,168.0,168.0,158.17,5948
2018-04-18,159.6,159.6,159.6,159.6,150.27,4834
2018-04-19,151.65,159.0,151.65,151.65,142.78,4396488
2018-04-20,144.1,154.8,144.1,150.65,141.84,1746984
2018-04-23,148.5,150.0,144.25,146.85,138.26,537667
2018-04-24,148.85,148.85,145.6,146.05,137.51,345731
2018-04-25,146.95,147.0,142.7,143.7,135.3,230506
2018-04-26,145.9,145.9,142.55,144.45,136.0,302847
2018-04-27,145.2,146.0,138.1,140.45,132.24,133451
2018-04-30,140.1,147.45,140.0,147.45,138.83,288315
2018-05-02,154.8,154.8,150.55,154.65,145.6,592253
2018-05-03,160.0,160.0,150.3,151.5,142.64,156140
2018-05-04,154.7,154.7,147.5,152.65,143.72,105878
2018-05-07,153.75,157.95,149.0,149.65,140.9,83544
2018-05-08,150.0,151.0,148.0,149.55,140.8,89211
2018-05-09,152.4,155.5,149.5,153.85,144.85,122530
2018-05-10,155.0,156.0,148.1,150.25,141.46,208814
2018-05-11,153.95,154.95,149.3,153.85,144.85,76773
2018-05-14,156.0,156.0,151.2,151.8,142.92,150853
2018-05-15,150.0,154.7,150.0,153.6,144.62,60184
2018-05-16,150.15,153.95,150.15,150.6,141.79,31683
2018-05-17,152.0,154.0,149.15,149.7,140.94,63776
2018-05-18,149.0,152.0,148.5,149.5,140.76,73383
2018-05-21,149.5,152.75,144.0,144.5,136.05,76037
2018-05-22,145.0,148.0,144.0,144.9,136.43,20820
2018-05-23,144.95,149.95,139.05,140.0,131.81,51011
2018-05-24,145.75,146.25,139.1,139.7,131.53,29687
2018-05-25,145.5,146.5,139.25,139.9,131.72,74521
2018-05-28,141.5,145.0,139.0,139.95,131.76,37057
2018-05-29,140.0,140.0,133.0,133.0,125.22,110103
2018-05-30,128.0,139.65,126.35,136.95,128.94,132121
2018-05-31,138.0,138.0,131.0,133.65,125.83,31876
2018-06-01,132.0,139.2,132.0,136.3,128.33,11547
2018-06-04,137.0,139.5,133.0,133.2,125.41,14861
2018-06-05,135.45,135.45,126.75,129.05,121.5,28544
2018-06-06,131.0,133.9,129.0,129.5,121.93,15338
2018-06-07,130.0,134.7,128.1,130.1,122.49,21345
2018-06-08,133.9,133.9,128.9,129.9,122.3,17383
2018-06-11,130.1,132.95,128.95,129.05,121.5,40735
2018-06-12,129.0,129.0,126.0,126.5,119.1,50339
2018-06-13,129.0,129.0,125.0,127.0,119.57,565576
2018-06-14,127.0,127.0,124.05,125.0,117.69,41272
2018-06-15,124.3,125.0,120.0,120.9,113.83,304595
2018-06-18,126.9,126.9,120.5,120.9,113.83,29907
2018-06-19,121.0,124.8,120.05,121.8,114.68,10783
2018-06-20,123.1,125.0,122.2,123.3,116.09,20116
2018-06-21,126.0,126.0,118.15,119.35,112.37,45247
2018-06-22,120.0,123.4,117.5,118.4,111.48,44082
2018-06-25,119.0,121.95,113.55,114.85,108.13,45460
2018-06-26,120.0,120.0,114.0,115.45,108.7,13027
2018-06-27,114.0,118.0,113.0,114.7,107.99,34046
2018-06-28,111.05,118.0,111.05,115.05,108.32,21820
2018-06-29,119.75,120.8,115.0,120.0,112.98,231416
2018-07-02,126.0,126.0,119.0,119.85,112.84,13989
2018-07-03,120.0,125.0,119.0,123.0,115.81,15170
2018-07-04,124.9,124.9,120.0,120.25,114.46,4374
2018-07-05,122.85,122.95,117.05,118.0,112.32,12752
2018-07-06,117.0,117.95,113.05,114.75,109.22,26891
2018-07-09,115.5,119.45,115.5,117.0,111.36,10393
2018-07-10,117.0,118.5,114.55,115.1,109.56,39571
2018-07-11,115.0,117.5,110.25,112.95,107.51,24302
2018-07-12,114.6,117.75,112.05,116.2,110.6,7381
2018-07-13,116.0,118.25,114.55,116.2,110.6,7027
2018-07-16,116.0,116.5,110.4,110.6,105.27,53823
2018-07-17,110.25,114.9,108.0,110.7,105.37,26458
2018-07-18,111.0,113.95,105.9,108.1,102.89,29652
2018-07-19,108.1,112.9,102.7,104.9,99.85,36664
2018-07-20,106.0,108.0,101.1,103.75,98.75,20335
2018-07-23,103.75,108.8,102.1,107.0,101.85,9375
2018-07-24,106.6,112.35,106.5,112.35,106.94,43360
2018-07-25,112.0,117.95,112.0,117.95,112.27,37631
2018-07-26,117.9,123.8,117.9,122.1,116.22,36975
2018-07-27,123.25,126.9,123.0,124.3,118.31,24057
2018-07-30,127.0,127.9,122.0,123.5,117.55,20005
2018-07-31,121.0,122.55,117.5,118.65,112.93,11028
2018-08-01,121.75,124.0,117.05,117.7,112.03,12662
2018-08-02,119.95,121.75,116.0,120.35,114.55,11906
2018-08-03,120.0,123.0,118.6,122.45,116.55,28516
2018-08-06,127.8,127.8,121.7,122.5,116.6,28492
2018-08-07,124.0,134.65,123.1,127.85,121.69,96950
2018-08-08,128.0,129.3,122.55,123.25,117.31,55948
2018-08-09,127.75,127.75,120.3,121.4,115.55,34145
2018-08-10,121.0,121.15,118.4,120.3,114.51,22175
2018-08-13,122.0,122.0,117.0,117.85,112.17,20388
2018-08-14,119.8,120.0,117.05,118.25,112.55,13122
2018-08-16,119.7,120.95,118.3,119.65,113.89,14629
2018-08-17,118.05,121.45,118.05,119.05,113.32,14137
2018-08-20,118.5,120.4,117.1,117.55,111.89,22044
2018-08-21,119.45,120.35,117.45,118.0,112.32,16425
2018-08-23,118.0,119.5,117.0,118.5,112.79,16403
2018-08-24,118.5,119.5,118.15,118.85,113.12,8565
2018-08-27,117.25,127.0,117.25,123.75,117.79,38151
2018-08-28,127.5,136.35,123.75,131.7,125.36,118787
2018-08-29,139.0,139.0,127.05,127.9,121.74,57177
2018-08-30,127.0,131.0,126.0,127.85,121.69,23022
2018-08-31,129.6,129.6,120.5,121.25,115.41,77333
2018-09-03,121.25,124.5,121.25,122.15,116.27,32016
2018-09-04,123.0,124.0,120.05,121.3,115.46,46592
2018-09-05,122.8,123.0,119.45,119.85,114.08,25309
2018-09-06,120.0,123.0,120.0,120.9,115.08,17622
2018-09-07,121.0,124.0,117.35,122.9,116.98,23760
2018-09-10,123.95,123.95,120.05,120.3,114.51,20931
2018-09-11,121.05,124.9,119.3,123.0,117.08,8830
2018-09-12,122.5,122.5,116.6,120.0,114.22,22541
2018-09-14,121.9,123.1,120.1,122.05,116.17,10856
2018-09-17,122.0,122.0,116.8,118.15,112.46,34851
2018-09-18,116.35,120.45,116.25,118.4,112.7,13213
2018-09-19,120.0,120.0,114.6,115.6,110.03,25330
2018-09-21,119.0,119.0,105.8,109.35,104.08,71834
2018-09-24,112.7,112.9,106.1,108.05,102.85,16942
2018-09-25,107.0,110.05,106.0,109.1,103.84,22357
2018-09-26,109.0,112.0,107.9,109.05,103.8,16938
2018-09-27,107.05,114.0,102.55,103.25,98.28,34129
2018-09-28,104.6,104.7,99.3,100.85,95.99,49474
2018-10-01,104.5,105.0,98.0,102.0,97.09,28680
2018-10-03,102.1,105.5,100.8,100.95,96.09,13013
2018-10-04,103.7,104.0,98.6,100.95,96.09,43527
2018-10-05,100.0,103.0,99.05,100.9,96.04,20923
2018-10-08,100.9,103.0,98.5,99.6,94.8,16725
2018-10-09,99.8,102.5,98.5,99.85,95.04,12167
2018-10-10,103.0,103.0,97.0,102.15,97.23,13008
2018-10-11,99.0,102.0,96.0,97.8,93.09,38115
2018-10-12,98.1,102.75,98.1,99.55,94.75,27132
2018-10-15,99.25,100.45,97.9,99.4,94.61,22119
2018-10-16,99.95,100.0,98.1,99.65,94.85,14921
2018-10-17,102.3,102.3,98.3,99.65,94.85,17393
2018-10-19,101.4,101.4,94.0,96.6,91.95,30363
2018-10-22,99.0,99.1,95.1,95.55,90.95,12567
2018-10-23,96.0,96.3,94.0,95.35,90.76,54936
2018-10-24,98.0,98.0,95.0,96.1,91.47,21725
2018-10-25,96.0,101.4,95.05,97.0,92.33,40710
2018-10-26,98.0,98.0,94.7,95.3,90.71,15031
2018-10-29,96.0,98.5,95.5,97.9,93.18,12474
2018-10-30,97.85,101.25,97.0,100.55,95.71,10126
2018-10-31,100.55,101.4,99.0,99.95,95.14,7287
2018-11-01,100.1,101.4,99.25,101.4,96.52,9467
2018-11-02,101.0,102.95,98.85,101.45,96.56,19699
2018-11-05,102.85,103.5,101.1,101.45,96.56,5267
2018-11-06,106.95,106.95,101.2,102.05,97.13,18090
2018-11-07,104.15,113.0,104.15,107.6,102.42,7075
2018-11-09,111.0,112.9,106.3,108.9,103.65,12899
2018-11-12,105.3,110.55,105.1,107.35,102.18,5548
2018-11-13,103.55,111.0,103.55,109.3,104.03,4773
2018-11-14,110.0,114.0,109.0,112.8,107.37,19515
2018-11-15,113.95,116.0,112.0,112.9,107.46,17600
2018-11-16,111.5,114.0,111.1,113.25,107.79,9202
2018-11-19,113.95,114.0,112.0,112.95,107.51,8534
2018-11-20,113.0,113.95,105.4,105.9,100.8,16109
2018-11-21,106.25,107.85,103.6,105.6,100.51,9153
2018-11-22,105.5,109.0,103.0,105.0,99.94,22431
2018-11-26,99.1,113.7,99.1,106.8,101.66,26765
2018-11-27,106.0,106.0,101.95,103.0,98.04,62461
2018-11-28,105.0,105.45,99.55,100.0,95.18,33832
2018-11-29,100.0,102.4,99.05,101.05,96.18,15520
2018-11-30,103.6,103.6,101.0,101.2,96.33,28834
2018-12-03,102.5,103.0,99.1,99.8,94.99,8121
2018-12-04,101.5,101.75,99.8,99.95,95.14,20441
2018-12-05,102.85,102.85,98.0,98.35,93.61,6594
2018-12-06,98.0,99.3,96.0,97.95,93.23,7711
2018-12-07,102.75,102.75,95.6,96.6,91.95,24832
2018-12-10,96.6,97.5,94.65,95.0,90.42,19674
2018-12-11,95.0,96.15,94.4,95.05,90.47,21311
2018-12-12,96.5,99.0,96.0,96.85,92.18,13479
2018-12-13,95.35,100.05,95.35,96.85,92.18,49590
2018-12-14,95.5,99.0,95.5,97.95,93.23,15116
2018-12-17,96.6,97.5,94.8,96.3,91.66,42937
2018-12-18,96.75,96.95,94.0,94.9,90.33,28535
2018-12-19,94.25,99.0,94.25,95.9,91.28,28272
2018-12-20,96.45,97.75,94.5,95.65,91.04,26838
2018-12-21,96.8,96.8,94.5,95.0,90.42,13584
2018-12-24,96.45,96.45,94.0,94.9,90.33,12277
2018-12-26,93.0,95.25,93.0,95.0,90.42,2982
2018-12-27,97.65,97.65,92.55,93.55,89.04,20680
2018-12-28,94.0,94.5,92.85,93.75,89.23,20953
2018-12-31,93.55,94.0,93.5,94.0,89.47,572666
2019-01-01,94.05,94.05,92.6,92.95,88.47,38246
2019-01-02,92.55,94.0,92.1,93.1,88.62,16958
2019-01-03,92.45,94.25,90.45,92.35,87.9,20912
2019-01-04,92.05,93.0,91.35,92.3,87.85,7081
2019-01-07,92.05,93.95,91.5,91.65,87.24,8518
2019-01-08,93.0,93.0,91.7,92.2,87.76,15631
2019-01-09,93.45,94.0,90.5,90.8,86.43,12072
2019-01-10,91.95,93.0,90.5,90.9,86.52,13519
2019-01-11,92.6,92.6,90.4,90.65,86.28,15785
2019-01-14,90.0,91.6,86.5,88.6,84.33,50841
2019-01-15,88.25,89.1,87.05,88.05,83.81,35499
2019-01-16,88.95,104.6,88.2,96.8,92.14,83342
2019-01-17,103.0,105.0,99.5,100.0,95.18,69589
2019-01-18,100.2,100.2,96.4,97.45,92.76,8641
2019-01-21,99.8,99.8,91.65,94.2,89.66,12988
2019-01-22,97.0,99.8,95.5,96.0,91.38,27734
2019-01-23,95.55,96.25,93.0,93.95,89.42,27735
2019-01-24,94.05,94.4,91.75,92.2,87.76,10531
2019-01-25,91.55,93.75,88.65,89.25,84.95,22088
2019-01-28,89.15,89.15,85.1,85.8,81.67,28318
2019-01-29,88.7,88.8,85.5,85.9,81.76,99830
2019-01-30,86.95,91.8,85.4,90.65,86.28,78335
2019-01-31,92.0,104.2,89.7,90.7,86.33,36840
2019-02-01,92.95,92.95,87.0,88.5,84.24,21229
2019-02-04,90.15,90.15,86.0,88.05,83.81,12819
2019-02-05,88.4,89.5,85.15,85.55,81.43,18091
2019-02-06,86.65,90.0,82.8,86.65,82.48,25597
2019-02-07,86.05,87.7,85.95,86.8,82.62,5164
2019-02-08,86.8,87.4,85.0,87.0,82.81,38780
2019-02-11,86.55,88.15,83.05,84.4,80.33,28168
2019-02-12,84.85,87.0,84.75,84.9,80.81,6926
2019-02-14,85.25,85.5,82.8,85.15,81.05,13652
2019-02-15,84.55,84.55,80.7,81.55,77.62,54723
2019-02-18,84.65,84.65,78.5,79.85,76.0,52570
2019-02-19,80.05,82.5,79.75,80.25,76.38,11805
2019-02-20,81.5,83.0,80.0,82.1,78.15,37802
2019-02-21,81.5,83.4,80.55,80.9,77.0,39467
2019-02-22,81.95,82.0,80.85,81.5,77.57,49915
2019-02-25,81.95,87.55,81.95,86.95,82.76,35549
2019-02-26,86.0,96.3,84.0,91.45,87.04,59882
2019-02-27,90.85,94.2,88.0,90.75,86.38,32571
2019-02-28,90.3,90.9,88.95,89.65,85.33,9782
2019-03-01,90.95,93.55,90.3,92.05,87.62,51928
2019-03-05,94.0,94.0,91.5,93.4,88.9,17789
2019-03-06,93.0,100.0,93.0,97.5,92.8,83177
2019-03-07,97.15,98.25,96.95,97.8,93.09,20114
2019-03-08,98.9,100.0,95.5,98.55,93.8,65376
2019-03-11,98.95,99.9,97.75,98.25,93.52,58206
2019-03-12,98.85,100.05,98.0,99.0,94.23,67022
2019-03-13,99.95,100.5,95.55,96.85,92.18,23825
2019-03-14,98.0,98.25,95.2,95.6,90.99,73264
2019-03-15,97.45,98.0,94.55,96.25,91.61,33207
2019-03-18,95.6,99.8,94.2,94.85,90.28,19654
2019-03-19,95.05,96.3,93.75,94.4,89.85,22221
2019-03-20,94.2,95.1,92.75,93.05,88.57,14359
2019-03-22,92.05,94.4,92.05,93.55,89.04,7077
2019-03-25,93.95,93.95,90.05,90.6,86.24,10935
2019-03-26,91.85,92.0,88.0,89.1,84.81,17072
2019-03-27,89.45,89.95,86.4,87.55,83.33,32587
2019-03-28,87.05,87.1,84.95,85.3,81.19,65554
2019-04-01,85.95,89.4,84.1,84.9,80.81,2023044
2019-04-02,85.9,87.15,85.0,85.65,81.52,84709
2019-04-03,86.2,86.95,82.5,83.7,79.67,68887
2019-04-04,84.0,85.0,82.65,83.35,79.34,18060
2019-04-05,83.75,84.85,83.05,83.95,79.91,40288
2019-04-08,86.8,86.8,83.05,83.95,79.91,41196
2019-04-09,83.85,84.8,82.2,82.7,78.72,30784
2019-04-10,82.55,84.7,82.55,83.95,79.91,19979
2019-04-11,84.75,85.3,82.95,83.65,79.62,30734
2019-04-12,83.2,90.6,83.2,89.0,84.71,155594
2019-04-15,89.85,90.35,85.8,86.0,81.86,86337
2019-04-16,87.25,87.9,83.6,83.9,79.86,47887
2019-04-18,84.9,85.7,84.0,84.9,80.81,15904
2019-04-22,85.6,85.6,81.9,82.55,78.57,34568
2019-04-23,83.05,84.5,83.0,84.1,80.05,13481
2019-04-24,84.25,84.6,80.8,81.1,77.19,118137
2019-04-25,81.9,82.3,80.9,81.0,77.1,32599
2019-04-26,80.8,82.6,80.55,81.0,77.1,26023
2019-04-30,81.85,81.95,79.1,79.9,76.05,22346
2019-05-02,81.65,81.7,79.4,79.8,75.96,33893
2019-05-03,79.0,81.75,78.95,79.85,76.0,23410
2019-05-06,80.9,80.9,78.6,79.3,75.48,29442
2019-05-07,80.0,80.25,77.0,78.45,74.67,24606
2019-05-08,78.05,79.45,74.9,75.0,71.39,70571
2019-05-09,74.95,79.3,74.3,75.1,71.48,29971
2019-05-10,76.15,77.95,73.4,73.8,70.25,26639
2019-05-13,74.85,75.3,73.75,74.2,70.63,9129
2019-05-14,75.0,76.75,72.95,75.8,72.15,133170
2019-05-15,76.0,77.1,75.95,76.4,72.72,13781
2019-05-16,76.8,77.5,75.15,76.2,72.53,18994
2019-05-17,76.35,85.0,76.0,82.4,78.43,48793
2019-05-20,87.4,89.9,84.0,85.85,81.71,70260
2019-05-21,85.85,86.15,83.1,84.9,80.81,42377
2019-05-22,84.0,87.0,84.0,85.9,81.76,23772
2019-05-23,87.5,89.0,85.0,86.65,82.48,27950
2019-05-24,85.85,88.9,85.8,87.6,83.38,28208
2019-05-27,88.9,96.75,87.0,92.8,88.33,83563
2019-05-28,93.05,95.95,92.2,94.75,90.19,31946
