Date,Open,High,Low,Close,Adj Close,Volume
2005-02-18,8.2,8.4,7.93,7.97,6.41,183580
2005-02-21,8.28,8.48,7.81,7.88,6.33,136590
2005-02-22,7.6,7.99,7.6,7.68,6.18,41830
2005-02-23,7.7,7.78,7.5,7.61,6.12,42290
2005-02-24,7.0,8.39,6.11,7.99,6.42,242070
2005-02-25,7.8,8.0,7.75,7.78,6.25,22070
2005-02-28,8.07,8.1,7.43,7.66,6.15,20560
2005-03-01,7.53,7.8,7.45,7.8,6.27,62830
2005-03-02,7.8,8.1,7.65,7.77,6.25,20760
2005-03-03,7.78,8.19,7.75,7.91,6.36,50920
2005-03-04,8.05,8.2,7.85,7.9,6.35,23690
2005-03-07,8.05,8.1,7.93,8.01,6.44,59040
2005-03-08,8.06,8.19,7.71,7.8,6.27,231870
2005-03-09,7.9,7.96,7.6,7.7,6.19,13390
2005-03-10,7.7,7.86,7.7,7.72,6.21,78760
2005-03-11,7.97,8.29,7.82,8.02,6.44,108580
2005-03-14,8.1,8.18,7.82,7.88,6.33,45310
2005-03-15,7.99,8.1,7.75,7.82,6.28,37900
2005-03-16,7.9,8.1,7.8,7.84,6.3,61310
2005-03-17,8.04,8.04,7.74,7.85,6.31,16760
2005-03-18,7.75,7.89,7.55,7.57,6.08,27510
2005-03-21,7.55,7.67,7.41,7.47,6.0,21150
2005-03-22,7.54,7.54,7.15,7.24,5.82,40490
2005-03-23,7.14,7.55,7.09,7.34,5.9,60630
2005-03-24,7.25,7.25,7.0,7.0,5.63,38230
2005-03-28,7.1,7.22,6.8,7.03,5.65,20140
2005-03-29,7.0,7.0,6.83,6.84,5.5,23260
2005-03-30,6.99,6.99,6.82,6.82,5.48,1500
2005-03-31,7.35,7.9,6.95,7.61,6.11,31740
2005-04-01,7.6,7.6,7.32,7.39,5.94,27210
2005-04-04,7.5,7.7,7.12,7.2,5.79,34300
2005-04-05,7.26,7.41,7.24,7.34,5.9,14540
2005-04-06,7.5,7.69,7.24,7.5,6.03,68030
2005-04-07,7.52,7.53,7.4,7.4,5.95,12750
2005-04-08,7.5,7.7,7.4,7.54,6.06,46250
2005-04-11,7.55,7.89,7.55,7.64,6.14,85750
2005-04-12,7.85,7.85,7.53,7.65,6.15,16340
2005-04-13,7.63,7.63,7.5,7.5,6.03,4000
2005-04-15,7.25,7.5,7.1,7.18,5.78,22890
2005-04-18,7.0,7.42,6.9,7.41,5.95,18840
2005-04-19,7.4,7.57,7.32,7.38,5.93,36940
2005-04-20,7.5,8.4,7.2,7.52,6.04,44950
2005-04-21,7.5,7.7,7.4,7.41,5.95,106380
2005-04-22,7.89,8.29,7.65,7.8,6.27,156930
2005-04-25,7.98,8.22,7.97,8.07,6.49,104620
2005-04-26,8.15,8.3,8.1,8.15,6.55,151250
2005-04-27,8.15,8.2,7.7,7.78,6.25,98370
2005-04-28,7.9,7.99,7.78,7.84,6.3,52270
2005-04-29,7.98,7.99,7.7,7.82,6.29,31050
2005-05-02,7.89,7.9,7.5,7.57,6.08,52460
2005-05-03,7.51,7.78,7.51,7.68,6.18,11720
2005-05-04,7.78,7.8,7.57,7.78,6.25,34200
2005-05-05,8.0,8.0,7.76,7.78,6.26,67800
2005-05-06,7.8,7.9,7.79,7.89,6.34,35980
2005-05-09,8.0,8.02,7.9,7.96,6.4,68960
2005-05-10,8.0,8.2,7.9,7.91,6.35,134360
2005-05-11,7.9,8.01,7.84,7.95,6.39,127640
2005-05-12,8.29,9.4,8.05,9.18,7.37,628620
