Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,4.82,5.01,4.8,4.8,4.2,41500
2002-08-13,4.9,5.06,4.8,4.95,4.33,40000
2002-08-14,5.0,5.0,4.84,4.85,4.24,40100
2002-08-15,4.85,4.85,4.85,4.85,4.24,0
2002-08-16,4.95,4.95,4.72,4.87,4.26,38800
2002-08-19,4.8,5.05,4.78,4.86,4.25,8100
2002-08-20,4.83,4.94,4.8,4.83,4.23,8200
2002-08-21,5.4,5.4,4.8,4.87,4.26,8600
2002-08-22,4.96,5.06,4.82,4.97,4.35,10000
2002-08-23,4.96,4.96,4.82,4.84,4.24,3700
2002-08-26,4.82,4.94,4.8,4.82,4.22,8200
2002-08-27,5.0,5.0,4.72,4.79,4.19,1700
2002-08-28,4.71,4.79,4.7,4.7,4.11,1500
2002-08-29,4.6,4.8,4.6,4.7,4.11,15700
2002-08-30,4.7,4.74,4.52,4.63,4.05,15700
2002-09-02,4.8,5.03,4.8,4.93,4.31,24700
2002-09-03,4.79,4.95,4.73,4.8,4.2,2000
2002-09-04,4.82,4.87,4.82,4.84,4.24,4000
2002-09-05,4.89,4.89,4.73,4.75,4.16,3200
2002-09-06,4.85,4.85,4.71,4.74,4.15,15100
2002-09-09,4.82,4.85,4.71,4.72,4.13,6500
2002-09-10,4.72,4.72,4.72,4.72,4.13,0
2002-09-11,5.0,5.0,4.9,4.9,4.29,2000
2002-09-12,4.71,4.8,4.71,4.8,4.2,7000
2002-09-13,4.64,4.8,4.61,4.79,4.19,3800
2002-09-16,4.65,4.7,4.6,4.61,4.03,11500
2002-09-17,4.6,4.7,4.6,4.61,4.03,14000
2002-09-18,4.7,4.7,4.52,4.52,3.96,500
2002-09-19,4.5,4.5,4.45,4.49,3.93,8600
2002-09-20,4.4,4.49,4.2,4.31,3.77,35100
2002-09-23,4.1,4.3,4.1,4.3,3.76,17800
2002-09-24,4.05,4.2,4.03,4.2,3.68,3500
2002-09-25,4.0,4.27,4.0,4.27,3.74,12300
2002-09-26,4.1,4.1,4.1,4.1,3.59,2000
2002-09-27,3.8,4.1,3.8,4.1,3.59,4500
2002-09-30,3.91,4.0,3.9,3.96,3.47,13800
2002-10-01,3.6,4.11,3.6,3.95,3.46,5800
2002-10-02,3.95,3.95,3.95,3.95,3.46,0
2002-10-03,4.0,4.0,4.0,4.0,3.5,1000
2002-10-04,4.1,4.1,3.9,3.93,3.44,6200
2002-10-07,3.98,4.0,3.98,4.0,3.5,3000
2002-10-08,3.9,4.1,3.9,4.1,3.59,1700
2002-10-09,4.1,4.1,4.1,4.1,3.59,0
2002-10-10,3.65,3.96,3.65,3.95,3.46,30000
2002-10-11,3.9,3.95,3.9,3.94,3.45,3700
2002-10-14,3.89,3.9,3.84,3.84,3.36,23000
2002-10-15,3.84,3.84,3.84,3.84,3.36,0
2002-10-16,3.8,3.88,3.8,3.88,3.4,1500
2002-10-17,3.85,3.85,3.7,3.7,3.24,34000
2002-10-18,4.36,4.36,3.71,3.86,3.38,15700
2002-10-21,4.37,4.37,3.8,3.81,3.33,16500
2002-10-22,3.32,3.84,3.32,3.79,3.32,8000
2002-10-23,3.38,3.79,3.38,3.63,3.18,27500
2002-10-24,3.6,3.6,3.42,3.47,3.04,4700
2002-10-25,3.81,3.81,3.37,3.74,3.27,4000
2002-10-28,3.98,3.98,3.41,3.55,3.11,2700
2002-10-29,4.1,4.1,3.4,3.65,3.19,1100
2002-10-30,4.38,4.38,3.38,3.52,3.08,6700
2002-10-31,3.38,3.89,3.38,3.55,3.11,3200
2002-11-01,3.03,3.52,3.03,3.48,3.05,1800
2002-11-04,3.4,3.59,3.4,3.46,3.03,7300
2002-11-05,3.49,3.5,3.49,3.5,3.06,700
2002-11-06,3.5,3.5,3.5,3.5,3.06,0
2002-11-07,3.7,3.88,3.59,3.65,3.19,9000
2002-11-08,3.12,3.72,3.12,3.65,3.19,3000
2002-11-11,3.7,3.85,3.65,3.74,3.27,7100
2002-11-12,3.7,3.75,3.66,3.75,3.28,6200
2002-11-13,3.71,3.71,3.7,3.7,3.24,1900
2002-11-14,3.41,3.7,3.41,3.7,3.24,200
2002-11-15,3.7,3.7,3.5,3.5,3.06,600
2002-11-18,3.8,3.8,3.7,3.73,3.26,4000
2002-11-19,3.73,3.73,3.73,3.73,3.26,0
2002-11-20,3.51,4.0,3.51,3.62,3.17,700
2002-11-21,3.67,3.68,3.67,3.68,3.22,1000
2002-11-22,3.8,3.81,3.7,3.76,3.29,11100
2002-11-25,3.8,3.8,3.8,3.8,3.33,5600
2002-11-26,3.8,3.8,3.8,3.8,3.33,3000
2002-11-27,3.85,3.85,3.7,3.7,3.24,3700
2002-11-28,3.63,3.79,3.62,3.74,3.27,5200
2002-11-29,3.74,3.74,3.74,3.74,3.27,0
2002-12-02,3.75,4.1,3.75,3.98,3.48,18700
2002-12-03,3.83,4.23,3.8,3.86,3.38,6100
2002-12-04,3.9,3.99,3.7,3.99,3.49,4700
2002-12-05,3.83,3.98,3.76,3.92,3.43,7000
2002-12-06,3.75,3.92,3.75,3.9,3.41,800
2002-12-09,3.66,3.89,3.66,3.72,3.26,13500
2002-12-10,3.56,3.88,3.56,3.65,3.19,10900
2002-12-11,3.88,3.88,3.65,3.7,3.24,3300
2002-12-12,3.65,3.7,3.64,3.64,3.19,6200
2002-12-13,3.64,3.7,3.55,3.62,3.17,4900
2002-12-16,3.6,3.76,3.6,3.6,3.15,3300
2002-12-17,3.69,3.69,3.58,3.58,3.13,2200
2002-12-18,3.6,3.7,3.6,3.62,3.17,4500
2002-12-19,3.6,3.6,3.55,3.59,3.14,5000
2002-12-20,3.46,3.6,3.46,3.54,3.1,13700
2002-12-23,3.5,3.5,3.44,3.5,3.06,600
2002-12-24,3.48,3.48,3.41,3.47,3.04,700
2002-12-25,3.47,3.47,3.47,3.47,3.04,0
2002-12-26,3.58,3.59,3.49,3.54,3.1,8700
2002-12-27,3.5,3.58,3.41,3.42,2.99,4500
2002-12-30,3.5,3.5,3.4,3.4,2.98,5500
2002-12-31,3.4,3.41,3.37,3.4,2.98,8400
2003-01-01,3.4,3.53,3.4,3.43,3.0,5000
2003-01-02,3.63,3.65,3.48,3.6,3.15,2800
2003-01-03,3.6,3.6,3.44,3.56,3.12,1200
2003-01-06,3.23,3.68,3.23,3.35,2.93,8500
2003-01-07,3.41,3.5,3.41,3.5,3.06,1000
2003-01-08,3.57,3.57,3.4,3.4,2.98,1800
2003-01-09,3.34,3.45,3.34,3.45,3.02,2200
2003-01-10,3.54,3.54,3.3,3.3,2.89,1100
2003-01-13,3.4,3.58,3.32,3.32,2.91,5700
2003-01-14,3.32,3.32,3.11,3.12,2.73,7100
2003-01-15,3.11,3.19,3.1,3.19,2.79,5200
2003-01-16,3.16,3.2,3.06,3.06,2.68,9800
2003-01-17,3.05,3.09,2.95,2.96,2.59,11100
2003-01-20,3.02,3.31,3.02,3.16,2.77,37700
2003-01-21,3.26,3.27,3.12,3.13,2.74,22400
2003-01-22,3.17,3.24,3.16,3.2,2.8,7200
2003-01-23,3.2,3.2,3.1,3.12,2.73,6500
2003-01-24,3.06,3.06,2.95,2.95,2.58,19000
2003-01-27,2.92,2.96,2.85,2.86,2.5,19700
2003-01-28,2.89,2.89,2.77,2.86,2.5,17700
2003-01-29,2.8,2.88,2.77,2.77,2.42,1700
2003-01-30,2.8,2.84,2.8,2.83,2.48,5500
2003-01-31,2.76,2.82,2.7,2.77,2.42,20000
2003-02-03,2.9,2.9,2.9,2.9,2.54,800
2003-02-04,2.72,3.15,2.72,3.0,2.63,1500
2003-02-05,2.84,2.85,2.7,2.74,2.4,6200
2003-02-06,3.2,3.2,2.71,3.05,2.67,1500
2003-02-07,2.98,2.98,2.7,2.7,2.36,2900
2003-02-10,2.64,2.87,2.64,2.77,2.42,6200
2003-02-11,2.72,2.8,2.62,2.74,2.4,8000
2003-02-12,2.7,2.79,2.66,2.79,2.44,5700
2003-02-13,2.79,2.79,2.79,2.79,2.44,0
2003-02-14,2.73,2.73,2.73,2.73,2.39,500
2003-02-17,2.89,3.0,2.83,2.99,2.62,6600
2003-02-18,2.99,3.0,2.86,2.97,2.6,6000
2003-02-19,2.98,2.98,2.86,2.95,2.58,3000
2003-02-20,3.0,3.1,2.9,2.9,2.54,2500
2003-02-21,2.82,2.82,2.82,2.82,2.47,500
2003-02-24,2.8,2.8,2.8,2.8,2.45,500
2003-02-25,3.3,3.3,2.85,2.97,2.6,12800
2003-02-26,3.0,3.0,2.96,2.98,2.61,2700
2003-02-27,2.85,2.92,2.85,2.88,2.52,3700
2003-02-28,3.05,3.05,2.9,2.91,2.55,7200
2003-03-03,2.95,2.97,2.9,2.92,2.56,3300
2003-03-04,3.2,3.2,2.85,2.97,2.6,9100
2003-03-05,2.8,2.9,2.8,2.85,2.49,9500
2003-03-06,2.76,3.06,2.76,2.87,2.51,16100
2003-03-07,2.9,2.95,2.88,2.9,2.54,6300
2003-03-10,2.66,2.89,2.66,2.8,2.45,2500
2003-03-11,2.89,2.89,2.76,2.8,2.45,11900
2003-03-12,2.82,2.85,2.82,2.85,2.49,13100
2003-03-13,2.75,2.78,2.75,2.78,2.43,200
2003-03-14,2.78,2.78,2.78,2.78,2.43,0
2003-03-17,2.7,2.74,2.7,2.7,2.36,6300
2003-03-18,2.7,2.7,2.7,2.7,2.36,0
2003-03-19,2.65,2.75,2.6,2.71,2.37,9600
2003-03-20,2.69,2.8,2.65,2.75,2.41,7600
2003-03-21,2.75,2.75,2.75,2.75,2.41,0
2003-03-24,2.72,2.73,2.72,2.73,2.39,1200
2003-03-25,2.56,2.7,2.56,2.65,2.32,13000
2003-03-26,2.75,2.75,2.66,2.67,2.34,7800
2003-03-27,2.6,2.72,2.6,2.64,2.31,6200
2003-03-28,2.64,2.71,2.62,2.67,2.34,13700
2003-03-31,2.6,2.61,2.43,2.5,2.19,16100
2003-04-01,2.44,2.5,2.44,2.5,2.19,600
2003-04-02,2.6,2.6,2.5,2.56,2.24,2000
2003-04-03,2.67,2.68,2.56,2.61,2.28,2800
2003-04-04,2.44,2.88,2.44,2.57,2.25,1500
2003-04-07,2.74,2.74,2.7,2.7,2.36,4100
2003-04-08,2.65,2.76,2.65,2.72,2.38,12800
2003-04-09,2.59,2.66,2.56,2.6,2.28,4500
2003-04-10,2.6,2.6,2.55,2.55,2.23,3000
