Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,7.08,7.5,7.08,7.5,6.12,1750
2002-07-02,7.63,7.65,7.3,7.58,6.19,1655
2002-07-03,7.3,7.48,7.0,7.03,5.74,1300
2002-07-04,7.0,7.0,7.0,7.0,5.71,520
2002-07-05,7.18,7.18,6.5,6.5,5.3,900
2002-07-08,7.08,7.8,7.08,7.8,6.37,7310
2002-07-09,7.9,9.3,7.53,8.45,6.9,17921
2002-07-10,9.25,9.25,7.75,8.33,6.8,8538
2002-07-11,8.25,8.85,8.25,8.63,7.04,2428
2002-07-12,8.5,8.5,7.75,8.0,6.53,1749
2002-07-15,8.15,8.15,7.75,7.8,6.37,2975
2002-07-16,7.65,8.25,7.65,7.85,6.41,1755
2002-07-17,7.38,7.38,7.13,7.25,5.92,1800
2002-07-18,7.25,7.58,7.13,7.58,6.19,2850
2002-07-19,6.8,7.5,6.8,7.38,6.02,250
2002-07-22,7.25,7.45,7.0,7.05,5.75,2400
2002-07-23,7.13,7.5,7.13,7.5,6.12,800
2002-07-24,7.48,7.5,7.25,7.43,6.06,2227
2002-07-25,7.28,8.0,7.25,7.93,6.47,2177
2002-07-26,7.25,7.65,7.25,7.65,6.24,500
2002-07-29,7.65,7.65,7.65,7.65,6.24,0
2002-07-30,7.95,8.1,7.75,7.75,6.33,3100
2002-07-31,7.75,7.75,7.75,7.75,6.33,800
2002-08-01,7.75,7.75,7.75,7.75,6.33,101
2002-08-02,7.75,7.8,7.5,7.8,6.37,246
2002-08-05,7.95,7.95,7.95,7.95,6.49,400
2002-08-06,7.5,7.63,7.5,7.63,6.23,3350
2002-08-07,8.0,8.0,7.5,7.55,6.16,1400
2002-08-08,7.55,7.55,7.55,7.55,6.16,0
2002-08-09,7.65,7.93,7.65,7.93,6.47,340
2002-08-12,8.0,8.05,7.88,7.93,6.47,413
2002-08-13,7.93,7.95,7.93,7.95,6.49,800
2002-08-14,8.05,8.05,7.93,7.93,6.47,700
2002-08-15,7.93,7.93,7.93,7.93,6.47,0
2002-08-16,7.93,8.13,7.9,8.13,6.64,800
2002-08-19,7.93,7.93,7.93,7.93,6.47,200
2002-08-20,7.93,8.2,7.8,8.2,6.69,1100
2002-08-21,7.88,7.93,7.88,7.93,6.47,500
2002-08-22,7.88,7.88,7.88,7.88,6.43,100
2002-08-23,7.88,7.88,7.88,7.88,6.43,600
2002-08-26,7.9,7.93,7.75,7.75,6.33,2100
2002-08-27,7.88,7.88,7.88,7.88,6.43,1450
2002-08-28,7.88,7.9,7.88,7.9,6.45,600
2002-08-29,7.9,7.9,7.9,7.9,6.45,0
2002-08-30,7.88,7.88,7.88,7.88,6.43,1000
2002-09-02,7.7,7.7,7.7,7.7,6.28,1400
2002-09-03,7.63,7.63,7.63,7.63,6.23,1600
2002-09-04,7.63,7.63,7.63,7.63,6.23,50
2002-09-05,7.5,7.5,7.5,7.5,6.12,50
2002-09-06,7.58,7.58,7.55,7.55,6.16,450
2002-09-09,6.15,6.15,6.15,6.15,5.02,1
2002-09-10,6.15,6.15,6.15,6.15,5.02,0
2002-09-11,7.08,7.08,7.0,7.0,5.71,1150
2002-09-12,7.0,7.0,7.0,7.0,5.71,0
2002-09-13,7.0,7.13,7.0,7.05,5.75,1500
2002-09-16,7.0,7.0,7.0,7.0,5.71,200
2002-09-17,5.6,7.0,5.6,7.0,5.71,201
2002-09-18,5.65,6.88,5.65,6.88,5.62,301
2002-09-19,6.88,6.88,6.88,6.88,5.62,0
2002-09-20,6.88,6.88,6.88,6.88,5.62,0
2002-09-23,6.25,6.25,6.25,6.25,5.1,100
2002-09-24,6.25,6.25,6.25,6.25,5.1,0
2002-09-25,6.25,6.25,6.25,6.25,5.1,0
2002-09-26,6.25,6.25,6.25,6.25,5.1,0
2002-09-27,6.25,6.25,6.25,6.25,5.1,0
2002-09-30,6.25,6.25,6.25,6.25,5.1,0
2002-10-01,6.25,6.25,6.25,6.25,5.1,0
2002-10-02,6.25,6.25,6.25,6.25,5.1,0
2002-10-03,6.25,6.25,6.25,6.25,5.1,0
2002-10-04,6.25,6.25,6.25,6.25,5.1,0
2002-10-07,6.0,6.0,6.0,6.0,4.9,100
2002-10-08,5.0,5.0,5.0,5.0,4.08,1
2002-10-09,4.0,6.0,4.0,6.0,4.9,1401
2002-10-10,6.0,6.0,6.0,6.0,4.9,0
2002-10-11,6.0,6.0,6.0,6.0,4.9,0
2002-10-14,6.13,6.13,6.13,6.13,5.0,200
2002-10-15,6.13,6.13,6.13,6.13,5.0,0
2002-10-16,6.0,6.0,6.0,6.0,4.9,200
2002-10-17,6.0,6.0,6.0,6.0,4.9,0
2002-10-18,6.0,6.0,5.88,5.88,4.8,4000
