Date,Open,High,Low,Close,Adj Close,Volume
2021-03-26,292.0,296.35,255.0,277.8,277.8,4172010
2021-03-30,270.25,276.0,256.65,270.8,270.8,1667592
2021-03-31,270.0,278.5,261.6,273.7,273.7,610257
2021-04-01,276.1,281.45,271.1,273.35,273.35,253766
2021-04-05,273.0,273.95,263.1,264.85,264.85,152689
2021-04-06,266.0,272.5,261.3,263.4,263.4,175457
2021-04-07,264.95,271.65,261.0,264.85,264.85,271010
2021-04-08,266.05,269.7,262.1,267.35,267.35,173913
2021-04-09,268.0,270.4,264.1,265.2,265.2,111688
2021-04-12,260.0,263.8,247.6,250.0,250.0,172777
2021-04-13,252.75,264.0,252.75,256.3,256.3,97221
2021-04-15,256.3,260.85,254.0,257.05,257.05,186237
2021-04-16,256.0,259.85,254.05,255.95,255.95,121048
2021-04-19,251.0,252.4,245.5,249.95,249.95,91623
2021-04-20,250.3,254.35,243.55,251.7,251.7,132273
2021-04-22,248.0,251.95,245.55,250.1,250.1,82173
2021-04-23,249.75,253.1,248.0,248.95,248.95,95252
2021-04-26,250.0,251.8,245.6,246.3,246.3,59416
2021-04-27,247.0,248.4,245.45,247.0,247.0,67431
2021-04-28,247.0,253.95,247.0,250.55,250.55,157605
2021-04-29,251.9,253.45,247.25,249.95,249.95,88347
2021-04-30,249.65,250.7,247.4,249.95,249.95,499526
2021-05-03,248.7,251.45,246.55,250.0,250.0,176698
2021-05-04,249.0,251.5,244.75,246.3,246.3,67423
2021-05-05,246.4,248.9,245.0,246.15,246.15,94729
2021-05-06,248.4,248.4,240.6,241.35,241.35,92834
2021-05-07,241.35,245.0,238.25,239.85,239.85,169198
2021-05-10,240.2,241.55,233.55,234.8,234.8,181147
2021-05-11,234.8,242.35,233.0,240.6,240.6,218120
2021-05-12,238.05,246.5,238.05,241.65,241.65,200067
2021-05-14,242.05,243.0,237.5,237.7,237.7,110378
2021-05-17,238.0,240.9,238.0,238.95,238.95,40088
2021-05-18,239.5,242.0,239.05,240.15,240.15,54763
2021-05-19,240.0,241.8,238.1,238.85,238.85,49810
2021-05-20,239.0,240.0,237.3,237.65,237.65,46996
2021-05-21,239.9,240.35,238.0,238.5,238.5,52485
2021-05-24,238.5,239.9,236.75,237.55,237.55,57121
2021-05-25,238.0,239.2,235.65,235.95,235.95,83141
2021-05-26,236.0,238.6,236.0,236.7,236.7,105295
2021-05-27,237.5,239.55,237.0,237.25,237.25,89587
2021-05-28,234.8,234.8,225.0,225.15,225.15,294858
2021-05-31,227.0,227.0,220.2,220.4,220.4,174393
2021-06-01,221.0,228.0,221.0,223.35,223.35,137848
2021-06-02,223.25,225.9,219.0,221.45,221.45,139938
2021-06-03,225.9,225.9,222.4,224.55,224.55,120716
2021-06-04,225.0,230.45,223.5,226.8,226.8,185957
2021-06-07,228.0,247.65,225.65,234.25,234.25,631577
2021-06-08,236.2,237.55,226.6,227.95,227.95,322615
2021-06-09,228.8,233.2,226.6,228.95,228.95,194671
2021-06-10,229.5,233.1,229.15,231.7,231.7,141867
2021-06-11,232.8,234.1,229.05,229.7,229.7,112458
2021-06-14,231.4,232.5,222.0,223.4,223.4,304859
2021-06-15,224.5,228.3,224.5,225.8,225.8,121880
2021-06-16,224.7,226.5,223.5,223.9,223.9,77078
2021-06-17,222.0,225.5,222.0,222.45,222.45,61442
2021-06-18,223.0,225.5,219.05,223.3,223.3,117886
2021-06-21,222.0,225.0,220.3,222.4,222.4,79218
2021-06-22,223.2,227.15,222.4,223.35,223.35,101685
2021-06-23,224.2,225.5,222.5,223.05,223.05,78210
2021-06-24,223.5,224.35,221.0,221.2,221.2,45282
2021-06-25,222.5,231.15,220.1,220.95,220.95,478298
2021-06-28,222.45,225.2,221.0,222.55,222.55,58692
2021-06-29,224.0,224.0,220.65,221.25,221.25,79166
2021-06-30,221.25,225.8,220.0,221.35,221.35,148812
2021-07-01,221.35,224.0,220.85,221.25,221.25,64414
2021-07-02,222.95,222.95,220.9,221.15,221.15,46511
2021-07-05,221.0,222.65,220.5,220.8,220.8,70283
2021-07-06,221.4,222.0,220.1,220.35,220.35,88078
2021-07-07,220.0,222.0,211.5,211.95,211.95,357561
2021-07-08,214.65,217.4,212.0,212.75,212.75,115238
2021-07-09,212.5,217.0,212.1,215.3,215.3,83879
