Date,Open,High,Low,Close,Adj Close,Volume
2018-06-18,18.3,18.45,18.2,18.4,18.25,816000
2018-06-19,18.2,18.5,18.2,18.5,18.35,160000
2018-06-20,18.45,18.45,18.0,18.0,17.86,528000
2018-06-21,18.5,18.5,18.5,18.5,18.35,8000
2018-06-22,18.75,18.75,18.7,18.7,18.55,24000
2018-06-25,18.7,18.7,18.7,18.7,18.55,0
2018-06-26,18.5,18.6,18.5,18.6,18.45,192000
2018-06-27,18.2,18.2,18.2,18.2,18.06,8000
2018-06-28,18.0,18.4,18.0,18.0,17.86,64000
2018-06-29,18.4,18.4,18.4,18.4,18.25,16000
2018-07-02,18.3,18.35,18.0,18.0,17.86,144000
2018-07-03,18.3,18.35,18.3,18.3,18.16,304000
2018-07-04,18.3,18.3,18.3,18.3,18.16,224000
2018-07-05,18.35,18.35,18.35,18.35,18.2,8000
2018-07-06,18.35,18.35,18.35,18.35,18.2,0
2018-07-09,18.35,18.35,18.35,18.35,18.2,8000
2018-07-10,18.3,18.35,18.1,18.1,17.96,208000
2018-07-11,18.1,18.35,18.0,18.3,18.16,400000
2018-07-12,18.0,20.7,18.0,19.5,19.35,544000
2018-07-13,20.35,23.4,19.0,22.15,21.97,112000
2018-07-16,21.0,26.15,21.0,25.05,24.85,64000
2018-07-17,29.25,29.35,29.25,29.3,29.07,40000
2018-07-18,28.0,29.75,28.0,29.75,29.51,112000
2018-07-19,28.5,30.0,28.5,30.0,29.76,16000
2018-07-20,29.0,29.0,28.75,28.75,28.52,240000
2018-07-23,29.0,29.75,29.0,29.25,29.02,376000
2018-07-24,30.0,30.0,30.0,30.0,29.76,8000
2018-07-25,28.9,31.0,28.75,29.45,29.22,352000
2018-07-26,29.3,31.0,29.3,30.25,30.01,168000
2018-07-27,30.5,31.0,29.4,31.0,30.75,168000
2018-07-30,30.5,30.75,30.45,30.65,30.41,184000
2018-07-31,30.65,30.65,30.65,30.65,30.41,0
2018-08-01,30.75,30.85,30.75,30.8,30.56,128000
2018-08-02,30.8,30.8,30.8,30.8,30.56,0
2018-08-03,30.75,30.8,30.7,30.8,30.56,168000
2018-08-06,30.75,30.9,30.75,30.9,30.66,168000
2018-08-07,29.05,33.0,29.05,32.8,32.54,112000
2018-08-08,32.8,32.8,32.8,32.8,32.54,0
2018-08-09,32.8,32.8,32.8,32.8,32.54,0
2018-08-10,32.8,32.8,32.8,32.8,32.54,0
2018-08-13,32.8,32.8,32.8,32.8,32.54,0
2018-08-14,32.8,32.8,32.8,32.8,32.54,0
2018-08-16,32.8,32.8,32.8,32.8,32.54,0
2018-08-17,32.75,33.0,32.75,32.85,32.59,64000
2018-08-20,32.85,32.85,32.85,32.85,32.59,0
2018-08-21,30.1,30.1,30.1,30.1,29.86,8000
2018-08-23,30.1,30.1,30.1,30.1,29.86,0
