Date,Open,High,Low,Close,Adj Close,Volume
2020-03-09,160.5,168.52,160.5,168.52,168.19,833814
2020-03-11,176.95,176.95,160.1,161.35,161.03,1750736
2020-03-12,153.3,153.3,153.3,153.3,152.99,77238
2020-03-13,145.65,154.5,145.65,145.65,145.36,510090
2020-03-16,138.38,138.38,138.38,138.38,138.1,41272
2020-03-17,131.48,137.75,131.48,134.38,134.11,380126
2020-03-18,130.5,132.5,127.68,127.68,127.42,391210
2020-03-19,121.3,121.3,121.3,121.3,121.06,90458
2020-03-20,115.25,115.25,115.25,115.25,115.02,31164
2020-03-23,109.5,109.5,109.5,109.5,109.28,27914
2020-03-24,87.6,108.2,87.6,103.55,103.34,595554
2020-03-25,94.05,118.25,94.05,113.43,113.2,243040
2020-03-26,118.5,118.5,104.62,106.15,105.94,392618
2020-03-27,106.75,113.5,102.03,103.6,103.39,236976
2020-03-30,100.72,102.43,87.78,95.43,95.23,335078
2020-03-31,99.43,112.45,96.53,100.53,100.32,357620
2020-04-01,101.0,110.47,101.0,108.03,107.81,293168
2020-04-03,110.0,114.62,105.5,110.0,109.78,1125388
2020-04-07,111.75,132.0,111.75,132.0,131.74,349670
2020-04-08,148.5,155.73,137.5,141.43,141.14,415968
2020-04-09,146.85,155.55,142.5,155.18,154.87,1505448
2020-04-13,157.0,158.98,142.0,147.12,146.83,290822
2020-04-15,147.25,151.55,140.0,141.1,140.82,211012
2020-04-16,137.5,142.0,137.5,141.02,140.74,103896
2020-04-17,147.48,147.48,140.0,144.35,144.06,169170
2020-04-20,145.0,145.95,135.5,143.25,142.96,371928
2020-04-21,140.27,141.5,136.62,139.45,139.17,377210
2020-04-22,139.0,142.5,138.0,140.57,140.29,132256
2020-04-23,141.0,145.0,140.02,143.8,143.51,159980
2020-04-24,143.5,149.95,140.52,147.38,147.08,189094
2020-04-27,139.0,149.25,135.0,146.32,146.03,400002
2020-04-28,145.5,148.5,143.05,144.75,144.46,62856
2020-04-29,144.0,145.95,143.0,144.23,143.94,61790
2020-04-30,146.0,149.73,143.57,148.3,148.0,750658
2020-05-04,146.5,146.5,140.9,142.82,142.54,214774
2020-05-05,142.5,147.2,139.0,140.8,140.52,131422
2020-05-06,141.0,147.5,140.95,146.57,146.28,951442
2020-05-07,145.55,147.48,143.1,145.3,145.01,125518
2020-05-08,145.77,147.85,143.12,143.82,143.54,149776
2020-05-11,143.82,147.45,143.82,145.15,144.86,137626
2020-05-12,144.0,159.65,143.88,155.4,155.09,1216936
2020-05-13,159.0,167.48,157.5,163.68,163.35,907018
2020-05-14,160.55,162.45,155.5,157.2,156.89,443860
2020-05-15,159.0,166.35,156.98,162.93,162.6,428268
2020-05-18,163.5,164.57,152.5,153.85,153.54,196360
2020-05-19,157.4,159.0,153.62,154.88,154.57,150528
2020-05-20,152.5,159.95,152.5,158.8,158.48,130782
2020-05-21,158.32,166.0,158.25,161.82,161.5,212542
2020-05-22,162.48,163.57,159.82,160.8,160.48,119710
2020-05-26,160.8,164.4,159.62,161.8,161.48,111998
2020-05-27,162.0,163.5,157.25,161.23,160.9,207728
2020-05-28,161.35,162.48,157.25,158.02,157.71,137530
2020-05-29,159.48,162.02,153.07,155.85,155.54,397946
2020-06-01,157.45,160.77,155.25,156.25,155.94,181652
2020-06-02,157.95,163.38,156.0,160.43,160.1,371994
2020-06-03,161.8,173.5,158.05,168.5,168.16,770504
2020-06-04,172.1,175.2,169.0,171.27,170.93,501302
2020-06-05,171.5,173.5,162.5,164.57,164.25,428608
2020-06-08,164.7,167.35,158.5,159.75,159.43,534046
2020-06-09,160.18,166.0,160.0,163.2,162.87,440902
2020-06-10,162.5,164.0,159.5,161.77,161.45,282954
2020-06-11,161.5,163.5,158.93,161.07,160.75,268832
2020-06-12,156.0,167.5,152.62,165.57,165.24,489006
2020-06-15,164.0,168.5,160.75,164.95,164.62,350104
2020-06-16,165.55,168.85,159.1,162.02,161.7,286950
2020-06-17,162.5,168.98,160.5,166.82,166.49,465730
2020-06-18,168.0,183.75,167.35,171.15,170.81,1567428
2020-06-19,182.5,202.25,175.55,199.1,198.7,3306374
2020-06-22,215.0,238.9,211.57,238.9,238.42,3874568
2020-06-23,245.0,262.5,233.75,261.12,260.6,5096254
2020-06-24,266.45,266.45,235.02,235.02,234.56,1218784
2020-06-25,235.02,247.2,223.0,237.7,237.23,516500
2020-06-26,246.48,246.48,240.1,242.57,242.09,436702
2020-06-29,247.45,247.45,232.5,235.2,234.73,250418
2020-06-30,235.0,239.95,233.0,235.2,234.73,229094
2020-07-01,238.45,244.5,233.55,240.93,240.44,199484
2020-07-02,244.48,257.5,244.45,247.02,246.53,611744
2020-07-03,250.0,255.98,242.5,254.02,253.52,482308
2020-07-06,255.5,259.0,248.5,252.55,252.05,398994
2020-07-07,249.5,255.5,248.5,250.52,250.02,213254
2020-07-08,252.5,253.0,244.0,246.68,246.18,267046
2020-07-09,248.5,250.68,240.27,244.2,243.71,179704
2020-07-10,245.9,259.0,242.5,254.77,254.27,630148
2020-07-13,256.15,280.25,256.0,269.98,269.44,1141492
2020-07-14,272.35,277.35,254.43,267.55,267.02,621454
2020-07-15,264.08,294.3,264.08,292.1,291.52,2161988
2020-07-16,296.73,297.0,274.95,286.48,285.9,669158
2020-07-17,280.35,296.75,280.35,292.58,291.99,602396
2020-07-20,293.0,317.48,286.67,313.25,312.62,1529428
2020-07-21,314.98,328.5,292.5,295.33,294.74,1250852
2020-07-22,297.98,305.0,287.5,291.65,291.07,580700
2020-07-23,291.9,304.67,291.9,301.0,300.4,368242
2020-07-24,296.52,299.65,287.88,292.25,291.67,284860
2020-07-27,293.75,293.75,286.08,288.75,288.17,188366
2020-07-28,289.0,293.35,286.38,288.17,287.6,387518
2020-07-29,291.45,309.0,290.52,301.6,301.0,620876
2020-07-30,303.5,313.27,294.0,297.98,297.38,454128
2020-07-31,302.4,322.0,297.5,316.62,315.99,704494
2020-08-03,316.3,337.5,313.02,330.4,329.74,903296
2020-08-04,332.9,337.5,320.0,332.2,331.54,567898
2020-08-05,332.5,339.9,325.0,330.45,329.79,444516
2020-08-06,326.75,345.0,326.75,338.7,338.02,790808
2020-08-07,341.0,349.02,334.0,335.58,334.9,357662
2020-08-10,339.4,361.5,337.5,355.6,354.89,1449438
2020-08-11,370.0,375.0,342.55,351.88,351.17,1252180
2020-08-12,352.7,352.85,338.85,341.05,340.37,684592
2020-08-13,345.0,350.08,337.8,339.65,338.97,386118
2020-08-14,342.85,350.0,337.5,346.1,345.41,619064
2020-08-17,354.0,362.5,342.5,346.8,346.11,2228722
2020-08-18,346.8,353.48,311.2,326.42,325.77,1895844
2020-08-19,329.0,340.0,328.0,338.45,337.77,679912
2020-08-20,338.42,343.0,333.5,339.08,338.4,443356
2020-08-21,341.92,343.88,335.75,338.92,338.25,472438
2020-08-24,343.35,359.2,340.0,352.67,351.97,1127806
2020-08-25,360.0,364.5,348.0,350.8,350.1,825874
2020-08-26,353.92,356.62,347.5,349.05,348.35,368586
2020-08-27,350.0,353.35,341.1,343.98,343.29,369814
2020-08-28,347.0,350.5,340.5,344.23,343.54,356888
2020-08-31,345.42,348.05,315.0,317.2,316.57,1090828
2020-09-01,317.5,349.0,310.4,338.27,337.6,1105660
2020-09-02,340.5,345.0,333.0,335.65,334.98,457852
2020-09-03,336.0,341.38,332.5,334.6,333.93,355254
2020-09-04,325.5,336.0,320.77,332.08,331.41,463522
2020-09-07,334.45,338.23,329.0,336.92,336.25,278322
2020-09-08,337.5,343.45,332.5,336.65,335.98,272274
2020-09-09,333.0,338.55,330.0,335.88,335.2,340934
2020-09-10,339.0,344.25,337.6,342.08,341.39,319760
2020-09-11,343.77,348.5,340.05,347.25,346.56,302316
2020-09-14,349.5,367.5,349.17,362.12,361.4,1332862
2020-09-15,365.0,387.0,360.0,382.58,381.81,1624276
2020-09-16,390.0,390.0,371.55,373.6,372.85,549114
2020-09-17,380.02,390.0,380.02,383.55,382.78,536686
2020-09-18,386.95,412.5,370.0,386.58,385.8,3864478
2020-09-21,377.0,401.65,373.5,379.38,378.62,1455148
2020-09-22,386.0,386.0,358.02,369.95,369.21,917398
2020-09-23,373.8,384.0,362.5,367.02,366.29,663708
2020-09-24,358.12,379.05,358.12,369.35,368.61,1212944
2020-09-25,380.0,420.0,362.15,383.7,382.93,513120
2020-09-28,390.6,404.0,388.6,399.25,398.45,477329
2020-09-29,399.25,403.9,381.95,389.4,388.62,267648
2020-09-30,393.0,393.0,373.7,380.1,379.34,168186
2020-10-01,384.0,400.0,365.55,396.2,395.41,357887
2020-10-05,400.0,400.0,388.0,390.35,389.57,202895
2020-10-06,393.8,393.8,381.3,385.05,384.28,169902
2020-10-07,386.8,402.0,366.55,379.0,378.24,183434
2020-10-08,381.8,393.0,381.5,390.6,389.82,172897
2020-10-09,390.0,393.0,381.3,382.45,381.69,113366
2020-10-12,377.0,377.05,361.4,363.35,362.62,271958
2020-10-13,363.35,370.0,345.0,347.5,346.81,431868
2020-10-14,349.5,354.5,340.2,345.1,344.41,323966
2020-10-15,348.6,361.95,343.65,346.2,345.51,328285
2020-10-16,351.0,363.0,343.3,350.95,350.25,578004
2020-10-19,353.7,353.7,320.1,342.05,341.37,598678
2020-10-20,342.0,346.0,330.7,331.45,330.79,293430
2020-10-21,333.0,345.0,331.1,341.8,341.12,495854
2020-10-22,342.0,345.5,337.05,343.05,342.36,212541
2020-10-23,346.45,346.45,335.3,341.15,340.47,157937
2020-10-26,341.5,342.95,327.0,331.65,330.99,197214
2020-10-27,331.5,337.9,325.9,335.7,335.03,252823
2020-10-28,336.0,359.95,336.0,342.25,341.57,467031
2020-10-29,342.0,342.0,329.8,338.8,338.12,216426
2020-10-30,342.0,342.0,291.6,314.1,313.47,1694504
2020-11-02,310.95,317.9,297.95,300.35,299.75,765895
2020-11-03,304.85,331.6,303.0,317.6,316.97,564454
2020-11-04,319.95,331.0,315.0,329.75,329.09,1728410
2020-11-05,329.8,338.0,322.0,325.85,325.2,413553
2020-11-06,334.0,336.9,322.9,333.85,333.18,749800
2020-11-09,337.8,337.8,327.05,330.05,329.39,263908
2020-11-10,330.15,334.2,327.05,329.0,328.34,323692
2020-11-11,329.0,330.05,322.5,326.35,325.7,168779
2020-11-12,328.4,334.5,323.35,330.7,330.04,328256
2020-11-13,332.0,333.0,327.35,329.9,329.24,385488
2020-11-17,331.0,337.35,329.1,330.8,330.14,415164
2020-11-18,330.8,334.2,326.25,329.45,328.79,478082
2020-11-19,327.05,338.35,321.25,332.35,331.69,336119
2020-11-20,335.55,339.45,330.5,332.6,331.94,263162
2020-11-23,336.6,354.6,331.85,347.7,347.01,667621
2020-11-24,351.0,373.85,351.0,371.2,370.46,933329
2020-11-25,375.0,377.15,361.6,365.4,364.67,424415
2020-11-26,363.0,372.1,363.0,368.5,367.76,306499
2020-11-27,368.5,401.0,365.2,396.95,396.16,1523778
2020-12-01,392.0,403.15,384.0,384.75,383.98,477052
2020-12-02,390.0,390.0,376.25,379.75,378.99,218136
2020-12-03,384.0,393.0,380.2,386.3,385.53,282029
2020-12-04,388.0,389.6,377.3,385.4,384.63,218119
2020-12-07,388.1,405.7,385.4,397.45,396.66,629473
2020-12-08,400.0,411.0,395.6,406.7,405.89,589629
2020-12-09,409.0,414.5,394.0,396.2,395.41,215074
2020-12-10,394.5,407.35,385.0,403.05,402.24,278599
2020-12-11,403.05,410.0,398.5,406.95,406.14,284626
2020-12-14,407.0,420.0,398.15,417.5,416.67,491952
2020-12-15,417.45,435.5,405.65,428.9,428.04,774467
2020-12-16,431.9,439.8,422.6,429.5,428.64,504507
2020-12-17,433.0,438.8,415.0,422.1,421.26,373407
