Date,Open,High,Low,Close,Adj Close,Volume
2006-05-09,161.08,161.08,140.07,148.85,66.92,220329
2006-05-10,150.03,163.75,147.0,163.75,73.61,120882
2006-05-11,176.33,176.33,151.67,153.3,68.92,159801
2006-05-12,150.33,157.65,149.33,151.62,68.16,26625
2006-05-15,153.32,155.0,146.7,147.53,66.32,27012
2006-05-16,143.33,145.67,133.38,139.53,62.73,16965
2006-05-17,141.67,149.0,139.53,144.18,64.82,27144
2006-05-18,140.0,144.33,129.78,130.8,58.8,16680
2006-05-19,136.67,136.67,120.0,121.55,54.64,6114
2006-05-22,121.67,123.0,109.5,111.0,49.9,12306
2006-05-23,105.7,116.55,105.68,116.55,52.4,6591
2006-05-24,116.67,122.38,116.67,119.98,53.94,4917
2006-05-25,116.67,120.42,115.0,117.23,52.7,1092
2006-05-26,123.0,123.1,116.67,117.33,52.75,2637
2006-05-29,121.33,123.2,120.0,122.92,55.26,4227
2006-05-30,124.67,129.07,124.67,128.87,57.93,5223
2006-05-31,122.67,128.28,122.43,122.43,55.04,3522
2006-06-01,122.33,123.07,116.32,116.32,52.29,10152
2006-06-02,110.67,114.5,110.5,112.33,50.5,3459
2006-06-05,107.0,115.98,106.83,111.97,50.34,7827
2006-06-06,112.63,112.67,106.4,107.95,48.53,13182
2006-06-07,104.0,107.33,102.57,102.57,46.11,1449
2006-06-08,100.0,100.0,97.45,97.45,43.81,549
2006-06-09,92.58,97.65,92.58,93.37,41.97,4512
2006-06-12,91.67,98.3,91.67,95.17,42.78,2940
2006-06-13,91.2,91.2,86.0,86.07,38.69,4230
2006-06-14,86.67,90.0,81.77,81.85,36.8,5787
2006-06-15,81.33,85.95,81.33,85.95,38.64,2259
2006-06-16,90.25,90.25,90.25,90.25,40.57,2580
2006-06-19,89.33,94.67,89.33,92.75,41.7,6108
2006-06-20,93.67,97.4,93.33,96.7,43.47,5172
2006-06-21,97.0,101.55,97.0,101.55,45.65,2220
2006-06-22,105.0,106.63,104.7,106.63,47.94,1821
2006-06-23,103.33,109.65,101.35,104.93,47.17,8754
2006-06-26,100.67,104.67,97.73,102.37,46.02,16692
2006-06-27,100.3,106.0,97.27,97.27,43.73,6573
2006-06-28,96.0,102.12,96.0,101.8,45.76,1893
2006-06-29,103.3,106.33,103.3,105.65,47.5,3459
2006-06-30,108.3,108.33,105.0,106.67,47.95,2703
2006-07-03,107.33,108.58,106.67,108.5,48.78,1821
2006-07-04,108.33,108.82,106.6,106.65,48.54,1905
2006-07-05,103.33,107.63,103.33,104.52,47.57,315
2006-07-06,101.67,101.67,101.67,101.67,46.27,30
2006-07-07,103.33,106.67,103.33,104.3,47.47,1371
2006-07-10,103.33,108.58,103.33,108.35,49.32,2181
2006-07-11,105.17,108.33,105.17,107.67,49.0,1515
2006-07-12,105.2,109.17,105.13,108.8,49.52,5193
2006-07-13,106.18,110.0,106.18,109.45,49.82,72
2006-07-14,108.33,109.65,105.67,105.67,48.09,465
2006-07-17,103.67,106.58,103.67,105.22,47.89,612
2006-07-18,103.68,104.62,103.33,103.33,47.03,1974
2006-07-19,103.97,103.97,98.17,98.17,44.68,1005
2006-07-20,100.0,101.27,100.0,100.07,45.55,915
2006-07-21,100.0,100.83,99.33,99.53,45.3,1590
2006-07-24,100.48,100.5,96.68,100.0,45.52,2460
2006-07-25,100.0,103.62,100.0,102.12,46.48,2229
2006-07-26,100.0,100.0,100.0,100.0,45.52,30
2006-07-27,100.0,100.07,100.0,100.0,45.52,225
2006-07-28,100.0,100.0,100.0,100.0,45.52,60
2006-07-31,100.02,100.35,100.02,100.35,45.67,279
2006-08-01,100.33,102.0,100.0,100.0,45.52,276
2006-08-02,97.35,101.52,97.35,100.95,45.95,861
2006-08-03,101.47,101.47,100.67,100.82,45.89,1611
