Date,Open,High,Low,Close,Adj Close,Volume
2007-08-27,89.0,94.57,83.2,91.0,76.15,74736700
2007-08-28,91.85,96.28,90.4,92.11,77.08,29719020
2007-08-29,84.0,93.49,84.0,92.6,77.49,11796540
2007-08-30,85.2,94.4,85.2,90.8,75.98,6411620
2007-08-31,91.1,92.5,89.0,90.1,75.39,3211250
2007-09-03,90.44,91.2,89.3,89.7,75.06,1934830
2007-09-04,90.0,104.5,90.0,99.83,83.54,36517020
2007-09-05,100.26,103.47,98.49,99.1,82.93,12614490
2007-09-06,99.0,102.17,97.5,99.52,83.28,5475820
2007-09-07,100.77,102.8,98.5,98.78,82.65,5642180
2007-09-10,85.57,99.3,85.57,99.11,82.94,2340460
2007-09-11,98.85,102.35,98.51,99.21,83.02,4182850
2007-09-12,100.99,104.8,99.5,103.21,86.36,7047200
2007-09-13,104.0,105.12,102.0,102.4,85.69,3988650
2007-09-14,103.34,107.47,102.7,103.4,86.52,5184600
2007-09-17,103.0,106.44,102.6,102.7,85.94,2248250
2007-09-18,103.44,109.1,103.43,108.1,90.46,5219540
2007-09-19,117.4,117.4,107.8,108.3,90.62,3164440
2007-09-20,106.1,108.88,97.99,101.0,84.52,1820990
2007-09-21,100.6,101.8,99.35,100.7,84.26,1710630
2007-09-24,101.2,105.0,99.96,104.7,87.61,1455270
2007-09-25,105.1,105.8,101.5,103.04,86.22,914090
2007-09-26,103.9,104.9,101.5,103.4,86.52,485780
2007-09-27,104.0,106.65,103.0,105.49,88.27,699750
2007-09-28,105.0,105.0,102.3,102.5,85.77,231720
2007-10-01,98.0,105.5,98.0,104.0,87.03,331090
2007-10-03,105.5,105.5,98.5,101.5,84.93,376310
2007-10-04,102.0,103.4,99.11,100.87,84.41,715470
2007-10-05,101.5,114.5,100.25,114.0,95.39,2298190
2007-10-08,112.0,115.05,101.3,105.0,87.86,565660
2007-10-09,102.0,114.9,102.0,112.4,94.05,845690
2007-10-10,112.7,125.5,110.9,120.81,101.09,1332160
2007-10-11,120.53,124.0,115.0,117.0,97.9,507570
2007-10-12,117.0,118.9,111.1,114.5,95.81,362920
2007-10-15,119.79,119.79,113.0,118.5,99.16,304330
2007-10-16,117.0,119.5,113.51,117.96,98.71,160230
2007-10-17,95.0,125.0,95.0,119.56,100.04,778080
2007-10-18,124.9,127.7,117.5,118.0,98.74,514070
2007-10-19,104.01,121.9,104.01,113.87,95.28,135400
2007-10-22,116.86,116.86,105.5,110.1,92.13,82650
2007-10-23,115.5,122.0,112.55,120.0,100.41,204460
2007-10-24,122.0,129.9,115.0,116.22,97.25,191070
2007-10-25,121.0,121.0,115.51,120.01,100.42,76230
2007-10-26,123.5,126.0,117.0,122.33,102.36,205350
2007-10-29,123.5,125.0,115.51,121.0,101.25,108290
2007-10-30,121.5,122.8,117.61,120.31,100.67,125080
2007-10-31,112.49,124.0,112.49,121.5,101.67,107020
2007-11-01,126.4,126.4,117.3,121.0,101.25,82210
2007-11-02,117.1,121.5,117.1,120.0,100.41,29690
2007-11-05,125.0,125.9,115.5,121.61,101.76,75570
2007-11-06,118.0,122.5,117.01,121.98,102.07,378770
2007-11-07,120.0,121.98,116.5,121.0,101.25,50000
2007-11-08,108.73,118.7,108.73,115.01,96.24,89930
2007-11-12,108.0,118.6,105.64,107.67,90.1,83700
2007-11-13,112.0,112.0,107.1,111.0,92.88,42520
2007-11-14,112.0,118.5,109.8,111.15,93.01,21880
2007-11-15,110.2,112.4,105.0,110.0,92.05,12160
2007-11-16,110.0,112.5,108.0,108.0,90.37,23100
2007-11-19,107.9,110.1,103.0,110.0,92.05,75390
2007-11-20,109.0,111.5,106.2,109.8,91.88,45400
2007-11-21,105.5,113.4,102.1,105.12,87.96,18980
2007-11-22,105.0,108.0,101.01,101.82,85.2,30770
2007-11-23,96.0,108.86,96.0,102.78,86.0,83140
2007-11-26,103.0,104.98,98.7,100.97,84.49,44850
2007-11-27,100.0,105.0,100.0,105.0,87.86,26800
2007-11-28,106.5,106.7,101.0,101.8,85.18,15480
2007-11-29,103.1,107.0,102.1,102.98,86.17,13180
2007-11-30,101.5,106.96,101.2,105.8,88.53,19800
2007-12-03,104.1,109.99,104.1,108.68,90.95,60560
2007-12-04,107.95,114.9,105.1,111.95,93.68,36400
2007-12-05,114.0,116.0,108.01,110.7,92.63,13700
2007-12-06,112.9,117.4,109.0,116.46,97.45,57550
2007-12-07,116.0,118.0,114.2,116.03,97.09,17460
2007-12-10,115.0,118.0,111.0,114.08,95.46,51540
2007-12-11,118.0,119.7,115.1,116.92,97.84,40710
2007-12-12,114.0,120.5,114.0,118.81,99.42,91800
2007-12-13,120.0,121.0,116.0,117.5,98.32,33540
2007-12-14,117.5,118.99,112.7,114.14,95.51,47250
2007-12-17,117.5,123.2,108.0,116.85,97.77,684520
2007-12-18,118.9,118.9,112.5,113.5,94.98,27380
2007-12-19,118.0,118.0,114.02,115.25,96.44,19540
2007-12-20,114.0,120.0,114.0,115.67,96.79,109490
2007-12-24,117.0,135.0,115.03,118.37,99.05,33340
2007-12-26,130.0,134.2,117.6,119.67,100.13,164730
2007-12-27,123.46,124.9,119.7,121.75,101.88,73870
2007-12-28,121.1,125.0,121.1,124.43,104.12,79830
2007-12-31,128.0,131.5,124.1,125.25,104.81,49390
2008-01-01,121.3,127.0,121.3,125.67,105.15,61620
2008-01-02,125.0,127.45,123.0,125.25,104.8,29510
2008-01-03,126.38,130.97,125.0,127.47,106.67,80380
2008-01-04,130.9,134.4,125.15,128.01,107.12,59930
2008-01-07,123.8,129.0,123.8,125.56,105.06,20410
2008-01-08,124.0,128.79,115.0,119.32,99.84,70980
2008-01-09,119.0,123.5,116.0,122.47,102.49,31180
2008-01-10,120.0,123.5,115.0,116.89,97.81,29680
2008-01-11,115.0,119.99,112.5,116.43,97.42,25750
2008-01-14,112.61,120.0,111.99,112.25,93.93,20470
2008-01-15,111.4,116.0,111.4,112.5,94.14,12720
2008-01-16,110.0,113.5,110.0,112.46,94.1,9510
2008-01-17,114.5,115.0,110.5,112.82,94.41,26550
2008-01-18,106.26,114.98,106.26,113.4,94.89,24760
2008-01-21,115.5,115.5,90.72,107.12,89.64,57120
2008-01-22,101.0,101.0,86.0,97.72,81.77,40330
2008-01-23,80.26,110.5,80.26,107.5,89.95,63950
2008-01-24,96.1,105.5,95.0,101.87,85.24,12360
2008-01-25,97.1,102.0,91.66,100.11,83.77,31500
2008-01-28,97.0,101.51,94.16,99.93,83.62,12300
2008-01-29,100.0,101.38,97.0,99.36,83.14,19780
2008-01-30,102.94,102.94,95.1,96.74,80.95,1410
2008-01-31,93.5,101.0,93.01,99.84,83.54,228210
2008-02-01,97.5,99.9,96.0,99.43,83.21,14110
2008-02-04,97.25,101.39,97.25,100.0,83.68,117210
2008-02-05,99.0,114.98,99.0,109.13,91.32,291210
2008-02-06,103.68,108.0,101.0,105.26,88.08,3340
2008-02-07,105.0,108.0,102.5,104.57,87.5,13030
2008-02-08,107.2,111.0,102.5,109.44,91.58,62410
2008-02-11,105.11,106.0,88.5,100.0,83.68,55290
2008-02-12,99.0,100.0,94.21,96.68,80.9,22320
2008-02-13,95.6,100.0,95.0,98.3,82.26,40160
2008-02-14,108.7,108.7,96.5,99.73,83.45,15750
2008-02-15,99.0,102.0,97.4,98.07,82.06,23820
2008-02-18,98.3,100.0,98.21,99.61,83.36,45360
2008-02-19,101.5,104.0,99.95,102.3,85.6,142310
2008-02-20,105.0,110.0,100.1,100.45,84.06,20730
2008-02-21,101.5,103.3,101.14,101.55,84.98,5320
2008-02-22,101.0,101.0,96.5,98.49,82.41,8890
2008-02-25,99.0,99.0,94.11,95.94,80.29,25620
2008-02-26,103.0,114.4,95.8,97.25,81.37,21600
2008-02-27,96.5,98.5,94.11,95.08,79.57,5720
2008-02-28,97.49,97.49,95.0,95.0,79.49,1730
2008-02-29,98.8,98.8,92.6,93.14,77.93,3120
2008-03-03,87.61,91.0,86.0,86.56,72.43,17270
2008-03-04,87.4,90.0,79.3,81.23,67.97,37010
2008-03-05,78.5,83.0,78.5,81.13,67.89,66760
2008-03-07,78.0,79.5,66.31,77.04,64.47,66920
2008-03-10,78.5,79.0,68.5,77.54,64.88,92790
2008-03-11,78.9,85.0,76.21,82.12,68.72,49280
2008-03-12,92.0,92.0,82.0,88.9,74.39,92430
2008-03-13,82.8,85.5,74.9,80.68,67.51,56640
2008-03-14,86.0,86.0,80.3,82.47,69.01,45640
2008-03-17,75.1,86.0,73.55,82.69,69.19,23600
2008-03-18,75.0,86.0,74.3,84.46,70.68,13920
2008-03-19,77.6,83.3,77.5,81.69,68.36,139080
2008-03-24,78.0,80.0,75.35,78.62,65.79,36940
2008-03-25,81.89,82.0,72.5,76.5,64.02,185440
2008-03-26,74.14,79.99,74.14,77.73,65.04,133510
2008-03-27,79.49,82.9,74.02,76.54,64.04,161020
2008-03-28,80.0,81.0,76.21,77.21,64.6,18590
2008-03-31,79.99,79.99,75.0,77.17,64.57,139550
2008-04-01,77.5,82.8,77.5,80.49,67.35,16460
2008-04-02,80.3,84.89,79.51,82.0,68.62,42550
2008-04-03,81.99,83.0,78.6,81.21,67.95,42750
2008-04-04,78.11,82.0,77.0,80.06,66.99,46550
2008-04-07,77.04,79.99,77.0,77.88,65.17,117500
2008-04-08,73.7,78.2,73.7,76.3,63.85,7300
2008-04-09,76.0,76.8,73.1,74.14,62.04,9070
2008-04-10,73.3,81.0,73.3,79.26,66.33,38020
2008-04-11,77.9,80.5,77.9,79.94,66.89,14410
2008-04-15,77.21,83.0,77.21,80.97,67.75,61600
2008-04-16,81.01,83.0,81.01,81.17,67.92,3480
2008-04-17,81.54,85.0,81.54,83.68,70.03,15090
2008-04-21,84.0,84.89,80.32,80.64,67.47,8200
2008-04-22,81.0,83.2,81.0,82.25,68.83,16820
2008-04-23,82.0,82.15,80.24,81.52,68.21,3860
2008-04-24,80.0,84.9,78.2,78.65,65.82,5780
2008-04-25,83.0,83.0,76.1,77.72,65.04,14200
2008-04-28,78.0,78.0,75.0,75.13,62.87,12340
2008-04-29,74.11,78.5,74.11,74.97,62.73,96650
2008-04-30,79.0,79.0,74.2,75.32,63.02,22080
2008-05-02,75.0,75.8,74.28,74.77,62.57,11470
2008-05-05,75.0,75.5,73.5,73.88,61.82,10310
2008-05-06,73.11,73.11,69.0,70.86,59.29,36390
2008-05-07,73.0,73.0,71.0,71.79,60.08,2450
2008-05-08,71.1,78.7,70.5,76.06,63.64,56130
2008-05-09,74.7,79.0,73.25,75.35,63.05,39330
