Date,Open,High,Low,Close,Adj Close,Volume
2006-09-29,64.3,64.3,59.15,60.95,45.87,2175
2006-10-03,62.0,64.0,62.0,63.5,47.79,5251
2006-10-04,64.15,67.6,64.15,65.2,49.07,6648
2006-10-05,65.2,65.5,64.15,64.7,48.69,7358
2006-10-06,62.4,65.9,62.4,65.6,49.37,5643
2006-10-09,64.2,66.4,64.2,65.4,49.22,2940
2006-10-10,66.0,66.55,65.45,65.65,49.41,4533
2006-10-11,66.0,66.0,64.5,64.9,48.84,2574
2006-10-12,65.95,67.45,64.3,66.2,49.82,5988
2006-10-13,66.1,66.2,65.55,65.75,49.48,2331
2006-10-16,65.6,67.35,65.5,65.55,49.33,3509
2006-10-17,65.6,65.6,65.0,65.05,48.95,5006
2006-10-18,64.05,66.0,64.05,64.7,48.69,2631
2006-10-19,64.65,65.0,64.1,64.55,48.58,978
2006-10-20,64.0,65.4,64.0,64.7,48.69,1746
2006-10-23,65.9,65.9,64.0,64.8,48.77,449
2006-10-26,71.3,71.3,67.6,71.3,53.66,15173
2006-10-27,76.0,78.45,75.0,77.05,57.98,102240
2006-10-30,77.0,77.8,71.0,71.25,53.62,14680
2006-10-31,71.95,77.9,69.55,72.25,54.37,12240
2006-11-01,72.8,73.8,68.5,69.4,52.23,8947
2006-11-02,68.0,70.8,68.0,70.0,52.68,7594
2006-11-03,68.0,72.0,67.2,68.6,51.63,5830
2006-11-06,70.0,70.0,68.2,69.25,52.11,4627
2006-11-07,69.3,70.55,68.0,68.2,51.32,2295
2006-11-08,68.75,68.75,66.25,66.55,50.08,2747
2006-11-09,67.0,68.0,66.3,67.1,50.5,4261
2006-11-10,67.0,67.85,65.75,66.05,49.71,1532
2006-11-13,66.05,67.5,66.05,66.8,50.27,2180
2006-11-14,67.1,67.9,65.25,66.35,49.93,3971
2006-11-15,66.2,68.0,66.0,66.3,49.89,2850
2006-11-16,65.5,66.0,65.5,65.8,49.52,2605
2006-11-17,65.5,65.75,64.1,64.25,48.35,3742
2006-11-20,63.0,64.45,62.35,63.05,47.45,1982
2006-11-21,62.0,73.7,62.0,66.85,50.31,21308
2006-11-22,70.1,71.6,65.55,66.75,50.23,18220
2006-11-23,69.9,71.9,65.55,65.6,49.37,2412
2006-11-24,66.75,68.0,65.5,66.35,49.93,2771
2006-11-27,66.7,67.2,66.0,66.1,49.74,1987
2006-11-28,56.25,68.1,56.25,65.75,49.48,3833
2006-11-29,65.2,68.0,65.0,66.2,49.82,6499
2006-11-30,65.0,67.4,65.0,66.4,49.97,3602
2006-12-01,66.7,69.0,56.0,66.15,49.78,11539
2006-12-04,66.0,69.0,66.0,66.9,50.35,15323
2006-12-05,67.1,69.0,66.65,67.1,50.5,14930
2006-12-06,67.75,68.0,65.0,65.95,49.63,26062
2006-12-07,67.4,67.4,65.1,65.6,49.37,5484
2006-12-08,65.2,67.0,64.5,65.1,48.99,6619
2006-12-11,65.75,65.75,62.1,62.95,47.37,3121
2006-12-12,62.0,64.5,60.15,60.75,45.72,6804
2006-12-13,60.0,60.0,57.85,59.75,44.97,9542
2006-12-14,60.0,61.2,59.65,60.4,45.45,7111
2006-12-15,60.25,61.65,59.8,59.95,45.12,4712
2006-12-18,57.7,60.9,57.0,59.65,44.89,3621
2006-12-19,58.65,59.95,58.55,58.95,44.36,3842
2006-12-20,60.1,60.1,58.4,58.7,44.17,1226
2006-12-21,59.0,59.85,58.4,58.75,44.21,5431
2006-12-22,59.0,59.3,58.15,58.3,43.87,7808
2006-12-26,59.0,60.5,58.5,58.8,44.25,9850
2006-12-27,58.65,59.35,58.5,58.65,44.14,6424
2006-12-28,59.3,68.0,58.5,61.9,46.58,56063
2006-12-29,63.0,64.0,62.3,62.95,47.37,24904
2007-01-02,63.0,65.0,61.6,61.75,46.47,10715
2007-01-03,63.9,64.0,61.7,62.05,46.7,8627
2007-01-04,63.45,63.45,60.05,61.95,46.62,9814
2007-01-05,62.8,63.45,62.0,62.9,47.34,8375
2007-01-08,62.1,63.0,62.0,62.65,47.15,6149
2007-01-09,61.1,64.5,61.1,62.15,46.77,10591
2007-01-10,61.25,61.5,59.15,59.8,45.0,4977
2007-01-11,60.8,60.8,59.4,59.95,45.12,5862
2007-01-12,60.0,61.9,59.9,60.8,45.76,20136
2007-01-15,60.9,61.55,59.25,59.8,45.0,15304
2007-01-16,60.0,60.25,59.0,59.65,44.89,7860
2007-01-17,60.25,60.25,59.0,59.65,44.89,14864
2007-01-18,61.25,62.0,58.75,59.0,44.4,35381
2007-01-19,59.8,59.8,57.85,58.0,43.65,17200
2007-01-22,58.25,60.0,58.25,59.1,44.48,25117
2007-01-23,60.4,64.0,59.0,61.8,46.51,87463
2007-01-24,64.0,64.0,61.05,61.75,46.47,21148
2007-01-25,63.5,65.6,62.05,62.7,47.19,38710
2007-01-29,64.9,65.0,62.15,64.1,48.24,39064
2007-01-31,65.05,65.05,61.5,62.95,47.37,18748
2007-02-01,63.7,63.7,62.55,63.25,47.6,4726
2007-02-02,62.1,63.95,61.7,62.15,46.77,6190
2007-02-05,60.65,63.25,60.65,61.8,46.51,5130
