Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,9.2,9.3,9.0,9.1,5.93,17100
2002-07-02,9.04,9.2,9.04,9.07,5.91,21570
2002-07-03,9.06,9.18,9.06,9.1,5.92,4200
2002-07-04,9.2,9.2,9.0,9.03,5.88,19070
2002-07-05,9.04,9.2,9.04,9.14,5.95,6830
2002-07-08,9.3,9.49,9.3,9.49,6.18,23490
2002-07-09,9.4,9.5,9.2,9.2,5.99,9910
2002-07-10,9.15,9.39,9.15,9.23,6.01,5170
2002-07-11,9.38,9.38,8.99,9.02,5.88,93500
2002-07-12,9.0,9.0,8.82,8.84,5.76,37080
2002-07-15,8.51,8.6,8.4,8.4,5.47,84260
2002-07-16,8.6,8.6,8.2,8.28,5.39,42120
2002-07-17,8.23,8.3,8.22,8.22,5.35,2090
2002-07-18,8.26,8.4,8.26,8.4,5.47,1660
2002-07-19,8.25,8.4,8.0,8.1,5.27,15000
2002-07-22,8.15,8.2,7.7,7.72,5.02,52000
2002-07-23,7.6,7.8,7.6,7.78,5.07,9090
2002-07-24,7.74,8.0,7.74,7.84,5.1,6500
2002-07-25,7.99,7.99,7.74,7.74,5.04,690
2002-07-26,7.61,7.61,6.8,6.99,4.55,95300
2002-07-29,6.61,6.86,6.6,6.68,4.58,27250
2002-07-30,6.8,6.82,6.61,6.64,4.55,7900
2002-07-31,6.97,6.97,6.7,6.89,4.72,4150
2002-08-01,6.9,7.2,6.84,6.85,4.69,11050
2002-08-02,6.8,7.0,6.8,6.95,4.76,3180
2002-08-05,7.0,7.0,6.8,7.0,4.8,10830
2002-08-06,7.1,7.15,7.0,7.14,4.9,3710
2002-08-07,7.1,7.2,7.01,7.04,4.83,1930
2002-08-08,6.83,7.05,6.81,6.98,4.78,3500
2002-08-09,6.86,6.99,6.82,6.88,4.71,9600
2002-08-12,6.86,6.99,6.8,6.81,4.67,12680
2002-08-13,6.8,6.85,6.8,6.8,4.66,640
2002-08-14,7.0,7.0,6.8,6.84,4.68,6370
2002-08-15,6.84,6.84,6.84,6.84,4.68,0
2002-08-16,6.99,6.99,6.86,6.88,4.71,390
2002-08-19,6.62,7.0,6.62,6.79,4.65,21270
2002-08-20,6.73,6.8,6.61,6.68,4.58,21750
2002-08-21,6.99,7.0,6.6,6.7,4.59,31560
2002-08-22,6.79,6.8,6.75,6.8,4.66,88320
2002-08-23,7.18,7.2,6.93,7.0,4.8,10000
2002-08-26,6.94,6.94,6.89,6.9,4.73,102160
2002-08-27,6.9,7.0,6.9,6.9,4.73,4170
2002-08-28,7.0,7.0,6.8,6.8,4.66,9180
2002-08-29,6.7,6.72,6.7,6.71,4.6,1600
2002-08-30,6.61,6.99,6.61,6.93,4.75,930
2002-09-02,6.7,6.72,6.7,6.72,4.61,300
2002-09-03,6.61,6.61,6.49,6.5,4.46,61250
2002-09-04,6.43,6.5,6.43,6.45,4.42,16530
2002-09-05,6.7,6.7,6.45,6.47,4.44,3220
2002-09-06,6.45,6.7,6.45,6.61,4.53,7210
2002-09-09,6.5,6.7,6.5,6.5,4.46,1500
2002-09-10,6.5,6.5,6.5,6.5,4.46,0
2002-09-11,6.6,6.9,6.6,6.62,4.54,57100
2002-09-12,6.78,6.78,6.78,6.78,4.65,160
2002-09-13,6.78,6.9,6.74,6.82,4.67,24450
2002-09-16,6.8,6.85,6.66,6.72,4.6,4660
2002-09-17,6.85,6.85,6.6,6.66,4.56,25800
2002-09-18,6.8,6.8,6.8,6.8,4.66,140
2002-09-19,6.69,6.8,6.61,6.73,4.61,18580
2002-09-20,6.7,7.0,6.7,6.88,4.71,17760
2002-09-23,6.9,6.9,6.8,6.8,4.66,3280
2002-09-24,6.8,6.87,6.8,6.8,4.66,9340
2002-09-25,6.66,6.8,6.66,6.7,4.59,4000
2002-09-26,6.88,6.88,6.84,6.85,4.69,1500
2002-09-27,6.9,6.9,6.76,6.85,4.69,8180
2002-09-30,6.75,6.89,6.75,6.76,4.63,50
2002-10-01,6.8,6.85,6.66,6.7,4.59,2340
2002-10-02,6.7,6.7,6.7,6.7,4.59,0
2002-10-03,6.6,6.9,6.6,6.65,4.56,9130
2002-10-04,6.6,6.75,6.6,6.7,4.59,13130
2002-10-07,6.61,6.66,6.6,6.6,4.52,5620
2002-10-08,6.6,6.6,6.55,6.6,4.52,3620
2002-10-09,6.64,6.64,6.62,6.62,4.54,1000
2002-10-10,6.6,6.8,6.6,6.76,4.64,910
2002-10-11,6.76,6.76,6.76,6.76,4.64,0
2002-10-14,6.8,6.99,6.6,6.8,4.66,11480
2002-10-15,6.8,6.8,6.8,6.8,4.66,0
2002-10-16,7.48,7.48,6.55,6.65,4.56,48570
2002-10-17,7.3,7.3,6.59,6.65,4.56,119690
2002-10-18,7.3,7.3,6.5,6.53,4.48,31300
2002-10-21,6.5,6.7,6.39,6.5,4.46,67750
2002-10-22,6.6,6.6,6.41,6.43,4.41,7500
2002-10-23,7.0,7.0,6.33,6.39,4.38,40570
2002-10-24,6.45,6.5,6.41,6.47,4.44,2820
2002-10-25,6.59,6.59,6.18,6.25,4.28,26100
2002-10-28,6.39,6.39,6.2,6.24,4.28,2530
2002-10-29,6.35,6.4,6.3,6.34,4.34,15320
2002-10-30,6.2,6.36,6.2,6.2,4.25,6400
2002-10-31,6.39,6.4,6.25,6.35,4.35,1850
2002-11-01,6.3,6.3,6.3,6.3,4.32,1000
2002-11-04,6.3,6.3,6.3,6.3,4.32,0
2002-11-05,6.4,6.4,6.25,6.28,4.3,5250
2002-11-06,6.28,6.28,6.28,6.28,4.3,0
2002-11-07,6.2,6.36,6.2,6.28,4.3,13920
2002-11-08,6.25,6.3,6.22,6.25,4.28,6730
2002-11-11,6.4,6.4,6.22,6.24,4.27,10030
2002-11-12,6.38,6.38,6.22,6.22,4.27,570
2002-11-13,6.2,6.35,6.11,6.2,4.25,12380
2002-11-14,6.2,6.3,6.2,6.24,4.27,39900
2002-11-15,6.24,6.24,6.16,6.16,4.22,4370
2002-11-18,6.3,6.4,6.3,6.39,4.38,21820
2002-11-19,6.39,6.39,6.39,6.39,4.38,0
2002-11-20,6.4,6.6,6.4,6.44,4.41,11750
2002-11-21,6.5,6.5,6.37,6.41,4.39,10160
2002-11-22,6.54,6.6,6.5,6.5,4.46,8670
2002-11-25,6.58,6.64,6.56,6.61,4.53,26390
2002-11-26,6.7,6.75,6.55,6.68,4.58,5830
2002-11-27,6.43,6.7,6.43,6.61,4.53,3040
2002-11-28,6.65,6.8,6.62,6.78,4.65,12970
2002-11-29,6.78,6.8,6.5,6.62,4.54,13560
2002-12-02,6.78,6.8,6.68,6.8,4.66,21100
2002-12-03,6.8,6.8,6.61,6.7,4.59,11440
2002-12-04,6.7,6.75,6.6,6.64,4.55,13680
2002-12-05,6.74,6.75,6.62,6.62,4.54,6980
2002-12-06,6.72,6.9,6.7,6.8,4.66,21640
2002-12-09,6.72,6.8,6.61,6.65,4.56,6140
2002-12-10,6.68,6.68,6.68,6.68,4.58,1000
2002-12-11,6.69,6.8,6.6,6.61,4.53,22730
2002-12-12,6.6,6.7,6.6,6.6,4.52,33890
2002-12-13,6.8,6.8,6.6,6.6,4.52,70070
2002-12-16,6.65,6.65,6.47,6.51,4.46,24050
2002-12-17,6.6,6.6,6.2,6.21,4.26,75980
2002-12-18,6.39,6.59,6.26,6.59,4.51,12090
2002-12-19,6.55,6.69,6.51,6.51,4.46,23950
2002-12-20,6.65,6.65,6.45,6.48,4.44,2940
2002-12-23,6.63,6.63,6.45,6.55,4.49,23670
2002-12-24,6.51,6.6,6.5,6.51,4.46,3610
2002-12-25,6.51,6.51,6.51,6.51,4.46,0
2002-12-26,6.53,6.65,6.43,6.65,4.56,14890
2002-12-27,6.53,6.68,6.47,6.64,4.55,12980
2002-12-30,6.6,6.64,6.47,6.6,4.52,6780
2002-12-31,6.6,6.78,6.6,6.61,4.53,9120
2003-01-01,6.62,6.8,6.6,6.79,4.65,12760
2003-01-02,6.74,6.82,6.64,6.65,4.56,19040
2003-01-03,7.25,7.32,7.12,7.32,5.01,156290
2003-01-06,7.74,7.9,7.1,7.75,5.31,546780
2003-01-07,7.9,8.2,7.7,7.84,5.37,455960
2003-01-08,7.8,7.89,7.6,7.62,5.23,62550
2003-01-09,7.68,7.75,7.61,7.74,5.3,34900
2003-01-10,7.7,7.7,7.41,7.41,5.08,46940
2003-01-13,7.45,7.45,7.2,7.38,5.05,46780
2003-01-14,7.4,7.55,7.35,7.39,5.06,37140
2003-01-15,7.38,7.55,7.37,7.45,5.11,17100
2003-01-16,7.32,7.48,7.32,7.38,5.06,29220
2003-01-17,7.5,7.5,7.3,7.34,5.03,56830
2003-01-20,7.31,7.39,7.2,7.24,4.97,25710
2003-01-21,7.2,7.35,7.13,7.24,4.97,60570
2003-01-22,7.8,7.8,7.26,7.32,5.01,7890
2003-01-23,7.4,7.45,7.26,7.36,5.04,39100
2003-01-24,7.28,7.35,7.2,7.22,4.95,27630
2003-01-27,7.2,7.34,7.01,7.02,4.81,28460
2003-01-28,7.03,7.18,7.0,7.01,4.81,20280
2003-01-29,7.2,7.2,6.8,6.8,4.66,65070
2003-01-30,6.82,7.0,6.75,6.91,4.74,12830
2003-01-31,6.8,6.99,6.7,6.72,4.61,53290
2003-02-03,6.7,7.23,6.7,6.97,4.78,51170
2003-02-04,6.95,7.02,6.91,7.0,4.8,14500
2003-02-05,6.95,7.0,6.87,6.92,4.74,11750
2003-02-06,7.05,7.28,6.91,7.04,4.83,10760
2003-02-07,6.86,6.99,6.86,6.9,4.73,2860
2003-02-10,7.0,7.28,7.0,7.06,4.84,14070
2003-02-11,7.05,7.3,7.05,7.25,4.97,25020
2003-02-12,7.3,7.3,7.2,7.22,4.95,6810
2003-02-13,7.22,7.22,7.22,7.22,4.95,0
2003-02-14,7.16,7.16,7.01,7.09,4.86,12310
2003-02-17,7.2,7.8,7.05,7.3,5.0,12630
2003-02-18,7.3,7.5,7.16,7.35,5.04,13250
2003-02-19,7.35,7.41,7.35,7.36,5.05,11060
2003-02-20,7.4,7.5,7.28,7.38,5.06,27330
2003-02-21,7.33,7.35,7.27,7.3,5.0,4090
2003-02-24,7.2,7.49,7.2,7.32,5.02,13760
2003-02-25,7.11,7.39,6.91,7.07,4.84,31690
2003-02-26,7.0,7.18,6.97,6.99,4.79,16600
2003-02-27,6.99,7.21,6.99,7.05,4.83,2430
2003-02-28,6.97,7.55,6.97,7.24,4.97,15610
2003-03-03,7.31,7.5,7.31,7.35,5.04,30010
2003-03-04,7.0,7.35,7.0,7.25,4.97,11130
2003-03-05,7.06,7.07,7.0,7.0,4.8,21210
2003-03-06,7.15,7.15,6.95,7.0,4.8,16730
2003-03-07,6.78,6.87,6.72,6.8,4.66,2660
2003-03-10,6.74,6.8,6.6,6.78,4.65,24560
2003-03-11,6.61,6.67,6.57,6.66,4.57,8520
2003-03-12,6.89,6.93,6.75,6.93,4.75,11430
2003-03-13,6.8,7.0,6.8,6.8,4.66,3030
2003-03-14,6.8,6.8,6.8,6.8,4.66,0
2003-03-17,6.61,6.61,6.5,6.54,4.48,10380
2003-03-18,6.54,6.54,6.54,6.54,4.48,0
2003-03-19,6.6,6.64,6.4,6.51,4.47,6400
2003-03-20,6.6,6.7,6.6,6.64,4.55,9160
2003-03-21,6.66,6.91,6.66,6.9,4.73,2050
2003-03-24,6.87,6.87,6.74,6.81,4.67,6030
2003-03-25,6.72,6.95,6.72,6.86,4.7,7180
2003-03-26,6.83,6.9,6.7,6.74,4.62,12690
2003-03-27,6.78,6.89,6.7,6.72,4.61,6460
2003-03-28,6.72,7.2,6.72,6.76,4.63,1100
2003-03-31,6.8,6.8,6.7,6.78,4.65,22720
2003-04-01,6.74,6.78,6.72,6.78,4.65,6500
2003-04-02,6.66,6.74,6.65,6.68,4.58,10860
2003-04-04,7.24,7.24,6.9,7.11,4.87,2170
2003-04-07,6.97,6.97,6.95,6.96,4.77,1100
2003-04-08,6.96,6.96,6.96,6.96,4.77,0
2003-04-09,7.01,7.18,6.91,6.99,4.79,15960
2003-04-10,6.95,6.95,6.7,6.79,4.65,7750
2003-04-11,6.85,7.1,6.75,6.97,4.78,14250
2003-04-14,6.97,6.97,6.97,6.97,4.78,0
2003-04-15,6.98,7.1,6.78,7.01,4.8,2690
2003-04-16,7.01,7.01,6.9,7.01,4.8,11860
2003-04-17,7.05,7.05,7.04,7.05,4.83,620
2003-04-18,7.05,7.05,7.05,7.05,4.83,0
2003-04-21,7.01,7.5,7.01,7.02,4.81,3000
2003-04-22,7.01,7.05,6.91,7.05,4.83,10780
2003-04-23,7.15,7.15,7.0,7.11,4.88,25760
2003-04-24,7.11,7.2,7.11,7.14,4.9,5000
2003-04-25,7.19,7.19,6.97,7.0,4.8,1700
2003-04-28,7.04,7.12,7.04,7.12,4.88,2470
2003-04-29,7.11,7.28,7.08,7.08,4.85,14680
2003-04-30,7.2,7.4,7.2,7.2,4.93,6200
2003-05-01,7.2,7.2,7.2,7.2,4.93,0
2003-05-02,7.33,7.33,7.12,7.14,4.89,2530
2003-05-05,7.07,7.15,7.03,7.07,4.85,9150
2003-05-06,7.16,7.17,7.05,7.08,4.85,1510
2003-05-07,7.21,7.28,7.13,7.13,4.89,2200
2003-05-08,7.15,7.37,7.15,7.24,4.96,10880
2003-05-09,7.16,7.34,7.16,7.32,5.01,10390
2003-05-12,7.29,7.45,7.2,7.26,4.98,11620
2003-05-13,7.39,7.7,7.26,7.3,5.0,28740
2003-05-14,7.4,7.61,7.31,7.5,5.14,9950
2003-05-15,7.41,7.7,7.41,7.53,5.16,7940
2003-05-16,7.61,7.7,7.53,7.7,5.27,14450
2003-05-19,7.65,7.7,7.41,7.62,5.23,7910
2003-05-20,7.69,7.8,7.69,7.78,5.33,10260
2003-05-21,7.5,7.85,7.5,7.8,5.35,27680
2003-05-22,7.75,7.75,7.61,7.62,5.22,4140
2003-05-23,7.7,7.95,7.32,7.74,5.3,10000
2003-05-26,7.9,7.9,7.46,7.75,5.31,11560
2003-05-27,7.88,7.89,7.82,7.82,5.36,7000
2003-05-28,7.99,8.3,7.91,8.12,5.57,54470
2003-05-29,7.99,8.3,7.99,8.15,5.59,63690
2003-05-30,8.3,8.43,8.0,8.05,5.52,41760
2003-06-02,8.23,8.23,8.0,8.11,5.56,39150
2003-06-03,8.1,8.28,8.07,8.15,5.58,85610
2003-06-04,8.37,8.96,8.37,8.96,6.14,140620
2003-06-05,9.77,9.85,9.0,9.24,6.33,179140
2003-06-06,9.27,9.27,8.93,9.04,6.2,102500
2003-06-09,9.02,9.15,8.8,8.8,6.03,29960
2003-06-10,9.2,9.2,8.65,8.8,6.03,53170
2003-06-11,8.5,9.0,8.5,8.91,6.11,12860
2003-06-12,9.0,9.0,8.77,8.84,6.06,30710
2003-06-13,8.65,8.8,8.65,8.77,6.01,12710
2003-06-16,8.76,8.94,8.6,8.85,6.07,29660
2003-06-17,8.77,8.95,8.77,8.93,6.12,4740
2003-06-18,8.99,9.15,8.76,8.99,6.16,48460
2003-06-19,8.8,9.0,8.8,8.83,6.05,13810
2003-06-20,8.8,8.94,8.8,8.91,6.11,8720
2003-06-23,8.65,8.9,8.65,8.76,6.0,8430
2003-06-24,8.9,9.0,8.81,8.84,6.06,11540
2003-06-25,8.8,8.9,8.75,8.76,6.0,7280
2003-06-26,8.76,8.95,8.7,8.72,5.98,5020
2003-06-27,8.7,8.99,8.56,8.88,6.08,17740
2003-06-30,8.81,9.5,8.8,9.24,6.33,61440
2003-07-01,9.35,10.0,9.35,9.72,6.66,66790
2003-07-02,9.6,10.1,9.56,9.67,6.63,146510
2003-07-03,9.9,10.05,9.6,9.8,6.72,48950
2003-07-04,9.97,9.97,9.4,9.57,6.56,117560
2003-07-07,9.5,9.5,8.86,9.06,6.21,135470
2003-07-08,9.1,9.23,9.01,9.09,6.23,14870
2003-07-09,9.11,9.38,9.01,9.17,6.29,17880
2003-07-10,8.62,9.28,8.62,9.14,6.26,18660
2003-07-11,9.01,9.1,8.85,8.87,6.08,72800
2003-07-14,9.45,9.45,8.85,8.95,6.14,88890
2003-07-15,9.18,9.18,8.81,8.91,6.11,13590
2003-07-16,8.8,9.1,8.8,8.98,6.15,74310
2003-07-17,8.9,9.0,8.85,8.89,6.09,32330
2003-07-18,8.72,9.09,8.72,8.9,6.1,97760
2003-07-21,9.0,9.05,9.0,9.0,6.17,25130
2003-07-22,9.0,9.1,8.75,9.04,6.2,25950
