Date,Open,High,Low,Close,Adj Close,Volume
1995-12-25,72.82,72.82,72.82,72.82,53.47,0
1995-12-26,72.82,72.82,72.82,72.82,53.47,0
1995-12-27,72.82,72.82,72.82,72.82,53.47,0
1995-12-28,72.82,72.82,72.82,72.82,53.47,0
1995-12-29,72.82,72.82,72.82,72.82,53.47,0
1996-01-01,72.44,72.82,72.34,72.82,53.47,40703
1996-01-02,72.82,73.57,72.05,72.4,53.16,100975
1996-01-03,72.4,72.82,72.1,72.16,52.99,29744
1996-01-04,72.16,72.24,71.19,71.61,52.59,104889
1996-01-05,71.61,71.82,71.09,71.35,52.4,62620
1996-01-08,71.35,71.48,70.71,71.38,52.42,131503
1996-01-09,71.38,71.29,69.75,70.19,51.54,63142
1996-01-10,70.19,71.48,70.52,71.32,52.38,67577
1996-01-11,71.32,72.48,71.0,71.93,52.82,80623
1996-01-12,71.93,73.29,71.86,72.8,53.46,54532
1996-01-15,72.8,77.42,71.89,72.38,53.15,28961
1996-01-16,72.38,72.63,71.7,72.22,53.03,106715
1996-01-17,72.22,72.39,71.86,71.89,52.79,61837
1996-01-18,71.89,72.24,70.52,72.07,52.92,73318
1996-01-19,72.07,72.44,71.48,72.2,53.02,81145
1996-01-22,72.2,73.01,72.05,72.83,53.48,450084
1996-01-23,72.83,72.82,70.81,70.91,52.07,36789
1996-01-24,70.91,70.9,68.03,68.76,50.49,99931
1996-01-25,68.76,69.95,68.43,69.03,50.69,84015
1996-01-26,69.03,69.03,69.03,69.03,50.69,0
1996-01-29,69.03,69.95,68.99,69.35,50.93,51661
1996-01-30,69.35,70.14,68.8,69.19,50.81,85320
1996-01-31,69.19,70.62,69.56,70.47,51.75,37050
1996-02-01,70.47,72.48,69.98,72.47,53.22,375201
1996-02-02,72.47,76.08,72.05,75.77,55.64,462086
1996-02-05,75.77,77.61,74.11,76.17,55.94,257526
1996-02-06,76.17,77.04,73.78,74.58,54.77,378592
1996-02-07,74.58,76.08,73.2,75.71,55.6,76710
1996-02-08,76.65,82.17,76.27,81.75,60.03,370504
1996-02-09,81.75,85.28,81.44,84.7,62.2,323800
1996-02-12,76.65,84.51,76.65,82.25,60.4,125240
1996-02-13,82.25,84.12,80.68,81.9,60.14,150810
1996-02-14,81.9,84.7,82.4,82.42,60.52,162552
1996-02-15,82.42,82.78,80.49,82.25,60.4,51400
1996-02-16,82.25,81.43,79.53,80.05,58.78,50879
1996-02-19,80.05,81.42,77.61,78.61,57.72,54010
1996-02-20,78.61,79.34,77.37,78.86,57.91,215779
1996-02-21,78.86,78.86,78.86,78.86,57.91,0
1996-02-22,78.86,81.44,79.14,80.97,59.46,80884
1996-02-23,80.97,83.17,80.29,82.79,60.8,229347
1996-02-26,82.79,83.36,78.69,79.03,58.03,167509
1996-02-27,79.03,82.4,80.3,81.59,59.91,232217
1996-02-28,81.59,81.72,80.68,81.37,59.75,121849
1996-02-29,81.37,82.02,80.48,80.98,59.47,441996
1996-03-01,80.98,81.44,80.93,81.21,59.64,98366
1996-03-04,81.21,82.3,80.87,81.83,60.09,110890
1996-03-05,81.83,81.83,81.83,81.83,60.09,0
1996-03-06,81.83,82.02,81.35,81.4,59.77,32353
1996-03-07,81.4,81.92,80.48,81.06,59.52,45399
1996-03-08,81.06,81.06,80.12,80.88,59.39,104367
1996-03-11,80.88,79.81,78.59,78.95,57.98,78536
1996-03-12,78.95,80.48,78.44,79.84,58.63,76188
1996-03-13,79.84,81.06,79.19,80.8,59.33,81406
1996-03-14,80.8,81.73,79.89,80.17,58.87,85320
1996-03-15,80.17,80.25,79.77,79.97,58.72,113760
1996-03-18,79.97,80.37,79.53,80.36,59.01,224129
1996-03-19,80.36,79.91,79.15,79.59,58.45,113238
1996-03-20,79.59,79.59,79.59,79.59,58.45,0
1996-03-21,79.59,80.89,79.96,80.87,59.38,132546
1996-03-22,80.87,81.06,80.48,80.89,59.4,127067
1996-03-25,80.89,82.4,80.48,81.72,60.01,213953
1996-03-26,81.72,82.11,80.96,81.86,60.11,137765
1996-03-27,81.86,89.68,82.4,84.04,61.71,206647
1996-03-28,84.04,90.06,84.18,86.89,63.8,980271
1996-03-29,86.89,89.11,84.32,86.24,63.33,541406
1996-04-01,86.24,87.96,84.32,87.18,64.02,353022
1996-04-02,87.18,88.13,84.32,85.61,62.87,307884
1996-04-03,85.61,87.0,85.47,85.55,62.82,46704
1996-04-04,89.04,89.04,83.93,84.56,62.09,48791
1996-04-05,84.56,84.56,84.56,84.56,62.09,0
1996-04-08,84.56,86.22,84.52,84.91,62.35,48009
1996-04-09,84.91,86.19,83.46,83.74,61.49,73318
1996-04-10,83.74,85.66,84.32,85.19,62.56,350413
1996-04-11,85.19,85.47,84.89,85.31,62.65,151332
1996-04-12,89.04,89.04,84.51,85.21,62.57,50096
1996-04-15,85.21,88.13,85.66,87.75,64.43,584718
1996-04-16,87.75,89.87,88.01,89.18,65.48,192036
1996-04-17,89.18,93.52,89.87,93.14,68.4,795541
1996-04-18,93.14,95.41,92.37,92.73,68.09,428428
1996-04-19,93.31,94.28,92.56,92.77,68.12,162291
1996-04-22,92.77,94.28,91.22,92.16,67.68,198037
1996-04-23,92.16,93.9,90.93,92.7,68.07,271355
1996-04-24,92.7,96.01,93.71,95.83,70.37,356153
1996-04-25,97.73,97.73,88.34,91.42,67.13,329801
1996-04-26,91.42,95.61,89.11,91.97,67.54,257787
1996-04-29,91.97,91.07,89.86,90.23,66.26,175859
1996-04-30,90.23,92.94,89.34,91.61,67.27,381202
1996-05-01,91.61,94.76,93.48,94.1,69.1,195428
1996-05-02,94.1,93.9,92.38,93.33,68.54,92365
1996-05-03,93.33,92.94,91.42,91.68,67.32,74622
1996-05-06,91.68,91.25,90.07,90.19,66.23,120283
1996-05-07,90.19,91.31,90.08,90.4,66.38,163596
1996-05-08,90.4,91.66,89.6,91.5,67.19,185774
1996-05-09,91.02,91.22,90.31,90.62,66.55,92365
1996-05-10,90.62,89.49,87.96,88.25,64.8,184991
1996-05-13,88.25,89.68,86.82,88.72,65.15,344934
1996-05-14,88.72,89.48,88.34,89.22,65.52,172467
1996-05-15,89.22,93.89,91.41,93.36,68.56,429211
1996-05-16,94.67,96.77,94.28,94.64,69.49,1184570
1996-05-17,94.67,95.23,93.95,94.52,69.41,399466
1996-05-20,92.58,93.42,91.79,92.13,67.65,321973
1996-05-21,91.98,92.45,90.32,91.89,67.47,379375
1996-05-22,91.89,92.89,92.0,92.2,67.71,169075
1996-05-23,92.2,92.42,91.79,92.08,67.61,209517
1996-05-24,92.08,93.86,91.93,92.89,68.21,419035
1996-05-27,92.89,92.94,91.42,92.13,67.65,594111
1996-05-28,91.22,91.51,82.98,91.24,67.0,1147520
1996-05-29,92.17,93.9,92.17,93.75,68.84,1147781
1996-05-30,93.75,94.09,92.48,92.76,68.11,555234
1996-05-31,92.76,93.28,92.56,92.9,68.22,177946
1996-06-03,92.9,94.28,93.5,93.92,68.97,607679
1996-06-04,93.92,95.71,94.34,94.45,69.36,690129
1996-06-05,94.1,95.34,93.9,95.13,69.85,1215098
1996-06-06,95.42,98.35,95.42,97.33,71.47,1680316
1996-06-07,97.15,99.46,96.74,99.03,72.72,1024105
1996-06-10,99.65,103.0,98.74,101.04,74.19,2719816
1996-06-11,101.25,101.92,99.84,101.6,75.47,1369562
