Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,2.26,2.28,2.26,2.28,0.09,8021
2002-07-02,2.39,2.39,2.39,2.39,0.09,6722
2002-07-03,2.51,2.51,2.51,2.51,0.1,834
2002-07-04,2.64,2.64,2.64,2.64,0.1,5619
2002-07-05,2.78,2.78,2.59,2.78,0.11,54119
2002-07-08,2.86,2.92,2.68,2.91,0.11,28914
2002-07-09,2.99,3.03,2.94,2.98,0.11,11557
2002-07-10,2.94,2.94,2.78,2.78,0.11,13736
2002-07-11,2.69,2.78,2.6,2.69,0.1,9036
2002-07-12,2.68,2.69,2.64,2.69,0.1,539
2002-07-15,2.51,2.52,2.51,2.52,0.1,122
2002-07-16,2.59,2.69,2.51,2.51,0.1,433
2002-07-17,2.39,2.55,2.37,2.44,0.09,8950
2002-07-18,2.59,2.64,2.41,2.56,0.1,190
2002-07-19,2.42,2.58,2.41,2.51,0.1,2189
2002-07-22,2.26,2.44,2.26,2.34,0.09,11830
2002-07-23,2.48,2.48,2.32,2.48,0.09,6
2002-07-24,2.34,2.34,2.31,2.31,0.09,421
2002-07-25,2.29,2.48,2.19,2.19,0.08,6022
2002-07-26,2.08,2.34,2.08,2.19,0.08,1507
2002-07-29,2.0,2.29,2.0,2.1,0.08,8741
2002-07-30,2.19,2.25,2.14,2.16,0.08,6915
2002-07-31,2.14,2.19,2.1,2.1,0.08,4113
2002-08-01,2.34,2.34,2.34,2.34,0.09,1003
2002-08-02,2.19,2.27,2.19,2.27,0.09,2207
2002-08-05,2.29,2.29,2.29,2.29,0.09,802
2002-08-06,2.29,2.29,2.29,2.29,0.09,0
2002-08-07,2.15,2.29,2.15,2.29,0.09,202
2002-08-08,2.29,2.29,2.07,2.07,0.08,12093
2002-08-09,2.19,2.24,2.11,2.12,0.08,2398
2002-08-12,2.36,2.37,2.17,2.19,0.08,4718
2002-08-13,2.01,2.24,2.01,2.24,0.09,868
2002-08-14,2.16,2.26,2.16,2.24,0.08,8832
2002-08-15,2.24,2.24,2.24,2.24,0.08,0
2002-08-16,2.28,2.29,2.22,2.22,0.08,1169
2002-08-19,2.19,2.23,2.14,2.17,0.08,2107
2002-08-20,2.27,2.28,2.27,2.27,0.09,2245
2002-08-21,2.24,2.25,2.24,2.25,0.09,439
2002-08-22,2.25,2.28,2.24,2.25,0.09,2386
2002-08-23,2.2,2.23,2.19,2.23,0.08,1059
2002-08-26,2.14,2.29,2.14,2.21,0.08,4687
2002-08-27,2.1,2.26,2.1,2.19,0.08,6447
2002-08-28,2.04,2.16,2.0,2.02,0.43,3750
2002-08-29,2.22,2.22,1.94,2.02,0.43,3548
2002-08-30,2.39,2.39,1.79,2.09,0.45,4513
2002-09-02,2.29,2.29,2.07,2.08,0.45,618
2002-09-03,2.01,2.05,2.01,2.03,0.44,18
2002-09-04,1.9,2.14,1.9,2.13,0.46,3670
2002-09-05,1.99,2.09,1.99,2.07,0.44,2052
2002-09-06,2.04,2.12,2.04,2.04,0.44,4681
2002-09-09,1.81,2.37,1.81,2.02,0.43,730
2002-09-10,2.02,2.02,2.02,2.02,0.43,0
2002-09-11,2.42,2.42,1.99,2.18,0.47,929
2002-09-12,2.34,2.34,1.99,2.19,0.47,405
