Date,Open,High,Low,Close,Adj Close,Volume
2010-02-19,75.7,82.0,70.0,71.05,55.88,11915169
2010-02-22,73.0,73.0,68.75,69.1,54.35,1571651
2010-02-23,67.6,67.8,63.1,64.95,51.08,749956
2010-02-24,61.3,66.45,61.3,65.0,51.12,648878
2010-02-25,65.1,71.25,65.1,67.35,52.97,1613016
2010-02-26,67.5,67.5,65.0,65.4,51.44,246535
2010-03-02,66.05,68.0,66.05,67.85,53.37,250844
2010-03-03,65.0,70.0,65.0,69.15,54.39,215589
2010-03-04,69.15,71.65,69.1,71.25,56.04,276561
2010-03-05,71.7,74.0,71.45,72.1,56.71,254824
2010-03-08,73.0,75.1,72.0,74.8,58.83,327710
2010-03-09,75.5,75.9,73.6,74.5,58.6,272202
2010-03-10,75.0,75.0,72.7,73.5,57.81,184095
2010-03-11,73.0,74.9,73.0,74.1,58.28,125293
2010-03-12,74.4,76.8,73.75,76.4,60.09,463107
2010-03-15,76.75,77.5,74.5,75.5,59.38,204500
2010-03-16,76.95,77.0,74.85,75.85,59.66,258203
2010-03-17,76.0,77.9,75.4,76.8,60.4,245204
2010-03-18,78.1,82.5,77.1,79.75,62.72,613739
2010-03-19,78.15,79.25,77.05,77.5,63.34,136581
2010-03-22,76.4,77.75,76.1,76.95,62.89,73487
2010-03-23,77.0,78.1,75.55,76.55,62.56,147554
2010-03-25,77.2,77.6,75.25,76.4,62.44,129876
2010-03-26,76.15,77.0,70.0,74.95,61.25,166011
2010-03-29,76.0,76.35,74.7,75.25,61.5,118093
2010-03-30,76.1,78.95,75.5,78.55,64.2,249172
2010-03-31,79.0,82.4,78.65,81.55,66.65,276527
2010-04-01,82.6,83.4,80.5,81.05,66.24,123860
2010-04-05,81.7,85.6,80.0,84.8,69.3,187141
2010-04-06,81.25,84.5,81.25,84.15,68.77,117538
2010-04-07,84.5,86.4,84.15,85.2,69.63,153004
2010-04-08,86.6,88.5,84.6,87.9,71.84,125396
2010-04-09,88.5,97.85,85.15,93.95,76.78,553858
