Date,Open,High,Low,Close,Adj Close,Volume
2007-01-16,522.49,522.49,481.76,483.84,330.9,3436
2007-01-17,512.25,512.25,489.25,489.75,334.94,288
2007-01-18,499.33,499.98,490.0,491.91,336.42,340
2007-01-19,481.26,496.25,475.75,479.59,327.99,60
2007-01-22,493.5,500.0,493.5,500.0,341.95,108
2007-01-23,456.5,498.25,456.5,498.25,340.76,24
2007-01-24,510.0,510.0,494.75,494.75,338.36,72
2007-01-25,510.0,510.0,494.75,494.75,338.36,72
2007-01-29,477.14,499.0,456.5,462.26,316.14,1804
2007-01-31,452.75,494.5,452.5,468.81,320.62,960
2007-02-01,481.25,487.5,462.76,462.76,316.49,84
2007-02-02,475.0,487.5,474.75,486.62,332.81,528
2007-02-05,487.5,560.0,487.5,527.96,361.08,7600
2007-02-06,499.75,574.5,499.75,553.25,378.37,5168
2007-02-07,575.0,575.0,562.5,566.79,387.63,1128
2007-02-08,573.72,573.72,550.0,562.84,384.93,276
2007-02-09,508.75,567.25,508.75,528.75,361.62,196
2007-02-12,512.5,518.75,504.75,505.05,345.41,192
2007-02-13,500.0,510.0,499.75,501.98,343.3,188
2007-02-14,490.0,512.25,487.5,505.0,345.37,88
2007-02-15,507.5,512.5,502.5,507.5,347.08,112
2007-02-19,487.5,517.5,487.5,500.26,342.13,24
2007-02-20,492.5,495.01,492.5,495.01,338.54,24
2007-02-21,494.0,494.0,453.0,478.91,327.53,1200
2007-02-22,497.25,497.25,480.12,480.76,328.8,48
2007-02-23,525.0,548.49,486.51,487.52,333.42,1404
2007-02-26,497.5,497.75,487.5,487.5,333.4,368
2007-02-27,427.5,506.23,427.5,497.5,340.24,504
2007-02-28,472.5,493.75,465.01,486.0,332.38,156
2007-03-01,524.75,524.75,462.5,469.55,321.13,2256
2007-03-02,465.25,477.5,465.0,467.2,319.52,216
2007-03-05,389.64,465.0,389.64,444.0,303.65,224
2007-03-06,480.0,485.0,474.75,474.75,324.68,28
2007-03-07,427.75,497.5,427.75,437.99,299.54,984
2007-03-08,455.75,456.25,438.25,455.62,311.61,9624
2007-03-09,440.25,458.75,440.0,456.25,312.03,48
2007-03-12,438.25,467.5,438.25,467.5,319.73,84
2007-03-13,474.75,474.75,445.06,445.06,304.38,1200
2007-03-14,447.5,465.75,443.75,461.02,315.3,2800
2007-03-15,412.5,473.75,385.0,450.84,308.33,1160
2007-03-16,450.25,450.25,450.25,450.25,307.93,8
2007-03-19,472.5,472.5,450.5,450.5,308.1,20
2007-03-20,462.5,462.5,450.0,451.5,308.78,1192
2007-03-21,425.25,469.75,425.25,445.92,304.97,980
2007-03-22,435.0,465.0,435.0,465.0,318.02,800
2007-03-23,445.0,457.5,440.0,450.33,307.98,1000
2007-03-26,441.25,458.25,441.25,442.51,302.64,1536
2007-03-28,427.5,469.5,427.5,459.12,314.0,1200
2007-03-29,459.12,459.12,459.12,459.12,314.0,0
2007-03-30,441.25,450.0,441.25,442.51,302.64,112
2007-04-02,500.0,500.0,447.5,452.0,309.13,100
2007-04-03,453.75,456.24,452.5,456.24,312.02,96
2007-04-04,443.75,443.75,443.75,443.75,303.48,4
2007-04-05,445.0,445.0,445.0,445.0,304.34,20
2007-04-09,455.0,475.0,455.0,474.62,324.6,28
2007-04-10,475.0,475.0,472.5,472.5,323.15,20
2007-04-11,473.0,473.0,461.25,469.0,320.75,16
2007-04-12,469.0,469.0,469.0,469.0,320.75,0
2007-04-13,461.75,472.48,461.75,467.5,319.73,64
2007-04-16,475.0,481.25,453.0,477.95,326.87,76
2007-04-17,474.98,474.98,457.75,458.77,313.76,16
2007-04-18,481.25,500.0,475.0,476.08,325.59,196
2007-04-19,458.0,487.5,457.75,461.25,317.12,76
2007-04-20,475.0,505.0,440.5,468.25,321.93,256
2007-04-23,462.5,462.5,462.5,462.5,317.98,76
2007-04-24,462.86,462.86,461.83,461.83,317.51,100
2007-04-25,475.0,479.74,460.06,466.25,320.55,64
2007-04-26,479.98,479.98,472.5,475.0,326.57,52
2007-04-27,475.0,475.0,475.0,475.0,326.57,0
2007-04-30,479.98,479.98,472.5,475.0,326.57,52
2007-05-03,487.5,487.5,462.5,463.21,318.47,136
2007-05-04,463.21,463.21,463.21,463.21,318.47,0
2007-05-07,442.5,482.5,442.5,453.75,311.96,32
2007-05-08,460.0,460.0,456.25,456.25,313.68,48
2007-05-09,451.25,465.0,450.0,465.0,319.7,120
2007-05-10,465.0,465.0,465.0,465.0,319.7,0
2007-05-11,465.0,465.0,465.0,465.0,319.7,0
2007-05-14,442.75,459.74,442.75,451.0,310.07,72
2007-05-15,455.0,455.0,455.0,455.0,312.82,20
2007-05-16,455.0,455.0,455.0,455.0,312.82,0
2007-05-17,450.0,450.0,450.0,450.0,309.38,80
2007-05-18,450.0,450.0,444.0,444.0,305.26,144
2007-05-21,442.5,442.5,440.0,440.0,302.51,100
2007-05-22,438.0,438.0,437.51,437.51,300.8,24
2007-05-23,444.25,444.25,443.75,443.75,305.09,140
2007-05-24,450.0,450.0,450.0,450.0,309.38,40
2007-05-25,450.0,450.0,443.75,443.75,305.09,44
2007-05-28,443.75,443.75,442.5,442.5,304.23,12
2007-05-29,435.0,435.0,429.0,429.0,294.95,140
2007-05-30,435.0,437.5,428.83,428.83,294.82,128
2007-05-31,443.75,443.75,437.5,437.5,300.79,160
2007-06-01,447.5,450.0,440.0,445.1,306.01,112
2007-06-04,467.5,474.99,450.0,472.62,324.94,328
2007-06-05,468.75,468.75,450.0,453.45,311.75,96
2007-06-06,462.5,462.5,452.5,462.5,317.98,52
2007-06-07,460.0,462.5,452.5,460.7,316.74,600
2007-06-08,462.5,462.5,462.5,462.5,317.98,80
2007-06-11,450.0,450.0,426.25,437.75,300.96,160
2007-06-12,437.75,437.75,437.75,437.75,300.96,0
2007-06-13,456.25,456.25,456.25,456.25,313.68,4
2007-06-14,440.0,455.0,437.5,455.0,312.82,28
2007-06-15,445.0,445.0,438.5,438.5,301.48,8
2007-06-18,433.75,446.25,424.75,431.44,296.62,248
2007-06-19,447.5,448.75,437.5,437.5,300.79,76
2007-06-20,437.5,445.5,432.5,445.0,305.95,108
2007-06-21,448.75,448.75,448.75,448.75,308.52,20
2007-06-22,448.75,465.0,448.75,465.0,319.7,312
2007-06-25,450.0,475.0,450.0,468.08,321.81,216
2007-06-26,495.0,495.0,452.75,465.58,320.09,428
2007-06-27,474.75,474.75,462.5,469.25,322.62,232
2007-06-28,474.75,475.0,460.0,463.02,318.34,1168
2007-06-29,474.0,475.0,462.52,463.6,318.73,136
2007-07-02,480.0,481.25,453.75,474.75,326.4,96
2007-07-03,465.0,475.0,465.0,465.0,319.7,84
2007-07-04,465.0,465.0,465.0,465.0,319.7,8
2007-07-05,460.0,462.5,450.75,462.5,317.98,68
2007-07-06,455.75,467.5,455.75,467.5,321.41,68
2007-07-09,462.5,481.25,462.5,477.59,328.35,400
2007-07-10,475.0,475.0,468.09,472.5,324.85,672
2007-07-11,506.25,506.25,464.0,475.0,326.57,964
2007-07-12,478.0,492.5,470.0,470.0,323.13,284
2007-07-13,478.75,478.75,472.5,474.64,326.32,112
2007-07-16,472.5,472.5,462.5,462.5,317.98,56
2007-07-17,462.75,477.5,462.75,462.8,318.18,116
2007-07-18,462.75,474.5,462.75,474.5,326.23,144
2007-07-19,461.5,462.75,461.5,462.75,318.15,8
2007-07-20,463.75,470.0,462.75,463.31,318.54,32
2007-07-23,463.0,475.0,456.25,456.25,313.68,36
2007-07-24,456.25,477.5,450.0,450.25,309.55,144
2007-07-25,437.5,456.25,437.5,455.41,313.1,40
2007-07-26,480.0,481.25,462.75,462.75,318.15,44
2007-07-27,462.5,501.25,462.5,471.11,323.9,324
2007-07-30,463.75,487.0,463.75,487.0,334.82,740
2007-07-31,487.0,487.0,487.0,487.0,334.82,0
2007-08-01,457.5,465.0,457.5,457.5,314.54,112
2007-08-02,458.75,466.25,453.0,453.0,311.45,508
2007-08-03,440.5,467.5,440.5,445.25,306.12,492
2007-08-06,456.25,456.25,452.5,452.5,311.1,16
2007-08-07,456.25,473.75,445.25,471.0,323.82,644
2007-08-08,462.5,469.75,462.5,469.75,322.96,44
2007-08-09,462.5,462.5,455.0,459.89,316.18,1332
2007-08-10,451.25,456.12,450.0,456.12,313.59,112
2007-08-13,435.0,474.75,435.0,458.12,314.97,1140
2007-08-14,474.75,477.5,450.0,458.25,315.05,1620
2007-08-16,445.0,473.5,443.75,451.25,311.09,112
2007-08-17,448.75,448.75,443.75,443.75,305.92,180
2007-08-20,457.5,460.0,457.5,457.5,315.4,100
2007-08-21,400.0,485.0,400.0,457.5,315.4,152
2007-08-22,438.75,438.75,428.75,436.4,300.85,44
2007-08-23,459.25,473.75,440.0,451.09,310.98,248
2007-08-24,426.5,460.0,426.5,460.0,317.12,16
2007-08-27,475.0,475.0,474.99,475.0,327.46,36
2007-08-28,467.5,475.0,465.15,473.99,326.77,820
2007-08-29,413.0,500.0,413.0,482.5,332.63,1032
2007-08-30,512.5,512.5,445.0,502.5,346.42,724
2007-08-31,482.5,537.49,482.5,529.0,364.69,2112
2007-09-03,569.05,575.0,550.0,571.36,393.9,1580
