Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,17.5,17.5,17.5,17.5,14.68,151
2002-07-02,17.5,17.55,17.5,17.55,14.72,255
2002-07-03,18.0,18.0,18.0,18.0,15.1,200
2002-07-04,20.0,20.0,18.0,18.0,15.1,102
2002-07-05,18.7,19.7,18.7,19.35,16.23,300
2002-07-08,21.85,22.5,20.5,22.0,18.45,2240
2002-07-09,21.9,24.0,20.6,23.6,19.79,1451
2002-07-10,23.5,23.5,21.85,21.85,18.33,202
2002-07-11,20.0,20.15,20.0,20.0,16.77,499
2002-07-12,20.0,20.0,20.0,20.0,16.77,0
2002-07-15,23.75,23.75,21.5,22.5,18.87,4506
2002-07-16,21.0,22.25,21.0,22.15,18.58,499
2002-07-17,21.0,21.0,20.0,20.0,16.77,1045
2002-07-18,20.0,21.0,20.0,21.0,17.61,400
2002-07-19,21.9,22.4,21.0,21.05,17.66,2873
2002-07-22,21.05,21.05,21.05,21.05,17.66,0
2002-07-23,20.0,22.0,20.0,22.0,18.45,1580
2002-07-24,22.0,22.0,22.0,22.0,18.45,1145
2002-07-25,22.0,22.0,22.0,22.0,18.45,200
2002-07-26,22.0,22.0,22.0,22.0,18.45,0
2002-07-29,22.0,22.0,22.0,22.0,18.45,0
2002-07-30,22.0,22.0,22.0,22.0,18.45,0
2002-07-31,22.0,22.0,22.0,22.0,18.45,0
2002-08-01,18.55,18.55,18.55,18.55,15.56,101
2002-08-02,18.55,18.55,18.55,18.55,15.56,0
2002-08-05,18.55,18.55,18.55,18.55,15.56,0
2002-08-06,14.95,19.85,14.95,16.15,13.55,303
2002-08-07,14.0,16.95,14.0,15.55,13.04,871
2002-08-08,18.35,18.35,17.0,17.0,14.26,26
2002-08-09,20.4,20.4,15.75,17.95,15.05,6
2002-08-12,19.7,19.7,19.7,19.7,16.52,1
2002-08-13,21.55,21.55,21.55,21.55,18.07,1
2002-08-14,22.5,22.5,19.65,19.65,16.48,4
2002-08-15,19.65,19.65,19.65,19.65,16.48,0
2002-08-16,21.6,21.6,18.0,18.0,15.1,150
2002-08-19,18.0,18.0,17.7,17.7,14.85,326
2002-08-20,16.0,16.0,16.0,16.0,13.42,1
