Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,4.0,4.35,3.95,4.2,4.18,2901
2002-07-02,4.9,5.05,4.5,5.05,5.03,4052
2002-07-03,5.15,6.1,5.15,6.1,6.08,18502
2002-07-04,7.0,7.0,5.6,6.15,6.13,12603
2002-07-05,7.0,7.4,6.5,7.4,7.37,21351
2002-07-08,7.95,8.8,7.2,8.15,8.12,20350
2002-07-09,8.0,8.1,7.5,7.7,7.67,8000
2002-07-10,7.9,7.9,7.1,7.15,7.12,11840
2002-07-11,6.8,7.3,6.4,6.9,6.87,5250
2002-07-12,6.6,6.8,6.3,6.5,6.48,1200
2002-07-15,6.5,7.8,6.5,7.8,7.77,32966
2002-07-16,8.65,9.4,8.3,9.4,9.36,38071
2002-07-17,10.0,10.8,8.5,9.05,9.02,16276
2002-07-18,9.1,10.9,8.65,9.45,9.41,63870
2002-07-19,9.7,10.45,9.05,9.15,9.12,16100
2002-07-22,9.7,9.75,8.25,8.65,8.62,12510
2002-07-23,8.05,8.45,7.9,7.9,7.87,1800
2002-07-24,8.45,8.45,8.0,8.0,7.97,4451
2002-07-25,8.8,8.8,7.9,7.9,7.87,951
2002-07-26,7.25,7.95,7.2,7.45,7.42,5950
2002-07-29,7.45,7.45,6.75,6.85,6.82,750
2002-07-30,6.5,6.55,6.2,6.25,6.23,4141
2002-07-31,6.25,6.5,6.25,6.5,6.48,1400
2002-08-01,6.3,6.3,6.3,6.3,6.28,200
2002-08-02,6.2,6.95,6.15,6.7,6.67,1310
2002-08-05,6.7,6.7,6.7,6.7,6.67,0
2002-08-06,6.1,6.1,6.1,6.1,6.08,410
2002-08-07,6.75,6.75,6.75,6.75,6.72,1300
2002-08-08,6.5,6.5,6.1,6.1,6.08,20500
2002-08-09,6.1,6.1,6.0,6.0,5.98,10000
2002-08-12,6.0,6.0,5.8,6.0,5.98,11100
2002-08-13,6.0,6.0,6.0,6.0,5.98,0
2002-08-14,6.0,6.0,6.0,6.0,5.98,0
2002-08-15,6.0,6.0,6.0,6.0,5.98,0
2002-08-16,6.0,6.0,6.0,6.0,5.98,350
2002-08-19,6.0,6.0,6.0,6.0,5.98,0
2002-08-20,6.1,6.1,6.1,6.1,6.08,1000
2002-08-21,5.85,5.85,5.6,5.6,5.58,9100
2002-08-22,5.35,6.15,5.35,6.15,6.13,300
2002-08-23,6.6,6.6,6.3,6.3,6.28,3
2002-08-26,6.9,6.9,5.7,5.7,5.68,200
2002-08-27,5.25,5.45,5.25,5.3,5.28,1000
2002-08-28,4.6,5.1,4.6,5.1,5.08,800
2002-08-29,4.15,5.1,4.15,5.05,5.03,400
2002-08-30,4.6,4.6,4.6,4.6,4.58,1
2002-09-02,4.6,4.6,4.6,4.6,4.58,300
2002-09-03,4.45,5.4,4.45,5.4,5.38,600
2002-09-04,4.4,5.55,4.4,5.55,5.53,300
2002-09-05,4.55,5.85,4.55,5.0,4.98,1300
2002-09-06,4.05,5.2,4.05,5.2,5.18,1400
2002-09-09,6.1,6.1,4.85,5.1,5.08,4100
2002-09-10,5.1,5.1,5.1,5.1,5.08,0
2002-09-11,5.45,5.45,4.75,5.2,5.18,500
2002-09-12,6.2,6.2,4.5,4.6,4.58,4100
2002-09-13,5.4,5.4,4.75,4.75,4.73,500
2002-09-16,5.7,5.7,4.65,4.65,4.63,900
2002-09-17,3.75,5.55,3.75,5.5,5.48,100
2002-09-18,4.55,5.0,4.55,4.6,4.58,100
2002-09-19,4.15,5.25,4.15,5.25,5.23,900
2002-09-20,5.25,5.25,5.25,5.25,5.23,0
2002-09-23,4.3,4.3,4.3,4.3,4.28,1
2002-09-24,4.05,4.05,4.05,4.05,4.03,1
2002-09-25,3.65,4.65,3.65,4.65,4.63,500
2002-09-26,4.7,4.7,4.7,4.7,4.68,200
2002-09-27,4.65,4.8,4.6,4.8,4.78,800
2002-09-30,4.75,5.0,4.75,5.0,4.98,600
2002-10-01,5.0,5.0,5.0,5.0,4.98,0
2002-10-02,5.0,5.0,5.0,5.0,4.98,0
2002-10-03,4.2,4.9,4.2,4.8,4.78,700
2002-10-04,4.65,4.95,4.65,4.8,4.78,1300
2002-10-07,4.8,5.1,4.7,5.05,5.03,400
2002-10-08,5.05,5.05,5.05,5.05,5.03,0
2002-10-09,5.05,5.05,5.05,5.05,5.03,0
2002-10-10,5.05,5.05,5.05,5.05,5.03,0
2002-10-11,5.05,5.05,5.05,5.05,5.03,0
2002-10-14,4.7,4.85,4.7,4.7,4.68,463
2002-10-15,4.7,4.7,4.7,4.7,4.68,0
2002-10-16,4.75,4.75,4.7,4.7,4.68,500
2002-10-17,4.7,4.7,4.7,4.7,4.68,0
2002-10-18,4.8,4.8,4.7,4.7,4.68,600
2002-10-21,5.25,5.25,4.35,5.15,5.13,600
2002-10-22,5.15,5.15,5.15,5.15,5.13,0
2002-10-23,5.15,5.15,5.15,5.15,5.13,0
2002-10-24,5.15,5.15,5.15,5.15,5.13,0
2002-10-25,4.5,4.5,4.5,4.5,4.48,200
2002-10-28,4.55,4.55,4.35,4.35,4.33,500
2002-10-29,4.35,4.35,4.35,4.35,4.33,0
2002-10-30,4.2,5.0,4.2,4.65,4.63,400
2002-10-31,4.65,4.65,4.65,4.65,4.63,0
2002-11-01,4.65,4.65,4.65,4.65,4.63,0
2002-11-04,4.65,4.65,4.65,4.65,4.63,0
2002-11-05,4.0,4.0,4.0,4.0,3.99,1
2002-11-06,4.0,4.0,4.0,4.0,3.99,0
2002-11-07,4.5,4.5,4.35,4.35,4.33,300
2002-11-08,5.0,5.0,5.0,5.0,4.98,200
2002-11-11,4.7,4.7,4.3,4.3,4.28,800
2002-11-12,4.3,4.3,4.3,4.3,4.28,0
2002-11-13,4.35,4.6,4.35,4.6,4.58,400
2002-11-14,4.4,4.4,4.4,4.4,4.38,1
2002-11-15,4.6,4.6,4.6,4.6,4.58,2600
2002-11-18,4.6,4.6,4.6,4.6,4.58,0
2002-11-19,4.6,4.6,4.6,4.6,4.58,0
2002-11-20,4.7,4.7,4.4,4.7,4.68,300
2002-11-21,4.6,4.6,4.5,4.6,4.58,500
2002-11-22,4.6,4.6,4.6,4.6,4.58,0
2002-11-25,4.45,5.45,4.4,4.45,4.43,2500
2002-11-26,5.2,5.2,5.0,5.2,5.18,350
2002-11-27,4.45,5.6,4.45,4.55,4.53,2200
2002-11-28,4.6,5.25,4.6,4.75,4.73,700
2002-11-29,4.8,4.8,4.8,4.8,4.78,300
2002-12-02,4.9,5.05,4.9,5.05,5.03,1000
2002-12-03,5.1,5.1,5.05,5.05,5.03,1600
2002-12-04,4.95,4.95,4.95,4.95,4.93,500
2002-12-05,5.0,5.5,5.0,5.0,4.98,2700
2002-12-06,5.0,5.0,5.0,5.0,4.98,200
2002-12-09,5.0,5.4,5.0,5.4,5.38,750
2002-12-10,5.35,5.35,5.1,5.1,5.08,600
2002-12-11,5.1,5.1,5.1,5.1,5.08,250
2002-12-12,5.1,5.1,4.95,4.95,4.93,2300
2002-12-13,4.65,4.65,4.65,4.65,4.63,100
2002-12-16,4.55,4.55,4.55,4.55,4.53,1
2002-12-17,4.55,4.55,4.55,4.55,4.53,0
2002-12-18,4.55,4.55,4.5,4.55,4.53,1000
2002-12-19,4.4,4.4,4.4,4.4,4.38,550
2002-12-20,4.4,4.4,4.4,4.4,4.38,0
2002-12-23,4.45,4.45,4.25,4.25,4.23,1900
2002-12-24,4.25,4.25,4.25,4.25,4.23,0
2002-12-25,4.25,4.25,4.25,4.25,4.23,0
2002-12-26,4.2,4.9,4.1,4.3,4.28,600
2002-12-27,4.25,4.7,4.2,4.3,4.28,1100
2002-12-30,4.3,4.3,4.3,4.3,4.28,0
2002-12-31,4.15,4.15,4.15,4.15,4.13,386
2003-01-01,4.15,4.15,4.15,4.15,4.13,100
2003-01-02,4.15,4.15,4.15,4.15,4.13,0
2003-01-03,4.15,4.15,4.15,4.15,4.13,0
2003-01-06,4.15,4.15,4.15,4.15,4.13,0
2003-01-07,4.15,4.15,4.15,4.15,4.13,0
2003-01-08,4.25,4.25,4.25,4.25,4.23,200
2003-01-09,3.9,3.9,3.9,3.9,3.89,200
2003-01-10,3.5,4.6,3.5,3.55,3.54,1600
2003-01-13,3.55,3.55,3.55,3.55,3.54,0
2003-01-14,3.75,3.75,3.75,3.75,3.74,200
2003-01-15,3.75,3.75,3.75,3.75,3.74,0
2003-01-16,4.0,4.0,4.0,4.0,3.99,1000
2003-01-17,4.0,4.0,4.0,4.0,3.99,0
2003-01-20,3.55,3.55,3.5,3.5,3.49,1000
