Date,Open,High,Low,Close,Adj Close,Volume
2000-08-02,12.5,12.5,12.5,12.5,9.4,100
2000-08-03,11.85,12.0,10.8,11.55,8.69,33020
2000-08-04,11.65,11.65,10.9,11.2,8.43,25500
2000-08-07,11.05,11.05,10.8,10.81,8.13,13320
2000-08-08,10.35,11.0,10.35,10.74,8.08,47520
2000-08-09,10.95,11.0,10.81,10.81,8.13,7000
2000-08-10,11.0,11.15,10.85,10.95,8.24,7900
2000-08-11,11.0,11.4,10.86,10.86,8.17,5700
2000-08-14,10.5,10.99,10.5,10.66,8.02,14800
2000-08-15,10.66,10.66,10.66,10.66,8.02,0
2000-08-16,11.05,11.05,10.72,11.0,8.28,14520
2000-08-17,10.66,10.8,10.65,10.72,8.07,3900
2000-08-18,10.52,10.9,10.52,10.76,8.09,5500
2000-08-21,10.77,11.0,10.7,10.7,8.05,9900
2000-08-22,10.8,10.8,10.5,10.5,7.9,19520
2000-08-23,10.55,11.0,10.55,10.93,8.22,7020
2000-08-24,11.15,11.15,10.65,10.72,8.06,11000
2000-08-25,10.95,10.95,10.65,10.78,8.11,10620
2000-08-28,10.9,11.0,10.65,10.81,8.13,16800
2000-08-29,10.8,10.85,10.6,10.67,8.03,21440
2000-08-30,10.75,11.15,10.68,10.77,8.11,13520
2000-08-31,10.5,10.65,10.25,10.5,7.9,5200
2000-09-01,10.5,10.5,10.5,10.5,7.9,0
2000-09-04,10.5,10.7,10.45,10.65,8.01,22060
2000-09-05,10.05,10.9,10.05,10.21,7.68,48700
2000-09-06,10.23,10.9,10.2,10.26,7.72,158080
2000-09-07,11.08,11.08,10.05,10.19,7.67,148180
2000-09-08,10.25,10.25,10.16,10.24,7.71,40240
2000-09-11,10.1,10.3,10.05,10.13,7.62,40960
2000-09-12,10.2,10.25,9.95,10.05,7.56,132440
2000-09-13,10.35,10.35,10.11,10.15,7.63,45040
2000-09-14,10.24,10.3,9.48,9.53,7.17,161440
2000-09-15,9.62,9.74,9.51,9.6,7.22,78620
2000-09-18,9.25,9.65,9.25,9.48,7.13,49820
2000-09-19,9.27,9.55,8.72,8.99,6.77,74780
2000-09-20,9.39,9.55,9.2,9.38,7.05,17700
2000-09-21,9.47,9.69,9.26,9.4,7.07,29000
2000-09-22,9.6,9.6,9.18,9.28,6.98,8880
2000-09-25,9.0,9.4,9.0,9.25,6.96,31680
2000-09-26,9.02,9.25,8.77,8.91,6.7,43840
2000-09-27,8.9,8.9,8.35,8.77,6.6,30300
2000-09-28,8.9,8.9,8.5,8.59,6.46,12220
2000-09-29,8.41,8.74,8.4,8.58,6.46,28540
2000-10-02,8.58,8.58,8.58,8.58,6.46,0
2000-10-03,8.25,8.55,8.25,8.32,6.26,31280
2000-10-04,8.3,8.5,8.2,8.21,6.17,118020
2000-10-05,8.4,8.4,7.41,7.53,5.66,265280
2000-10-06,7.3,7.73,7.3,7.53,5.66,1424620
2000-10-09,7.45,7.55,7.25,7.32,5.5,135400
2000-10-10,7.34,7.4,6.95,7.01,5.27,124860
2000-10-11,7.0,7.9,6.9,7.7,5.79,105260
2000-10-12,7.26,8.2,7.26,7.81,5.88,216240
2000-10-13,7.56,7.74,7.35,7.43,5.59,107120
2000-10-16,7.25,7.9,7.25,7.64,5.75,115000
2000-10-17,7.65,7.65,7.46,7.53,5.67,66260
2000-10-18,7.5,7.7,7.5,7.59,5.71,23400
2000-10-19,7.01,7.7,7.01,7.7,5.79,51840
2000-10-20,7.45,8.93,7.4,8.88,6.68,162420
2000-10-23,8.55,8.75,7.95,8.2,6.17,392340
2000-10-24,8.01,8.86,8.01,8.7,6.54,132180
2000-10-25,8.75,8.98,8.4,8.57,6.45,255900
2000-10-26,8.0,8.7,8.0,8.56,6.44,6820
2000-10-27,8.72,8.89,8.4,8.48,6.38,17940
2000-10-30,8.69,8.69,8.5,8.51,6.4,22280
2000-10-31,8.5,8.5,8.01,8.23,6.19,60660
2000-11-01,8.55,8.55,8.3,8.52,6.41,19340
2000-11-02,8.35,8.5,8.3,8.41,6.33,18540
2000-11-03,8.4,8.75,8.25,8.63,6.49,187620
2000-11-06,8.8,10.01,8.76,8.9,6.7,388400
2000-11-07,8.8,9.34,8.4,8.51,6.4,350000
2000-11-08,8.95,9.0,8.5,8.61,6.48,184820
