Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,20.4,20.8,19.33,20.27,17.27,3214200
2002-07-02,21.27,21.33,19.87,20.2,17.22,3379200
2002-07-03,20.53,20.6,19.4,19.87,16.93,1529400
2002-07-04,20.13,21.87,19.33,21.87,18.64,6073950
2002-07-05,22.53,24.07,22.53,24.07,20.51,19643850
2002-07-08,24.53,26.53,24.53,26.53,22.62,13011600
2002-07-09,28.07,28.07,24.2,25.13,21.42,13130550
2002-07-10,26.6,26.6,23.93,24.07,20.51,2718750
2002-07-11,23.33,24.27,22.13,22.33,19.04,4111950
2002-07-12,23.13,24.6,23.13,24.6,20.97,5007450
2002-07-15,24.8,26.0,22.13,22.47,19.15,8096850
2002-07-16,21.67,23.33,20.93,21.53,18.35,5956050
2002-07-17,21.33,21.8,19.6,20.8,17.73,2810700
2002-07-18,21.0,22.93,20.8,22.87,19.49,5012100
2002-07-19,23.33,23.47,22.0,22.73,19.38,3774000
2002-07-22,21.47,22.53,20.47,20.53,17.5,1683750
2002-07-23,20.4,21.0,19.33,20.93,17.84,3225000
2002-07-24,20.0,21.6,19.8,20.07,17.1,1744650
2002-07-25,21.27,21.27,19.33,19.93,16.99,1252500
2002-07-26,18.73,18.8,18.27,18.33,15.63,1659900
2002-07-29,19.73,19.73,16.53,16.73,14.26,1380000
2002-07-30,17.07,17.33,15.07,15.2,12.96,1443750
2002-07-31,15.33,15.73,13.73,15.2,12.96,1516200
2002-08-01,15.2,16.73,15.2,16.73,14.26,2956500
2002-08-02,17.13,17.47,15.87,17.27,14.72,1076700
2002-08-05,16.87,18.53,16.87,17.73,15.12,1203900
2002-08-06,17.8,17.87,17.0,17.47,14.89,1047000
2002-08-07,17.47,18.0,17.47,17.87,15.23,507000
2002-08-08,17.87,17.87,16.53,16.73,14.26,455250
2002-08-09,16.4,17.33,16.0,16.93,14.43,855150
2002-08-12,17.33,17.73,16.8,17.73,15.12,420000
2002-08-13,16.67,17.8,16.67,17.2,14.66,285150
2002-08-14,16.8,17.33,16.8,17.0,14.49,195000
2002-08-15,17.0,17.0,17.0,17.0,14.49,0
2002-08-16,17.33,17.33,16.93,17.07,14.55,270300
2002-08-19,16.93,17.33,16.93,16.93,14.43,390000
2002-08-20,16.67,17.53,16.67,17.33,14.77,597600
2002-08-21,17.53,17.53,17.13,17.13,14.6,272400
2002-08-22,17.8,17.8,16.33,17.13,14.6,277650
2002-08-23,17.67,18.0,17.2,17.33,14.77,1950150
2002-08-26,17.6,18.47,17.2,17.47,14.89,1635150
2002-08-27,18.67,18.67,16.67,16.8,14.32,252000
2002-08-28,16.67,16.67,16.67,16.67,14.21,150000
2002-08-29,16.33,17.2,16.33,16.53,14.09,600000
2002-08-30,16.67,17.67,16.2,17.13,14.6,1147500
2002-09-02,18.27,18.33,17.0,17.27,14.72,2115000
2002-09-03,16.8,17.33,16.8,16.8,14.32,405000
2002-09-04,16.4,16.4,15.13,15.2,12.96,187500
2002-09-05,14.8,15.4,14.8,15.4,13.13,150000
2002-09-06,16.53,17.0,16.2,16.33,13.92,1282500
2002-09-09,15.8,15.8,15.33,15.4,13.13,1155000
2002-09-10,15.4,15.4,15.4,15.4,13.13,0
2002-09-11,16.0,16.0,15.33,15.67,13.35,712500
2002-09-12,15.73,16.67,15.6,16.67,14.21,1154700
2002-09-13,16.4,17.33,16.27,17.13,14.6,635400
2002-09-16,17.33,17.87,16.67,17.2,14.66,1455750
2002-09-17,17.33,18.13,17.33,17.93,15.29,1317600
2002-09-18,17.67,18.4,17.33,18.13,15.46,2128500
2002-09-19,19.33,19.47,17.33,17.33,14.77,2949300
2002-09-20,17.47,18.27,17.33,18.13,15.46,1207500
2002-09-23,18.0,18.67,17.33,18.47,15.74,645000
2002-09-24,17.4,17.6,17.4,17.6,15.0,345000
2002-09-25,17.47,17.47,17.4,17.4,14.83,180000
2002-09-26,17.4,18.6,17.0,18.27,15.57,585000
2002-09-27,18.27,18.67,18.13,18.4,15.68,390000
2002-09-30,17.53,18.53,17.53,18.33,15.63,2257500
2002-10-01,17.73,18.0,17.67,17.8,15.17,106500
2002-10-02,17.8,17.8,17.8,17.8,15.17,0
2002-10-03,18.0,18.0,17.47,17.47,14.89,315000
2002-10-04,17.2,17.87,17.2,17.33,14.77,225150
2002-10-07,16.73,17.67,16.67,17.67,15.06,180000
2002-10-08,17.33,17.33,16.8,17.0,14.49,939000
2002-10-09,17.0,17.33,17.0,17.0,14.49,111000
2002-10-10,17.6,17.6,16.93,17.6,15.0,150000
2002-10-11,18.67,18.67,17.6,17.93,15.29,660000
2002-10-14,18.13,18.13,17.33,17.53,14.94,285000
2002-10-15,17.53,17.53,17.53,17.53,14.94,0
2002-10-16,17.33,17.33,17.33,17.33,14.77,15000
2002-10-17,16.53,17.33,16.47,17.33,14.77,213750
2002-10-18,16.87,16.87,16.87,16.87,14.38,30000
2002-10-21,17.33,17.33,16.47,16.8,14.32,225000
2002-10-22,16.53,16.53,16.47,16.47,14.04,75000
2002-10-23,15.4,16.53,15.4,16.53,14.09,82500
2002-10-24,16.07,16.67,16.07,16.67,14.21,412500
2002-10-25,16.67,16.67,16.33,16.67,14.21,517500
2002-10-28,16.67,16.67,16.33,16.4,13.98,735000
2002-10-29,16.0,16.4,16.0,16.0,13.64,277500
2002-10-30,16.0,16.67,16.0,16.67,14.21,195000
2002-10-31,16.13,16.13,16.0,16.0,13.64,60000
2002-11-01,16.13,16.13,16.13,16.13,13.75,60000
2002-11-04,16.67,16.67,16.33,16.53,14.09,255000
2002-11-05,16.33,17.27,16.33,16.53,14.09,390000
2002-11-06,16.53,16.53,16.53,16.53,14.09,0
2002-11-07,17.6,17.6,16.13,16.13,13.75,162300
2002-11-08,15.4,16.8,15.33,16.8,14.32,528750
2002-11-11,16.07,16.8,16.07,16.67,14.21,285000
2002-11-12,16.33,16.33,16.33,16.33,13.92,15000
2002-11-13,16.67,16.67,16.0,16.47,14.04,120000
2002-11-14,16.67,16.8,16.2,16.2,13.81,495000
2002-11-15,16.4,16.4,16.33,16.33,13.92,150000
