Date,Open,High,Low,Close,Adj Close,Volume
2006-04-10,365.14,435.63,360.71,400.33,400.33,8224964
2006-04-12,400.05,409.37,354.42,361.1,361.1,2095289
2006-04-13,360.71,398.6,341.96,374.51,374.51,3476715
2006-04-17,382.16,396.15,376.15,382.5,382.5,808133
2006-04-18,387.54,398.89,380.81,395.38,395.38,1030074
2006-04-19,399.08,418.32,392.35,411.97,411.97,1829116
2006-04-20,413.51,423.85,409.04,413.36,413.36,1088116
2006-04-21,410.62,418.22,399.18,403.03,403.03,555197
2006-04-24,403.89,413.22,397.02,409.04,409.04,311431
2006-04-25,404.85,447.17,391.87,395.77,395.77,1107514
2006-04-26,402.69,416.68,399.42,408.41,408.41,418799
2006-04-27,413.22,437.5,404.85,427.74,427.74,808532
2006-04-28,405.82,439.47,346.39,433.17,433.17,503313
2006-05-02,449.09,459.38,433.99,439.33,439.33,194479
2006-05-03,442.36,457.65,423.13,439.23,439.23,383685
2006-05-04,440.44,453.9,438.51,443.9,443.9,195260
2006-05-05,446.21,466.35,440.44,460.53,460.53,445761
2006-05-08,464.28,475.44,450.24,458.27,458.27,264840
2006-05-09,459.67,463.03,443.46,450.05,450.05,105766
2006-05-10,451.98,466.4,448.32,462.17,462.17,227012
2006-05-11,458.71,460.29,447.5,449.47,449.47,71435
2006-05-12,437.55,452.94,435.63,439.19,439.19,60627
2006-05-15,434.33,437.55,411.59,418.56,418.56,101415
2006-05-16,411.59,422.16,375.04,406.3,406.3,145737
2006-05-17,415.19,434.67,411.68,414.81,414.81,38173
2006-05-18,403.89,413.51,357.97,363.98,363.98,90519
2006-05-19,383.7,432.74,355.81,360.57,360.57,85339
2006-05-22,376.97,376.97,288.49,306.19,306.19,59469
2006-05-23,346.19,346.19,278.88,327.97,327.97,104063
2006-05-24,327.92,328.98,293.64,297.63,297.63,78249
2006-05-25,300.52,300.52,279.84,285.13,285.13,50152
2006-05-26,293.3,311.53,291.38,302.39,302.39,51916
2006-05-29,326.0,326.0,302.92,307.34,307.34,33551
2006-05-30,307.34,308.69,294.26,296.33,296.33,27865
2006-05-31,289.65,289.65,278.88,281.43,281.43,25013
2006-06-01,283.69,302.92,261.57,266.47,266.47,29462
2006-06-02,258.49,267.34,229.83,252.24,252.24,116991
2006-06-05,254.84,275.99,242.48,259.89,259.89,59023
2006-06-06,254.84,258.68,241.85,250.37,250.37,30119
2006-06-07,244.26,256.76,225.36,225.36,225.36,41272
2006-06-08,216.37,216.37,202.91,202.91,202.91,26182
2006-06-09,192.33,220.22,183.19,215.02,215.02,98084
2006-06-12,211.66,236.57,203.39,230.89,230.89,35690
2006-06-13,223.1,225.89,207.81,207.81,207.81,11069
