Date,Open,High,Low,Close,Adj Close,Volume
2017-08-22,44.94,45.62,41.59,43.97,43.97,640000.0
2017-08-23,43.62,43.62,42.31,42.66,42.66,145920.0
2017-08-24,41.88,44.22,41.81,42.34,42.34,291840.0
2017-08-28,43.75,43.75,41.34,42.06,42.06,271360.0
2017-08-29,42.19,42.25,41.19,41.19,41.19,40960.0
2017-08-30,42.5,42.56,41.25,41.28,41.28,15360.0
2017-08-31,42.5,42.56,41.19,41.22,41.22,20480.0
2017-09-01,42.5,42.5,40.62,41.25,41.25,64000.0
2017-09-04,40.0,41.88,40.0,40.94,40.94,28160.0
2017-09-05,41.06,41.12,40.0,40.0,40.0,12800.0
2017-09-06,41.06,41.06,40.0,40.62,40.62,38400.0
2017-09-07,36.25,41.25,36.25,40.0,40.0,46080.0
2017-09-08,41.25,41.41,40.0,40.06,40.06,43520.0
2017-09-11,40.94,41.25,39.81,39.81,39.81,56320.0
2017-09-12,40.94,41.25,39.06,39.06,39.06,46080.0
2017-09-13,40.0,40.19,39.38,39.38,39.38,12800.0
2017-09-14,41.12,41.12,39.38,39.38,39.38,20480.0
2017-09-15,39.88,39.88,39.38,39.38,39.38,12800.0
2017-09-18,40.25,40.28,39.38,39.38,39.38,10240.0
2017-09-19,40.16,40.31,39.38,39.38,39.38,20480.0
2017-09-20,39.94,40.0,39.38,39.38,39.38,17920.0
2017-09-21,40.12,40.31,39.94,39.94,39.94,10240.0
2017-09-22,40.0,40.12,38.81,39.44,39.44,20480.0
2017-09-25,39.38,40.09,39.06,40.0,40.0,15360.0
2017-09-26,39.94,40.06,39.44,40.0,40.0,15360.0
2017-09-27,40.56,40.62,39.44,39.53,39.53,64000.0
2017-09-28,39.75,39.84,39.69,39.69,39.69,7680.0
2017-09-29,40.31,40.31,38.75,38.75,38.75,12800.0
2017-10-03,39.06,39.44,39.06,39.44,39.44,17920.0
2017-10-04,39.84,39.94,39.38,39.38,39.38,12800.0
2017-10-05,39.88,39.91,39.38,39.38,39.38,12800.0
2017-10-06,39.38,39.44,38.75,38.75,38.75,10240.0
2017-10-09,39.34,39.34,38.69,38.69,38.69,12800.0
2017-10-10,39.38,39.38,38.81,38.81,38.81,10240.0
2017-10-11,38.75,38.94,38.69,38.81,38.81,12800.0
2017-10-12,38.72,38.75,37.5,38.75,38.75,7680.0
2017-10-13,38.75,38.75,38.75,38.75,38.75,0.0
2017-10-16,38.75,38.75,38.75,38.75,38.75,0.0
2017-10-17,37.5,37.5,37.44,37.5,37.5,7680.0
2017-10-18,37.5,37.5,37.5,37.5,37.5,0.0
2017-10-19,37.94,37.97,37.5,37.5,37.5,10240.0
2017-10-23,36.88,36.88,36.25,36.25,36.25,7680.0
2017-10-24,36.25,36.25,36.25,36.25,36.25,0.0
2017-10-25,35.03,35.03,35.03,35.03,35.03,2560.0
2017-10-26,35.94,36.56,35.94,36.56,36.56,5120.0
2017-10-27,35.0,35.0,35.0,35.0,35.0,2560.0
2017-10-30,36.56,36.56,36.56,36.56,36.56,2560.0
2017-10-31,36.56,36.56,36.56,36.56,36.56,0.0
2017-11-01,36.56,36.56,36.56,36.56,36.56,0.0
2017-11-02,36.56,36.56,36.56,36.56,36.56,0.0
2017-11-03,35.56,35.62,35.56,35.62,35.62,46080.0
2017-11-06,35.62,35.62,35.62,35.62,35.62,0.0
2017-11-07,37.81,37.81,37.81,37.81,37.81,2560.0
2017-11-08,38.09,43.75,38.09,39.06,39.06,7680.0
2017-11-09,37.78,37.78,35.0,35.0,35.0,12800.0
2017-11-10,35.0,35.0,35.0,35.0,35.0,0.0
2017-11-13,35.0,35.0,35.0,35.0,35.0,0.0
2017-11-14,33.75,33.75,33.59,33.59,33.59,20480.0
2017-11-15,33.59,33.59,33.59,33.59,33.59,0.0
2017-11-16,33.44,33.44,32.53,32.53,32.53,10240.0
2017-11-17,32.5,33.69,32.38,32.97,32.97,15360.0
2017-11-20,32.5,33.69,32.03,33.69,33.69,12800.0
2017-11-21,34.06,34.56,32.03,32.03,32.03,20480.0
2017-11-22,33.03,33.03,31.31,31.31,31.31,17920.0
2017-11-23,33.44,33.44,33.44,33.44,33.44,10240.0
2017-11-24,32.19,32.19,32.19,32.19,32.19,10240.0
2017-11-27,32.19,32.19,32.19,32.19,32.19,0.0
2017-11-28,32.19,32.19,32.19,32.19,32.19,0.0
2017-11-29,32.19,32.19,32.19,32.19,32.19,0.0
2017-11-30,33.41,33.41,32.5,32.5,32.5,5120.0
2017-12-01,32.5,32.5,32.5,32.5,32.5,0.0
2017-12-04,31.25,31.25,30.47,30.47,30.47,46080.0
2017-12-05,31.88,31.88,31.81,31.81,31.81,53760.0
2017-12-06,32.5,32.56,32.5,32.56,32.56,5120.0
2017-12-07,32.41,32.41,32.41,32.41,32.41,2560.0
2017-12-08,32.41,32.41,32.41,32.41,32.41,0.0
2017-12-11,31.88,33.19,31.88,33.19,33.19,7680.0
2017-12-12,33.19,33.19,33.19,33.19,33.19,0.0
2017-12-13,33.19,33.19,33.19,33.19,33.19,0.0
2017-12-14,33.19,33.19,33.19,33.19,33.19,0.0
2017-12-15,33.19,33.19,33.19,33.19,33.19,0.0
2017-12-18,33.19,33.19,33.19,33.19,33.19,0.0
2017-12-19,33.19,33.19,33.19,33.19,33.19,0.0
2017-12-20,33.19,33.19,33.19,33.19,33.19,0.0
2017-12-21,33.19,33.19,33.19,33.19,33.19,0.0
2017-12-22,31.25,39.81,31.25,33.12,33.12,64000.0
2017-12-26,29.84,32.5,29.84,31.09,31.09,53760.0
