Date,Open,High,Low,Close,Adj Close,Volume
2006-04-03,2.96,2.96,2.96,2.96,2.67,1193240
2006-04-04,3.25,3.25,3.25,3.25,2.94,1193240
2006-04-05,3.42,3.42,3.42,3.42,3.09,296560
2006-04-07,3.59,3.59,3.42,3.47,3.13,12694240
2006-04-10,3.5,3.58,3.29,3.53,3.19,4380480
2006-04-12,3.6,3.71,3.55,3.71,3.35,2337320
2006-04-13,3.86,3.88,3.52,3.58,3.24,3687680
2006-04-17,3.69,3.72,3.63,3.68,3.33,1529280
2006-04-18,3.8,3.87,3.75,3.87,3.5,1569800
2006-04-19,4.06,4.06,3.95,4.06,3.67,2597200
2006-04-20,4.26,4.26,4.26,4.26,3.86,69600
2006-04-21,4.48,4.48,4.48,4.48,4.05,527440
2006-04-24,4.58,4.7,4.5,4.7,4.25,2585320
2006-04-25,4.94,4.94,4.56,4.64,4.2,9499880
2006-04-26,4.74,4.87,4.71,4.87,4.41,2023600
2006-04-27,5.05,5.12,5.0,5.12,4.63,3012000
2006-04-28,5.26,5.37,4.87,5.37,4.86,3158880
2006-05-02,5.92,5.92,5.92,5.92,5.36,1486840
2006-05-03,6.22,6.22,5.7,6.22,5.62,4971320
2006-05-04,6.53,6.53,6.53,6.53,5.9,737680
2006-05-05,6.86,6.86,6.23,6.41,5.8,7657800
2006-05-08,6.62,6.74,6.27,6.74,6.09,5419600
2006-05-09,7.06,7.07,6.56,7.07,6.39,8069000
2006-05-10,7.43,7.43,6.72,6.73,6.08,10358160
2006-05-11,7.04,7.07,6.42,6.81,6.15,8443560
2006-05-12,6.75,6.95,6.57,6.75,6.1,3566080
2006-05-15,6.88,6.9,6.41,6.41,5.8,3135000
2006-05-16,6.12,6.43,6.09,6.09,5.51,2443280
2006-05-17,6.2,6.4,6.2,6.4,5.79,6536320
2006-05-18,6.3,6.3,6.08,6.08,5.5,1667720
2006-05-19,6.03,6.2,5.78,5.78,5.22,489120
2006-05-22,5.77,5.82,5.49,5.49,4.96,89360
2006-05-23,5.21,5.21,5.21,5.21,4.71,64880
2006-05-24,4.97,5.2,4.95,4.95,4.48,1736120
2006-05-25,4.7,5.15,4.7,5.05,4.57,3788840
2006-05-26,5.1,5.3,5.1,5.3,4.8,4132280
2006-05-29,5.38,5.5,5.16,5.27,4.76,1718200
2006-05-30,5.45,5.5,5.18,5.22,4.72,2090040
2006-05-31,4.97,5.03,4.96,4.96,4.49,1396840
2006-06-01,5.07,5.07,4.69,4.69,4.26,546360
2006-06-02,4.5,4.65,4.45,4.52,4.11,1179520
2006-06-05,4.68,4.68,4.29,4.29,3.9,802440
2006-06-06,4.08,4.08,4.08,4.08,3.71,22800
2006-06-07,3.87,3.95,3.87,3.87,3.52,748400
2006-06-08,3.68,3.68,3.68,3.68,3.35,16400
2006-06-09,3.5,3.87,3.5,3.86,3.51,6055240
2006-06-12,4.03,4.03,3.47,3.47,3.16,1837520
2006-06-13,3.17,3.24,3.13,3.13,2.84,10324000
2006-06-14,3.22,3.22,2.97,2.97,2.7,1152120
2006-06-15,3.0,3.12,2.82,3.12,2.84,2930480
2006-06-16,3.25,3.28,3.25,3.28,2.98,417880
2006-06-19,3.38,3.42,3.12,3.32,3.02,1407080
2006-06-20,3.17,3.41,3.17,3.3,3.0,828560
2006-06-21,3.28,3.46,3.28,3.46,3.15,307240
2006-06-22,3.63,3.63,3.63,3.63,3.31,212280
2006-06-23,3.8,3.8,3.45,3.64,3.31,3584440
2006-06-26,3.73,3.85,3.5,3.5,3.18,656720
2006-06-27,3.42,3.53,3.33,3.45,3.14,1009960
2006-06-28,3.29,3.49,3.29,3.4,3.09,574480
2006-06-29,3.5,3.57,3.35,3.43,3.12,2149680
2006-06-30,3.55,3.57,3.45,3.51,3.19,1650200
2006-07-03,3.61,3.61,3.42,3.46,3.14,318320
2006-07-04,3.5,3.51,3.35,3.38,3.08,519400
2006-07-05,3.41,3.41,3.21,3.24,2.95,744760
2006-07-06,3.16,3.21,3.11,3.16,2.88,1349800
2006-07-07,3.22,3.24,3.01,3.01,2.73,485080
2006-07-10,3.0,3.0,2.88,2.97,2.7,963640
2006-07-11,2.97,3.12,2.93,3.12,2.84,1099040
2006-07-12,3.22,3.27,3.18,3.27,2.98,1976280
2006-07-13,3.3,3.44,3.3,3.44,3.13,712360
2006-07-14,3.48,3.61,3.35,3.6,3.27,3803600
2006-07-17,3.62,3.78,3.45,3.58,3.26,4051720
2006-07-18,3.72,3.72,3.4,3.4,3.09,1256080
