Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,37.05,37.75,36.7,37.6,27.03,1150
2002-08-13,39.0,40.0,37.3,38.0,27.32,2450
2002-08-14,38.4,38.75,38.25,38.7,27.82,1950
2002-08-15,38.7,38.7,38.7,38.7,27.82,0
2002-08-16,39.4,40.5,39.25,39.95,28.72,11463
2002-08-19,40.8,40.8,39.1,40.05,28.79,7295
2002-08-20,39.65,40.3,39.65,39.8,28.61,2190
2002-08-21,39.75,39.95,39.6,39.65,28.5,2840
2002-08-22,39.85,40.25,39.8,39.85,28.65,2388
2002-08-23,39.9,40.25,38.75,40.1,28.83,10255
2002-08-26,40.0,40.0,38.6,39.45,28.36,2704
2002-08-27,40.4,40.5,39.15,39.45,28.36,4375
2002-08-28,39.5,39.5,38.5,38.95,28.0,16550
2002-08-29,32.0,35.0,32.0,34.6,24.87,5300
2002-08-30,34.55,34.8,34.15,34.8,25.02,1224
2002-09-02,35.1,35.7,34.5,35.35,25.41,4450
2002-09-03,34.9,35.65,29.0,34.45,24.76,1846
2002-09-04,33.5,34.35,33.5,33.95,24.4,300
2002-09-05,33.65,34.05,33.0,33.5,24.08,2800
2002-09-06,32.0,33.4,32.0,33.4,24.01,1152
2002-09-09,34.9,34.9,32.15,33.5,24.08,620
2002-09-10,33.5,33.5,33.5,33.5,24.08,0
2002-09-11,33.95,34.05,33.9,34.05,24.48,2950
2002-09-12,34.45,34.5,33.3,34.0,24.44,1450
2002-09-13,33.1,34.35,33.0,33.25,23.9,3393
2002-09-16,33.5,34.0,33.0,34.0,24.44,2806
2002-09-17,33.35,34.35,33.35,34.25,24.62,1634
2002-09-18,31.5,34.4,31.5,33.7,24.22,673
2002-09-19,33.15,33.4,32.5,32.5,23.36,711
2002-09-20,31.6,33.35,30.05,31.65,22.75,2554
2002-09-23,29.25,32.1,29.25,32.05,23.04,850
2002-09-24,32.0,32.9,32.0,32.1,23.07,785
2002-09-25,32.35,34.6,32.0,32.95,23.69,972
2002-09-26,32.55,33.45,32.1,33.1,23.79,1455
2002-09-27,35.75,35.75,32.35,32.55,23.4,2777
2002-09-30,33.75,33.75,33.0,33.1,23.79,1251
2002-10-01,32.1,32.9,32.05,32.9,23.65,735
2002-10-02,32.9,32.9,32.9,32.9,23.65,0
2002-10-03,34.4,34.4,32.9,33.65,24.19,1571
2002-10-04,33.0,33.9,33.0,33.55,24.12,2690
2002-10-07,33.8,36.0,33.3,34.0,24.44,2049
2002-10-08,39.45,40.8,33.5,33.95,24.4,1716
2002-10-09,34.1,34.9,34.1,34.25,24.62,1920
2002-10-10,34.5,34.9,34.05,34.1,24.51,400
2002-10-11,34.9,34.9,34.75,34.75,24.98,135
2002-10-14,34.5,34.8,34.5,34.8,25.02,200
2002-10-15,34.8,34.8,34.8,34.8,25.02,0
2002-10-16,34.65,34.8,34.55,34.55,24.84,1205
