Date,Open,High,Low,Close,Adj Close,Volume
2018-07-09,1030.4,1047.9,1021.6,1041.1,1023.62,1221862
2018-07-10,1045.0,1047.0,1034.0,1038.45,1021.02,336269
2018-07-11,1028.05,1042.0,1015.25,1026.0,1008.78,139819
2018-07-12,1025.0,1050.5,1025.0,1042.65,1025.15,249829
2018-07-13,1044.5,1058.9,1016.25,1035.25,1017.87,171676
2018-07-16,1035.0,1035.25,1018.05,1022.45,1005.29,123918
2018-07-17,1022.45,1039.7,984.2,1034.45,1017.09,207463
2018-07-18,1040.0,1040.0,1011.0,1016.6,999.54,72488
2018-07-19,1011.25,1019.9,981.5,993.55,976.87,86703
2018-07-20,977.15,985.2,960.0,964.65,948.46,90859
2018-07-23,975.0,976.55,941.5,950.0,934.05,71292
2018-07-24,943.25,955.0,940.0,945.85,929.97,59016
2018-07-25,942.0,951.95,940.0,946.75,930.86,66954
2018-07-26,945.0,980.1,931.1,974.8,958.44,92091
2018-07-27,980.0,980.05,958.0,972.3,955.98,32501
2018-07-30,970.0,1033.0,967.15,996.8,980.07,114013
2018-07-31,983.1,1014.95,983.1,1008.2,991.28,32170
2018-08-01,999.5,1008.0,995.1,999.75,982.97,19116
2018-08-02,992.0,999.6,972.5,974.65,958.29,16905
2018-08-03,980.0,996.0,977.05,982.65,966.16,28114
2018-08-06,971.0,1004.0,971.0,991.85,975.2,46310
2018-08-07,1000.0,1007.0,982.0,989.9,973.28,30497
2018-08-08,993.95,994.05,973.25,982.65,966.16,27031
2018-08-09,984.0,993.9,976.25,979.95,963.5,16651
2018-08-10,985.0,991.9,970.1,972.25,955.93,12768
2018-08-13,967.0,978.95,960.0,962.55,946.39,8846
2018-08-14,963.75,992.4,960.55,968.3,952.05,19533
2018-08-16,964.05,978.9,960.05,968.75,952.49,10254
2018-08-17,968.75,999.0,965.3,978.3,961.88,297459
2018-08-20,980.0,998.0,979.95,991.3,974.66,24167
2018-08-21,991.5,1024.9,989.0,1012.1,995.11,97605
2018-08-23,1012.0,1098.85,1005.0,1087.3,1069.05,268534
2018-08-24,1088.0,1114.75,1060.2,1069.35,1051.4,169131
2018-08-27,1080.0,1100.0,1070.0,1072.8,1054.79,81673
2018-08-28,1079.9,1143.0,1070.25,1111.2,1092.55,224603
2018-08-29,1117.0,1149.0,1112.0,1117.95,1099.18,68384
2018-08-30,1126.0,1150.0,1111.05,1144.55,1125.34,76327
2018-08-31,1142.0,1170.1,1141.65,1151.15,1131.83,80144
2018-09-03,1163.25,1178.7,1150.0,1151.95,1132.61,83900
2018-09-04,1152.4,1175.05,1135.5,1151.95,1132.61,86739
2018-09-05,1151.0,1151.0,1085.0,1125.8,1106.9,320809
2018-09-06,1125.25,1134.95,1072.2,1105.65,1087.09,89091
2018-09-07,1095.0,1112.45,1061.0,1089.6,1071.31,51356
2018-09-10,1090.0,1090.05,1029.9,1034.0,1016.64,84119
