Date,Open,High,Low,Close,Adj Close,Volume
2010-02-15,155.13,170.99,144.29,147.22,144.04,9523619
2010-02-16,147.87,156.02,138.32,143.89,140.78,5836617
2010-02-17,147.17,148.17,140.96,142.8,139.71,774504
2010-02-18,142.25,145.78,140.81,141.65,138.6,338793
2010-02-19,141.7,141.7,129.62,131.51,128.67,292532
2010-02-22,133.25,135.64,123.85,125.1,122.4,245779
2010-02-23,125.3,133.75,119.58,125.3,122.59,667946
2010-02-24,123.31,128.03,121.17,123.06,120.4,344106
2010-02-25,123.46,129.03,123.31,125.0,122.3,387664
2010-02-26,125.74,125.74,120.47,121.27,118.65,113344
2010-03-02,122.81,124.3,120.23,121.17,118.55,66869
2010-03-03,122.26,132.56,120.92,126.69,123.95,419269
2010-03-04,127.29,135.19,126.44,132.95,130.08,309465
2010-03-05,134.25,134.25,126.89,127.48,124.73,153252
2010-03-08,129.17,131.26,126.99,127.58,124.83,88313
2010-03-09,128.68,141.26,125.3,138.37,135.38,670985
2010-03-10,138.22,147.17,137.23,140.66,137.62,569844
2010-03-11,139.72,141.16,135.34,136.73,133.78,148428
2010-03-12,137.18,142.7,135.49,137.83,134.85,193562
2010-03-15,137.38,141.26,135.64,139.72,136.7,138778
2010-03-16,140.01,143.15,139.27,140.61,137.57,106121
2010-03-17,142.2,142.95,140.66,141.65,138.6,158890
2010-03-18,139.72,143.2,136.78,140.86,137.82,116358
2010-03-19,142.15,146.33,139.42,141.51,138.45,301332
2010-03-22,139.22,144.94,135.94,138.22,135.24,206539
2010-03-23,142.2,144.19,138.72,139.96,136.94,117577
2010-03-25,138.72,143.94,138.72,140.31,137.28,166127
2010-03-26,140.31,153.39,140.31,146.98,143.8,996663
2010-03-29,148.17,154.13,142.3,149.16,145.94,401943
2010-03-30,149.61,155.23,147.92,150.75,147.5,190536
2010-03-31,152.84,155.83,150.46,154.04,150.71,112275
2010-04-01,155.03,158.51,152.39,156.42,153.04,125735
2010-04-05,158.06,160.1,155.38,158.66,155.23,66149
2010-04-06,160.0,161.1,149.16,157.67,154.26,256894
2010-04-07,157.62,157.86,153.39,156.07,152.7,102067
2010-04-08,155.13,156.87,150.36,152.79,149.49,27464
2010-04-09,153.04,159.6,152.15,155.92,152.56,33895
2010-04-12,159.01,159.11,150.31,151.55,148.28,29384
2010-04-13,152.59,155.08,149.46,153.54,150.22,10980
2010-04-15,155.08,162.24,153.24,159.11,155.67,135556
2010-04-16,160.2,161.79,155.18,156.77,153.38,15893
2010-04-19,154.63,157.12,152.64,153.19,149.88,14361
2010-04-20,154.04,157.12,153.74,154.73,151.39,6071
2010-04-21,157.12,157.12,153.14,154.53,151.19,5987
2010-04-22,155.03,155.88,150.65,151.3,148.03,6057
2010-04-23,153.14,155.43,151.15,154.33,151.0,8001
2010-04-26,156.07,159.01,153.24,157.67,154.26,19967
2010-04-27,158.11,158.11,152.2,153.49,150.17,7266
2010-04-28,153.14,154.04,149.26,150.85,147.6,4991
2010-04-29,151.35,154.63,148.17,153.44,150.12,11866
2010-04-30,154.04,166.96,152.74,159.85,156.4,80530
2010-05-03,159.01,163.08,155.28,156.12,152.75,22123
2010-05-04,157.12,162.09,149.66,151.5,148.23,40878
2010-05-05,150.26,150.9,145.28,150.21,146.96,34872
2010-05-06,149.16,151.25,148.67,149.36,146.14,5443
2010-05-07,148.17,151.15,145.68,149.76,146.52,41478
2010-05-10,149.96,153.14,147.37,151.3,148.03,7426
2010-05-11,153.89,154.04,149.36,150.06,146.82,5948
2010-05-12,153.14,153.49,148.67,150.16,146.91,11276
2010-05-13,153.09,153.09,149.71,150.36,147.11,4096
2010-05-14,152.05,152.15,145.33,146.33,143.17,4537
2010-05-17,146.38,148.57,146.18,146.23,143.07,4822
2010-05-18,147.07,150.16,146.18,146.63,143.46,3133
2010-05-19,146.63,152.59,144.69,146.73,143.56,13005
2010-05-20,147.17,148.37,144.24,144.39,141.27,2072
2010-05-21,144.04,144.24,140.31,142.6,139.52,3605
2010-05-24,144.44,144.89,141.85,143.94,140.83,4267
2010-05-25,141.21,143.2,135.34,139.22,136.21,16422
2010-05-26,139.52,141.21,138.22,138.67,135.68,2040
2010-05-27,139.82,140.06,137.23,137.38,134.41,1679
2010-05-28,142.2,142.2,138.42,139.86,136.84,4929
2010-05-31,139.32,139.32,137.23,138.62,135.63,1567
2010-06-01,139.22,139.22,137.23,137.28,134.31,2509
2010-06-02,136.24,141.16,134.25,139.96,136.94,4553
2010-06-03,140.21,140.21,137.23,137.63,134.65,2407
2010-06-04,137.78,138.27,135.29,135.79,132.86,2049
2010-06-07,132.36,135.24,131.61,135.14,132.22,1373
2010-06-08,132.8,138.07,132.31,133.7,130.81,1785
2010-06-09,135.24,137.23,131.46,132.16,129.3,1452
2010-06-10,131.56,149.16,129.52,130.47,127.65,8728
2010-06-11,132.26,134.74,131.76,131.96,129.11,11487
2010-06-14,131.46,137.73,131.46,133.05,130.18,7477
2010-06-15,134.1,135.04,131.56,132.21,129.35,5251
2010-06-16,132.66,134.15,130.47,131.36,128.53,7805
2010-06-17,133.45,133.45,130.17,130.62,127.8,4238
2010-06-18,132.11,132.16,130.37,131.26,128.43,9553
2010-06-21,131.21,137.68,131.21,135.74,132.81,9667
2010-06-22,135.24,135.24,132.36,133.15,130.28,402
2010-06-23,132.41,135.09,132.41,134.5,131.59,2816
2010-06-24,133.15,136.53,133.05,134.79,131.88,3705
2010-06-25,135.69,147.17,134.0,141.7,138.64,23502
2010-06-28,141.7,143.4,138.37,142.2,139.13,8532
2010-06-29,145.09,153.14,141.85,142.45,139.37,29262
2010-06-30,142.45,144.69,139.77,140.31,137.28,2168
2010-07-01,143.05,147.02,138.47,142.85,139.76,21832
2010-07-02,146.08,146.18,141.31,142.65,139.57,7119
2010-07-05,143.2,143.2,137.83,139.82,136.8,5970
2010-07-06,138.42,140.71,138.32,138.87,135.87,7755
2010-07-07,138.22,141.11,135.39,136.68,133.73,4634
2010-07-08,140.21,140.21,136.24,137.28,134.31,3468
2010-07-09,139.12,139.82,137.43,137.83,134.85,2685
2010-07-12,136.43,138.03,136.43,137.38,134.41,2252
2010-07-13,137.83,140.11,137.28,137.58,134.61,4442
2010-07-14,137.63,141.21,136.93,137.93,134.95,4660
2010-07-15,135.74,139.22,134.74,136.14,133.2,4396
2010-07-16,136.73,140.76,136.73,139.82,136.8,4695
2010-07-19,138.37,144.04,138.37,141.51,138.45,7277
2010-07-20,142.9,145.09,138.42,138.92,135.92,8611
2010-07-21,140.11,140.21,138.47,139.22,136.21,4022
2010-07-22,139.22,139.22,137.78,138.17,135.19,2015
2010-07-23,138.22,148.76,138.22,146.23,143.07,37679
2010-07-26,147.67,150.9,145.23,145.78,142.63,16582
2010-07-27,145.48,147.77,140.96,141.95,138.89,5449
2010-07-28,144.09,144.79,140.31,140.61,137.57,3179
2010-07-29,142.0,142.2,139.72,140.31,137.28,1729
2010-07-30,140.71,142.7,139.72,139.86,136.84,3277
2010-08-02,141.21,141.65,139.32,139.77,136.75,1442
2010-08-03,139.02,140.96,138.27,139.07,136.07,7908
2010-08-04,141.11,141.11,137.23,137.53,134.56,5592
2010-08-05,137.23,141.16,137.23,138.17,135.19,5822
2010-08-06,139.02,139.22,136.19,136.73,133.78,5348
2010-08-09,139.57,159.21,138.97,149.01,145.8,596549
2010-08-10,151.15,154.04,142.3,144.59,141.47,114442
2010-08-11,144.19,173.53,144.19,172.53,168.81,998908
2010-08-12,169.05,180.44,164.23,172.68,168.95,846002
2010-08-13,171.14,174.57,168.16,170.59,166.91,157722
2010-08-16,170.05,180.98,165.12,168.65,165.01,269129
2010-08-17,169.05,174.02,164.38,171.54,167.83,365640
2010-08-18,173.23,178.0,171.29,175.02,171.24,389069
2010-08-19,177.11,190.73,177.11,185.31,181.31,711528
2010-08-20,184.96,193.41,181.48,184.12,180.14,370334
2010-08-23,186.35,195.7,180.98,188.34,184.27,216743
2010-08-24,186.95,192.82,178.0,178.65,174.79,132745
2010-08-25,179.09,183.72,162.09,164.73,161.17,208568
2010-08-26,167.01,177.9,167.01,173.68,169.92,349137
2010-08-27,173.28,180.09,170.24,171.54,167.83,197657
2010-08-30,171.93,177.7,164.58,169.0,165.35,55075
2010-08-31,165.17,171.84,162.34,165.52,161.95,110063
2010-09-01,169.05,174.02,167.31,168.01,164.38,91306
2010-09-02,170.79,171.93,167.31,167.56,163.94,34492
2010-09-03,170.05,182.77,168.7,180.49,176.59,331852
2010-09-06,182.28,184.86,175.27,176.86,173.04,134924
2010-09-07,178.0,182.67,175.51,177.45,173.62,131308
2010-09-08,177.01,178.0,173.03,175.12,171.33,72937
2010-09-09,177.01,177.4,172.53,173.72,169.97,45755
2010-09-13,178.8,181.98,168.21,169.45,165.79,73964
2010-09-14,170.05,173.03,161.1,168.01,164.38,78431
2010-09-15,166.27,170.74,165.07,167.31,163.7,29720
2010-09-16,168.7,170.54,163.18,164.38,160.83,50682
2010-09-17,165.77,169.55,164.58,166.86,163.26,114799
2010-09-20,168.65,177.7,167.06,171.49,167.78,100713
2010-09-21,171.93,171.93,164.33,167.41,163.79,41025
2010-09-22,168.55,168.75,165.07,165.97,162.38,22835
2010-09-23,171.04,171.04,165.07,165.97,162.38,33690
2010-09-24,166.96,170.74,165.57,168.36,164.72,27222
2010-09-27,170.54,170.54,165.12,165.67,162.09,28964
2010-09-28,166.76,174.02,164.28,170.05,166.37,169244
2010-09-29,173.63,175.02,165.17,166.07,162.48,135589
2010-09-30,167.06,168.55,163.13,164.82,161.26,39327
2010-10-01,166.66,170.0,164.73,165.77,162.19,31640
2010-10-04,162.14,175.71,162.14,172.43,168.71,135224
2010-10-05,172.03,179.0,166.12,167.21,163.6,267323
2010-10-06,170.05,170.94,166.57,168.26,164.62,35066
2010-10-07,169.05,173.72,167.26,167.81,164.18,92240
2010-10-08,168.8,170.0,163.13,166.02,162.43,296903
2010-10-11,167.66,169.05,164.28,164.97,161.41,17782
