Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,33.33,34.23,33.07,33.4,26.17,40786
2002-07-02,33.67,34.07,32.67,32.93,25.81,29353
2002-07-03,33.27,33.27,31.33,31.67,24.82,25816
2002-07-04,32.13,32.67,31.67,31.73,24.87,11160
2002-07-05,31.43,32.97,31.4,32.47,25.44,29301
2002-07-08,30.0,35.83,30.0,34.67,27.17,74842
2002-07-09,35.63,35.63,33.4,33.63,26.36,30408
2002-07-10,33.67,34.3,33.17,33.2,26.02,27153
2002-07-11,33.33,33.33,32.2,32.33,25.34,18252
2002-07-12,33.43,34.0,32.33,32.67,25.6,8106
2002-07-15,31.5,32.67,31.33,31.73,24.87,17758
2002-07-16,31.87,32.67,31.67,32.43,25.42,9511
2002-07-17,31.9,31.9,28.0,30.17,23.64,28395
2002-07-18,30.83,31.33,30.83,31.3,24.53,7084
2002-07-19,31.03,31.8,31.03,31.23,24.48,14455
2002-07-22,30.67,30.73,29.33,29.73,23.3,13446
2002-07-23,29.33,30.0,29.33,29.97,23.48,5716
2002-07-24,29.83,30.17,29.57,29.73,23.3,11739
2002-07-25,30.03,30.6,29.53,29.77,23.33,23934
2002-07-26,28.83,29.8,28.67,28.7,22.49,13291
2002-07-29,27.7,29.0,27.7,28.67,22.47,17094
2002-07-30,31.3,31.33,28.47,28.73,22.52,14188
2002-07-31,29.27,33.67,28.37,31.8,24.92,60213
2002-08-01,32.03,32.67,31.47,31.57,24.74,37977
2002-08-02,32.53,32.53,30.87,31.67,24.82,8805
2002-08-05,32.0,33.13,32.0,32.57,25.52,16387
2002-08-06,32.47,32.83,31.67,32.07,25.13,15480
2002-08-07,32.33,33.0,32.23,32.67,25.6,11383
2002-08-08,35.0,35.0,31.43,32.1,25.16,13548
2002-08-09,32.0,32.2,30.83,31.2,24.45,10350
2002-08-12,30.67,31.83,30.67,31.2,24.45,6550
2002-08-13,31.67,31.67,31.03,31.27,24.5,18975
2002-08-14,31.33,31.7,31.07,31.33,24.55,18454
2002-08-15,31.33,31.33,31.33,31.33,24.55,0
2002-08-16,31.33,31.43,31.03,31.23,24.48,13711
2002-08-19,31.4,31.57,31.17,31.4,24.61,18901
2002-08-20,31.33,31.47,31.33,31.33,24.55,9456
2002-08-21,31.03,32.6,31.03,32.13,25.18,20679
2002-08-22,32.03,32.4,32.0,32.03,25.1,13891
2002-08-23,32.5,32.5,32.0,32.0,25.08,7392
2002-08-26,32.0,32.0,31.43,31.73,24.87,11002
2002-08-27,31.67,31.87,31.47,31.57,24.74,7191
2002-08-28,31.33,31.33,29.4,30.23,23.69,35229
2002-08-29,28.0,28.43,27.2,27.3,21.39,28441
2002-08-30,27.37,28.27,27.23,27.67,21.68,35971
2002-09-02,28.33,29.13,27.87,28.8,22.57,31153
2002-09-03,28.67,29.0,28.0,28.37,22.23,16873
2002-09-04,30.0,30.03,28.67,29.37,23.01,25128
2002-09-05,30.33,32.3,30.1,31.7,24.84,140086
2002-09-06,31.07,31.67,30.6,31.13,24.4,47038
2002-09-09,32.0,32.33,30.0,30.9,24.22,54171
2002-09-10,30.9,30.9,30.9,30.9,24.22,0
2002-09-11,34.33,34.33,31.1,31.33,24.55,69720
2002-09-12,31.97,31.97,31.03,31.23,24.48,35773
2002-09-13,30.3,31.8,30.3,31.57,24.74,20643
2002-09-16,31.03,31.67,31.03,31.2,24.45,8413
2002-09-17,31.63,31.63,30.6,30.97,24.27,16615
2002-09-18,31.33,31.33,30.73,30.77,24.11,7677
2002-09-19,31.0,31.17,30.67,31.0,24.29,17347
2002-09-20,30.7,31.27,30.67,30.97,24.27,10398
2002-09-23,31.0,31.0,30.03,30.33,23.77,10768
2002-09-24,30.27,30.27,29.43,29.8,23.35,10386
2002-09-25,30.67,30.67,29.37,30.23,23.69,5467
2002-09-26,29.7,30.13,29.6,29.97,23.48,1837
2002-09-27,30.23,30.27,30.1,30.23,23.69,3796
2002-09-30,30.13,30.43,29.6,29.83,23.38,5601
2002-10-01,30.1,30.1,29.07,29.43,23.07,6328
2002-10-02,29.43,29.43,29.43,29.43,23.07,0
2002-10-03,29.97,29.97,29.2,29.47,23.09,13365
2002-10-04,29.23,29.77,29.23,29.67,23.25,5235
2002-10-07,29.57,30.17,29.37,30.13,23.61,2977
2002-10-08,29.0,30.33,29.0,30.3,23.75,8953
2002-10-09,30.03,30.53,30.0,30.2,23.67,2956
2002-10-10,31.63,31.63,30.07,30.9,24.22,3423
2002-10-11,30.37,31.33,30.13,30.77,24.11,2773
2002-10-14,32.6,32.6,30.17,30.17,23.64,5661
2002-10-15,30.17,30.17,30.17,30.17,23.64,0
2002-10-16,30.63,30.63,30.13,30.2,23.67,4729
2002-10-17,32.0,32.0,30.13,30.17,23.64,1869
2002-10-18,30.17,30.5,30.13,30.23,23.69,4501
2002-10-21,30.67,30.73,30.0,30.1,23.59,4755
2002-10-22,30.07,30.67,30.07,30.13,23.61,3228
2002-10-23,30.33,30.33,29.73,29.87,23.41,4701
2002-10-24,29.97,30.23,29.43,29.8,23.35,4525
2002-10-25,29.37,29.53,29.17,29.3,22.96,11002
2002-10-28,33.33,33.33,28.67,29.1,22.8,7623
2002-10-29,30.47,30.47,29.33,29.87,23.41,6124
2002-10-30,30.07,30.07,29.33,29.37,23.01,2320
2002-10-31,29.5,29.93,29.37,29.67,23.25,4114
2002-11-01,29.97,30.03,29.67,29.67,23.25,1416
2002-11-04,29.87,30.27,29.67,30.13,23.61,1516
2002-11-05,30.23,30.63,29.43,30.13,23.61,2751
2002-11-06,30.13,30.13,30.13,30.13,23.61,0
2002-11-07,31.93,31.93,30.0,30.63,24.01,2088
2002-11-08,30.67,31.03,30.17,30.2,23.67,6022
2002-11-11,30.0,30.67,29.37,29.5,23.12,13302
2002-11-12,30.27,30.27,29.33,29.33,22.99,3264
2002-11-13,31.93,31.93,29.37,29.7,23.27,2958
2002-11-14,31.93,31.93,29.5,29.6,23.2,2236
2002-11-15,32.0,32.0,25.33,29.6,23.2,5337
2002-11-18,29.5,29.67,29.0,29.0,22.73,3777
2002-11-19,29.0,29.0,29.0,29.0,22.73,0
2002-11-20,32.0,32.0,29.13,29.3,22.96,13150
2002-11-21,29.37,29.4,29.1,29.33,22.99,5898
2002-11-22,29.4,29.53,29.33,29.33,22.99,9043
2002-11-25,29.67,29.9,29.23,29.33,22.99,8548
2002-11-26,31.27,31.27,29.0,29.1,22.8,10614
2002-11-27,29.33,29.73,29.1,29.23,22.91,10075
2002-11-28,30.67,30.67,27.7,28.3,22.18,26274
2002-11-29,28.53,28.53,27.77,28.13,22.05,11202
2002-12-02,30.0,30.0,27.83,27.87,21.84,11355
2002-12-03,29.83,29.83,27.87,27.87,21.84,9438
2002-12-04,27.93,28.0,27.33,27.47,21.52,7962
2002-12-05,27.33,27.93,27.33,27.63,21.66,5563
2002-12-06,27.8,27.87,27.53,27.77,21.76,4602
2002-12-09,28.0,28.27,27.47,27.77,21.76,5047
2002-12-10,27.53,27.53,27.07,27.2,21.32,3936
2002-12-11,29.2,29.2,27.33,27.4,21.47,14433
2002-12-12,27.8,27.8,27.2,27.33,21.42,4674
2002-12-13,27.03,27.63,27.03,27.47,21.52,4419
2002-12-16,27.5,27.9,27.17,27.17,21.29,3945
2002-12-17,27.33,27.33,27.0,27.27,21.37,1537
2002-12-18,27.3,27.47,27.03,27.17,21.29,3598
2002-12-19,27.37,27.37,26.9,27.07,21.21,3468
2002-12-20,27.1,27.2,26.83,26.93,21.11,4900
2002-12-23,26.7,27.2,26.7,27.0,21.16,1791
2002-12-24,27.03,27.17,26.67,27.1,21.24,9690
2002-12-25,27.1,27.1,27.1,27.1,21.24,0
2002-12-26,27.03,27.47,27.03,27.43,21.5,3603
2002-12-27,27.17,27.83,27.17,27.5,21.55,4458
2002-12-30,27.27,27.67,27.23,27.6,21.63,1954
2002-12-31,27.77,28.87,27.73,28.37,22.23,23176
2003-01-01,27.37,28.8,27.33,28.63,22.44,6607
2003-01-02,32.0,32.0,28.47,28.6,22.41,8422
2003-01-03,28.43,30.0,28.33,29.37,23.01,41140
2003-01-06,29.0,30.0,29.0,29.33,22.99,20125
2003-01-07,29.67,29.77,29.17,29.17,22.86,2737
2003-01-08,28.9,29.17,28.7,28.73,22.52,5064
2003-01-09,28.73,28.73,28.47,28.67,22.47,3469
2003-01-10,28.03,28.67,28.03,28.47,22.31,8254
2003-01-13,28.37,28.87,28.33,28.7,22.49,7134
2003-01-14,28.93,29.67,28.83,29.53,23.14,18118
2003-01-15,29.67,30.47,29.67,30.27,23.72,29004
2003-01-16,30.37,30.77,30.23,30.53,23.93,11979
2003-01-17,30.43,30.67,30.27,30.4,23.82,5551
2003-01-20,30.37,30.37,29.73,29.87,23.41,1974
2003-01-21,30.1,30.8,29.53,30.43,23.85,22128
2003-01-22,30.67,30.73,30.33,30.67,24.03,12564
2003-01-23,30.2,31.0,30.17,30.87,24.19,20398
