Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,66.1,73.0,66.1,71.7,67.29,44117
2002-07-02,71.75,75.5,71.75,73.0,68.51,38497
2002-07-03,70.75,72.95,68.5,69.25,64.99,11776
2002-07-04,71.95,74.75,69.7,71.4,67.01,40913
2002-07-05,72.05,74.75,71.0,71.8,67.38,22649
2002-07-08,72.0,73.65,70.05,70.95,66.59,27575
2002-07-09,71.1,71.9,69.65,70.8,66.44,33590
2002-07-10,71.4,71.75,69.2,69.2,64.94,9112
2002-07-11,68.0,68.25,65.5,66.45,62.36,6096
2002-07-12,68.05,76.0,67.65,74.95,70.34,115960
2002-07-15,75.9,78.0,68.1,69.4,65.13,89272
2002-07-16,70.0,71.5,60.3,61.9,58.09,58641
2002-07-17,60.5,63.95,60.5,63.0,59.12,21105
2002-07-18,63.5,69.0,61.0,65.35,61.33,28870
2002-07-19,67.9,69.0,62.1,63.05,59.17,13588
2002-07-22,60.1,60.1,56.25,56.85,53.35,19525
2002-07-23,55.05,59.15,55.05,58.35,54.76,8548
2002-07-24,59.5,59.5,54.5,55.05,51.66,9771
2002-07-25,58.65,58.7,55.1,55.6,52.18,10014
2002-07-26,54.25,56.15,50.0,50.95,47.82,9861
2002-07-29,51.0,51.1,42.0,46.1,43.26,10755
2002-07-30,46.25,47.5,44.25,45.15,42.37,10458
2002-07-31,42.3,46.9,42.3,46.4,43.55,8525
2002-08-01,48.5,49.85,45.55,46.5,43.64,11506
2002-08-02,44.75,48.0,44.75,47.65,44.72,13743
2002-08-05,48.0,51.75,48.0,50.4,47.3,8712
2002-08-06,50.65,51.5,49.2,51.15,48.0,9997
2002-08-07,52.9,54.0,52.1,52.45,49.22,6400
2002-08-08,53.0,53.45,47.0,47.55,44.62,6536
2002-08-09,48.0,48.3,47.15,47.8,44.86,1412
2002-08-12,49.6,50.45,49.05,49.5,46.46,3700
2002-08-13,49.45,49.45,48.0,48.55,45.56,2800
2002-08-14,48.0,48.6,46.5,47.05,44.16,1100
2002-08-15,47.05,47.05,47.05,47.05,44.16,0
2002-08-16,47.1,48.65,47.1,47.4,44.48,1100
2002-08-19,45.3,47.4,43.25,43.9,41.2,10400
2002-08-20,45.5,46.8,45.0,46.0,43.17,3700
2002-08-21,47.0,47.0,44.5,44.6,41.86,1800
2002-08-22,45.5,45.5,45.0,45.15,42.37,350
2002-08-23,44.0,47.0,44.0,46.0,43.17,3700
2002-08-26,46.05,46.25,46.0,46.0,43.17,1200
2002-08-27,45.0,45.1,44.0,44.0,41.29,1191
2002-08-28,44.0,48.0,43.1,43.75,41.06,7400
2002-08-29,47.4,47.4,43.1,44.75,42.0,400
2002-08-30,42.6,43.6,42.6,43.1,40.45,870
2002-09-02,43.0,44.3,42.0,42.6,39.98,3300
2002-09-03,44.25,44.3,41.6,41.65,39.09,1400
2002-09-04,43.25,43.5,41.65,41.75,39.18,2500
2002-09-05,39.0,43.25,39.0,43.25,40.59,5000
2002-09-06,42.5,43.3,42.0,42.7,40.07,2800
2002-09-09,43.0,45.0,42.5,43.15,40.5,6800
2002-09-10,43.15,43.15,43.15,43.15,40.5,0
2002-09-11,43.0,44.95,43.0,43.95,41.25,2400
2002-09-12,44.0,44.35,43.6,44.0,41.29,1400
2002-09-13,44.75,46.05,43.75,45.3,42.51,4100
2002-09-16,45.95,48.3,45.3,47.2,44.3,8200
2002-09-17,46.0,47.45,45.6,46.05,43.22,2500
2002-09-18,44.6,46.0,44.5,45.2,42.42,1699
2002-09-19,44.8,44.8,43.0,44.4,41.67,3200
2002-09-20,44.0,45.25,44.0,44.75,42.0,1900
2002-09-23,43.25,44.9,43.25,43.8,41.11,1800
2002-09-24,43.9,44.3,43.1,43.9,41.2,5500
2002-09-25,52.0,52.0,43.25,43.9,41.2,400
2002-09-26,44.5,44.95,44.0,44.25,41.53,600
2002-09-27,44.0,50.95,43.5,45.15,42.37,2900
2002-09-30,44.05,44.95,43.9,43.9,41.2,1300
2002-10-01,43.4,44.4,43.4,43.95,41.25,1100
2002-10-02,43.95,43.95,43.95,43.95,41.25,0
2002-10-03,44.9,48.9,44.4,45.1,42.33,3700
2002-10-04,43.05,45.95,43.0,45.2,42.42,1498
2002-10-07,44.0,45.6,44.0,44.7,41.95,4400
2002-10-08,44.75,45.0,44.5,44.95,42.18,1900
2002-10-09,44.6,45.35,44.6,45.0,42.23,2400
2002-10-10,44.9,45.0,44.25,45.0,42.23,500
2002-10-11,45.3,45.3,44.0,44.25,41.53,4700
2002-10-14,43.75,44.95,43.55,43.9,41.2,1200
2002-10-15,43.9,43.9,43.9,43.9,41.2,0
2002-10-16,44.0,49.1,43.65,44.2,41.48,8200
2002-10-17,43.5,43.9,43.1,43.6,40.92,2200
2002-10-18,44.0,44.6,43.1,43.2,40.54,1600
2002-10-21,44.35,47.95,42.25,44.9,42.14,2700
2002-10-22,46.45,46.45,43.15,43.7,41.01,1900
2002-10-23,42.8,43.95,42.8,43.45,40.78,1900
2002-10-24,43.3,44.9,42.0,42.45,39.84,4700
2002-10-25,37.5,42.5,37.5,40.65,38.15,9600
2002-10-28,42.0,45.95,42.0,44.35,41.62,16500
2002-10-29,43.85,44.2,43.5,44.0,41.29,11700
2002-10-30,44.05,45.7,44.05,44.95,42.18,5500
2002-10-31,45.5,46.65,45.35,45.7,42.89,1600
2002-11-01,46.0,47.1,45.9,46.75,43.87,3400
2002-11-04,47.0,47.1,46.0,46.45,43.59,4000
2002-11-05,46.5,47.5,46.5,47.35,44.44,970
2002-11-06,47.35,47.35,47.35,47.35,44.44,0
2002-11-07,46.95,46.95,46.25,46.35,43.5,1700
2002-11-08,46.0,51.9,46.0,47.05,44.16,13700
2002-11-11,45.5,47.75,45.5,47.2,44.3,2600
2002-11-12,46.1,50.4,46.1,47.5,44.58,8000
2002-11-13,48.0,48.0,47.25,47.5,44.58,5000
2002-11-14,48.0,48.7,47.6,47.75,44.81,1700
2002-11-15,47.9,48.25,47.75,47.8,44.86,6900
2002-11-18,48.9,49.6,47.25,49.3,46.27,3500
2002-11-19,49.3,49.3,49.3,49.3,46.27,0
2002-11-20,49.25,51.7,49.25,51.05,47.91,6500
2002-11-21,47.6,50.3,47.6,49.1,46.08,3700
2002-11-22,48.65,50.45,48.55,49.65,46.6,1158
2002-11-25,48.9,51.0,48.9,50.55,47.44,9400
2002-11-26,50.05,51.5,50.0,51.25,48.1,6200
2002-11-27,52.25,52.25,50.5,50.5,47.39,1600
2002-11-28,50.1,50.95,50.05,50.2,47.11,3200
2002-11-29,50.5,50.7,50.0,50.15,47.07,1190
2002-12-02,51.5,58.0,51.5,54.5,51.15,14700
2002-12-03,54.0,54.5,52.0,52.95,49.69,4900
2002-12-04,52.5,53.0,51.55,52.0,48.8,4200
2002-12-05,51.7,53.5,51.6,53.3,50.02,3100
2002-12-06,53.0,53.85,52.9,53.15,49.88,4000
2002-12-09,54.0,54.15,52.75,53.05,49.79,2400
2002-12-10,52.5,52.75,51.55,51.85,48.66,2600
2002-12-11,51.0,53.4,50.0,50.25,47.16,12500
2002-12-12,50.8,51.0,50.0,50.2,47.11,3300
2002-12-13,58.0,58.0,49.1,50.9,47.77,1700
2002-12-16,51.4,51.4,50.0,50.15,47.07,3600
2002-12-17,50.1,50.6,49.55,49.65,46.6,1100
2002-12-18,49.25,50.0,49.25,49.35,46.31,1500
2002-12-19,49.8,50.25,49.5,49.75,46.69,1200
2002-12-20,50.0,50.0,49.1,49.85,46.78,1700
2002-12-23,50.15,50.15,49.15,49.2,46.17,14700
2002-12-24,48.95,51.1,48.05,49.55,46.5,3100
2002-12-25,49.55,49.55,49.55,49.55,46.5,0
2002-12-26,50.0,54.75,50.0,52.4,49.18,4700
2002-12-27,51.0,51.0,49.65,49.85,46.78,7200
2002-12-30,50.4,54.0,48.5,49.95,46.88,6200
2002-12-31,50.0,50.9,49.35,49.5,46.46,3700
2003-01-01,49.55,50.5,49.55,49.75,46.69,3500
2003-01-02,51.0,51.0,49.05,49.5,46.46,11500
2003-01-03,51.0,51.0,49.65,49.7,46.64,1300
2003-01-06,46.0,49.9,46.0,48.6,45.61,3900
2003-01-07,48.7,49.8,48.7,48.8,45.8,1700
2003-01-08,48.5,53.75,48.5,49.75,46.69,10800
2003-01-09,51.05,51.05,49.0,49.85,46.78,3700
2003-01-10,50.0,50.95,49.4,49.8,46.74,3500
2003-01-13,50.8,52.25,50.0,51.4,48.24,5400
2003-01-14,50.0,53.5,50.0,52.65,49.41,12800
2003-01-15,54.0,55.0,53.2,54.7,51.34,13400
2003-01-16,57.0,57.9,55.05,56.45,52.98,33700
2003-01-17,55.9,58.2,55.9,57.65,54.1,15000
2003-01-20,57.5,57.7,56.0,56.25,52.79,4700
2003-01-21,55.25,56.9,55.25,56.25,52.79,5500
