Date,Open,High,Low,Close,Adj Close,Volume
2016-03-02,61.9,61.9,58.0,59.5,56.11,38803.0
2016-03-03,59.8,59.95,56.15,57.95,54.64,45216.0
2016-03-04,58.0,59.0,56.1,56.65,53.42,28755.0
2016-03-08,59.5,59.5,55.5,56.05,52.85,25462.0
2016-03-09,55.55,58.0,55.2,57.35,54.08,3849.0
2016-03-10,59.0,64.8,57.0,59.0,55.63,13050.0
2016-03-11,57.5,59.6,57.0,58.7,55.35,12316.0
2016-03-14,59.95,60.0,57.0,58.0,54.69,67125.0
2016-03-15,57.35,58.0,56.75,57.25,53.98,7590.0
2016-03-16,56.25,58.5,55.5,57.25,53.98,15585.0
2016-03-17,57.6,58.5,55.5,57.65,54.36,7845.0
2016-03-18,58.75,58.75,57.35,57.6,54.31,2577.0
2016-03-21,58.4,58.4,56.3,56.75,53.51,42070.0
2016-03-22,55.85,57.35,55.8,56.65,53.42,22682.0
2016-03-23,57.4,66.0,56.15,64.25,60.59,142254.0
2016-03-28,66.7,67.5,63.5,64.2,60.54,64996.0
2016-03-29,64.15,66.0,63.0,63.95,60.3,56093.0
2016-03-30,64.95,68.0,64.6,67.15,63.32,32367.0
2016-03-31,67.85,68.9,64.0,65.15,61.43,29951.0
2016-04-01,66.0,66.0,64.05,65.25,61.53,19878.0
2016-04-04,67.45,68.15,64.95,67.85,63.98,36865.0
2016-04-05,68.95,68.95,62.0,65.4,61.67,17371.0
2016-04-06,69.95,74.2,65.75,71.85,67.75,192092.0
2016-04-07,70.25,72.95,68.5,68.95,65.02,38241.0
2016-04-08,68.05,69.9,67.8,68.35,64.45,34672.0
2016-04-11,69.0,72.0,69.0,71.65,67.56,96277.0
2016-04-12,70.9,73.8,69.55,72.15,68.03,129718.0
2016-04-13,73.7,73.75,70.0,70.05,66.05,35905.0
2016-04-18,71.4,71.45,69.05,69.3,65.35,37903.0
2016-04-20,70.0,72.0,67.0,67.7,63.84,23835.0
2016-04-21,69.05,70.0,68.0,68.65,64.73,39977.0
2016-04-22,67.3,68.9,66.6,66.8,62.99,29010.0
2016-04-25,67.25,68.0,66.0,66.25,62.47,31770.0
2016-04-26,65.45,68.8,65.25,66.3,62.52,16203.0
2016-04-27,66.3,68.5,66.2,67.55,63.7,26376.0
2016-04-28,67.8,67.8,64.0,65.05,61.34,15329.0
2016-04-29,65.6,67.9,65.5,65.8,62.05,32181.0
2016-05-02,66.55,66.9,65.3,65.95,62.19,12556.0
2016-05-03,65.25,67.75,63.5,64.25,60.59,26528.0
2016-05-04,62.55,64.5,61.0,62.0,58.46,88440.0
2016-05-05,62.0,66.4,62.0,62.5,58.94,19552.0
2016-05-06,63.8,63.8,60.0,62.0,58.46,23108.0
2016-05-09,63.95,63.95,60.7,61.15,57.66,18101.0
2016-05-10,59.1,64.25,59.1,62.35,58.79,9788.0
2016-05-11,62.0,63.4,58.0,60.75,57.29,17002.0
2016-05-12,60.5,63.0,60.5,61.55,58.04,15198.0
2016-05-13,59.3,62.95,57.0,62.45,58.89,21973.0
2016-05-16,61.0,62.9,60.0,61.8,58.28,36005.0
2016-05-17,63.45,63.45,61.0,61.4,57.9,20674.0
2016-05-18,62.4,62.45,60.0,60.75,57.29,29948.0
2016-05-19,62.8,62.8,58.0,59.9,56.48,53176.0
2016-05-20,62.05,62.05,59.6,60.1,56.67,62452.0
2016-05-23,61.85,62.2,60.0,61.6,58.09,16419.0
2016-05-24,61.7,65.75,61.7,65.05,61.34,78919.0
2016-05-25,66.0,66.75,61.6,61.9,58.37,88778.0
2016-05-26,62.8,62.8,59.35,60.2,56.77,54764.0
2016-05-27,61.95,62.5,54.45,55.75,52.57,312118.0
2016-05-30,56.0,56.0,50.5,53.6,50.54,176585.0
2016-05-31,53.2,55.9,51.2,55.15,52.0,105932.0
2016-06-01,56.0,56.9,55.0,56.25,53.04,34077.0
2016-06-02,55.95,56.85,54.0,54.9,51.77,27026.0
2016-06-03,56.0,56.0,53.1,53.35,50.31,37468.0
2016-06-06,53.0,54.0,52.1,52.4,49.41,24424.0
2016-06-07,53.85,54.0,52.1,52.95,49.93,29556.0
2016-06-08,55.5,56.25,53.1,55.8,52.62,61193.0
2016-06-09,54.55,55.5,53.3,54.9,51.77,27047.0
2016-06-10,54.5,55.4,46.2,54.65,51.53,52672.0
2016-06-13,52.5,54.85,52.25,54.2,51.11,17695.0
2016-06-14,53.0,55.85,53.0,54.75,51.63,47420.0
2016-06-15,55.0,59.95,54.0,57.6,54.31,202161.0
2016-06-16,58.25,59.45,56.4,57.15,53.89,87950.0
2016-06-17,58.9,58.9,56.0,56.4,53.18,28121.0
2016-06-20,56.5,57.8,54.5,56.25,53.04,31789.0
2016-06-21,57.2,57.75,55.15,55.35,52.19,19023.0
2016-06-22,55.4,56.9,53.7,54.1,51.01,33057.0
2016-06-23,55.5,57.0,53.0,54.15,51.06,36986.0
2016-06-24,52.0,53.85,50.6,53.15,50.12,69950.0
2016-06-27,53.25,54.8,53.0,54.15,51.06,15469.0
2016-06-28,53.6,55.45,53.6,54.35,51.25,26793.0
2016-06-29,54.95,55.05,54.0,54.6,51.49,43243.0
2016-06-30,55.0,56.0,54.2,55.35,52.19,23089.0
2016-07-01,55.3,56.05,54.0,54.85,51.72,29408.0
2016-07-04,55.9,55.9,54.2,54.5,51.39,26613.0
2016-07-05,54.95,54.95,53.55,53.7,50.64,27227.0
2016-07-07,53.5,55.5,53.5,54.35,51.25,16602.0
2016-07-08,54.1,54.9,53.15,53.75,50.68,26745.0
2016-07-11,54.5,55.5,53.25,54.55,51.44,27457.0
2016-07-12,55.55,55.8,54.4,55.0,51.86,40316.0
2016-07-13,55.8,55.9,53.2,53.55,50.5,45960.0
2016-07-14,54.85,54.85,51.55,52.65,49.65,38945.0
2016-07-15,52.3,53.35,52.1,52.75,49.74,21241.0
2016-07-18,52.8,53.45,52.05,52.2,49.22,45317.0
2016-07-19,52.3,58.5,49.45,55.3,52.15,244993.0
2016-07-20,54.3,57.0,54.3,56.05,52.85,77814.0
2016-07-21,56.0,56.55,54.45,54.65,51.53,37144.0
2016-07-22,54.1,55.4,54.1,54.4,51.3,20528.0
2016-07-25,54.0,54.4,52.6,53.7,50.64,77364.0
2016-07-26,54.1,55.5,53.25,53.55,50.5,32269.0
2016-07-27,54.5,54.5,53.0,53.8,50.73,15060.0
2016-07-28,62.2,64.0,58.35,59.15,55.78,1164362.0
2016-07-29,59.5,59.9,57.5,58.5,55.16,118377.0
2016-08-01,59.95,59.95,57.5,58.8,55.45,125928.0
2016-08-02,59.2,59.5,57.6,58.0,54.69,51764.0
2016-08-03,58.0,58.0,56.05,56.65,53.42,49826.0
2016-08-04,57.1,57.4,54.0,55.35,52.19,53646.0
2016-08-05,55.35,56.4,54.6,55.0,51.86,60334.0
2016-08-08,55.75,55.75,54.5,54.8,51.67,34431.0
2016-08-09,54.5,55.35,54.3,54.95,51.82,39156.0
2016-08-10,55.5,55.75,54.1,54.2,51.11,51275.0
2016-08-11,54.0,55.5,54.0,54.85,51.72,46435.0
2016-08-12,55.0,55.1,52.5,53.1,50.07,94127.0
2016-08-16,53.0,53.75,50.5,52.0,49.03,115182.0
2016-08-17,52.0,53.5,51.55,52.85,49.84,36509.0
2016-08-18,52.25,54.25,52.25,53.25,50.21,83520.0
2016-08-19,53.5,54.15,52.9,53.45,50.4,50100.0
2016-08-22,53.1,55.0,53.1,53.7,50.64,56129.0
2016-08-23,53.5,55.0,53.5,54.35,51.25,38918.0
2016-08-24,54.6,54.8,54.0,54.2,51.11,26889.0
2016-08-25,54.05,54.65,52.8,53.45,50.4,45396.0
2016-08-26,53.65,53.85,52.4,52.7,49.69,52682.0
2016-08-29,52.4,53.0,52.1,52.3,49.32,21904.0
2016-08-30,52.25,54.5,51.8,52.95,49.93,82009.0
2016-08-31,53.35,53.5,52.2,52.7,49.69,41635.0
2016-09-01,53.45,53.55,52.1,52.3,49.5,32010.0
2016-09-02,52.3,52.5,51.8,52.3,49.5,28389.0
