Date,Open,High,Low,Close,Adj Close,Volume
2011-12-12,3.8467,4.0543,3.8467,4.0051,3.8585,368517
2011-12-13,4.0543,4.1771,3.9867,4.1292,3.978,273203
2011-12-14,4.1403,4.273,4.1268,4.2275,4.0727,1904122
2011-12-15,4.2754,4.3442,4.1771,4.2521,4.0964,427406
2011-12-16,4.2951,4.2975,4.1526,4.1968,4.0431,428220
2011-12-19,4.1747,4.2754,3.9621,4.0481,3.8999,566877
2011-12-20,4.0297,4.0297,3.6943,3.9105,3.7673,3284180
2011-12-21,3.7619,3.9806,3.7594,3.9105,3.7673,1476674
2011-12-22,3.9793,3.9793,3.8331,3.87,3.7283,4758941
2011-12-23,3.8589,3.9069,3.6857,3.6857,3.5507,817046
2011-12-26,3.5874,3.8639,3.5014,3.8639,3.7224,3967901
2011-12-27,3.7643,3.9056,3.7607,3.7607,3.6229,2112616
2011-12-28,3.8086,3.87,3.8086,3.8086,3.6691,41063
2011-12-29,3.8454,3.8454,3.6857,3.6857,3.5507,4803465
2011-12-30,3.7103,3.7803,3.5395,3.7103,3.5744,446901
2012-01-02,3.6366,3.7815,3.5874,3.6722,3.5377,10988
2012-01-03,3.6857,3.8528,3.6857,3.7361,3.5993,4999872
2012-01-04,3.7373,3.7963,3.6857,3.7963,3.6573,1786058
2012-01-05,3.7766,3.784,3.6611,3.6882,3.5531,693732
2012-01-06,3.6869,3.8577,3.6869,3.8381,3.6975,2361767
2012-01-09,3.8823,3.9253,3.7127,3.9056,3.7626,2442511
2012-01-10,3.8098,3.9314,3.8086,3.843,3.7022,387441
2012-01-11,3.784,3.8823,3.784,3.8823,3.7401,269622
2012-01-12,3.8774,3.9314,3.8774,3.9314,3.7875,122
2012-01-13,3.8086,4.0051,3.8086,4.0051,3.8585,407180
2012-01-16,3.8946,3.8946,3.8086,3.8823,3.7401,433267
2012-01-17,3.8577,3.9069,3.7594,3.8946,3.752,1679511
2012-01-18,3.87,3.8823,3.784,3.8454,3.7046,1284011
2012-01-19,3.8086,3.8823,3.8086,3.8577,3.7164,1072383
2012-01-20,3.8086,3.8086,3.7349,3.8086,3.6691,130232
2012-01-23,3.956,3.956,3.8331,3.87,3.7283,895389
2012-01-24,3.7349,3.7349,3.6783,3.6808,3.546,1052238
2012-01-25,3.612,3.7103,3.526,3.7103,3.5744,1140633
2012-01-27,3.5874,3.5874,3.526,3.5629,3.4324,814767
2012-01-30,3.5874,3.5874,3.3847,3.5223,3.3933,6837
2012-01-31,3.4154,3.5751,3.4154,3.569,3.4383,1425843
2012-02-01,3.4449,3.612,3.4031,3.5137,3.385,886436
2012-02-02,3.3909,3.5383,3.338,3.4891,3.3614,554017
2012-02-03,3.4646,3.5874,3.3417,3.5027,3.3744,4497500
2012-02-06,3.3282,3.5137,3.3282,3.3417,3.2193,3890738
2012-02-07,3.3663,3.4891,3.1943,3.1955,3.0785,1467151
2012-02-08,3.0469,3.3171,3.0469,3.0481,2.9365,1831843
2012-02-09,2.8982,2.9486,2.8982,2.9007,2.7944,12209
2012-02-10,2.8994,2.8994,2.7643,2.8073,2.7045,41633
2012-02-13,2.7274,2.8503,2.7029,2.838,2.7341,13837
2012-02-14,2.7274,2.9731,2.7078,2.736,2.6358,41796
2012-02-15,2.6046,2.6046,2.5997,2.5997,2.5045,38255
2012-02-16,2.4707,2.5309,2.4707,2.5075,2.4157,35936
2012-02-17,2.4141,2.58,2.3822,2.3822,2.295,51482
2012-02-21,2.3834,2.3834,2.2778,2.2778,2.1944,14447
2012-02-22,2.2077,2.2077,2.1647,2.1647,2.0855,3052
2012-02-23,2.064,2.064,2.064,2.064,1.9884,813
2012-02-24,1.9608,1.9608,1.9608,1.9608,1.889,2034
2012-02-27,1.8674,1.8797,1.8674,1.8797,1.8109,385651
2012-02-28,1.8429,1.8674,1.7937,1.8048,1.7387,425697
2012-02-29,1.7937,1.7937,1.72,1.72,1.657,726738
2012-03-01,1.6967,1.72,1.6905,1.6905,1.6286,409011
2012-03-02,1.6229,1.7716,1.6229,1.7716,1.7067,7366
2012-03-05,1.7925,1.7925,1.6279,1.6401,1.5801,2941505
2012-03-06,1.6463,1.6463,1.5627,1.5726,1.515,4990796
2012-03-07,1.5259,1.6512,1.5234,1.6119,1.5529,2608802
2012-03-09,1.548,1.6856,1.548,1.6045,1.5458,5031616
2012-03-12,1.5726,1.6463,1.5726,1.6033,1.5446,8257843
2012-03-13,1.6463,1.6831,1.6033,1.6831,1.6215,8468941
2012-03-14,1.7667,1.7667,1.6831,1.7667,1.702,1750040
2012-03-15,1.849,1.8539,1.7446,1.8085,1.7422,3901564
2012-03-16,1.8429,1.8883,1.7188,1.7188,1.6558,686162
2012-03-19,1.6709,1.8035,1.6352,1.6561,1.5955,4913308
2012-03-20,1.6463,1.72,1.5971,1.6315,1.5718,5100965
2012-03-21,1.5726,1.7126,1.5726,1.6868,1.6251,2704645
2012-03-22,1.6598,1.7446,1.6242,1.6487,1.5884,2156936
2012-03-23,1.5726,1.6954,1.5726,1.6954,1.6333,662395
2012-03-26,1.6131,1.7569,1.6107,1.6291,1.5694,2136587
2012-03-27,1.5505,1.6377,1.548,1.6156,1.5564,5241860
2012-03-28,1.6193,1.6365,1.5357,1.5492,1.4925,4224377
2012-03-29,1.4804,1.6205,1.4718,1.5591,1.502,619581
2012-03-30,1.5689,1.6094,1.4976,1.5443,1.4878,224081
2012-04-02,1.5455,1.6205,1.5443,1.6205,1.5611,247116
2012-04-03,1.7003,1.7003,1.5873,1.65,1.5895,590238
2012-04-04,1.5738,1.677,1.5738,1.634,1.5742,45784
2012-04-09,1.5849,1.7126,1.5849,1.7053,1.6428,214313
2012-04-10,1.7446,1.7876,1.6758,1.72,1.657,57790
2012-04-11,1.7175,1.7175,1.7175,1.7175,1.6546,406
2012-04-12,1.6954,1.6954,1.6537,1.6647,1.6038,127180
2012-04-13,1.6401,1.6463,1.6279,1.634,1.5742,2156
2012-04-16,1.6709,1.7077,1.6709,1.704,1.6416,4273
2012-04-17,1.7863,1.7863,1.6537,1.6537,1.5931,44767
2012-04-18,1.7077,1.7188,1.7077,1.7139,1.6511,14529
2012-04-19,1.7888,1.7974,1.7888,1.7937,1.728,6104
2012-04-20,1.7507,1.806,1.72,1.7323,1.6688,823395
2012-04-23,1.6967,1.747,1.6709,1.677,1.6156,1069127
2012-04-24,1.6475,1.6635,1.6475,1.6635,1.6026,813
2012-04-25,1.7126,1.7458,1.6463,1.6819,1.6203,836337
2012-04-26,1.7397,1.7397,1.7397,1.7397,1.676,406
