Date,Open,High,Low,Close,Adj Close,Volume
2005-12-15,179.8,181.7,166.2,181.7,150.4,3112
2005-12-16,182.4,193.4,182.4,191.9,158.84,8108
2005-12-19,195.75,197.0,190.01,195.39,161.73,2244
2005-12-20,199.0,214.93,199.0,214.93,177.9,2268
2005-12-21,223.0,225.68,208.0,213.25,176.51,5848
2005-12-22,223.8,223.92,202.62,211.74,175.26,4936
2005-12-23,214.2,215.0,201.44,201.79,167.03,953
2005-12-26,205.0,211.88,205.0,209.85,173.7,2223
2005-12-27,202.2,220.0,202.2,217.56,180.08,11756
2005-12-28,217.6,220.78,210.2,217.87,180.34,960
2005-12-29,227.4,228.0,215.0,223.51,185.0,29335
2005-12-30,225.8,226.0,218.2,222.84,184.45,1364
2006-01-02,222.2,230.56,222.2,225.22,186.42,3003
2006-01-03,231.6,231.6,225.0,227.2,188.06,443
2006-01-04,231.6,231.6,225.3,227.8,188.55,700
2006-01-05,228.2,228.2,224.0,226.84,187.76,2103
2006-01-06,230.2,230.2,224.4,226.51,187.49,858
2006-01-09,230.0,230.4,222.2,224.05,185.45,2737
2006-01-10,231.0,231.6,216.4,219.54,181.72,5434
2006-01-12,214.0,219.6,208.6,208.65,172.7,3316
2006-01-13,208.0,208.0,198.22,205.28,169.91,2678
2006-01-16,210.0,213.0,195.02,197.79,163.71,2169
2006-01-17,195.0,197.01,187.9,189.52,156.87,2497
2006-01-18,190.4,194.0,186.2,190.39,157.59,1192
2006-01-19,191.59,191.6,185.4,186.94,154.73,1902
2006-01-20,190.6,194.7,182.0,187.6,155.28,954
2006-01-23,189.9,196.98,187.2,196.98,163.04,1307
2006-01-24,206.6,206.6,196.8,199.87,165.44,1108
2006-01-25,199.2,207.99,198.6,200.6,166.04,1646
2006-01-27,208.8,208.8,195.74,197.41,163.4,858
2006-01-30,200.96,200.99,194.0,197.21,163.23,537
2006-01-31,196.4,197.0,192.2,194.6,161.07,1214
2006-02-01,193.0,193.0,186.02,187.7,155.36,1254
2006-02-02,189.98,195.0,187.6,187.89,155.52,1283
2006-02-03,187.38,191.47,187.0,187.93,155.55,1597
2006-02-06,190.4,192.0,184.0,184.46,152.68,2525
2006-02-07,192.98,193.0,185.4,185.93,153.9,1247
2006-02-08,194.6,194.6,184.0,186.1,154.04,408
2006-02-10,191.8,191.8,186.0,187.75,155.4,1400
2006-02-13,190.0,205.99,190.0,198.91,164.64,4346
2006-02-14,201.0,205.0,198.21,199.48,165.11,2551
2006-02-15,200.0,201.0,194.14,195.51,161.83,1564
2006-02-16,197.0,198.0,194.01,194.46,160.96,2100
2006-02-17,193.22,196.4,193.0,194.51,161.0,1113
2006-02-20,196.0,197.97,183.04,185.49,153.53,5203
2006-02-21,186.0,189.62,184.0,186.59,154.44,3008
2006-02-22,184.6,190.0,184.6,188.9,156.36,2536
2006-02-23,192.0,195.0,190.0,193.17,159.89,4875
2006-02-24,160.0,208.0,160.0,203.35,168.32,88841
2006-02-27,205.0,209.0,196.3,200.15,165.67,35308
2006-02-28,201.4,205.75,195.5,196.9,162.98,63668
2006-03-01,196.9,201.9,196.0,200.05,165.59,14633
2006-03-02,198.25,214.9,198.25,203.75,168.65,47746
2006-03-03,202.0,212.75,202.0,209.05,173.03,23188
2006-03-06,219.7,219.7,210.0,211.15,174.77,21965
2006-03-07,213.0,214.0,205.5,208.35,172.46,8261
2006-03-08,190.0,209.8,190.0,197.4,163.39,12751
2006-03-09,202.45,202.45,190.5,198.5,164.3,13937
2006-03-10,199.0,200.0,193.0,194.65,161.12,8160
2006-03-13,201.0,201.0,192.0,192.65,159.46,5955
2006-03-14,194.0,195.0,185.15,188.85,156.31,208198
2006-03-16,207.0,207.0,183.0,194.3,160.83,8339
2006-03-17,190.15,194.55,190.15,192.95,159.71,3204
2006-03-20,194.0,198.9,188.0,190.0,157.27,13918
2006-03-21,196.0,206.6,190.35,192.8,159.58,17925
2006-03-22,194.2,196.0,189.0,191.75,158.72,18525
2006-03-23,194.9,195.0,190.05,191.55,158.55,4594
2006-03-24,190.8,195.95,190.8,193.5,160.16,6758
2006-03-27,200.0,202.0,192.0,193.85,160.45,6921
2006-03-28,193.0,194.0,187.25,187.7,155.36,8707
2006-03-29,187.3,192.7,187.3,190.1,157.35,5138
2006-03-30,193.0,195.0,190.25,193.15,159.87,5675
2006-03-31,194.95,199.0,191.0,191.35,158.38,7468
2006-04-03,198.0,200.0,191.35,197.0,163.06,22848
2006-04-04,197.0,204.0,197.0,202.45,167.57,17133
2006-04-05,203.0,208.0,200.35,203.5,168.44,13500
2006-04-07,205.0,207.95,198.0,204.05,168.9,9631
2006-04-10,199.0,203.0,198.95,200.8,166.21,12007
2006-04-12,200.3,205.0,200.25,201.3,166.62,3577
