Date,Open,High,Low,Close,Adj Close,Volume
2009-07-28,15.0,15.98,14.61,15.19,13.18,195910
2009-07-29,15.33,17.0,14.72,16.23,14.08,134860
2009-07-30,16.18,16.5,15.51,15.81,13.71,9580
2009-07-31,15.82,16.17,15.51,15.51,13.46,16560
2009-08-03,15.29,16.0,15.25,15.3,13.27,8730
2009-08-04,15.1,15.4,15.0,15.0,13.01,3830
2009-08-05,15.7,15.7,15.15,15.15,13.14,1050
2009-08-06,15.7,16.02,15.7,16.0,13.88,16100
2009-08-07,15.5,15.72,15.01,15.1,13.1,19820
2009-08-10,15.4,15.4,14.77,15.4,13.36,1160
2009-08-11,15.4,16.48,14.95,15.64,13.57,19370
2009-08-12,15.3,15.8,15.2,15.5,13.45,530
2009-08-13,15.35,15.7,15.35,15.5,13.45,17010
2009-08-14,15.87,15.87,15.5,15.54,13.48,7850
2009-08-17,15.88,15.88,15.4,15.6,13.53,1040
2009-08-18,15.88,16.04,15.55,15.6,13.54,1400
2009-08-19,15.51,15.9,15.5,15.84,13.74,5300
2009-08-20,15.5,15.75,15.3,15.53,13.47,14270
2009-08-21,15.39,15.7,15.39,15.7,13.62,1590
2009-08-24,15.6,15.95,15.6,15.62,13.55,16800
2009-08-25,15.85,17.0,15.1,16.48,14.29,48290
2009-08-26,17.09,18.0,16.82,17.26,14.98,42450
2009-08-27,19.8,20.72,18.0,19.25,16.7,920830
2009-08-28,19.31,19.95,18.42,19.02,16.5,187660
2009-08-31,18.69,20.1,18.51,19.78,17.16,249550
2009-09-01,20.09,20.4,17.22,19.04,16.52,193370
2009-09-02,19.27,19.79,19.12,19.33,16.77,43150
2009-09-03,20.48,20.5,19.0,19.0,16.49,19110
2009-09-04,18.85,19.7,18.6,19.0,16.49,19150
2009-09-07,19.45,22.8,19.45,20.79,18.04,435700
2009-09-08,20.8,22.0,20.7,21.03,18.47,170870
2009-09-09,21.26,21.49,19.4,20.09,17.64,228460
2009-09-10,20.47,20.67,19.6,19.81,17.39,139220
2009-09-11,19.99,20.19,17.83,19.28,16.93,162310
2009-09-14,19.05,19.56,18.64,18.93,16.62,65360
2009-09-15,18.92,19.99,18.92,19.33,16.98,65510
2009-09-16,18.9,19.9,18.9,19.35,17.0,26880
2009-09-17,19.86,23.18,19.85,21.09,18.52,856150
2009-09-18,21.3,21.4,19.9,20.51,18.01,139850
2009-09-22,20.3,22.08,20.15,21.35,18.75,234430
2009-09-23,21.01,21.7,19.51,20.15,17.69,746140
2009-09-24,19.72,20.69,19.6,20.31,17.83,75160
2009-09-25,20.49,20.5,20.11,20.2,17.74,54740
2009-09-29,20.4,20.58,19.8,19.97,17.53,53880
2009-09-30,20.18,20.58,20.18,20.35,17.87,66000
2009-10-01,19.92,21.1,19.91,20.24,17.77,42440
2009-10-05,19.82,20.99,19.81,19.94,17.51,50720
2009-10-06,19.92,20.09,19.63,19.94,17.51,13280
2009-10-07,20.28,20.79,19.7,19.84,17.42,25990
2009-10-08,19.7,19.94,19.62,19.72,17.32,32380
2009-10-09,19.6,19.99,19.03,19.34,16.99,40820
2009-10-12,20.2,21.0,19.6,19.89,17.46,59050
2009-10-13,19.89,19.89,19.89,19.89,17.46,0
2009-10-14,20.58,21.6,20.3,21.09,18.52,203360
2009-10-15,21.59,22.6,20.6,22.23,19.52,161670
2009-10-16,22.0,24.9,22.0,23.98,21.05,606510
2009-10-20,25.18,26.0,24.39,25.38,22.28,282730
2009-10-21,25.9,29.0,25.9,27.15,23.84,1590040
2009-10-22,27.44,28.98,27.3,27.96,24.55,1330120
2009-10-23,28.5,28.64,27.7,27.84,24.45,248680
2009-10-26,27.99,28.77,27.51,28.27,24.82,433060
2009-10-27,28.45,29.01,27.5,27.9,24.5,561040
2009-10-28,28.06,28.3,25.67,27.25,23.92,528050
2009-10-29,26.83,27.3,26.41,26.57,23.33,174920
2009-10-30,27.35,29.7,27.35,28.9,25.38,152306
2009-11-03,28.98,30.0,27.75,28.08,24.66,61800
2009-11-04,27.83,28.75,25.75,26.98,23.69,48730
2009-11-05,26.98,27.0,26.02,26.85,23.58,51998
2009-11-06,27.5,28.0,27.05,27.38,24.04,76648
2009-11-09,27.98,28.3,27.25,27.92,24.53,68140
2009-11-10,28.5,28.5,26.6,27.38,24.04,79878
2009-11-11,27.05,27.95,26.67,27.5,24.15,87580
2009-11-12,27.5,27.85,27.0,27.6,24.24,23926
2009-11-13,27.75,27.85,27.08,27.27,23.95,26432
2009-11-16,27.9,29.5,27.02,28.33,24.88,120674
2009-11-17,29.48,31.25,27.65,30.35,26.66,383266
2009-11-18,30.1,31.25,28.25,28.77,25.27,379770
2009-11-19,29.35,30.75,28.6,29.77,26.15,229350
2009-11-20,30.0,30.67,29.08,29.95,26.3,56032
2009-11-23,30.0,30.62,29.7,29.92,26.28,89360
2009-11-24,30.6,30.6,29.55,29.75,26.13,45822
2009-11-25,29.5,30.15,28.6,29.1,25.56,52504
2009-11-26,29.12,29.75,28.5,28.6,25.12,61614
2009-11-27,28.02,28.75,27.27,28.3,24.86,45266
2009-11-30,28.5,30.0,28.5,29.33,25.76,35782
2009-12-01,29.27,30.15,29.0,29.12,25.58,63832
2009-12-02,29.88,29.9,28.5,28.62,25.14,42990
2009-12-03,29.48,29.48,28.33,28.5,25.03,44246
2009-12-04,28.4,29.25,28.4,28.73,25.23,20274
2009-12-07,28.5,29.25,28.08,28.4,24.94,34956
2009-12-08,28.5,29.0,28.0,28.42,24.96,24182
2009-12-09,28.0,28.75,28.0,28.25,24.81,35314
2009-12-10,28.25,28.92,27.55,28.6,25.12,36890
2009-12-11,29.45,29.45,28.12,28.25,24.81,25282
2009-12-14,28.15,28.75,27.88,27.95,24.55,30582
2009-12-15,27.77,28.25,27.2,27.42,24.09,32206
2009-12-16,27.33,27.62,27.02,27.27,23.95,23106
2009-12-17,27.2,27.88,27.15,27.58,24.22,15244
2009-12-18,27.8,28.12,27.25,27.42,24.09,10502
2009-12-21,27.0,27.5,26.95,27.1,23.8,17200
2009-12-22,27.2,27.5,26.9,27.05,23.76,33906
2010-01-04,33.95,35.4,33.4,34.17,30.01,307428
2010-01-05,34.97,34.97,33.53,33.62,29.53,153020
2010-01-06,33.95,35.95,33.12,34.8,30.56,284250
2010-01-07,34.97,35.5,33.17,34.3,30.12,131892
2010-01-08,34.5,34.85,33.5,33.62,29.53,80206
2010-01-11,34.17,35.45,33.5,33.7,29.6,109034
2010-01-12,34.75,35.25,33.62,33.97,29.84,115506
2010-01-13,33.53,34.2,33.12,33.42,29.36,61226
2010-01-14,33.8,34.4,33.58,33.7,29.6,66248
2010-01-15,34.2,35.7,34.2,35.08,30.81,189010
2010-01-18,35.5,42.1,35.22,41.88,36.78,1234572
2010-01-19,41.9,48.88,40.05,45.75,40.18,3351624
2010-01-20,45.95,48.2,43.15,44.33,38.93,1254364
2010-01-21,41.75,46.25,41.75,43.15,37.9,366546
2010-01-22,41.78,43.75,40.05,43.28,38.01,273536
2010-01-25,42.08,44.72,41.0,41.5,36.45,223658
2010-01-27,40.5,42.4,37.67,38.2,33.55,231426
2010-01-28,39.12,39.35,35.85,36.03,31.64,197168
2010-01-29,36.03,39.5,34.15,38.88,34.14,237968
2010-02-01,37.5,41.1,37.03,39.08,34.32,166594
2010-02-02,40.9,40.9,37.12,37.9,33.29,219034
2010-02-03,38.97,39.83,38.15,38.4,33.73,64950
2010-02-04,39.0,40.75,38.5,38.58,33.88,199920
2010-02-05,38.0,38.2,35.67,37.15,32.63,119252
2010-02-08,37.5,41.05,37.0,39.15,34.38,328990
2010-02-09,39.1,40.25,38.25,38.5,33.81,162084
2010-02-10,39.05,39.7,37.55,37.78,33.18,139606
2010-02-11,38.05,39.05,37.5,37.67,33.09,86974
2010-02-15,38.3,38.47,36.8,37.08,32.56,49430
2010-02-16,39.5,39.92,36.35,37.47,32.91,91424
2010-02-17,38.5,38.7,37.0,37.35,32.8,61112
2010-02-18,37.5,38.0,36.55,37.15,32.63,85932
2010-02-19,36.75,37.2,36.5,36.58,32.12,33762
2010-02-22,37.2,37.45,35.95,36.1,31.71,55000
2010-02-23,35.5,35.72,34.85,35.28,30.98,48032
2010-02-24,35.0,36.0,34.62,35.08,30.81,25190
2010-02-25,34.8,35.45,34.75,35.03,30.76,29450
2010-02-26,35.0,37.5,35.0,36.28,31.86,102796
