Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,44.0,46.2,44.0,46.2,46.2,36114
2021-06-16,48.5,48.5,48.5,48.5,48.5,11441
2021-06-17,50.9,50.9,50.9,50.9,50.9,6287
2021-06-18,53.4,53.4,50.9,53.4,53.4,103203
2021-06-21,56.05,56.05,54.75,56.05,56.05,26433
2021-06-22,58.85,58.85,58.85,58.85,58.85,5483
2021-06-23,61.75,61.75,55.95,59.15,59.15,134026
2021-06-24,61.7,61.7,56.2,56.2,56.2,73638
2021-06-25,58.35,58.35,53.4,53.5,53.5,30621
2021-06-28,52.5,56.15,52.5,56.15,56.15,24828
2021-06-29,61.0,67.35,61.0,67.35,67.35,243988
2021-06-30,73.0,80.8,70.35,80.8,80.8,962481
2021-07-01,81.7,88.0,72.75,74.05,74.05,1357854
2021-07-02,74.0,81.45,71.0,81.45,81.45,450890
2021-07-05,84.9,89.55,84.9,89.55,89.55,224657
2021-07-06,98.5,98.5,98.5,98.5,98.5,74509
2021-07-07,108.35,108.35,100.9,108.35,108.35,358308
2021-07-08,113.75,113.75,113.6,113.75,113.75,121113
2021-07-09,115.8,119.4,108.1,119.4,119.4,342703
