Date,Open,High,Low,Close,Adj Close,Volume
2005-08-17,26.2,44.99,19.8,43.73,39.91,115622090
2005-08-18,44.94,46.66,41.15,41.88,38.22,43812090
2005-08-19,42.3,43.2,39.0,40.94,37.37,27229475
2005-08-22,40.68,41.4,38.09,38.77,35.39,11728290
2005-08-23,38.8,41.3,36.91,38.35,35.0,31251640
2005-08-24,38.2,38.8,36.56,37.14,33.9,9686005
2005-08-25,37.2,40.6,37.02,39.99,36.5,12125455
2005-08-26,40.6,41.1,38.12,38.87,35.48,9047810
2005-08-29,38.6,38.74,36.86,37.26,34.01,2257075
2005-08-30,37.54,38.7,37.1,37.27,34.02,1865725
2005-08-31,37.45,40.95,36.8,40.1,36.6,4426040
2005-09-01,40.6,40.6,37.07,37.44,34.17,1980135
2005-09-02,38.2,38.7,36.9,37.26,34.01,1439265
2005-09-05,37.41,37.9,36.67,36.98,33.75,735035
2005-09-06,37.3,37.6,36.43,36.76,33.55,556900
2005-09-08,37.3,37.97,36.21,36.51,33.32,462165
2005-09-09,36.8,37.83,35.92,36.56,33.37,1261620
2005-09-12,36.78,36.8,36.12,36.28,33.11,438150
2005-09-13,36.6,37.77,36.6,37.1,33.86,1035700
2005-09-14,37.2,37.2,35.41,35.93,32.79,478825
2005-09-15,36.4,36.56,36.21,36.3,33.13,217620
2005-09-16,36.3,36.67,35.62,36.28,33.11,345225
2005-09-19,36.74,36.74,35.02,35.36,32.27,351515
2005-09-20,35.89,35.89,33.29,33.63,30.69,411840
2005-09-21,33.8,35.08,30.4,32.25,29.43,517940
2005-09-22,32.6,32.6,26.8,27.26,24.88,578655
2005-09-23,28.2,30.8,27.02,29.46,26.89,901135
2005-09-26,30.2,31.88,29.6,30.92,28.22,573455
2005-09-27,31.0,31.78,30.6,30.87,28.18,270420
2005-09-28,31.0,31.02,29.0,30.01,27.39,145255
2005-09-29,30.36,30.36,28.65,29.08,26.54,171420
2005-09-30,29.05,29.05,25.8,27.7,25.28,479700
2005-10-03,27.89,29.72,27.5,28.37,25.89,343135
2005-10-04,28.98,28.99,28.4,28.68,26.18,186630
2005-10-05,28.1,28.5,27.4,27.67,25.25,151430
2005-10-06,28.08,28.08,26.2,27.2,24.83,155390
2005-10-07,27.42,28.0,27.0,27.05,24.69,131985
2005-10-10,27.4,27.97,26.44,26.77,24.43,81660
2005-10-11,27.58,27.6,25.62,25.81,23.56,141125
2005-10-13,26.0,26.3,25.52,25.69,23.45,133570
2005-10-14,25.62,25.98,23.82,24.16,22.05,195990
2005-10-17,24.4,24.6,23.22,23.94,21.85,106285
2005-10-18,23.6,24.98,23.51,23.84,21.76,101670
2005-10-19,22.88,23.98,22.46,23.45,21.4,240895
2005-10-20,23.65,24.0,21.8,22.21,20.27,153975
2005-10-21,22.04,22.76,21.0,21.76,19.86,131840
2005-10-24,22.0,25.87,21.68,25.06,22.87,1583200
2005-10-25,25.0,28.7,23.8,26.94,24.59,5874585
2005-10-26,26.98,27.0,24.85,25.32,23.11,2047735
