Date,Open,High,Low,Close,Adj Close,Volume
2013-02-20,214.0,215.0,203.3,203.3,200.23,546941
2013-02-21,193.15,208.0,193.15,197.0,194.03,120568
2013-02-22,190.0,198.0,187.15,194.8,191.86,11524
2013-02-25,193.0,195.0,190.15,193.0,190.09,12584
2013-02-26,191.0,193.0,183.35,183.4,180.63,4700
2013-02-27,183.35,183.35,174.25,179.3,176.59,5548
2013-02-28,174.25,183.0,170.35,170.35,167.78,5989
2013-03-01,162.5,175.0,161.85,171.75,169.16,6373
2013-03-04,170.0,179.9,164.25,173.8,171.18,5351
2013-03-05,169.0,175.4,169.0,170.0,167.43,8164
2013-03-06,171.0,186.0,171.0,178.15,175.46,19245
2013-03-07,178.7,180.0,176.0,177.0,174.33,3307
2013-03-08,175.0,177.5,174.25,174.95,172.31,3678
2013-03-11,173.0,180.0,173.0,179.55,176.84,3601
2013-03-12,176.3,181.8,176.3,179.95,177.23,12934
2013-03-13,176.35,180.0,161.0,177.95,175.26,2129
2013-03-14,174.1,185.0,174.1,179.75,177.04,17090
2013-03-15,177.5,184.0,171.0,179.3,176.59,3700
2013-03-18,184.0,209.0,152.5,180.4,177.68,18367
2013-03-19,177.1,180.0,175.0,176.15,173.49,4308
2013-03-20,175.1,178.0,170.0,171.1,168.52,5060
2013-03-21,171.5,173.0,169.0,169.65,167.09,1370
2013-03-22,161.1,170.0,160.0,166.8,164.28,8021
2013-03-25,162.2,167.7,158.0,160.4,157.98,2099
2013-03-26,151.1,164.85,150.0,164.0,161.52,2640
2013-03-28,160.6,177.0,157.0,169.2,166.64,7187
2013-04-01,165.5,175.0,165.15,169.0,166.45,13123
2013-04-02,166.0,180.0,166.0,177.8,175.12,8481
2013-04-03,174.0,178.0,174.0,177.85,175.16,531
2013-04-04,172.0,177.0,170.0,170.5,167.93,8468
2013-04-05,170.0,174.0,150.0,167.0,164.48,449
2013-04-08,179.0,179.0,162.05,165.15,162.66,1880
2013-04-09,163.55,164.3,163.55,164.05,161.57,545
2013-04-10,160.0,169.0,157.15,164.35,161.87,695
2013-04-11,160.15,164.0,160.15,161.25,158.81,476
2013-04-12,157.55,162.5,157.0,158.85,156.45,473
2013-04-15,154.1,160.0,154.1,157.3,154.92,564
2013-04-16,163.85,170.0,160.0,165.0,162.51,1059
2013-04-17,162.6,173.0,162.5,168.45,165.91,20432
2013-04-18,168.45,173.25,168.45,171.3,168.71,1356
2013-04-22,168.8,179.0,168.6,174.55,171.91,1551
2013-04-23,169.9,175.0,169.5,175.0,172.36,51493
2013-04-25,170.05,176.0,169.9,174.0,171.37,1318
2013-04-26,175.0,175.0,169.0,170.05,167.48,102
2013-04-29,171.1,177.0,171.1,175.0,172.36,214
2013-04-30,171.15,179.0,140.5,176.75,174.08,2699
2013-05-02,171.1,174.0,165.1,173.7,171.08,12472
2013-05-03,170.0,174.6,170.0,171.85,169.25,802
2013-05-06,170.1,170.1,145.55,164.0,161.52,1015
2013-05-07,164.0,167.5,162.3,162.95,160.49,448
2013-05-08,162.5,165.0,159.0,161.95,159.5,512
2013-05-09,164.75,164.9,160.0,163.25,160.78,6
2013-05-10,161.35,164.0,157.0,163.7,161.23,450
2013-05-13,158.1,167.9,158.1,161.65,159.21,990
2013-05-14,167.5,167.5,162.0,162.0,159.55,2
2013-05-15,162.1,165.0,162.1,164.05,161.57,5422
2013-05-16,163.5,165.0,160.0,164.0,161.52,5893
2013-05-17,163.5,164.2,160.0,160.2,157.78,5718
2013-05-20,160.4,170.0,152.3,163.45,160.98,15929
2013-05-21,162.0,162.0,137.05,143.75,141.58,20877
2013-05-22,141.3,142.95,130.1,134.5,132.47,9961
2013-05-23,140.9,149.6,138.0,139.4,137.29,21147
2013-05-24,144.0,144.9,135.6,136.35,134.29,6597
2013-05-27,140.0,146.0,138.75,142.85,140.69,15521
2013-05-28,146.0,149.9,141.2,142.55,140.4,27321
2013-05-29,142.7,144.4,134.0,136.55,134.49,5666
2013-05-30,135.05,140.0,133.0,137.7,135.62,5944
2013-05-31,140.0,147.8,126.5,129.1,127.15,13438
2013-06-03,128.0,140.0,125.0,126.05,124.15,9870
2013-06-04,125.05,125.05,105.25,111.35,109.67,58164
2013-06-05,114.8,116.0,106.0,112.8,111.1,38587
2013-06-06,116.5,127.0,116.5,120.1,118.29,20558
2013-06-07,121.0,121.95,116.6,117.65,115.87,12357
2013-06-10,119.95,119.95,103.25,118.9,117.1,10224
2013-06-11,123.95,123.95,110.0,119.2,117.4,7441
2013-06-12,114.0,129.0,114.0,124.1,122.23,22137
2013-06-13,120.05,137.3,116.3,133.85,131.83,8979
2013-06-14,130.0,140.0,130.0,139.7,137.59,7344
2013-06-17,140.0,140.0,135.0,138.25,136.16,6313
2013-06-18,137.25,139.45,135.25,138.25,136.16,5262
2013-06-19,141.9,147.45,136.0,142.55,140.4,7673
2013-06-20,137.35,141.5,135.1,140.4,138.28,6090
2013-06-21,133.0,139.0,132.25,137.1,135.03,6755
2013-06-24,132.0,140.0,128.0,139.65,137.54,7623
2013-06-25,132.0,138.4,132.0,134.55,132.52,5246
2013-06-26,134.55,134.55,130.0,130.1,128.14,197
2013-06-27,126.45,135.0,126.45,133.8,131.78,4316
2013-06-28,128.0,137.0,123.5,135.85,133.8,6686
2013-07-01,128.15,139.0,128.1,138.25,136.16,1881
2013-07-02,135.95,140.0,133.0,137.2,135.13,11258
2013-07-03,134.95,136.9,130.1,135.15,133.11,409
2013-07-04,132.5,135.45,130.05,131.0,129.02,1972
2013-07-05,130.5,130.75,130.0,130.4,128.43,235
2013-07-08,129.0,135.45,128.0,134.1,132.07,6650
2013-07-09,130.9,136.0,130.9,135.0,132.96,15861
2013-07-10,135.35,135.5,132.0,132.65,130.65,9363
2013-07-11,134.95,140.0,131.1,132.5,130.5,32313
2013-07-12,135.0,150.8,134.0,149.8,147.54,23514
2013-07-15,151.95,160.9,145.0,154.7,152.36,36083
2013-07-16,150.0,154.5,140.65,145.85,143.65,18305
2013-07-17,147.75,150.0,143.25,148.3,146.06,7543
2013-07-18,150.7,150.7,143.15,143.45,141.28,1686
2013-07-19,140.2,143.0,138.0,140.0,137.89,1665
2013-07-22,144.95,144.95,140.0,140.0,137.89,3926
2013-07-23,139.0,145.0,139.0,142.9,140.74,582
2013-07-24,140.0,141.0,135.35,140.0,137.89,864
2013-07-25,135.75,147.0,135.75,143.8,141.63,5045
2013-07-26,144.0,150.0,132.6,139.25,137.15,16386
2013-07-29,138.0,150.95,136.5,148.95,146.7,23575
2013-07-30,150.0,151.45,142.5,148.4,146.16,6675
2013-07-31,151.95,178.0,151.95,176.1,173.44,924933
2013-08-01,173.5,176.1,162.2,170.2,167.63,24488
2013-08-02,167.1,170.2,165.0,167.25,164.72,2108
2013-08-05,174.9,174.9,163.0,164.2,161.72,712
2013-08-06,165.25,166.9,165.0,165.15,162.66,1185
2013-08-07,169.75,170.05,165.0,169.25,166.69,2376
2013-08-08,165.05,171.75,165.05,169.9,167.33,7524
2013-08-12,162.5,175.8,162.5,170.0,167.43,8107
2013-08-13,173.05,173.8,170.0,170.05,167.48,5820
2013-08-14,173.0,173.0,167.25,169.65,167.09,6244
2013-08-16,168.3,169.0,165.0,165.75,163.25,5578
2013-08-19,167.5,172.9,166.05,169.35,166.79,6195
2013-08-20,165.1,171.7,165.1,169.6,167.04,8066
2013-08-21,170.1,172.95,170.0,170.05,167.48,8857
2013-08-22,175.0,175.0,170.1,171.9,169.3,12749
2013-08-23,170.0,174.4,170.0,173.85,171.22,15153
2013-08-26,173.05,175.0,170.0,173.5,170.88,11963
2013-08-27,170.0,184.9,170.0,182.35,179.6,142591
2013-08-28,180.0,184.8,175.75,182.3,179.55,30731
2013-08-29,177.9,202.0,177.35,191.05,188.16,19902
2013-08-30,190.0,191.05,185.05,191.05,188.16,260
2013-09-02,187.0,193.0,187.0,188.0,185.16,138
2013-09-03,188.0,188.0,188.0,188.0,185.16,0
2013-09-04,180.0,189.0,180.0,180.25,177.53,417
2013-09-05,180.25,189.0,180.25,184.6,181.81,383
2013-09-06,181.0,193.0,181.0,190.05,187.18,1686
2013-09-10,185.5,198.0,185.5,196.4,193.43,4460
2013-09-11,198.0,206.2,195.95,205.6,202.5,4302
2013-09-12,205.0,211.0,196.0,196.7,193.73,387100
2013-09-13,200.0,200.0,195.3,195.3,192.35,1776
2013-09-16,199.0,199.0,195.3,195.3,192.35,350
2013-09-17,199.0,200.0,196.0,196.0,193.04,390
2013-09-18,196.0,196.0,190.1,192.05,189.15,115
2013-09-19,196.0,201.0,195.0,198.2,195.21,1082
2013-09-20,200.0,200.0,194.1,199.75,196.73,6130
2013-09-23,190.0,202.0,190.0,202.0,199.95,195
2013-09-24,193.0,196.5,193.0,196.0,194.01,431
2013-09-25,199.5,204.0,199.5,204.0,201.93,504
2013-09-26,203.0,204.0,200.0,200.0,197.97,723
2013-09-27,199.0,199.0,195.25,198.0,195.99,364
2013-09-30,198.0,198.0,196.15,196.15,194.16,201
2013-10-01,197.5,204.0,197.5,204.0,201.93,333
2013-10-03,200.0,200.0,200.0,200.0,197.97,66
2013-10-04,197.0,200.0,195.1,195.1,193.12,498
2013-10-07,196.0,200.0,196.0,200.0,197.97,336
2013-10-08,195.1,197.0,195.1,196.0,194.01,587
2013-10-09,202.0,202.0,202.0,202.0,199.95,15
2013-10-10,195.25,200.0,195.25,196.0,194.01,134
2013-10-11,195.4,199.9,195.4,199.2,197.18,433
2013-10-14,199.9,200.0,199.25,199.25,197.23,303
2013-10-15,200.0,209.2,200.0,209.2,207.08,99725
2013-10-17,200.0,219.65,200.0,214.3,212.13,6514
2013-10-18,210.0,216.0,210.0,210.2,208.07,2866
2013-10-21,207.0,220.7,207.0,220.7,218.46,6022
2013-10-22,220.7,230.9,218.0,228.95,226.63,85242
2013-10-23,228.9,239.0,225.05,231.2,228.85,2905
2013-10-24,231.0,237.9,225.0,227.0,224.7,2129
2013-10-25,222.1,227.0,217.0,220.05,217.82,1662
2013-10-28,218.5,221.95,215.0,221.7,219.45,160
2013-10-29,222.0,223.5,214.0,223.5,221.23,2935
2013-10-30,222.0,233.0,219.0,230.2,227.86,4226
2013-10-31,231.8,241.0,228.0,234.45,232.07,2917
2013-11-01,223.0,240.0,223.0,237.8,235.39,6497
