Date,Open,High,Low,Close,Adj Close,Volume
2002-07-02,0.54,0.58,0.54,0.58,-0.0,8809
2002-07-03,0.64,0.7,0.64,0.7,-0.0,35239
2002-07-04,0.7,0.83,0.7,0.79,-0.0,51625
2002-07-05,0.81,0.85,0.8,0.84,-0.0,67809
2002-07-08,0.79,0.91,0.79,0.91,-0.0,73045
2002-07-09,0.93,0.93,0.87,0.92,-0.0,34710
2002-07-10,0.88,0.88,0.83,0.84,-0.0,35239
2002-07-11,0.8,0.81,0.75,0.75,-0.0,13843
2002-07-12,0.75,0.76,0.72,0.73,-0.0,10596
2002-07-15,0.72,0.75,0.72,0.72,-0.0,8432
2002-07-16,0.72,0.72,0.72,0.72,-0.0,0
2002-07-17,0.72,0.72,0.72,0.72,-0.0,0
2002-07-18,0.64,0.64,0.64,0.64,-0.0,2517
2002-07-19,0.66,0.66,0.6,0.66,-0.0,37
2002-07-22,0.64,0.64,0.64,0.64,-0.0,6292
2002-07-23,0.58,0.58,0.58,0.58,-0.0,629
2002-07-24,0.58,0.58,0.58,0.58,-0.0,0
2002-07-25,0.58,0.58,0.58,0.58,-0.0,0
2002-07-26,0.58,0.58,0.58,0.58,-0.0,0
2002-07-29,0.58,0.58,0.58,0.58,-0.0,0
2002-07-30,0.58,0.58,0.58,0.58,-0.0,0
2002-07-31,0.58,0.58,0.58,0.58,-0.0,0
2002-08-01,0.58,0.58,0.58,0.58,-0.0,0
2002-08-02,0.58,0.58,0.58,0.58,-0.0,0
2002-08-05,0.56,0.56,0.56,0.56,-0.0,1258
2002-08-06,0.56,0.56,0.56,0.56,-0.0,6292
2002-08-07,0.56,0.56,0.56,0.56,-0.0,2517
2002-08-08,0.56,0.56,0.56,0.56,-0.0,0
2002-08-09,0.52,0.52,0.52,0.52,-0.0,1258
2002-08-12,0.48,0.48,0.48,0.48,-0.0,1258
2002-08-13,0.48,0.48,0.48,0.48,-0.0,0
2002-08-14,0.43,0.43,0.43,0.43,-0.0,5034
2002-08-15,0.43,0.43,0.43,0.43,-0.0,0
2002-08-16,0.41,0.42,0.41,0.42,-0.0,5034
2002-08-19,0.42,0.42,0.42,0.42,-0.0,0
2002-08-20,0.42,0.42,0.42,0.42,-0.0,0
2002-08-21,0.46,0.46,0.43,0.43,-0.0,6292
2002-08-22,0.4,0.4,0.4,0.4,-0.0,1258
2002-08-23,0.4,0.4,0.4,0.4,-0.0,1258
2002-08-26,0.42,0.42,0.42,0.42,-0.0,1258
2002-08-27,0.4,0.4,0.4,0.4,-0.0,1258
2002-08-28,0.4,0.4,0.4,0.4,-0.0,5034
2002-08-29,0.4,0.4,0.4,0.4,-0.0,0
2002-08-30,0.36,0.46,0.36,0.46,-0.0,767
2002-09-02,0.46,0.46,0.46,0.46,-0.0,0
2002-09-03,0.44,0.44,0.4,0.44,-0.0,10068
2002-09-04,0.44,0.44,0.44,0.44,-0.0,0
2002-09-05,0.44,0.44,0.4,0.42,-0.0,22653
2002-09-06,0.42,0.42,0.42,0.42,-0.0,0
2002-09-09,0.37,0.37,0.37,0.37,-0.0,1258
2002-09-10,0.37,0.37,0.37,0.37,-0.0,0
2002-09-11,0.37,0.37,0.37,0.37,-0.0,0
2002-09-12,0.37,0.37,0.37,0.37,-0.0,0
2002-09-13,0.4,0.4,0.4,0.4,-0.0,6292
2002-09-16,0.4,0.4,0.4,0.4,-0.0,0
2002-09-17,0.36,0.36,0.36,0.36,-0.0,2517
2002-09-18,0.38,0.38,0.38,0.38,0.0,10068
2002-09-19,0.38,0.38,0.38,0.38,0.0,0
2002-09-20,0.34,0.34,0.34,0.34,0.0,1258
2002-09-23,0.4,0.4,0.36,0.36,0.0,10068
2002-09-24,0.41,0.41,0.35,0.35,0.0,6292
2002-09-25,0.37,0.38,0.37,0.38,0.0,6292
2002-09-26,0.35,0.35,0.35,0.35,0.0,1258
2002-09-27,0.32,0.4,0.32,0.4,0.0,5034
2002-09-30,0.48,0.48,0.34,0.41,0.0,9627
2002-10-01,0.37,0.37,0.36,0.36,0.0,2517
2002-10-02,0.36,0.36,0.36,0.36,0.0,0
