Date,Open,High,Low,Close,Adj Close,Volume
2017-04-18,35.05,36.8,35.05,36.8,36.42,110
2017-04-19,38.6,38.6,38.6,38.6,38.2,300
2017-04-20,40.5,40.5,40.5,40.5,40.08,100
2017-04-21,42.5,42.5,42.5,42.5,42.06,10
2017-04-24,42.5,42.5,42.5,42.5,42.06,0
2017-04-25,44.6,44.6,44.6,44.6,44.14,10
2017-04-26,46.8,46.8,46.8,46.8,46.32,75
2017-04-27,49.1,49.1,49.1,49.1,48.59,2300
2017-04-28,51.55,51.55,51.5,51.55,51.02,13661
2017-05-02,53.85,54.1,53.45,54.1,53.54,2010
2017-05-03,56.45,56.8,56.45,56.8,56.21,600
2017-05-04,59.6,59.6,59.6,59.6,58.98,450
2017-05-05,62.55,62.55,62.55,62.55,61.9,1850
2017-05-08,65.65,65.65,65.65,65.65,64.97,1550
2017-05-09,68.9,68.9,62.45,68.9,68.19,4585
2017-05-10,65.55,72.3,65.5,72.2,71.45,5873
2017-05-11,75.8,75.8,75.8,75.8,75.02,2538
2017-05-12,79.55,79.55,79.55,79.55,78.73,500
2017-05-15,83.5,83.5,75.6,83.15,82.29,9376
2017-05-16,79.5,87.0,79.5,82.5,81.65,2179
2017-05-17,81.0,85.0,78.75,81.0,80.16,2750
2017-05-18,82.95,82.95,76.95,77.8,77.0,1246
2017-05-19,74.0,81.25,73.95,74.15,73.38,1769
2017-05-22,77.0,77.75,71.0,74.0,73.23,1059
2017-05-23,70.3,70.35,70.3,70.3,69.57,711
2017-05-24,66.8,72.0,66.8,66.8,66.11,2560
2017-05-25,66.5,69.0,63.5,63.55,62.89,2449
2017-05-26,61.0,66.7,61.0,66.7,66.01,4044
2017-05-29,63.55,64.0,63.4,63.4,62.74,2680
2017-05-30,60.5,65.95,60.5,65.0,64.33,3604
2017-05-31,67.4,68.25,61.75,66.1,65.42,2563
2017-06-01,69.4,69.4,68.0,68.0,67.3,1246
2017-06-02,70.9,70.9,70.9,70.9,70.17,1
2017-06-05,67.55,74.4,67.4,67.8,67.1,1306
2017-06-06,65.0,70.0,64.45,65.0,64.33,1074
2017-06-07,63.0,67.0,61.75,63.25,62.6,5002
2017-06-08,62.0,63.9,60.1,63.9,63.24,556
2017-06-09,60.75,64.0,60.75,64.0,63.34,477
