Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,162.65,165.98,162.57,162.85,129.72,1354
2002-07-02,164.33,164.33,162.33,163.82,130.49,1655
2002-07-03,164.33,164.97,161.97,163.15,129.95,1269
2002-07-04,163.67,165.0,162.38,162.88,129.74,1227
2002-07-05,163.0,163.0,160.37,161.28,128.47,3966
2002-07-08,161.67,164.98,160.78,162.42,129.37,2306
2002-07-09,162.97,164.67,162.67,163.9,130.55,1272
2002-07-10,164.63,164.63,162.47,163.42,130.17,951
2002-07-11,163.33,164.17,162.67,163.25,130.03,1633
2002-07-12,161.77,163.67,160.0,160.95,128.2,6951
2002-07-15,162.0,162.25,160.05,160.58,127.91,367
2002-07-16,161.67,161.67,160.0,160.75,128.04,3001
2002-07-17,165.0,165.0,156.67,157.95,125.81,2108
2002-07-18,160.07,161.67,157.07,158.8,126.49,3197
2002-07-19,161.33,165.0,160.0,164.47,131.01,2989
2002-07-22,165.0,165.83,159.0,159.95,127.41,6994
2002-07-23,159.0,161.93,157.18,159.03,126.67,3563
2002-07-24,159.0,161.0,158.33,159.72,127.22,1724
2002-07-25,160.18,163.0,160.18,162.33,129.3,1405
2002-07-26,163.0,163.0,158.33,158.7,126.41,4760
2002-07-29,158.38,158.38,155.0,155.83,124.12,2056
2002-07-30,156.68,159.37,155.0,156.2,124.42,2423
2002-07-31,158.33,158.33,154.33,154.6,123.14,4753
2002-08-01,160.67,160.67,157.5,158.08,125.92,3002
2002-08-02,158.15,158.33,156.05,156.65,124.78,2907
2002-08-05,163.5,163.5,156.67,159.55,127.09,1728
2002-08-06,158.5,161.27,158.42,159.97,127.42,5396
2002-08-07,160.33,161.67,160.0,160.47,127.82,2127
2002-08-08,161.0,163.17,158.75,159.97,127.42,1969
2002-08-09,159.3,159.3,154.33,155.42,123.8,3944
2002-08-12,156.0,158.33,154.67,155.4,123.78,2471
2002-08-13,155.0,155.0,154.0,154.23,122.85,2227
2002-08-14,155.0,156.57,154.0,155.73,124.04,1085
2002-08-15,155.73,155.73,155.73,155.73,124.04,0
2002-08-16,155.67,160.0,155.67,158.42,126.19,3509
2002-08-19,158.52,158.52,155.33,155.83,124.12,2767
2002-08-20,158.5,158.53,155.67,155.83,124.12,5912
2002-08-21,155.33,156.83,155.0,155.35,123.74,2810
2002-08-22,157.18,157.18,155.7,156.0,124.26,1278
2002-08-23,156.65,156.65,154.67,155.07,123.52,2320
2002-08-26,155.0,155.4,152.0,152.68,121.61,6300
2002-08-27,152.67,152.67,149.0,149.63,119.19,40669
2002-08-28,150.33,151.67,149.0,149.65,119.2,3072
2002-08-29,150.33,151.65,149.33,149.63,119.19,4453
2002-08-30,149.33,150.33,147.67,149.38,118.99,4726
2002-09-02,154.0,156.33,151.33,153.37,122.16,3369
2002-09-03,154.17,155.0,152.43,154.07,122.72,1127
2002-09-04,154.07,156.63,153.33,153.43,122.21,1578
2002-09-05,155.0,155.0,153.33,153.72,122.44,1974
2002-09-06,156.17,156.22,151.67,151.9,120.99,1958
2002-09-09,151.75,154.92,149.4,149.9,119.4,2119
2002-09-10,149.9,149.9,149.9,149.9,119.4,0
2002-09-11,149.33,151.67,148.33,151.52,120.69,2009
2002-09-12,151.0,152.37,150.0,151.2,120.44,620
2002-09-13,151.67,152.0,149.37,150.5,119.88,2009
2002-09-16,150.58,155.57,150.0,153.22,122.05,3679
2002-09-17,155.67,155.67,152.03,154.55,123.1,3044
2002-09-18,152.52,155.97,152.52,154.8,123.3,2255
