Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,51.6,51.6,51.6,51.6,44.95,186000
2017-09-28,61.9,61.9,61.9,61.9,53.93,519000
2017-09-29,73.45,74.25,60.55,71.3,62.12,3738000
2017-10-03,74.2,83.75,73.0,83.15,72.44,747000
2017-10-04,83.6,91.45,74.85,76.85,66.95,1533000
2017-10-05,71.4,78.0,69.5,70.8,61.68,429000
2017-10-06,71.95,77.85,71.95,77.3,67.34,378000
2017-10-09,79.95,80.0,75.6,76.7,66.82,132000
2017-10-10,77.95,77.95,73.5,73.75,64.25,117000
2017-10-11,75.0,75.0,68.1,70.25,61.2,285000
2017-10-12,70.8,73.9,70.8,72.2,62.9,54000
2017-10-13,72.0,73.85,70.5,72.7,63.34,51000
2017-10-16,73.2,73.2,69.2,71.2,62.03,36000
2017-10-17,73.3,73.3,70.2,72.8,63.42,30000
2017-10-18,73.3,73.3,70.1,71.6,62.38,33000
2017-10-19,71.5,73.8,71.5,73.25,63.81,51000
2017-10-23,75.95,79.0,75.95,77.95,67.91,132000
2017-10-24,77.95,78.0,76.6,76.6,66.73,9000
2017-10-25,75.4,75.4,71.85,72.7,63.34,57000
2017-10-26,73.1,75.45,73.1,75.2,65.51,27000
2017-10-27,73.0,73.85,72.25,72.4,63.07,27000
2017-10-30,73.9,75.05,73.5,74.15,64.6,69000
2017-10-31,76.5,77.0,75.1,76.25,66.43,63000
2017-11-01,78.0,79.5,77.7,78.4,68.3,78000
2017-11-02,86.0,86.0,79.8,81.65,71.13,252000
2017-11-03,81.5,81.5,77.1,77.15,67.21,69000
2017-11-06,76.55,76.55,72.4,72.9,63.51,120000
2017-11-07,72.7,75.3,72.7,74.0,64.47,48000
2017-11-08,74.25,78.8,74.25,77.95,67.91,72000
2017-11-09,77.5,77.5,76.5,76.8,66.91,15000
2017-11-10,76.8,80.0,76.8,79.0,68.82,57000
2017-11-13,74.5,77.5,74.5,76.6,66.73,12000
2017-11-14,79.9,81.4,78.5,80.6,70.22,78000
2017-11-15,80.0,81.0,76.0,77.2,67.26,105000
2017-11-16,79.6,80.8,78.0,79.5,69.26,75000
2017-11-17,79.0,80.3,79.0,79.5,69.26,51000
2017-11-20,80.0,84.7,80.0,84.2,73.35,141000
2017-11-21,85.0,92.6,85.0,92.6,80.67,360000
2017-11-22,99.45,99.45,90.0,92.35,80.45,258000
2017-11-23,92.2,96.95,92.2,95.0,82.76,69000
2017-11-24,96.0,97.0,93.0,93.8,81.72,27000
2017-11-27,96.45,96.45,92.0,92.0,80.15,18000
2017-11-28,93.0,94.9,93.0,94.7,82.5,15000
2017-11-29,93.0,93.35,88.25,91.95,80.11,87000
2017-11-30,90.8,101.1,90.75,101.05,88.03,228000
2017-12-01,106.7,109.95,101.2,103.2,89.91,135000
2017-12-04,98.0,102.0,97.0,102.0,88.86,15000
2017-12-05,98.75,98.75,98.5,98.6,85.9,6000
2017-12-06,95.0,98.5,95.0,98.5,85.81,9000
2017-12-07,96.2,100.0,96.2,98.1,85.46,33000
2017-12-08,103.0,105.0,102.0,104.5,91.04,39000
2017-12-11,108.6,108.6,102.0,102.0,88.86,21000
2017-12-12,100.1,100.1,99.0,99.5,86.68,12000
2017-12-13,101.0,102.9,101.0,101.95,88.82,6000
2017-12-14,99.0,99.0,96.0,96.0,83.63,9000
2017-12-15,96.1,100.75,96.1,100.75,87.77,12000
2017-12-18,102.6,102.6,102.6,102.6,89.38,3000
2017-12-19,96.6,105.2,96.6,103.95,90.56,33000
2017-12-20,104.0,104.0,104.0,104.0,90.6,6000
2017-12-21,102.0,108.4,102.0,106.9,93.13,36000
2017-12-22,105.1,111.8,105.0,111.4,97.05,63000
2017-12-26,114.8,116.5,111.0,113.25,98.66,45000
2017-12-27,111.1,113.0,111.0,111.85,97.44,21000
2017-12-28,111.0,113.1,109.1,113.05,98.49,39000
