Date,Open,High,Low,Close,Adj Close,Volume
2005-07-12,13.18,14.0,12.0,12.17,10.85,244941515
2005-07-13,12.2,12.6,11.49,11.74,10.47,64111620
2005-07-14,12.0,12.0,11.4,11.45,10.21,16282865
2005-07-15,11.25,12.89,11.25,12.37,11.03,75448030
2005-07-18,12.54,13.14,12.5,12.82,11.43,75684775
2005-07-19,13.0,13.0,12.62,12.79,11.4,25445935
2005-07-20,12.82,12.97,12.6,12.7,11.32,9406670
2005-07-21,12.78,12.8,12.45,12.5,11.14,10164570
2005-07-22,12.56,12.6,12.36,12.41,11.06,5026005
2005-07-25,12.6,12.6,12.22,12.28,10.95,5403485
2005-07-26,12.32,12.8,12.2,12.49,11.13,11647700
2005-07-27,12.66,12.9,12.47,12.71,11.33,12481020
2005-07-28,12.71,12.71,12.71,12.71,11.33,0
2005-07-29,12.71,12.85,12.4,12.49,11.13,6186465
2005-08-01,12.61,12.86,12.55,12.66,11.29,17954690
2005-08-02,12.8,14.86,12.8,14.32,12.77,154283555
2005-08-03,14.5,14.57,13.63,13.91,12.4,56966635
2005-08-04,14.0,14.74,13.92,14.34,12.78,42898030
2005-08-05,14.3,14.55,14.2,14.31,12.76,13080370
2005-08-08,14.39,14.47,14.09,14.13,12.6,10771625
2005-08-09,14.18,14.23,13.71,13.94,12.43,7518155
2005-08-10,14.0,14.7,14.0,14.3,12.75,16457335
2005-08-11,14.39,14.56,14.24,14.33,12.77,8931260
2005-08-12,14.3,14.38,14.1,14.14,12.6,4509935
2005-08-16,14.18,14.29,13.8,13.89,12.38,5442010
2005-08-17,13.88,14.18,13.75,13.81,12.31,5179820
2005-08-18,13.94,14.01,13.71,13.79,12.29,4823060
2005-08-19,13.93,13.93,13.48,13.58,12.11,4071670
2005-08-22,13.7,13.72,13.25,13.34,11.89,4580710
2005-08-23,13.49,13.49,12.78,12.92,11.52,7381835
2005-08-24,12.84,13.18,12.78,12.93,11.53,3082390
2005-08-25,13.0,13.46,12.95,13.14,11.71,2483045
2005-08-26,13.22,13.6,13.14,13.24,11.8,2330370
2005-08-29,13.4,13.4,12.84,13.05,11.63,6227745
2005-08-30,13.19,13.43,13.14,13.29,11.85,2026595
2005-08-31,13.4,13.73,13.23,13.41,11.95,4263315
2005-09-01,13.59,13.66,13.3,13.4,11.95,1910845
2005-09-02,13.42,14.79,13.14,14.12,12.59,17197530
2005-09-05,14.22,14.3,13.6,13.66,12.18,3974285
2005-09-06,13.79,14.28,13.6,13.77,12.27,5798570
2005-09-08,13.6,13.93,13.6,13.82,12.32,2644230
2005-09-09,13.97,14.67,13.74,14.54,12.96,15055895
2005-09-12,14.64,14.76,14.3,14.34,12.78,7265700
2005-09-13,14.4,14.6,14.18,14.3,12.75,6031595
2005-09-14,14.51,14.72,14.03,14.34,12.78,9335740
2005-09-15,14.4,14.5,14.16,14.2,12.66,3526630
2005-09-16,14.1,14.37,12.98,14.14,12.6,2222495
2005-09-19,14.29,14.29,13.9,13.96,12.44,3858115
2005-09-20,14.08,14.08,13.62,13.77,12.27,5424665
2005-09-21,13.8,13.89,12.71,13.07,11.65,16822765
2005-09-22,13.16,13.16,12.72,12.78,11.39,5662030
2005-09-23,12.86,13.3,12.24,12.58,11.21,7912080
2005-09-26,12.78,13.34,12.78,13.01,11.6,4744150
2005-09-27,13.1,13.38,13.02,13.29,11.85,4317720
2005-09-28,13.5,13.96,13.41,13.73,12.24,6920645
2005-09-29,13.85,13.85,13.44,13.53,12.06,3466900
2005-09-30,13.52,13.59,13.05,13.27,11.83,4122065
2005-10-03,13.37,13.58,13.23,13.31,11.86,2110165
2005-10-04,13.45,13.54,13.35,13.42,11.96,3353220
2005-10-05,13.54,13.9,13.32,13.55,12.08,4732285
2005-10-06,13.69,14.24,13.25,13.68,12.19,13031490
2005-10-07,13.88,14.1,13.66,13.84,12.34,8826685
2005-10-10,14.0,14.43,13.51,13.64,12.16,23831460
2005-10-11,13.8,13.8,13.38,13.44,11.98,5339035
2005-10-13,13.46,13.57,13.08,13.13,11.7,7831490
