Date,Open,High,Low,Close,Adj Close,Volume
2002-07-02,16.3,16.3,16.3,16.3,15.97,25
2002-07-03,15.8,15.8,15.8,15.8,15.48,50
2002-07-04,15.8,15.8,15.8,15.8,15.48,0
2002-07-05,15.8,15.8,15.8,15.8,15.48,0
2002-07-08,15.8,15.8,15.8,15.8,15.48,0
2002-07-09,15.8,15.8,15.8,15.8,15.48,0
2002-07-10,15.8,15.8,15.8,15.8,15.48,0
2002-07-11,12.9,18.5,12.9,18.5,18.13,12
2002-07-12,21.2,22.2,19.0,20.6,20.19,4
2002-07-15,20.9,20.9,20.9,20.9,20.48,99
2002-07-16,25.0,25.0,25.0,25.0,24.5,1
2002-07-17,25.0,25.0,20.3,20.3,19.89,101
2002-07-18,16.3,24.4,16.3,24.4,23.91,225
2002-07-19,24.4,24.4,24.4,24.4,23.91,0
2002-07-22,29.0,29.0,29.0,29.0,28.42,1
2002-07-23,29.0,29.0,29.0,29.0,28.42,0
2002-07-24,34.7,34.7,23.35,33.9,33.22,42
2002-07-25,34.0,34.0,29.0,29.0,28.42,300
2002-07-26,23.4,23.4,23.25,23.25,22.78,120
2002-07-29,23.25,23.25,23.25,23.25,22.78,0
2002-07-30,23.25,23.25,23.25,23.25,22.78,0
2002-07-31,27.0,27.0,27.0,27.0,26.46,1
2002-08-01,27.0,27.0,27.0,27.0,26.46,0
2002-08-02,22.25,22.25,22.25,22.25,21.81,100
2002-08-05,22.25,22.25,22.25,22.25,21.81,0
2002-08-06,22.25,22.25,22.25,22.25,21.81,0
2002-08-07,23.0,23.0,23.0,23.0,22.54,49
2002-08-08,20.5,20.5,20.5,20.5,20.09,1
2002-08-09,17.1,18.15,17.1,18.15,17.79,100
2002-08-12,18.15,18.15,18.15,18.15,17.79,0
2002-08-13,18.15,18.15,18.15,18.15,17.79,0
2002-08-14,18.15,18.15,18.15,18.15,17.79,0
2002-08-15,18.15,18.15,18.15,18.15,17.79,0
2002-08-16,18.15,18.15,18.15,18.15,17.79,0
2002-08-19,18.15,18.15,18.15,18.15,17.79,0
2002-08-20,18.15,18.15,18.15,18.15,17.79,0
2002-08-21,18.15,18.15,18.15,18.15,17.79,0
2002-08-22,18.15,18.15,18.15,18.15,17.79,0
2002-08-23,18.15,18.15,18.15,18.15,17.79,0
2002-08-26,19.0,19.0,19.0,19.0,18.62,4
2002-08-27,19.0,19.0,19.0,19.0,18.62,0
2002-08-28,19.95,19.95,19.95,19.95,19.55,100
2002-08-29,19.95,19.95,19.95,19.95,19.55,0
2002-08-30,19.95,19.95,19.95,19.95,19.55,0
2002-09-02,20.9,20.9,20.9,20.9,20.48,100
2002-09-03,20.9,20.9,20.9,20.9,20.48,0
2002-09-04,20.9,20.9,20.9,20.9,20.48,0
2002-09-05,20.9,20.9,20.9,20.9,20.48,0
2002-09-06,21.45,21.45,21.45,21.45,21.02,99
2002-09-09,21.45,21.45,21.45,21.45,21.02,0
2002-09-10,21.45,21.45,21.45,21.45,21.02,0
2002-09-11,22.55,22.55,22.55,22.55,22.1,100
2002-09-12,26.0,26.0,18.6,23.75,23.27,351
2002-09-13,23.75,23.75,23.75,23.75,23.27,0
2002-09-16,23.75,23.75,23.75,23.75,23.27,0
2002-09-17,24.0,24.0,24.0,24.0,23.52,100
2002-09-18,23.25,23.25,23.25,23.25,22.78,100
2002-09-19,23.25,23.25,23.25,23.25,22.78,0
2002-09-20,23.25,23.25,23.25,23.25,22.78,0
2002-09-23,23.25,23.25,23.25,23.25,22.78,0
2002-09-24,20.0,27.0,20.0,27.0,26.46,6
2002-09-25,32.0,32.0,32.0,32.0,31.36,5
2002-09-26,32.0,34.0,26.0,31.0,30.38,31
2002-09-27,25.0,25.0,25.0,25.0,24.5,1
2002-09-30,30.0,30.0,25.0,25.0,24.5,100
2002-10-01,25.0,25.0,25.0,25.0,24.5,0
2002-10-02,25.0,25.0,25.0,25.0,24.5,0
2002-10-03,21.1,21.3,21.1,21.3,20.87,2
2002-10-04,21.3,21.3,21.3,21.3,20.87,0
2002-10-07,21.3,21.3,21.3,21.3,20.87,0
2002-10-08,17.3,22.0,17.3,17.6,17.25,500
2002-10-09,15.05,21.1,15.05,21.1,20.68,100
2002-10-10,21.1,21.1,21.1,21.1,20.68,0
2002-10-11,22.1,22.1,22.1,22.1,21.66,25
2002-10-14,22.9,23.1,21.0,21.65,21.22,89
2002-10-15,21.65,21.65,21.65,21.65,21.22,0
2002-10-16,22.75,22.75,22.75,22.75,22.3,72
2002-10-17,22.0,22.0,22.0,22.0,21.56,5
2002-10-18,22.0,22.0,22.0,22.0,21.56,0
2002-10-21,21.0,21.0,21.0,21.0,20.58,100
2002-10-22,22.0,22.0,22.0,22.0,21.56,1
2002-10-23,22.5,22.5,22.5,22.5,22.05,25
2002-10-24,22.0,22.0,21.4,21.7,21.27,300
2002-10-25,22.8,22.8,21.75,22.0,21.56,650
2002-10-28,20.9,20.95,20.9,20.9,20.48,180
2002-10-29,19.85,21.95,19.85,21.95,21.51,330
2002-10-30,21.5,21.5,21.5,21.5,21.07,100
2002-10-31,20.45,20.45,20.45,20.45,20.04,95
2002-11-01,20.45,20.45,20.45,20.45,20.04,0
2002-11-04,20.45,20.45,20.45,20.45,20.04,0
2002-11-05,21.5,21.5,19.45,19.5,19.11,152
2002-11-06,19.5,19.5,19.5,19.5,19.11,0
2002-11-07,20.5,20.5,20.5,20.5,20.09,50
2002-11-08,20.8,20.8,20.8,20.8,20.38,50
2002-11-11,20.8,20.8,20.8,20.8,20.38,0
2002-11-12,20.8,20.8,20.8,20.8,20.38,0
2002-11-13,20.8,20.8,20.8,20.8,20.38,0
2002-11-14,20.8,20.8,20.8,20.8,20.38,0
2002-11-15,20.8,20.8,20.8,20.8,20.38,0
2002-11-18,20.0,20.0,19.9,19.9,19.5,100
2002-11-19,19.9,19.9,19.9,19.9,19.5,0
