Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,7.59,7.97,7.58,7.87,4.63,6187
2002-07-02,8.14,8.14,7.89,8.07,4.74,2358
2002-07-03,8.09,8.09,7.83,7.84,4.61,7065
2002-07-04,7.78,7.83,7.7,7.78,4.57,2925
2002-07-05,7.7,8.0,7.7,7.84,4.61,12510
2002-07-08,7.71,8.11,7.71,8.11,4.76,4837
2002-07-09,8.11,8.31,7.94,8.31,4.88,4612
2002-07-10,8.89,8.89,8.14,8.24,4.84,3573
2002-07-11,8.29,8.29,7.94,8.06,4.73,3064
2002-07-12,8.33,8.33,7.89,8.02,4.71,4743
2002-07-15,7.89,7.89,7.56,7.56,4.44,5080
2002-07-16,7.79,7.79,7.48,7.55,4.44,2029
2002-07-17,7.55,7.55,7.55,7.55,4.44,0
2002-07-18,7.46,7.47,7.4,7.4,4.35,1021
2002-07-19,7.76,7.76,7.76,7.76,4.56,225
2002-07-22,7.17,7.22,7.14,7.22,4.24,1350
2002-07-23,6.78,7.5,6.78,7.14,4.2,963
2002-07-24,7.22,7.22,7.17,7.17,4.21,45
2002-07-25,7.2,7.44,7.2,7.3,4.29,148
2002-07-26,7.17,7.17,6.96,6.96,4.09,1633
2002-07-29,6.7,6.7,6.7,6.7,3.93,445
2002-07-30,6.67,7.07,6.46,7.0,4.11,409
2002-07-31,6.56,6.67,6.47,6.53,3.84,1197
2002-08-01,6.33,6.67,6.33,6.66,3.91,243
2002-08-02,6.63,6.63,6.22,6.33,3.72,9454
2002-08-05,6.67,6.78,6.26,6.29,3.69,45684
2002-08-06,6.77,6.77,6.24,6.54,3.84,33412
2002-08-07,7.19,7.2,6.56,7.1,4.17,18000
2002-08-08,6.78,7.05,6.48,6.99,4.11,19143
2002-08-09,6.5,6.67,6.5,6.67,3.92,337
2002-08-12,6.67,6.78,6.5,6.5,3.82,2700
2002-08-13,6.78,6.78,6.78,6.78,3.98,9
2002-08-14,6.67,6.72,6.67,6.72,3.95,18
2002-08-15,6.72,6.72,6.72,6.72,3.95,0
2002-08-16,6.45,6.8,6.45,6.67,3.92,909
2002-08-19,6.89,6.89,6.67,6.72,3.95,580
2002-08-20,6.94,7.05,6.63,7.0,4.11,594
2002-08-21,6.68,6.94,6.68,6.88,4.04,2020
2002-08-22,6.78,6.89,6.78,6.89,4.05,18
2002-08-23,6.64,7.0,6.64,7.0,4.11,387
2002-08-26,6.89,6.89,6.58,6.58,3.87,562
2002-08-27,6.67,6.89,6.67,6.67,3.92,3042
2002-08-28,6.66,6.66,6.66,6.66,3.91,4
2002-08-29,6.67,6.82,6.61,6.67,3.92,2259
2002-08-30,6.53,6.78,6.47,6.78,3.98,130
2002-09-02,6.67,6.75,6.67,6.68,3.92,3690
2002-09-03,6.72,6.78,6.56,6.56,3.85,1251
2002-09-04,6.24,6.82,6.24,6.61,3.88,6304
2002-09-05,6.62,6.82,6.62,6.82,4.01,526
2002-09-06,6.72,6.8,6.67,6.79,3.99,6052
2002-09-09,6.47,6.47,6.47,6.47,4.55,2677
2002-09-10,6.47,6.47,6.47,6.47,4.55,0
2002-09-11,6.33,6.48,6.23,6.48,4.55,454
2002-09-12,6.01,6.44,6.01,6.14,4.32,832
2002-09-13,6.53,6.53,6.53,6.53,4.59,720
2002-09-16,6.03,6.11,6.03,6.11,4.29,9
2002-09-17,6.67,6.67,6.09,6.11,4.29,18
2002-09-18,5.71,6.43,5.71,6.41,4.5,2187
2002-09-19,5.96,5.96,5.96,5.96,4.18,4
2002-09-20,5.63,5.78,5.63,5.73,4.03,229
2002-09-23,5.97,6.0,5.56,5.73,4.02,6439
2002-09-24,5.56,5.98,5.56,5.74,4.03,1363
2002-09-25,5.78,5.78,5.78,5.78,4.06,9
2002-09-26,5.29,6.13,5.29,6.0,4.21,36
2002-09-27,5.57,6.18,5.57,6.18,4.34,2254
2002-09-30,6.52,6.52,5.9,5.9,4.14,1021
2002-10-01,5.78,5.78,5.78,5.78,4.06,450
2002-10-02,5.78,5.78,5.78,5.78,4.06,0
2002-10-03,5.78,5.78,5.78,5.78,4.06,0
2002-10-04,5.78,5.84,5.78,5.83,4.1,1125
2002-10-07,5.78,5.78,5.78,5.78,4.06,450
2002-10-08,5.6,5.78,5.6,5.78,4.06,450
2002-10-09,5.87,5.87,5.87,5.87,4.12,225
2002-10-10,5.73,5.73,5.73,5.73,4.02,103
2002-10-11,5.64,5.64,5.64,5.64,3.96,112
2002-10-14,5.64,5.64,5.64,5.64,3.96,0
2002-10-15,5.64,5.64,5.64,5.64,3.96,0
2002-10-16,5.64,5.64,5.64,5.64,3.96,0
2002-10-17,5.64,5.64,5.64,5.64,3.96,0
2002-10-18,5.67,5.67,5.66,5.67,3.98,1350
