Date,Open,High,Low,Close,Adj Close,Volume
2009-11-13,219.95,223.4,196.25,200.55,183.12,82200
2009-11-16,204.7,205.8,195.1,196.6,179.51,22711
2009-11-17,197.7,215.0,196.1,210.65,192.34,58183
2009-11-18,209.7,214.0,206.0,207.05,189.05,23650
2009-11-19,207.7,212.8,202.0,203.0,185.36,26536
2009-11-20,198.0,219.9,197.5,216.35,197.55,81444
2009-11-23,218.0,227.5,218.0,220.85,201.65,75607
2009-11-24,221.0,225.0,215.2,216.6,197.77,23097
2009-11-25,219.85,222.6,212.6,213.7,195.13,9387
2009-11-26,211.1,216.85,211.1,212.35,193.89,9024
2009-11-27,203.0,223.9,200.5,219.7,200.6,219347
2009-11-30,226.0,236.0,221.2,233.95,213.62,72399
2009-12-01,235.0,280.75,235.0,280.75,256.35,524000
2009-12-02,282.25,302.0,275.2,282.1,257.58,886304
2009-12-03,290.0,290.0,265.6,270.4,246.9,107694
2009-12-04,269.95,278.1,265.0,267.75,244.48,93585
2009-12-07,279.0,279.0,252.65,256.4,234.11,62647
2009-12-08,258.9,280.0,252.6,273.75,249.96,149300
2009-12-09,274.0,277.7,266.3,270.4,246.9,55510
2009-12-10,271.95,286.9,269.3,276.45,252.42,138411
2009-12-11,276.9,285.7,272.2,273.75,249.96,40439
2009-12-14,271.5,279.0,271.0,272.25,248.59,22962
2009-12-15,275.45,284.8,265.2,268.15,244.84,79393
2009-12-16,270.95,272.95,264.0,267.75,244.48,26557
2009-12-17,269.0,275.0,266.0,271.3,247.72,25416
2009-12-18,269.0,271.0,261.1,263.3,240.41,24466
2009-12-21,266.8,272.0,262.15,263.6,240.69,30230
2009-12-22,266.1,267.7,261.55,262.6,239.78,21396
2010-01-04,273.4,275.0,268.0,268.8,245.44,42690
2010-01-05,272.95,273.5,266.2,268.15,244.84,72941
2010-01-06,270.8,270.8,264.0,266.1,242.97,24172
2010-01-07,267.7,276.0,262.0,262.85,240.0,295041
2010-01-08,267.9,267.9,261.1,262.1,239.32,32129
2010-01-11,265.0,269.0,262.0,262.8,239.96,33148
2010-01-12,265.9,269.0,261.5,263.0,240.14,33144
2010-01-13,263.0,267.0,261.25,264.5,241.51,19345
2010-01-14,266.8,266.8,262.5,263.1,240.23,14705
2010-01-15,263.6,268.0,262.3,263.05,240.19,27785
2010-01-18,261.05,270.0,261.0,263.3,240.41,47620
2010-01-19,264.0,267.0,262.05,262.75,239.91,17916
2010-01-20,262.75,268.9,261.3,266.0,242.88,25596
2010-01-21,263.15,270.0,263.15,265.2,242.15,61469
2010-01-22,261.4,261.4,248.0,258.25,235.8,20957
2010-01-25,259.0,284.7,255.15,279.3,255.02,241640
2010-01-27,277.25,292.9,264.0,267.35,244.11,226016
2010-01-28,271.95,281.9,270.0,275.3,251.37,54092
2010-01-29,271.0,280.0,265.0,274.35,250.5,44584
2010-02-01,275.0,285.0,272.0,278.9,254.66,33908
2010-02-02,284.85,334.5,282.35,328.05,299.54,1109323
2010-02-03,328.0,329.4,306.0,312.85,285.66,403299
2010-02-04,314.0,322.0,305.0,313.05,285.84,178124
2010-02-05,304.95,308.0,292.4,296.35,270.59,92554
2010-02-08,300.0,324.0,296.8,304.65,278.17,325874
2010-02-09,305.95,308.9,296.0,298.85,272.88,92612
2010-02-10,300.05,303.0,286.2,289.0,263.88,87357
2010-02-11,292.9,297.95,290.5,293.7,268.17,28889
2010-02-15,293.0,304.95,285.0,290.35,265.11,76194
2010-02-16,294.0,298.3,286.7,292.7,267.26,41892
2010-02-17,294.95,300.45,290.2,293.5,267.99,42144
2010-02-18,294.2,302.0,293.0,295.1,269.45,45439
2010-02-19,292.0,298.0,290.0,290.95,265.66,19573
2010-02-22,294.0,295.95,282.0,285.6,260.78,22795
2010-02-23,281.6,288.5,280.0,283.35,258.72,25759
2010-02-24,282.15,286.5,278.15,280.9,256.49,21416
2010-02-25,286.5,286.5,281.0,282.85,258.27,14210
2010-02-26,275.1,295.1,275.1,290.35,265.11,24432
2010-03-02,283.0,314.4,283.0,306.35,279.72,72005
2010-03-03,308.0,321.4,303.5,313.45,286.21,141560
2010-03-04,313.0,327.0,313.0,315.55,288.12,104285
2010-03-05,317.0,332.0,317.0,324.0,295.84,130903
2010-03-08,329.0,338.9,324.6,333.9,304.88,67533
2010-03-09,334.0,374.7,330.0,359.85,328.57,1165595
2010-03-10,363.9,378.95,348.15,353.1,322.41,301193
2010-03-11,354.8,362.0,347.0,355.25,324.37,107440
2010-03-12,358.0,365.0,352.0,360.55,329.21,65091
2010-03-15,362.0,364.0,352.0,354.7,323.87,35581
2010-03-16,354.0,354.9,346.0,350.85,320.36,25486
2010-03-17,351.3,365.8,351.3,355.85,324.92,53796
2010-03-18,359.0,367.95,352.0,362.55,331.04,67083
2010-03-19,367.0,386.4,367.0,380.75,347.66,217396
2010-03-22,378.95,395.5,375.0,382.5,349.25,167500
2010-03-23,386.2,398.5,375.5,376.95,344.19,118655
2010-03-25,381.5,387.9,375.5,379.2,346.24,68402
2010-03-26,382.0,386.5,376.6,381.4,348.25,42769
2010-03-29,384.9,394.0,368.0,383.65,350.3,75461
2010-03-30,350.0,386.4,350.0,377.65,344.83,26112
2010-03-31,381.9,389.0,376.05,383.95,350.58,47505
2010-04-01,383.0,415.0,380.1,407.95,372.49,244266
2010-04-05,407.0,420.0,406.0,416.8,380.57,89472
2010-04-06,410.0,424.7,410.0,414.6,378.56,72184
2010-04-07,417.2,424.4,414.0,415.7,379.57,54187
2010-04-08,416.2,420.0,410.5,413.65,377.7,29987
2010-04-09,416.0,419.0,408.6,410.6,374.91,31548
2010-04-12,412.0,416.25,402.0,404.25,369.11,31898
2010-04-13,405.1,414.85,386.6,395.5,361.12,69318
2010-04-15,403.0,411.0,394.25,395.85,361.44,60175
2010-04-16,395.1,410.0,395.1,397.35,362.81,58171
2010-04-19,398.5,404.0,393.5,399.8,365.05,53072
2010-04-20,400.05,409.75,398.0,400.05,365.28,70696
2010-04-21,408.4,418.7,402.0,406.75,371.4,123692
2010-04-22,408.0,411.7,398.0,399.05,364.37,45593
2010-04-23,403.0,405.9,400.1,401.85,366.92,21500
2010-04-26,399.0,406.95,396.05,397.5,362.95,34629
2010-04-27,399.9,410.9,396.0,397.9,363.32,92769
2010-04-28,397.0,406.0,391.25,393.55,359.34,71991
2010-04-29,403.4,405.0,394.0,397.5,362.95,55284
2010-04-30,401.3,401.4,394.0,397.75,363.18,40861
2010-05-03,396.15,398.8,392.65,393.9,359.66,20176
2010-05-04,396.0,397.95,378.4,381.0,347.88,39912
2010-05-05,371.0,389.0,368.0,385.05,351.58,47011
2010-05-06,386.2,394.8,382.0,383.35,350.03,27798
2010-05-07,379.0,386.9,371.0,374.2,341.68,37770
2010-05-10,382.0,411.8,374.95,404.1,368.98,89691
2010-05-11,406.0,406.0,385.0,388.75,354.96,28698
2010-05-12,381.65,398.9,381.65,392.7,358.57,33003
2010-05-13,400.0,410.4,394.0,403.3,368.25,84047
2010-05-14,401.0,403.5,392.0,394.05,359.8,20582
2010-05-17,393.0,414.8,384.15,411.75,375.96,107920
2010-05-18,415.0,438.0,413.5,431.9,394.36,199881
2010-05-19,416.7,439.4,407.15,413.2,377.29,83734
2010-05-20,419.0,453.9,402.5,443.85,405.27,265776
2010-05-21,443.4,453.0,424.0,438.8,400.66,112947
2010-05-24,444.0,496.05,437.2,488.85,446.36,395252
2010-05-25,484.5,498.9,457.0,460.7,420.66,196147
2010-05-26,469.0,485.0,465.0,472.3,431.25,90722
2010-05-27,471.4,500.0,470.0,484.75,442.62,233096
2010-05-28,485.25,499.95,482.1,485.85,443.62,181963
2010-05-31,486.0,491.0,475.0,484.6,442.48,44024
2010-06-01,481.0,493.8,468.2,472.6,431.52,75779
2010-06-02,477.8,482.0,462.3,468.75,428.01,30747
2010-06-03,472.05,486.0,470.05,477.05,435.59,50967
2010-06-04,476.25,483.9,471.5,473.45,432.3,33734
2010-06-07,471.0,476.0,458.2,470.05,429.2,36290
2010-06-08,470.05,480.0,466.0,467.85,427.19,35773
2010-06-09,470.15,479.0,468.0,471.35,430.38,34798
2010-06-10,479.8,479.8,472.0,474.05,432.85,30267
2010-06-11,478.5,478.95,470.5,474.2,432.98,21959
2010-06-14,474.0,480.7,474.0,478.2,436.64,43937
2010-06-15,478.2,505.8,476.35,496.4,453.25,168621
2010-06-16,498.5,514.0,497.05,502.55,458.87,177039
2010-06-17,504.0,506.5,495.0,497.7,454.44,32938
2010-06-18,497.7,509.0,496.0,497.5,454.26,68317
2010-06-21,490.55,509.0,471.65,498.75,455.4,33484
2010-06-22,494.0,503.5,493.0,493.95,451.02,20441
2010-06-23,492.0,497.0,485.6,488.4,445.95,11398
2010-06-24,485.0,502.5,485.0,490.75,448.1,33520
2010-06-25,490.75,498.75,486.0,490.5,447.87,22891
2010-06-28,499.0,499.0,487.05,491.6,448.87,11658
2010-06-29,487.0,507.3,487.0,501.85,458.23,29835
2010-06-30,497.0,508.9,495.25,498.2,454.9,44137
2010-07-01,494.0,499.0,488.5,489.55,447.0,15421
2010-07-02,485.0,495.85,485.0,487.75,445.36,25618
2010-07-05,484.65,494.0,483.2,491.5,448.78,9935
2010-07-06,492.0,497.0,489.65,495.1,452.07,11208
2010-07-07,504.4,504.4,483.0,484.95,442.8,16151
2010-07-08,491.05,493.4,481.15,483.7,444.41,21780
2010-07-09,486.7,488.0,481.2,482.6,443.4,12051
2010-07-12,483.0,492.0,483.0,487.95,448.31,17166
2010-07-13,484.0,513.8,480.05,508.2,466.92,106971
2010-07-14,516.15,534.0,510.2,524.25,481.66,244511
2010-07-15,532.0,538.0,526.0,529.5,486.49,105805
2010-07-16,552.2,573.9,525.0,531.85,488.65,1078429
2010-07-19,535.0,535.0,508.0,513.15,471.47,184699
2010-07-20,515.5,519.6,492.35,496.55,456.21,93319
2010-07-21,503.35,505.9,485.65,487.2,447.62,82300
2010-07-22,487.5,494.0,481.0,488.9,449.19,75082
2010-07-23,502.2,519.4,489.0,504.85,463.84,230917
2010-07-26,508.0,512.9,492.05,494.45,454.28,39900
